rank,ticker,Name,sector,weight,score,score_model_core,score_total,score_focus_bonus,portfolio_seed_score,ensemble_weight_linear,ensemble_weight_catboost,ensemble_weight_ranker,adaptive_ensemble_active,adaptive_ensemble_history_months,adaptive_quality_linear,adaptive_quality_catboost,adaptive_quality_ranker,anticipatory_growth_score,profitability_inflection_score,dominant_archetype_label,archetype_alignment_score,portfolio_sleeve_label,portfolio_sleeve_confidence,portfolio_core_compounder_engine_score,portfolio_future_winner_engine_score,portfolio_early_scout_engine_score,sage_sector,sage_composite_score,sage_g_score,sage_v_score,sage_q_score,sage_c_score,sleeve_target_core_compounder_weight,sleeve_target_future_winner_weight,sleeve_target_early_scout_weight,sleeve_invested_share,sleeve_growth_signal,sleeve_risk_signal,future_winner_regime_strength,early_scout_regime_strength,future_winner_scout_score,long_hold_compounder_score,score_future_winner_model,pred_future_winner_ret,pred_future_winner_p,strategy_blueprint_score,stagflation_score,growth_liquidity_reentry_score,m2_yoy_lag1m,fed_assets_bil,reverse_repo_bil,tga_bil,net_liquidity_bil,net_liquidity_change_1m_bil,liquidity_impulse_score,liquidity_drain_score,fear_greed_score,fear_greed_delta_1w,fear_greed_risk_off_score,fear_greed_risk_on_score,fund_join_status,fundamental_reliability_score,core_fundamental_fields_present,sector_adjusted_fields_present,partial_scout_confirmation_score,fundamental_lane_label,latest_statement_repair_used,revenues_ttm,gross_profit_ttm,op_income_ttm,net_income_ttm,op_margin_ttm,gross_margins,operating_margins,roe_proxy,roa_proxy,asset_turnover_ttm,book_to_market_proxy,capital_efficiency_score,sector_adjusted_quality_score,market_cap_live,current_price_live,return_on_equity_effective,revenue_growth_final,earnings_growth_final,forward_pe_final,peg_final,sales_growth_yoy,net_income_growth_yoy,op_income_growth_yoy,ocf_growth_yoy,sales_cagr_3y,sales_cagr_5y,net_income_cagr_3y,net_income_cagr_5y,op_income_cagr_3y,op_income_cagr_5y,ocf_cagr_3y,ocf_cagr_5y,ep_ttm,sp_ttm,fcfy_ttm,price_above_ma20,ma20_above_ma50,golden_cross_fresh_20d,death_cross_recent_20d,breakout_fresh_20d,breakout_volume_z,volume_dryup_20d,post_breakout_hold_score,held_from_prev_rebalance,prev_weight,portfolio_hold_policy_seed_bonus,portfolio_hold_policy_bonus,portfolio_hold_policy_support,portfolio_hold_policy_exit_risk,target_n,weight_cap,cash_target,prev_holdings_applied,prev_holdings_count,rebalance_action,active_rebalance_interval_months,sleeve_rebalance_interval_months,scheduled_rebalance_due,recommended_rebalance_interval_months,next_scheduled_rebalance_date,recommended_next_run_date,recommended_next_run_mode,atr14_pct,event_regime_label,live_event_alert_label,applied_regime_sleeve_policy_label,applied_regime_sleeve_live_label,applied_regime_sleeve_source_label,backtest_usable,research_only_backtest,research_only_output,entry_date,last_trade_date,thesis_status,entry_price,reference_price,shares_held,held_days,unrealized_return,manual_lock
1,GEV,GE VERNOVA INC,Industrials,0.16510188151213778,5.784523756515041,3.5223941523999445,5.780020419676073,0.976395106654031,7.169411715314532,0.26268090522739224,0.42444446441731076,0.312874630355297,True,12.0,-0.23795252353450178,-0.18702845532246853,-0.27768496562249306,1.3022084798057485,0.5720269958778745,emerging_growth,0.9795151715851078,core_compounder,0.03628397480107348,0.48068559359129415,0.8388583117210486,0.7300063873178282,Industrial,0.626121386229771,2.7318525537401936,-2.7022122239187905,-0.1648321304317142,2.5782272067221967,0.5,0.3,0.2,1.0,0.5267016259788073,0.3356703707571951,0.19103125522161224,0.13404255319148936,1.709217797760031,0.5001732217638855,0.0944993796223063,0.7335410113131715,0.35873410358084007,1.1720958884680832,0.004444444444444449,-0.08521103173634366,0.046905869017049406,6.0,0.747,6.0,6.0,-6.0,0.022616850417554908,0.33535938850537955,6.0,-3.1142857142857068,0.09348048324310884,0.17257142857142796,matched_with_ttm,0.92839,5.0,0.0,0.8571428571428571,full_ttm,False,39375000000.0,7846000000.0,1524000000.0,9365000000.0,0.0387047619047619,0.19926349206349206,0.0387047619047619,0.62163956189844,0.12385600169285299,0.5207506744961117,0.052734029273409574,1.101640473873269,-0.2657909785778542,285678909948.12195,1063.1099853515625,0.62163956189844,0.12709317303563772,1.5666830823148952,32.9433,0.018063099369993257,0.12709317303563772,,,,,,,,,,,,0.032781558854661844,0.13782956539266525,,1.0,1.0,0.0,0.0,0.8,0.0,0.06571073941259353,0.76,0.0,0.0,0.0,0.0,0.0,0.0,14,0.17600000000000002,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.04391862969819765,balanced,balanced,bal_50_30_20,balanced,balanced,True,True,False,,,,,,,,,False
2,NVDA,NVIDIA CORP,Information Technology,0.1563967520289483,5.388491182418999,2.795680234689084,5.336039329703608,1.141365849483749,6.693958021087897,0.26268090522739224,0.42444446441731076,0.312874630355297,True,12.0,-0.23795252353450178,-0.18702845532246853,-0.27768496562249306,1.543951568902726,0.36112201488180246,compounder,1.4762990926903756,core_compounder,0.0957790927497512,0.9377982519055362,0.6504609736562826,0.48865923872271916,Semiconductor,0.8851221013106371,2.570006857505105,0.0,0.0,-0.0958686587743303,0.5,0.3,0.2,1.0,0.5267016259788073,0.3356703707571951,0.19103125522161224,0.13404255319148936,1.3327982334598578,1.579097399346273,-0.07912532328962837,-0.3980788829294762,0.12087028806722508,2.0057188368784473,0.004444444444444449,-0.08521103173634366,0.046905869017049406,6.0,0.747,6.0,6.0,-6.0,0.022616850417554908,0.33535938850537955,6.0,-3.1142857142857068,0.09348048324310884,0.17257142857142796,matched_with_ttm_fallback,0.925,5.0,0.0,1.0,full_ttm,False,215938000000.0,153463000000.0,130387000000.0,120067000000.0,0.6038168363141272,0.7106808435754708,0.6038168363141272,0.7633333969089534,0.5805863551302447,1.0441724733200195,0.03071041895375997,3.0517519051029285,2.2625147972620647,5121812250000.0,209.25,0.7633333969089534,0.6547353579009478,2.0294308588944108,42.5913,0.4470588852734334,0.6547353579009478,,,,1.0052198737118174,0.6719241211603657,2.0294308588944108,0.9477711634965376,2.1492597803874185,0.9624152069870582,1.6396081372638758,0.7789798723371186,0.023442288420470702,0.042160467713356735,0.019894911220144782,1.0,1.0,0.0,0.0,0.9,0.0,0.1724515442201402,0.78,0.0,0.0,0.0,0.0,0.0,0.0,14,0.17600000000000002,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.028064233610951103,balanced,balanced,bal_50_30_20,balanced,balanced,True,True,False,,,,,,,,,False
3,GOOGL,ALPHABET INC CLASS A,Communication,0.12089699230394955,5.922988950710121,4.449783926957457,5.886927010713573,0.5901976420000201,6.739515391951835,0.26268090522739224,0.42444446441731076,0.312874630355297,True,12.0,-0.23795252353450178,-0.18702845532246853,-0.27768496562249306,1.0253972539690068,-0.03150099008270668,emerging_growth,0.7614655147380734,core_compounder,0.003507697371394114,0.5673848016131027,0.577907893727285,0.4293538002874807,Software,0.06989975894711441,0.5362156131647714,-1.1804412902002386,0.32937016002425856,0.6332805125562628,0.5,0.3,0.2,1.0,0.5267016259788073,0.3356703707571951,0.19103125522161224,0.13404255319148936,1.3121441280498114,0.610643301156007,0.1320364833900068,0.8293315885444812,0.5181676165466779,0.812831087631095,0.004444444444444449,-0.08521103173634366,0.046905869017049406,6.0,0.747,6.0,6.0,-6.0,0.022616850417554908,0.33535938850537955,6.0,-3.1142857142857068,0.09348048324310884,0.17257142857142796,matched_with_ttm,1.0,5.0,0.0,1.0,full_ttm,False,402836000000.0,240301000000.0,129039000000.0,132170000000.0,0.32032638592380025,0.5965231508603998,0.32032638592380025,0.3182786895115167,0.22202959610671263,0.6767157023321759,0.09816966001556696,0.9720658139812464,0.8175894991707425,4230074749511.7188,349.94000244140625,0.3182786895115167,0.1509008108154437,0.3201422321660441,31.4739,1.0554627766599598,0.1509008108154437,0.3201422321660441,0.14813595515615274,0.3145595735001876,0.12508720166050935,0.17157378629634956,0.3012738193363951,0.2683716977978945,0.199058982674154,0.2563994618754688,0.21644018367632145,0.2039498490742797,0.031245310739545798,0.09523141406579155,0.035371242557184386,1.0,1.0,0.0,0.0,0.9,0.0,0.24731537084984867,0.9800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,14,0.17600000000000002,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.021732303291886346,balanced,balanced,bal_50_30_20,balanced,balanced,True,True,False,,,,,,,,,False
4,AMZN,AMAZON.COM INC,Consumer Discretionary,0.08046338593697373,4.750991799762645,3.4466660506304585,4.740799989856285,0.41052821453071175,5.047260390516765,0.26268090522739224,0.42444446441731076,0.312874630355297,True,12.0,-0.23795252353450178,-0.18702845532246853,-0.27768496562249306,1.042394696099464,0.31220687051689044,emerging_growth,0.6205922756354196,core_compounder,0.0302656753705714,0.2046035402047872,0.5406088237107182,0.44981179759900397,Software,-0.5242019543130749,0.08739655688383469,-1.0630435082456138,-1.4098095970595204,0.42281684735910985,0.5,0.3,0.2,1.0,0.5267016259788073,0.3356703707571951,0.19103125522161224,0.13404255319148936,1.498613220158625,0.3643551741788243,0.06586942182726765,0.6315256805417457,0.28436999182394546,0.6567825529397088,0.004444444444444449,-0.08521103173634366,0.046905869017049406,6.0,0.747,6.0,6.0,-6.0,0.022616850417554908,0.33535938850537955,6.0,-3.1142857142857068,0.09348048324310884,0.17257142857142796,matched_with_ttm_backfill,0.8926666666666667,4.0,0.0,0.8571428571428571,full_ttm,False,716924000000.0,360510000000.0,79975000000.0,77670000000.0,0.11155296795755199,0.5028566486824266,0.11155296795755199,,0.09494622525493801,0.8763902097936291,,0.306290138686261,-0.012425389865778916,2823713677373.8604,263.0400085449219,,0.12377754683294695,0.6082272316789135,36.5523,1.3073068669527896,0.12377754683294695,,,,0.11728456546856747,0.41693047094167635,,0.6082272316789135,0.8688211092464733,0.6337694285804338,0.4395820730040392,0.16128676031516043,0.02750632991664915,0.2538940140229661,0.03984610794697904,1.0,1.0,0.0,0.0,0.85,0.0,0.12378963325393,0.97,0.0,0.0,0.0,0.0,0.0,0.0,14,0.17600000000000002,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.024037618091569138,balanced,balanced,bal_50_30_20,balanced,balanced,True,True,False,,,,,,,,,False
5,MRVL,MARVELL TECHNOLOGY INC,Information Technology,0.07357637393765963,5.820692330089186,3.15824933418095,5.806902395689269,1.141365849483749,6.937608300512302,0.26268090522739224,0.42444446441731076,0.312874630355297,True,12.0,-0.23795252353450178,-0.18702845532246853,-0.27768496562249306,1.9791866423517588,1.0148594991437487,emerging_growth,1.0244133436291947,future_winner,0.01802669954037835,0.5964402954740319,0.9280309746617713,0.8739508760406363,Semiconductor,0.4491637592558857,0.2360717658168083,0.0,0.0,2.4435909414666854,0.5,0.3,0.2,1.0,0.5267016259788073,0.3356703707571951,0.19103125522161224,0.13404255319148936,1.88927438762366,0.28970316890623793,0.10779727646538509,0.618587292091276,0.5053087498716405,0.9794246890668334,0.004444444444444449,-0.08521103173634366,0.046905869017049406,6.0,0.747,6.0,6.0,-6.0,0.022616850417554908,0.33535938850537955,6.0,-3.1142857142857068,0.09348048324310884,0.17257142857142796,matched_with_ttm_fallback,0.925,5.0,0.0,0.8571428571428571,full_ttm,False,8194600000.0,4180700000.0,1322900000.0,2670100000.0,0.16143557952798185,0.5101774339198984,0.16143557952798185,0.1866106622683179,0.13215372812987206,0.4055829146972209,0.09018094031093772,0.2427505126364396,-0.09660738619782328,135589626342.77344,156.57000732421875,0.1866106622683179,0.42087285211450776,0.7684075318831849,53.8116,0.554415825262724,0.42087285211450776,,,,0.11413865909605314,,,,0.7684075318831849,,0.1071193676736204,,0.019692509464182245,0.060436776920410405,0.01175679912244969,1.0,1.0,0.0,0.0,0.8,0.0,-0.33087024797707065,0.76,0.0,0.0,0.0,0.0,0.0,0.0,14,0.17600000000000002,0.0,False,0,full_rebalance,1,2,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.05384008872231041,balanced,balanced,bal_50_30_20,balanced,balanced,True,True,False,,,,,,,,,False
6,FTI,TECHNIPFMC PLC,Energy,0.06151402672271581,3.42275799898119,1.0924454115816709,3.399849978503687,1.141365849483749,5.538669227661481,0.26268090522739224,0.42444446441731076,0.312874630355297,True,12.0,-0.23795252353450178,-0.18702845532246853,-0.27768496562249306,1.6507062296526005,0.5052908917268598,emerging_growth,1.2449851763064532,future_winner,0.01227301652558499,0.7000655260330003,0.9280309746617713,0.8912119250850163,Energy,1.3003849760836688,3.4646516537755607,-0.9596379358065892,-0.07595969835978217,2.311042038692104,0.5,0.3,0.2,1.0,0.5267016259788073,0.3356703707571951,0.19103125522161224,0.13404255319148936,2.3791977879038324,0.8806684894695687,0.07130852128100851,0.45902976099037135,0.3925549463986796,1.0464750856671512,0.004444444444444449,-0.08521103173634366,0.046905869017049406,6.0,0.747,6.0,6.0,-6.0,0.022616850417554908,0.33535938850537955,6.0,-3.1142857142857068,0.09348048324310884,0.17257142857142796,matched_with_ttm_backfill,0.9550000000000001,5.0,7.0,1.0,full_ttm,False,9932600000.0,,1436100000.0,967100000.0,0.1445844995268107,,0.1445844995268107,0.28399847296860775,0.09558024154493883,0.9816568164297997,0.11056363284558982,0.6796312014625874,0.3070994063795074,30799458306.11183,76.98999786376953,0.28399847296860775,0.09350126055508468,0.5631231381933035,31.0275,2.092211732973702,0.09350126055508468,,,,0.14018259311077697,0.2372721575288066,,,0.5631231381933035,,0.7110926571390206,0.2185438260942596,0.03139990289400931,0.3224926848154657,0.04699433300464179,1.0,1.0,0.0,0.0,1.0,1.2860118812137384,0.1902328723217377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.17600000000000002,0.0,False,0,full_rebalance,1,2,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.027888592574790982,balanced,balanced,bal_50_30_20,balanced,balanced,True,True,False,,,,,,,,,False
7,ZTO,ZTO Express,Industrials,0.056335967140408574,2.897480296856674,-0.2955195760912199,2.8139435229569836,1.141365849483749,4.559546518641152,0.26268090522739224,0.42444446441731076,0.312874630355297,True,12.0,-0.23795252353450178,-0.18702845532246853,-0.27768496562249306,1.198684595766946,0.5642313273444394,compounder,1.8389368482463928,future_winner,0.003255759081254972,0.9377982519055362,0.9280309746617713,0.6850996231890691,Industrial,1.8282057490898616,2.0424553161507384,3.7902225729307575,0.09433337468595665,0.9480493435528305,0.5,0.3,0.2,1.0,0.5267016259788073,0.3356703707571951,0.19103125522161224,0.13404255319148936,1.4325106678700537,2.14200586819438,0.09207076821721719,0.3233728572290477,0.7534826512655369,1.5256221435774011,0.004444444444444449,-0.08521103173634366,0.046905869017049406,6.0,0.747,6.0,6.0,-6.0,0.022616850417554908,0.33535938850537955,6.0,-3.1142857142857068,0.09348048324310884,0.17257142857142796,matched_with_ttm,1.0,5.0,0.0,1.0,full_ttm,False,7021016000.0,1754793000.0,1497886000.0,9182146000.0,0.21334319705296215,0.2499343399872611,0.21334319705296215,0.9564356827542243,0.7054367472922515,0.539403608886948,0.4933785220569623,2.758902643685698,1.677859075749118,19458447360.0,25.3700008392334,0.9564356827542243,0.4714977343890814,11.446300259847291,2.119161180839425,0.0018513940161724337,0.4714977343890814,11.446300259847291,0.7345838418976727,0.5105435962612863,0.11029977129191249,0.12687008094701846,0.10231430590663959,0.6916476892584371,0.10118424896367917,0.1550528059572196,0.009346936579778031,0.1766980974935599,0.47188482359982087,0.36082097765070603,0.04963546074007007,1.0,1.0,0.0,0.0,0.85,0.0,0.3346548903144121,0.97,0.0,0.0,0.0,0.0,0.0,0.0,14,0.17600000000000002,0.0,False,0,full_rebalance,1,2,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.01839912590400498,balanced,balanced,bal_50_30_20,balanced,balanced,True,True,False,,,,,,,,,False
8,TSM,Taiwan Semiconductor Manufacturing,Semiconductors,0.05553002370125983,5.497429358407067,4.068148762135679,5.51922517287392,0.8565981847553009,6.3584528123256625,0.26268090522739224,0.42444446441731076,0.312874630355297,True,12.0,-0.23795252353450178,-0.18702845532246853,-0.27768496562249306,0.8333198845622227,0.4681765496960342,emerging_growth,0.37300464167715736,future_winner,0.02984907699491283,0.3395307735780681,0.6554782709148701,0.5659310399301316,Semiconductor,0.17048478248897722,0.244620731853696,0.0,-0.0037731244861097103,0.5720720497447404,0.5,0.3,0.2,1.0,0.5267016259788073,0.3356703707571951,0.19103125522161224,0.13404255319148936,1.2444833957066295,0.25642194078210817,0.07883686605820366,0.5077006876180741,0.4578787575147199,0.4912892461105416,0.004444444444444449,-0.08521103173634366,0.046905869017049406,6.0,0.747,6.0,6.0,-6.0,0.022616850417554908,0.33535938850537955,6.0,-3.1142857142857068,0.09348048324310884,0.17257142857142796,matched_no_ttm,0.37978,4.0,0.0,0.8571428571428571,full_ttm,False,,49538100000.0,40318800000.0,35301100000.0,,,,0.2704953205001479,0.17297728237146914,,0.06389305615752677,0.6808932686427542,0.4392209162653522,2042559987712.0,393.8299865722656,0.2704953205001479,,0.5272415555299121,57.86108613363323,1.0974303054598773,,0.5272415555299121,0.4909188192978806,,,,0.18202238803220028,0.24415577018404133,0.1982656230131521,0.26459210370260977,,,0.01728277270306415,,,1.0,1.0,0.0,0.0,0.9,0.0,0.005231059520584891,0.9800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,14,0.17600000000000002,0.0,False,0,full_rebalance,1,2,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.032756608012161646,balanced,balanced,bal_50_30_20,balanced,balanced,True,True,False,,,,,,,,,False
9,SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,0.04095177277737875,2.74627151695484,0.7441948846665819,2.6552178010868133,0.866242361446428,3.530691647353655,0.26268090522739224,0.42444446441731076,0.312874630355297,True,12.0,-0.23795252353450178,-0.18702845532246853,-0.27768496562249306,0.3358498426196384,0.24590555080800797,compounder,1.1912300737665134,future_winner,0.14493752228873502,0.8655012879358693,0.43068872106966427,0.2712735468045005,Consumer,0.0445429469453035,-0.059835878119573895,0.020873057631566605,-0.02585959841820508,0.44488092989209327,0.5,0.3,0.2,1.0,0.5267016259788073,0.3356703707571951,0.19103125522161224,0.13404255319148936,0.8938937117512418,2.162256197435333,-0.011888163569636366,0.2921748304934974,0.12870082633103258,0.9570554355215554,0.004444444444444449,-0.08521103173634366,0.046905869017049406,6.0,0.747,6.0,6.0,-6.0,0.022616850417554908,0.33535938850537955,6.0,-3.1142857142857068,0.09348048324310884,0.17257142857142796,matched_with_ttm_fallback,0.850585,5.0,7.0,0.8571428571428571,full_ttm,False,1791462000.0,,890669000.0,4624275000.0,0.4971743748960346,,0.4971743748960346,0.689635193641894,0.30595774262928177,0.11852921150367104,-0.040988235236356564,1.7976440291067712,2.041864234581112,68620031669.60483,200.08999633789062,0.689635193641894,0.0,0.9531825817223563,14.2961,0.45355647208121824,0.0,0.9531825817223563,0.06571733517121237,0.08438403997216004,0.08566438644638885,0.0962800825750898,0.29352615443056296,0.3305206576774238,0.09186259843454647,0.1402861284625705,0.031714924390078725,0.12198361862748275,0.0673895783415722,0.026106982996242572,,1.0,1.0,0.0,0.0,0.65,0.0,0.2136202449110325,0.73,0.0,0.0,0.0,0.0,0.0,0.0,14,0.17600000000000002,0.0,False,0,full_rebalance,1,2,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.017352906013732006,balanced,balanced,bal_50_30_20,balanced,balanced,True,True,False,,,,,,,,,False
10,PR,PERMIAN RESOURCES CORP CLASS A,Energy,0.04,2.6095554055741115,0.31536044367936744,2.5567545094457755,1.141365849483749,4.2487037359187445,0.26268090522739224,0.42444446441731076,0.312874630355297,True,12.0,-0.23795252353450178,-0.18702845532246853,-0.27768496562249306,1.0235798498566238,0.6060758886476498,emerging_growth,1.3731518445304745,early_scout,0.022255923805739337,0.9377982519055362,0.8710304804883182,0.7895673715903095,Energy,1.466009252077059,1.6567408832239672,2.1927091499253644,0.128364461321767,2.0392102675792514,0.5,0.3,0.2,1.0,0.5267016259788073,0.3356703707571951,0.19103125522161224,0.13404255319148936,1.6252379616829649,1.3954452125569854,0.03438041492634504,0.20634914946063837,0.4082666296307624,0.9964989844202968,0.004444444444444449,-0.08521103173634366,0.046905869017049406,6.0,0.747,6.0,6.0,-6.0,0.022616850417554908,0.33535938850537955,6.0,-3.1142857142857068,0.09348048324310884,0.17257142857142796,matched_with_ttm_fallback,0.91939,5.0,7.0,0.8571428571428571,full_ttm,False,5065211000.0,,1462729000.0,935174000.0,0.28877948026252015,,0.28877948026252015,0.08108058665065355,0.05220881762889341,0.28278018566690777,0.7569091394731524,-0.3488275611670304,1.0865296118181669,15236708606.831493,21.649999618530273,0.08108058665065355,0.012893507233138202,0.21562244154982868,18.9971,0.3524508348794063,0.012893507233138202,,,,0.3344166239398818,0.5423800859958281,0.21562244154982868,,0.1322842234822954,,0.3802417974647794,0.8394521231881102,0.0613763788578793,0.33243472266241114,0.22046979348898632,1.0,1.0,0.0,0.0,1.0,-0.17993103350464995,0.10466563032172971,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.17600000000000002,0.0,False,0,full_rebalance,1,1,True,1,2026-05-29,2026-05-29,full_step1_and_step2,0.02686243535639197,balanced,balanced,bal_50_30_20,balanced,balanced,True,True,False,,,,,,,,,False
