rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month
2019-04-30,2019-05-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,initial_rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.030804707752269622,0.9691952922477304
2019-05-31,2019-06-28,risk_off_alert,0.18,0.36,0.18,0.28,0.2167743072935243,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.030804707752269622,0.0,1.0142882757240896
2019-06-28,2019-07-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.0279456880419247
2019-07-31,2019-08-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.0342145146220498
2019-08-30,2019-09-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.008198459178746068,1.0257355491418543
2019-09-30,2019-10-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.008198459178746068,0.0,1.0456182915978938
2019-10-31,2019-11-29,growth_reentry_alert,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,20,0.0,0.0,1.053312024972338
2019-11-29,2019-12-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,20,0.0,0.0,1.076832116911141
2019-12-31,2020-01-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.1062561146803138
2020-01-31,2020-02-28,balanced,0.7400000000000001,0.18,0.08,0.0,0.019901202972353125,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.05851287069303277,1.0415258936886478
2020-02-28,2020-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.2946515547130856,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.05851287069303277,-0.17932382616583373,0.9078780354764906
2020-03-31,2020-04-30,systemic_alert,0.25000000000000006,0.55,0.2,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.17932382616583373,-0.020221145032749896,1.0838863493419968
2020-04-30,2020-05-29,balanced,0.7400000000000001,0.18,0.08,0.0,0.0051226538305883,circuit_breaker_release,"core_compounder,early_scout,future_winner",1,18,-0.020221145032749896,0.0,1.1864197989759413
2020-05-29,2020-06-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.013590578398735596,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.2463922011965323
2020-06-30,2020-07-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.019160525006242667,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.3400411246159343
2020-07-31,2020-08-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.443809654008117
2020-08-31,2020-09-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.007908145666476204,1.432391796949556
2020-09-30,2020-10-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.10640276002771634,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.007908145666476204,-0.01903051553419757,1.416333211959091
2020-10-30,2020-11-30,risk_off_alert,0.18,0.36,0.18,0.28,0.2608562195375376,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.01903051553419757,0.0,1.5166117896547586
2020-11-30,2020-12-31,growth_reentry_alert,0.7400000000000001,0.18,0.08,0.0,0.1550525789257258,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,20,0.0,0.0,1.5969088573446113
2020-12-31,2021-01-29,balanced,0.7400000000000001,0.18,0.08,0.0,0.005508844727550437,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.04246929286170334,1.529089267408595
2021-01-29,2021-02-26,risk_off_alert,0.18,0.36,0.18,0.28,0.2905461705335015,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.04246929286170334,-0.007047068300581366,1.5856553315571005
2021-02-26,2021-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.2815814628031922,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.007047068300581366,-0.015072993583213214,1.5728386603848796
2021-03-31,2021-04-30,growth_reentry_alert,0.7400000000000001,0.18,0.08,0.0,0.1918642672242541,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.015072993583213214,0.0,1.6581001211410074
2021-04-30,2021-05-28,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,21,0.0,-0.018363012542602575,1.6276524078196042
2021-05-28,2021-06-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.011767725445077568,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.018363012542602575,0.0,1.7064639031812543
2021-06-30,2021-07-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.7843711057155118
2021-07-30,2021-08-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.07098846954967758,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.842938889516631
2021-08-31,2021-09-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.04866739752425535,1.7532478499676154
2021-09-30,2021-10-29,risk_off_alert,0.18,0.36,0.18,0.28,0.24634761470941918,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.04866739752425535,0.0,1.90989437521482
2021-10-29,2021-11-30,growth_reentry_alert,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.00691374585880056,1.8966898508874321
2021-11-30,2021-12-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.08741387730179109,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.00691374585880056,0.0,1.943202588114556
2021-12-31,2022-01-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.043453306711115317,1.8587640100513811
2022-01-31,2022-02-28,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.043453306711115317,-0.07415877401303453,1.7990970665210249
2022-02-28,2022-03-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.07415877401303453,-0.03663693414097781,1.8720096028712254
2022-03-31,2022-04-29,growth_reentry_alert,0.7400000000000001,0.18,0.08,0.0,0.16721818629211857,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.03663693414097781,-0.11423964546140093,1.7212118133886725
2022-04-29,2022-05-31,risk_off_alert,0.7400000000000001,0.18,0.08,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.11423964546140093,-0.13568344158290613,1.6795421732663627
2022-05-31,2022-06-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.13568344158290613,-0.2132107558260277,1.5288908955795584
2022-06-30,2022-07-29,balanced,0.7400000000000001,0.22,0.04,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.2132107558260277,-0.15990034398304567,1.632483825846294
2022-07-29,2022-08-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,circuit_breaker_release,"core_compounder,early_scout,future_winner",1,18,-0.15990034398304567,-0.20053805582028272,1.5535165190291214
2022-08-31,2022-09-30,balanced,0.7400000000000001,0.22,0.04,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.20053805582028272,-0.24906650835686348,1.4592159044628432
2022-09-30,2022-10-31,balanced,0.7400000000000001,0.24,0.02,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.24906650835686348,-0.18231720021976008,1.5889233327897185
2022-10-31,2022-11-30,balanced,0.7400000000000001,0.24,0.02,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.18231720021976008,-0.1638070841683434,1.6248922382071322
2022-11-30,2022-12-30,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,circuit_breaker_release,"core_compounder,early_scout,future_winner",1,18,-0.1638070841683434,-0.20324016216487267,1.5482657789869534
2022-12-30,2023-01-31,balanced,0.7400000000000001,0.22,0.04,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.20324016216487267,-0.16745790913061348,1.6177979456916958
2023-01-31,2023-02-28,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,circuit_breaker_release,"core_compounder,early_scout,future_winner",1,18,-0.16745790913061348,-0.19785573310847474,1.558728815464865
2023-02-28,2023-03-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.19785573310847474,-0.15922595978345144,1.633794290968329
2023-03-31,2023-04-28,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,circuit_breaker_release,"core_compounder,early_scout,future_winner",1,18,-0.15922595978345144,-0.1499481193943085,1.6518230144246253
2023-04-28,2023-05-31,balanced,0.7400000000000001,0.26,0.0,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.1499481193943085,-0.13815976544514463,1.674730174328251
2023-05-31,2023-06-30,balanced,0.7400000000000001,0.26,0.0,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.13815976544514463,-0.07959811541460775,1.7885273242318491
2023-06-30,2023-07-31,growth_reentry_alert,0.7400000000000001,0.18,0.08,0.0,0.0,circuit_breaker_release,"core_compounder,early_scout,future_winner",1,18,-0.07959811541460775,-0.0566373041017601,1.8331448322001846
2023-07-31,2023-08-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.03228230928442413,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0566373041017601,-0.044903520419642406,1.855945951019652
2023-08-31,2023-09-29,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.044903520419642406,-0.1021619196298551,1.7446812814830703
2023-09-29,2023-10-31,systemic_alert,0.7400000000000001,0.22,0.04,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.1021619196298551,-0.09672655734586168,1.7552432915406666
2023-10-31,2023-11-30,balanced,0.7400000000000001,0.22,0.04,0.0,0.0,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.09672655734586168,-0.052813931136444725,1.8405744204417127
2023-11-30,2023-12-29,balanced,0.7400000000000001,0.18,0.08,0.0,0.0,circuit_breaker_release,"core_compounder,early_scout,future_winner",1,18,-0.052813931136444725,-0.03484028328682222,1.8755008594609588
2023-12-29,2024-01-31,balanced,0.7400000000000001,0.18,0.08,0.0,0.037423317490599135,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.03484028328682222,0.0,1.9816972306902207
