rebalance_date,ticker,action,reason,stage,score,bad_months,distribution_risk
2019-04-30,ALGN,enter,monster_scout,scout,1.3726171734448365,0,0.5223943774906274
2019-04-30,CDNS,enter,monster_scout,scout,1.352270747772993,0,0.4056758596947729
2019-04-30,ADBE,enter,monster_scout,scout,1.29603171879624,0,0.151809073128744
2019-05-31,ALGN,trim,distribution_trim,scout,0.47966684421557754,0,0.8670615682422994
2019-05-31,CDNS,hold,watch_stale,scout,0.3172418517445014,1,0.5259785323702689
2019-05-31,ADBE,hold,hold,scout,0.5740946711236274,0,0.5259785323702689
2019-05-31,SBAC,enter,monster_scout,scout,0.9829409573276076,0,0.5259785323702689
2019-05-31,BR,enter,monster_scout,scout,0.9610280321272253,0,0.5259785323702689
2019-05-31,MKTX,enter,monster_scout,scout,0.8943211140405735,0,0.5259785323702689
2019-06-28,ALGN,trim,distribution_trim,scout,0.12036330182051841,1,0.8134143956316509
2019-06-28,CDNS,hold,hold,confirm,0.8201311544718971,0,0.1748847664762974
2019-06-28,ADBE,hold,hold,confirm,1.1251272204505216,0,0.0516149525445256
2019-06-28,SBAC,hold,hold,scout,0.6773144981182219,0,0.0516149525445256
2019-06-28,BR,hold,hold,confirm,0.8640107746594559,0,0.1655992201608291
2019-06-28,MKTX,hold,hold,confirm,0.9050065434852829,0,0.2875826507344425
2019-06-28,HEI,enter,monster_scout,scout,1.0854176052663402,0,0.5100762167352363
2019-07-31,ALGN,exit,failed_recovery_after_peak,scout,,,
2019-07-31,CDNS,hold,hold,confirm,0.586328900451092,0,0.2846848712565041
2019-07-31,ADBE,hold,hold,winner,0.8979996721034089,0,0.2846848712565041
2019-07-31,SBAC,hold,hold,confirm,0.8025239321810246,0,0.2846848712565041
2019-07-31,BR,hold,watch_stale,confirm,0.12511843459937444,1,0.2846848712565041
2019-07-31,MKTX,hold,hold,confirm,0.5439536618682735,0,0.2846848712565041
2019-07-31,HEI,hold,hold,confirm,0.9897686167083234,0,0.3503128190912596
2019-07-31,MU,enter,monster_scout,scout,1.056980510084973,0,0.2846848712565041
2019-08-30,CDNS,hold,watch_stale,confirm,0.12821756556982333,1,0.2296455592676155
2019-08-30,ADBE,hold,hold,winner,0.44762061807305303,0,0.2296455592676155
2019-08-30,SBAC,hold,hold,confirm,0.6510207467030014,0,0.2296455592676155
2019-08-30,BR,exit,stale_leader_review_exit,confirm,,,
2019-08-30,MKTX,hold,hold,confirm,0.6622066506033477,0,0.4476631113919173
2019-08-30,HEI,hold,hold,winner,0.9343090111135955,0,0.2296455592676155
2019-08-30,MU,hold,hold,confirm,1.3110107652594487,0,0.2296455592676155
2019-08-30,KLAC,enter,monster_scout,scout,1.2066913912474413,0,0.2404829204198268
2019-09-30,CDNS,exit,stale_leader_review_exit,confirm,,,
2019-09-30,ADBE,hold,watch_stale,winner,-0.16834980427435176,1,0.1942480183164893
2019-09-30,SBAC,hold,watch_stale,confirm,-0.09866213971863241,1,0.1942480183164893
2019-09-30,MKTX,hold,watch_stale,confirm,-0.30686507878490127,1,0.1942480183164893
2019-09-30,HEI,hold,watch_stale,winner,-0.16507537830814695,1,0.1942480183164893
2019-09-30,MU,hold,watch_stale,confirm,0.33719948118816584,1,0.1942480183164893
2019-09-30,KLAC,hold,hold,confirm,0.9667959131410566,0,0.2798144390312528
2019-09-30,SYY,enter,monster_scout,scout,1.1306609147183093,0,0.1942480183164893
2019-10-31,ADBE,exit,stale_leader_review_exit,winner,,,
2019-10-31,SBAC,exit,stale_leader_review_exit,confirm,,,
2019-10-31,MKTX,exit,missing_from_candidate_book,confirm,,,
2019-10-31,HEI,exit,stale_leader_review_exit,winner,,,
2019-10-31,MU,hold,hold,confirm,0.7244883815726851,0,0.0133857338792156
2019-10-31,KLAC,hold,hold,confirm,0.8156071386301399,0,0.2118766779675897
2019-10-31,SYY,hold,hold,confirm,1.2490839918679535,0,0.0045461999719623
2019-10-31,AAPL,enter,monster_scout,scout,1.3444060203007206,0,0.2340296068613007
2019-10-31,VST,enter,monster_scout,scout,1.1159144156189018,0,0.0045461999719623
2019-10-31,J,enter,monster_scout,scout,1.050473322122031,0,0.24938234565278
2019-11-29,MU,hold,hold,confirm,0.7525559929764889,0,0.0887855024560437
2019-11-29,KLAC,hold,watch_stale,confirm,0.051182148636692515,1,0.0887855024560437
2019-11-29,SYY,hold,hold,confirm,0.573173367786375,0,0.0887855024560437
2019-11-29,AAPL,hold,hold,confirm,1.0534725165209728,0,0.2829672567476265
2019-11-29,VST,hold,watch_stale,scout,-0.13469129493457996,1,0.0887855024560437
2019-11-29,J,hold,watch_stale,scout,-0.0315470649271169,1,0.0887855024560437
2019-11-29,DPZ,enter,monster_scout,scout,1.2337122952419897,0,0.0887855024560437
2019-12-31,MU,hold,hold,winner,1.0089041590308727,0,0.2767563076993157
2019-12-31,KLAC,hold,hold,confirm,0.4474044054481158,0,0.266377486221033
2019-12-31,SYY,hold,hold,confirm,0.6697158167009934,0,0.2348553780376331
2019-12-31,AAPL,hold,hold,winner,0.8580992118981179,0,0.4610705564307896
2019-12-31,VST,exit,stale_leader_review_exit,scout,,,
2019-12-31,J,exit,stale_leader_review_exit,scout,,,
2019-12-31,DPZ,hold,hold,confirm,0.9142689079490983,0,0.2348553780376331
