rank,ticker,target_weight,regime_state,row_type
1,NVDA,0.09624663659396739,neutral,equity
2,GEV,0.06999999999999999,neutral,equity
3,VRT,0.06999999999999999,neutral,equity
4,FIX,0.06999999999999999,neutral,equity
5,WELL,0.06999999999999999,neutral,equity
6,FTI,0.06999999999999999,neutral,equity
7,ENB,0.06999999999999999,neutral,equity
8,PR,0.039999999999999994,neutral,equity
9,MLI,0.039999999999999994,neutral,equity
10,ECG,0.039999999999999994,neutral,equity
11,TKR,0.039999999999999994,neutral,equity
12,LRCX,0.036356832602814616,neutral,equity
13,GLW,0.036356832602814616,neutral,equity
14,TER,0.02623622549889409,neutral,equity
15,ON,0.02623622549889409,neutral,equity
16,AMKR,0.02623622549889409,neutral,equity
17,ONTO,0.026214891267060066,neutral,equity
18,ENTG,0.02611613043666094,neutral,equity
19,CASH,0.12000000000000022,neutral,cash
