book,rebalance_date,top_tickers,top_weights,n_positions,cash_estimate,entered_top,left_top
concentrated_grid_presence,2019-04-30,"FDS,NOW,VICI,MKTX,GPK,GDDY,FAST,TSCO","0.5000,0.5000,0.3249,0.2149,0.1722,0.1225,0.1209,0.0885",10,0.0,"FAST,FDS,GDDY,GPK,MKTX,NOW,TSCO,VICI",
concentrated_grid_presence,2019-05-31,"NOW,FDS,MA,PEG,VICI,TSCO,MKTX,GPK","1.0000,0.5148,0.5000,0.5000,0.3215,0.2500,0.2291,0.1625",13,0.0,"MA,PEG","FAST,GDDY"
concentrated_grid_presence,2019-06-28,"NOW,FDS,MA,VEEV,VICI,TSCO,MKTX,GPK","1.0000,0.5151,0.5000,0.5000,0.3131,0.2500,0.2356,0.1674",14,0.0,VEEV,PEG
concentrated_grid_presence,2019-07-31,"MA,V,TSCO,VEEV,ORLY,WRB,AVGO,CBRE","1.0000,0.5000,0.5000,0.4959,0.2500,0.1667,0.1598,0.1312",17,0.0,"AVGO,CBRE,ORLY,V,WRB","FDS,GPK,MKTX,NOW,VICI"
concentrated_grid_presence,2019-08-30,"V,BKNG,TSCO,ORLY,AEP,WRB,LRCX,CBRE","1.0000,0.5000,0.4788,0.2531,0.2500,0.1718,0.1667,0.1279",17,0.0,"AEP,BKNG,LRCX","AVGO,MA,VEEV"
concentrated_grid_presence,2019-09-30,"V,BKNG,AEP,LRCX,ORLY,DUK,WRB,CBRE","1.0000,0.5132,0.5000,0.2749,0.2738,0.1943,0.1794,0.1336",19,0.0,DUK,TSCO
concentrated_grid_presence,2019-10-31,"V,BKNG,ORLY,LRCX,CBRE,DUK,LPX,WU","0.5000,0.5000,0.2500,0.1667,0.1323,0.1016,0.0983,0.0783",10,0.0,"LPX,WU","AEP,WRB"
concentrated_grid_presence,2019-11-29,"V,MA,CPRT,BKNG,ORLY,BIO,LRCX,CBRE","1.0000,0.5000,0.5000,0.4780,0.2531,0.2500,0.1667,0.1408",16,0.0,"BIO,CPRT,MA","DUK,LPX,WU"
concentrated_grid_presence,2019-12-31,"V,MA,LRCX,BKNG,CPRT,ORLY,AVGO,CBRE","1.0000,0.5000,0.5000,0.4930,0.3214,0.2427,0.1667,0.1443",17,0.0,AVGO,BIO
concentrated_grid_presence,2020-01-31,"LRCX,MA,CPRT,JD,AVGO,V,CP,LAMR","1.0000,0.5116,0.3357,0.1667,0.1525,0.1260,0.1250,0.0941",14,0.0,"CP,JD,LAMR","BKNG,CBRE,ORLY"
concentrated_grid_presence,2020-02-28,"MA,LRCX,RNG,JD,NVDA,CPRT,CP,TT","1.0000,0.5133,0.5000,0.1874,0.1667,0.1330,0.1212,0.0985",13,0.0,"NVDA,RNG,TT","AVGO,LAMR,V"
concentrated_grid_presence,2020-03-31,"MA,JD,VEEV,NVDA,NOW,QGEN,VRTX,JKHY","0.5000,0.5000,0.2602,0.1920,0.1250,0.0833,0.0833,0.0630",11,0.0,"JKHY,NOW,QGEN,VEEV,VRTX","CP,CPRT,LRCX,RNG,TT"
concentrated_grid_presence,2020-04-30,"NVDA,AMZN,SE,FTNT,BIO,NOW,TSCO,RNG","0.5000,0.5000,0.5000,0.2901,0.2209,0.1325,0.1313,0.0898",10,0.0,"AMZN,BIO,FTNT,RNG,SE,TSCO","JD,JKHY,MA,QGEN,VEEV,VRTX"
concentrated_grid_presence,2020-05-29,"AMZN,SE,NVDA,VEEV,FTNT,V,BIO,NOW","1.0000,0.5865,0.5045,0.3972,0.3047,0.2703,0.2030,0.1961",16,0.0,"V,VEEV","RNG,TSCO"
concentrated_grid_presence,2020-06-30,"AMZN,SE,NVDA,NOW,MELI,ETSY,FTNT,ZTO","1.0000,0.6300,0.5073,0.5000,0.5000,0.3000,0.2707,0.1920",17,0.0,"ETSY,MELI,ZTO","BIO,V,VEEV"
concentrated_grid_presence,2020-07-31,"NOW,MELI,NVDA,MNST,ETSY,MA,ZTO,CTAS","1.0000,0.5106,0.5094,0.4020,0.3073,0.2528,0.1765,0.1583",16,0.0,"CTAS,MA,MNST","AMZN,FTNT,SE"
concentrated_grid_presence,2020-08-31,"MELI,NVDA,MA,SE,META,MNST,JD,BIO","1.0000,0.5411,0.5000,0.5000,0.5000,0.3703,0.3000,0.2666",16,0.0,"BIO,JD,META,SE","CTAS,ETSY,NOW,ZTO"
concentrated_grid_presence,2020-09-30,"NVDA,SE,BIO,CPRT,MA,MNST,JD,NOW","0.5665,0.5213,0.5000,0.5000,0.4991,0.3620,0.3104,0.2500",18,0.0,"CPRT,NOW","MELI,META"
concentrated_grid_presence,2020-10-30,"CPRT,GOOG,CBRE,LRCX,XPO,LEA,DLB,AEP","0.5000,0.5000,0.2785,0.1802,0.1522,0.1040,0.0966,0.0730",10,0.0,"AEP,CBRE,DLB,GOOG,LEA,LRCX,XPO","BIO,JD,MA,MNST,NOW,NVDA,SE"
concentrated_grid_presence,2020-11-30,"CPRT,GOOG,LRCX,CBRE,TECH,XPO,DLB,LEA","1.0000,0.5125,0.5000,0.3070,0.1667,0.1583,0.1254,0.1068",16,0.0,TECH,AEP
concentrated_grid_presence,2020-12-31,"CPRT,LRCX,TWLO,GOOG,CBRE,XPO,PANW,Z","1.0000,0.5000,0.5000,0.4858,0.2990,0.1668,0.1667,0.1250",16,0.0,"PANW,TWLO,Z","DLB,LEA,TECH"
concentrated_grid_presence,2021-01-29,"LRCX,TWLO,NVDA,AMAT,GOOG,TECH,PANW,QGEN","1.0000,0.5111,0.5000,0.5000,0.2857,0.1762,0.1644,0.1450",15,0.0,"AMAT,NVDA,QGEN,TECH","CBRE,CPRT,XPO,Z"
concentrated_grid_presence,2021-02-26,"NVDA,AMAT,LRCX,DXCM,GOOG,TECH,SAM,QGEN","1.0000,0.5351,0.5000,0.5000,0.2812,0.1750,0.1613,0.1232",17,0.0,"DXCM,SAM","PANW,TWLO"
concentrated_grid_presence,2021-03-31,"LRCX,NVDA,AMAT,GOOGL,GOOG,ORLY,SAM,WSM","1.0000,1.0000,0.5728,0.5000,0.2743,0.2500,0.1833,0.1772",23,0.0,"GOOGL,ORLY,WSM","DXCM,QGEN,TECH"
concentrated_grid_presence,2021-04-30,"NVDA,ORLY,GOOG,WSM,CSX,TSCO,FTNT,SITE","0.5000,0.5000,0.2500,0.1667,0.1260,0.0922,0.0866,0.0685",10,0.0,"CSX,FTNT,SITE,TSCO","AMAT,GOOGL,LRCX,SAM"
concentrated_grid_presence,2021-05-28,"NVDA,CRWD,ORLY,GOOG,NDAQ,FTNT,WSM,CSX","1.0000,0.5000,0.4735,0.3005,0.2259,0.1650,0.1615,0.1222",15,0.0,"CRWD,NDAQ","SITE,TSCO"
concentrated_grid_presence,2021-06-30,"NVDA,ABT,ORLY,GOOGL,NOW,GOOG,NET,WSM","1.0000,0.5000,0.4342,0.3124,0.2229,0.2201,0.1632,0.1336",17,0.0,"ABT,GOOGL,NET,NOW","CRWD,CSX,FTNT,NDAQ"
concentrated_grid_presence,2021-07-30,"ABT,MA,DXCM,NVDA,GOOGL,NOW,NET,FTNT","1.0000,0.5000,0.5000,0.4813,0.3308,0.2279,0.1721,0.1189",14,0.0,"DXCM,FTNT,MA","GOOG,ORLY,WSM"
concentrated_grid_presence,2021-08-31,"DXCM,LRCX,GOOGL,HUBS,ABT,MA,NVDA,BIO","0.5278,0.5000,0.5000,0.2362,0.1922,0.1868,0.1721,0.1340",15,0.0,"BIO,HUBS,LRCX","FTNT,NET,NOW"
