rebalance_date,diagnostic_flags,regime_label,previous_regime_label,macro_risk_state,regime_state,cash_weight,cash_target_used,cash_raise_confirmation_count,drawdown_before_month,drawdown_after_month,recommended_action
2019-04-30,possible_cash_drag;unconfirmed_cash_raise,balanced,,green,bull,0.2593987057760962,0.0,0,0.0,-0.0111733757547468,favor_core_compounders_long_hold
2021-03-31,possible_cash_drag;unconfirmed_cash_raise,growth_reentry_alert,risk_off_alert,recovery,bull,0.2620221311612166,0.0,0,-0.0109538972587174,0.0,staged_reentry_scout_then_scale_confirmed_new_leaders
2021-08-31,late_risk_alert;unconfirmed_cash_raise,balanced,balanced,green,bull,0.2606886527639434,0.0,0,0.0,-0.0557135343592934,favor_core_compounders_long_hold
2021-10-29,possible_cash_drag;unconfirmed_cash_raise,growth_reentry_alert,risk_off_alert,recovery,bull,0.2729955327311639,0.0,0,0.0,0.0,staged_reentry_scout_then_scale_confirmed_new_leaders
2021-12-31,late_risk_alert;unconfirmed_cash_raise,balanced,balanced,green,bull,0.5956931193736061,0.0,0,0.0,-0.0725395242731378,favor_core_compounders_long_hold
2022-01-31,late_risk_alert;balanced_under_drawdown,balanced,balanced,yellow,neutral,0.1738226725133533,0.0,1,-0.0725395242731378,-0.0806178419566856,slow_new_buys_scout_only_require_confirmation
2022-02-28,balanced_under_drawdown,balanced,balanced,yellow,bear,0.0964618760047311,0.0,1,-0.0806178419566856,-0.0408833888526502,slow_new_buys_scout_only_require_confirmation
2022-03-31,late_risk_alert;premature_growth_reentry;unconfirmed_cash_raise,growth_reentry_alert,balanced,green,neutral,0.7485312643179943,0.0,0,-0.0408833888526502,-0.1022385900797919,favor_core_compounders_long_hold
2022-05-31,balanced_under_drawdown,balanced,risk_off_alert,red,bear,0.613907520185081,0.0,2,-0.1010851463213091,-0.1566851905098409,defend_half_trim_stale_leaders_no_tactical_new_buys
2022-06-30,balanced_under_drawdown,balanced,balanced,red,bear,0.0866646354355671,0.0,2,-0.1566851905098409,-0.1137150096284695,defend_half_trim_stale_leaders_no_tactical_new_buys
2022-07-29,balanced_under_drawdown,balanced,balanced,yellow,bear,0.1435907415432198,0.0,1,-0.1137150096284695,-0.1314769899498571,slow_new_buys_scout_only_require_confirmation
2022-08-31,balanced_under_drawdown,balanced,balanced,red,bear,0.1655164220886074,0.0,2,-0.1314769899498571,-0.1683711249724014,defend_half_trim_stale_leaders_no_tactical_new_buys
2022-09-30,balanced_under_drawdown,balanced,balanced,crisis,bear,0.0401496608208165,0.0,3,-0.1683711249724014,-0.0877145860418257,raise_cash_exit_distribution_only_hold_best_structural_winners
2022-10-31,balanced_under_drawdown,balanced,balanced,yellow,bear,0.1046501111961958,0.0,1,-0.0877145860418257,-0.0790183490085465,slow_new_buys_scout_only_require_confirmation
2022-11-30,late_risk_alert;balanced_under_drawdown,balanced,balanced,green,neutral,0.1655430563668319,0.0,0,-0.0790183490085465,-0.1136744469384445,favor_early_scout_turnaround_accumulation
2022-12-30,late_risk_alert;balanced_under_drawdown,balanced,balanced,yellow,bear,0.0548353999048885,0.0,1,-0.1136744469384445,-0.0808643856537611,slow_new_buys_scout_only_require_confirmation
2023-01-31,late_risk_alert;balanced_under_drawdown,balanced,balanced,green,neutral,0.0763672394475759,0.0,0,-0.0808643856537611,-0.0986241955351679,favor_future_winners_and_monster_breakouts
2023-02-28,late_risk_alert;balanced_under_drawdown,balanced,balanced,green,neutral,0.0831162024051429,0.0,0,-0.0986241955351679,-0.0691119819683966,favor_core_compounders_long_hold
2023-03-31,late_risk_alert,balanced,balanced,green,bull,0.1616278623994801,0.0,0,-0.0691119819683966,-0.0571474086318555,favor_future_winners_and_monster_breakouts
2023-04-28,unconfirmed_cash_raise,balanced,balanced,green,neutral,0.2594747540864057,0.0,0,-0.0571474086318555,-0.0207332445650924,favor_core_compounders_long_hold
2023-08-31,late_risk_alert;unconfirmed_cash_raise,balanced,balanced,green,bull,0.4491015352984045,0.0,0,0.0,-0.0631399944874284,favor_core_compounders_long_hold
2024-03-28,unconfirmed_cash_raise,balanced,balanced,green,strong_bull,0.3342985203123589,0.0,0,0.0,-0.0487419130341756,favor_core_compounders_long_hold
2024-06-28,possible_cash_drag;unconfirmed_cash_raise,balanced,balanced,green,neutral,0.2771334639304491,0.0,0,0.0,-0.0131151703046956,favor_core_compounders_long_hold
2024-11-29,unconfirmed_cash_raise,growth_reentry_alert,balanced,recovery,bull,0.3306777314619773,0.0,0,0.0,-0.0413925256769745,staged_reentry_scout_then_scale_confirmed_new_leaders
2025-06-30,possible_cash_drag;unconfirmed_cash_raise,balanced,balanced,green,bull,0.2694677368780315,0.0,0,0.0,0.0,favor_future_winners_and_monster_breakouts
2025-10-31,unconfirmed_cash_raise,balanced,balanced,green,neutral,0.5324308370743834,0.0,0,0.0,-0.0231753504599985,favor_core_compounders_long_hold
2026-01-30,possible_cash_drag;unconfirmed_cash_raise,balanced,balanced,green,neutral,0.2960821269037602,0.0,0,0.0,0.0,favor_core_compounders_long_hold
