ticker,trade_count,win_rate,compound_realized_return,avg_realized_return,best_trade_return,worst_trade_return,avg_alpha_vs_benchmark,avg_holding_days,max_holding_days,dominant_exit_reason,churn_tag
NVDA,6,0.8333333333333334,8.814041478768836,0.5451316131743352,1.2188868152418806,-0.0799999999999999,0.43281714468209936,173.5,335.0,scheduled_rebalance,normal
LRCX,10,0.6,2.8398967620111697,0.18465298679964906,0.8735197066278955,-0.187339415268778,0.16731287224591584,96.2,241.0,scheduled_rebalance,normal
SHOP,6,0.8333333333333334,2.738024979920501,0.339127517474384,1.6325450293223676,-0.0799999999999999,0.28375402029792113,97.0,186.0,scheduled_rebalance,normal
SE,3,1.0,2.6980164310848718,0.7353419730602143,1.976433396050384,0.0963953757953779,0.6282364509971684,113.0,186.0,scheduled_rebalance,normal
ORLY,9,0.8888888888888888,1.9916124969779339,0.14035335093304485,0.3574630460784289,-0.0799999999999999,0.06891972718834799,118.55555555555556,337.0,scheduled_rebalance,normal
TSLA,4,0.75,1.896282809723275,0.34218172341114983,0.5870200541201764,-0.1410227766743048,0.3417645576161517,46.0,92.0,scheduled_rebalance,profitable_reentry_churn
AVGO,7,0.42857142857142855,1.7667284751472763,0.21553142993168756,1.016203813999398,-0.1576481361810153,0.19549708812246894,131.14285714285714,368.0,scheduled_rebalance,normal
NOW,9,0.7777777777777778,1.3577930611450815,0.11993869603438823,0.6737972483963153,-0.144432023990788,0.06889484335148828,91.55555555555556,215.0,scheduled_rebalance,normal
ADBE,3,1.0,1.1290968325518183,0.29793072790864256,0.5276014425653837,0.1058740271965299,0.2387180073667745,100.66666666666667,182.0,scheduled_rebalance,normal
MRNA,1,1.0,1.0885191319449867,1.0885191319449867,1.0885191319449867,1.0885191319449867,0.851631862161542,30.0,30.0,scheduled_rebalance,normal
GOOGL,7,0.5714285714285714,1.0849490055829691,0.13335941331662818,0.573042613966984,-0.1331071956838223,0.0911883205854335,117.57142857142857,211.0,scheduled_rebalance,normal
AMAT,6,0.8333333333333334,1.084352761196547,0.1490812163211563,0.5649493957061167,-0.0799999999999999,0.09672388583230185,80.83333333333333,274.0,scheduled_rebalance,normal
