rebalance_date,net_return,drawdown,regime_state
2019-04-30,-0.1875317556370483,-0.4309926359221894,
2018-11-30,-0.15489756631686563,-0.3031426229954618,
2022-05-31,-0.14917979317102317,-0.23843240823349565,
2018-09-28,-0.13296947792894667,-0.19701614388408628,
2020-02-28,-0.12398360819519892,-0.43060927615574995,
2025-03-31,-0.11321432050617103,-0.22112184851122085,
2022-11-30,-0.1034592183336564,-0.20957854640355,
2020-08-31,-0.10179818925254647,-0.10179818925254647,
2023-07-31,-0.10002336183116525,-0.21371997466150006,
2021-08-31,-0.09698419714031709,-0.09698419714031714,
