ticker,side,reason,risk_rule_action,signal_date,fill_date,fill_price,sell_fraction,portfolio_kind,price_return,drawdown_from_peak,benchmark_return,relative_return,protected,quantity,gross_value,fee_usd,cash_after,shares_after
W,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-05-03,2019-05-06,151.82000732421875,1.0,main,-0.08995286225697952,-0.08995286225697952,0.007607667222750525,-0.096823925277022,False,23.0,3491.8601684570312,8.729650421142578,4636.8791592144935,0.0
AVGO,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-05-13,2019-05-14,25.191450119018555,1.0,main,-0.08002488622018411,-0.08002488622018411,-0.03752468419897814,-0.044157186499723444,False,255.0,6423.819780349731,16.05954945087433,11044.63939011335,0.0
KEYS,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-05-20,2019-05-21,75.36000061035156,1.0,main,-0.13160963162624817,-0.15445682353646573,-0.02693529344157808,-0.10757181663168824,False,33.0,2486.8800201416016,6.217200050354004,13525.302210204598,0.0
ADBE,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-06-03,2019-06-04,268.7099914550781,1.0,main,-0.08583026927952131,-0.0929686569133944,-0.05907914151809712,-0.028430794705289975,False,15.0,4030.649871826172,10.07662467956543,31379.328250269904,0.0
ORLY,SELL,weekly_relative_trim,weekly_relative_trim,2019-06-21,2019-06-24,25.03266716003418,0.5,main,0.0054780844892448055,-0.030131963538845508,0.07597311186603051,-0.06551746191364216,False,53.0,1326.7313594818115,3.316828398704529,32702.742781353012,53.0
AVGO,SELL,weekly_relative_trim,weekly_relative_trim,2019-07-05,2019-07-08,23.155799865722656,0.5,main,-0.05889798281532943,-0.05889798281532943,0.009470343118921365,-0.06772692868124863,False,77.0,1782.9965896606445,4.457491474151611,1834.042826128005,78.0
PEG,SELL,weekly_relative_trim,weekly_relative_trim,2019-07-05,2019-07-08,47.543067932128906,0.5,main,0.011237612150712284,-0.025519206743948808,0.09229518612382481,-0.07420848778136391,False,2.0,95.08613586425781,0.23771533966064454,1928.8912466526021,3.0
AVGO,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-07-08,2019-07-09,23.203800201416016,1.0,main,-0.08453480692846294,-0.08453480692846294,0.003923646142534709,-0.08811272989822427,False,78.0,1809.8964157104492,4.524741039276123,3734.262921323775,0.0
CMS,SELL,weekly_relative_trim,weekly_relative_trim,2019-07-12,2019-07-15,47.633018493652344,0.5,main,0.027719417972854155,-0.009636647483533212,0.10030970719181642,-0.0659725973010139,False,2.0,95.26603698730469,0.23816509246826173,3829.2907932186117,3.0
XYZ,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-08-02,2019-08-05,64.8499984741211,1.0,main,-0.1405285800329389,-0.1405285800329389,-0.0075296295284145165,-0.13400798095496613,False,34.0,2204.899948120117,5.512249870300293,2229.215689935678,0.0
UNH,SELL,weekly_relative_trim,weekly_relative_trim,2019-08-09,2019-08-12,216.97451782226562,0.5,main,0.002314724486317088,-0.067579101616556,0.06726259324050776,-0.06085462862236257,False,11.0,2386.719696044922,5.966799240112305,4609.968586740488,12.0
ORCL,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-08-14,2019-08-15,47.69785690307617,1.0,main,-0.0895616780700419,-0.12665335065117422,-0.03977523585206866,-0.05184873800057832,False,141.0,6725.39782333374,16.81349455833435,11318.552915515895,0.0
EL,SELL,weekly_relative_trim,weekly_relative_trim,2019-08-16,2019-08-19,184.9608612060547,0.5,main,-0.009281365167864819,-0.06685421486704213,0.057125039027251745,-0.06281792762776917,False,10.0,1849.6086120605469,4.624021530151367,13163.53750604629,10.0
UNH,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-08-27,2019-08-28,202.83370971679688,1.0,main,-0.10129082365421604,-0.16395998470117223,0.04987832380937807,-0.14398730218097278,False,12.0,2434.0045166015625,6.085011291503906,15591.45701135635,0.0
SHOP,SELL,daily_trailing_stop_exit,daily_trailing_stop_exit,2019-09-10,2019-09-11,34.750999450683594,1.0,main,0.1848408399979682,-0.1713801829018824,0.09108752363612527,0.08592648557597227,False,93.0,3231.842948913574,8.079607372283936,3639.197522163384,0.0
ADBE,SELL,weekly_relative_trim,weekly_relative_trim,2019-09-13,2019-09-16,282.92999267578125,0.5,main,-0.06070728765244793,-0.10576022126151807,0.018365765463339123,-0.07764700640718236,False,10.0,2829.2999267578125,7.073249816894531,6461.424199104302,10.0
AMGN,SELL,weekly_relative_trim,weekly_relative_trim,2019-09-13,2019-09-16,159.1806640625,0.5,main,-0.048900174029542054,-0.059018790112563724,0.03559905449523515,-0.08159454004712596,False,20.0,3183.61328125,7.959033203125,9637.078447151176,20.0
NOW,SELL,weekly_relative_trim,weekly_relative_trim,2019-09-13,2019-09-16,52.22999954223633,0.5,main,-0.051066355888727766,-0.16655094455427089,0.03681994378794062,-0.08476524800977758,False,73.0,3812.789966583252,9.53197491645813,13440.336438817969,74.0
ADBE,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-09-24,2019-09-25,277.42999267578125,1.0,main,-0.08054937715806065,-0.12465059004215318,0.005331757337366572,-0.08542566557619191,False,10.0,2774.2999267578125,6.935749816894531,16207.700615758888,0.0
NOW,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-10-22,2019-10-23,44.00199890136719,1.0,main,-0.11206888424716244,-0.24468264517215443,0.03441218229796106,-0.14160802536152828,False,162.0,7128.323822021484,17.82080955505371,7403.528408012384,0.0
SBUX,SELL,weekly_relative_trim,weekly_relative_trim,2019-10-25,2019-10-28,72.35723114013672,0.5,main,-0.03618079607472047,-0.03840388223102231,0.028509010344129004,-0.0628966841984252,False,10.0,723.5723114013672,1.808930778503418,8125.291788635248,11.0
EL,SELL,weekly_relative_exit,weekly_relative_exit,2019-11-01,2019-11-04,167.06248474121094,1.0,main,-0.015425334375730682,-0.09877798717120267,0.1255762322447982,-0.1252705614965961,False,1.0,167.06248474121094,0.41765621185302737,305.16391186236774,0.0
SHOP,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2019-11-07,2019-11-08,29.763999938964844,1.0,main,-0.09789745466268629,-0.09789745466268629,0.006663708477470109,-0.10386901033543772,False,62.0,1845.3679962158203,4.613419990539551,2145.9184880876483,0.0
AEP,SELL,weekly_relative_trim,weekly_relative_trim,2019-11-08,2019-11-11,70.50303649902344,0.5,main,-0.0353069256272589,-0.062337787366332775,0.06750607174310197,-0.09631139352910689,False,1.0,70.50303649902344,0.1762575912475586,2216.245266995424,1.0
BKNG,SELL,weekly_relative_trim,weekly_relative_trim,2019-11-08,2019-11-11,74.45076751708984,0.5,main,-0.055380692514665264,-0.09543023210463941,0.06750607174310197,-0.11511575204168045,False,78.0,5807.159866333008,14.51789966583252,8008.887233662599,78.0
DUK,SELL,weekly_relative_trim,weekly_relative_trim,2019-11-08,2019-11-11,67.68150329589844,0.5,main,-0.042877699708027794,-0.0743028386236716,0.06750607174310197,-0.10340341321983026,False,41.0,2774.941635131836,6.93735408782959,10776.891514706605,42.0
MDT,SELL,weekly_relative_trim,weekly_relative_trim,2019-11-08,2019-11-11,89.646728515625,0.5,main,-0.011915847120871903,-0.017171423068060965,0.05353965135055039,-0.06212912668973947,False,33.0,2958.342041015625,7.395855102539063,13727.837700619692,33.0
PG,SELL,weekly_relative_trim,weekly_relative_trim,2019-11-08,2019-11-11,101.27273559570312,0.5,main,-0.01347709740896541,-0.04194022391316887,0.06750607174310197,-0.07586202204904757,False,33.0,3342.000274658203,8.355000686645507,17061.48297459125,33.0
BKNG,SELL,weekly_relative_exit,weekly_relative_exit,2019-11-15,2019-11-18,72.17292785644531,1.0,main,-0.07064686585232904,-0.110049157171355,0.07735432599738057,-0.13737466706943868,False,78.0,5629.488372802734,14.073720932006836,22676.897626461978,0.0
DUK,SELL,weekly_relative_exit,weekly_relative_exit,2019-11-22,2019-11-25,68.4117660522461,1.0,main,-0.06277354919617195,-0.09354544888228478,0.07448615572999184,-0.12774450763668643,False,42.0,2873.294174194336,7.18323543548584,25543.00856522083,0.0
MA,SELL,weekly_relative_exit,weekly_relative_exit,2019-12-06,2019-12-09,278.5852966308594,1.0,main,0.017139522185219525,-0.0062618156025386895,0.15767367535754695,-0.12139358107881615,False,30.0,8357.558898925781,20.893897247314452,8555.922853784576,0.0
BIO,SELL,weekly_relative_trim,weekly_relative_trim,2019-12-13,2019-12-16,366.8900146484375,0.5,main,-0.04589969300143437,-0.05232500387790162,0.018226386840983988,-0.06297821454162811,False,2.0,733.780029296875,1.8344500732421876,9287.868433008209,3.0
LPX,SELL,weekly_relative_trim,weekly_relative_trim,2019-12-13,2019-12-16,26.0466365814209,0.5,main,-0.04149392772474414,-0.04650386185874911,0.03651924025107478,-0.07526456330605291,False,23.0,599.0726413726807,1.4976816034317018,9885.443392777457,24.0
ORCL,SELL,weekly_relative_trim,weekly_relative_trim,2019-12-20,2019-12-23,48.93092727661133,0.5,main,0.01615119932380149,-0.057830871090592595,0.11369387514907592,-0.08758481841539956,False,30.0,1467.9278182983398,3.66981954574585,11349.70139153005,30.0
COST,SELL,weekly_relative_trim,weekly_relative_trim,2019-12-27,2019-12-30,269.0760192871094,0.5,main,-0.006687493909309006,-0.036368292531790414,0.059800730003338964,-0.06273653341646457,False,1.0,269.0760192871094,0.6726900482177735,11618.104720768943,2.0
DIS,SELL,weekly_relative_trim,weekly_relative_trim,2019-12-27,2019-12-30,140.4622039794922,0.5,main,-0.026535369365715544,-0.026535369365715544,0.041096996734323765,-0.06496259840551466,False,17.0,2387.857467651367,5.969643669128418,13999.992544751181,18.0
JKHY,SELL,weekly_relative_trim,weekly_relative_trim,2019-12-27,2019-12-30,134.75425720214844,0.5,main,-0.025458847568647913,-0.029715547601347647,0.041096996734323765,-0.06392857198872126,False,10.0,1347.5425720214844,3.368856430053711,15344.166260342612,11.0
DIS,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-01-27,2020-01-28,135.1864471435547,1.0,main,-0.08711458917421533,-0.09232369560155917,0.04316072496355239,-0.1248851792635497,False,41.0,5542.644332885742,13.856610832214356,5902.484906659142,0.0
PAYC,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-02-06,2020-02-07,286.9200439453125,1.0,main,-0.10127686369468236,-0.13924916291098988,0.03042074598378841,-0.12780954788787102,False,9.0,2582.2803955078125,6.455700988769531,3472.5161444640207,0.0
TSLA,SELL,daily_trailing_stop_exit,daily_trailing_stop_exit,2020-02-06,2020-02-07,49.871334075927734,1.0,main,0.1504446342898691,-0.15568279097231885,0.028042028968077393,0.11906381438962788,False,141.0,7031.858104705811,17.579645261764526,10486.794603908067,0.0
BABA,SELL,weekly_relative_trim,weekly_relative_trim,2020-02-21,2020-02-24,195.78912353515625,0.5,main,0.010354094719455587,-0.07762065024670106,0.07534250189332115,-0.0604350772516129,False,14.0,2741.0477294921875,6.852619323730469,13220.989714076524,15.0
PCTY,SELL,weekly_relative_trim,weekly_relative_trim,2020-02-21,2020-02-24,136.52999877929688,0.5,main,-0.03746873493919778,-0.07371790659106148,0.028878191011207033,-0.0644847237797872,False,10.0,1365.2999877929688,3.413249969482422,14582.87645190001,10.0
PCTY,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-02-27,2020-02-28,129.52000427246094,1.0,main,-0.10102690849215379,-0.1348824632022816,-0.08209932541553011,-0.02062051330901582,False,10.0,1295.2000427246094,3.2380001068115236,15874.838494517808,0.0
CPRT,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-03,2020-03-04,21.747499465942383,1.0,main,-0.08501996796605493,-0.19846887907913424,-0.031843655007526395,-0.05492533642274677,False,146.0,3175.134922027588,7.93783730506897,34349.4305531764,0.0
PAYC,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-06,2020-03-09,235.4165496826172,1.0,main,-0.0830595450487771,-0.08846093211583261,-0.03762674768463625,-0.04720912312851022,False,7.0,1647.9158477783203,4.119789619445801,35993.226611335274,0.0
XYZ,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-06,2020-03-09,65.7300033569336,1.0,main,-0.09396308420858102,-0.09396308420858102,-0.03762674768463625,-0.05853896748315246,False,31.0,2037.6301040649414,5.094075260162354,38025.762640140056,0.0
ADBE,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-09,2020-03-10,332.3800048828125,1.0,main,-0.14912220456374536,-0.20217593008028545,-0.15392467011299737,0.005676167806350607,False,33.0,10968.540161132812,27.421350402832033,48966.88145087004,0.0
AMD,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-09,2020-03-10,45.380001068115234,1.0,main,-0.08828484423801464,-0.13649970204101147,-0.11278257550409254,0.027611868962105657,False,51.0,2314.380054473877,5.785950136184693,51275.47555520773,0.0
BKNG,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-09,2020-03-10,61.216400146484375,1.0,main,-0.11635779785584244,-0.11796464333343692,-0.11278257550409254,-0.004029702588157824,False,42.0,2571.0888061523438,6.427722015380859,53840.136639344695,0.0
MA,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-09,2020-03-10,270.7638244628906,1.0,main,-0.14473754706148112,-0.23958080658594838,-0.15587782739522382,0.01319747389097281,False,31.0,8393.67855834961,20.984196395874022,62212.83100129843,0.0
MSFT,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-09,2020-03-10,152.8589630126953,1.0,main,-0.09198418400072172,-0.1996218062103815,-0.09982923911325359,0.00871507435411889,False,48.0,7337.230224609375,18.343075561523438,69531.71815034628,0.0
NOW,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-09,2020-03-10,62.560001373291016,1.0,main,-0.15188731711688186,-0.1535340754159692,-0.11278257550409254,-0.04407571417458078,False,76.0,4754.560104370117,11.886400260925294,74274.39185445548,0.0
RNG,SELL,daily_trailing_stop_exit,daily_trailing_stop_exit,2020-03-09,2020-03-10,213.48826599121094,1.0,main,0.2843654374181688,-0.15800469156311847,-0.09982923911325359,0.42680199493811277,False,12.0,2561.8591918945312,6.404647979736328,76829.84639837027,0.0
TSLA,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-09,2020-03-10,43.02199935913086,1.0,main,-0.18237814317379697,-0.18879254678908108,-0.11278257550409254,-0.07844251673624048,False,107.0,4603.353931427002,11.508384828567506,81421.6919449687,0.0
AMT,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-12,2020-03-13,200.52420043945312,1.0,main,-0.0952024160147088,-0.1344272869244204,-0.1972888287662049,0.12717701759972488,False,13.0,2606.8146057128906,6.517036514282227,84021.9895141673,0.0
BABA,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-12,2020-03-13,184.24082946777344,1.0,main,-0.12069070603561671,-0.19689340332525285,-0.19994263772357368,0.09905781188296192,False,18.0,3316.334930419922,8.290837326049806,87330.03360726118,0.0
BIO,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-12,2020-03-13,347.7900085449219,1.0,main,-0.13264670232330622,-0.17241642746708363,-0.1972888287662049,0.08052974564131388,False,7.0,2434.530059814453,6.086325149536133,89758.4773419261,0.0
DPZ,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-12,2020-03-13,293.9212951660156,1.0,main,-0.08536108594367453,-0.08536108594367453,-0.1972888287662049,0.13943713110469558,False,5.0,1469.6064758300781,3.6740161895751955,91224.40980156661,0.0
JD,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-16,2020-03-17,33.601078033447266,1.0,main,-0.10102037529641084,-0.2102196346386358,-0.25999634245915526,0.2148313262275594,False,111.0,3729.7196617126465,9.324299154281617,94944.80516412498,0.0
LRCX,SELL,daily_hard_stop_exit,daily_hard_stop_exit,2020-03-16,2020-03-17,21.334108352661133,1.0,main,-0.15444876289234488,-0.3748464189877265,-0.16715142048929932,0.015252061310373266,False,135.0,2880.104627609253,7.200261569023133,97817.7095301652,0.0
