etf,theme,label,price_status,price_date,ret_1d,ret_5d,ret_21d,ret_63d,volume_z_20d,dollar_volume_20d,holdings,attention_score
DRAM,memory_semiconductors,Roundhill Memory ETF,ok,2026-05-11,0.04318186793445622,0.296915475580549,0.6984274225327096,,5.091862858750359,901271058.3225441,"MU,SNDK,WDC,STX",2.680504569160197
XSD,semiconductors_equal_weight,SPDR S&P Semiconductor ETF,ok,2026-05-11,0.03847196344388659,0.15953737193543716,0.5517297107104382,0.5920462760524199,1.6884798128236644,55061551.096343994,"AMD,INTC,MU,MRVL,ON,MCHP,LSCC,MPWR,TER,ALAB,CRUS,ONTO",1.8431572920199724
SOXX,semiconductors_broad,iShares Semiconductor ETF,ok,2026-05-11,0.02394776526040232,0.15301045877286912,0.37806518715618886,0.5111495829888899,0.3329463513414006,3147328916.8865967,"NVDA,AVGO,AMD,MU,INTC,QCOM,MRVL,LRCX,AMAT,KLAC,MCHP,ON,MPWR",1.6876965181730805
SMH,semiconductors_broad,VanEck Semiconductor ETF,ok,2026-05-12,-0.02613176523466887,0.0737722117861177,0.26595841709766366,0.3866241388940326,2.912978471116107,4743095225.15094,"NVDA,TSM,AVGO,ASML,AMD,MU,INTC,QCOM,LRCX,AMAT,KLAC,ARM",1.4370030874045279
ARKK,innovation_beta,ARK Innovation ETF,ok,2026-05-11,0.011501466141621952,0.023009016299674556,0.15500068872654293,0.10477631256335007,-0.33491132310963356,634642734.6502686,"TSLA,COIN,ROKU,HOOD,CRSP,PATH,PLTR",-0.07504967968217137
XBI,biotech_small,SPDR Biotech ETF,ok,2026-05-11,0.00029688430064256366,0.009363295880149725,0.04102284810290713,0.0685116116710196,1.0515562108319043,1115008568.372345,"EXEL,INSM,CRSP,BEAM,EDIT",-0.08537310792457868
URA,nuclear_uranium,Global X Uranium ETF,ok,2026-05-11,0.037151127686171126,0.04491508241577802,0.12303768780235558,0.04244076414568232,0.3642282606073951,239188681.49097443,"CCJ,UEC,UUUU,LEU,NXE,DNN",-0.12976696956908912
XME,metals_mining,SPDR Metals & Mining ETF,ok,2026-05-11,0.029681720197326067,0.06480849769484132,0.0966890066307744,-0.006797027809269718,-0.031631602003789026,263035740.8316803,"MP,FCX,CLF,X,NUE,STLD,AA",-0.20846319860248957
NLR,nuclear_power,VanEck Uranium and Nuclear ETF,ok,2026-05-11,0.033858523909334526,0.015265489196477855,0.06508222227776517,-0.021958127267442062,0.8400240902269728,67897733.67599487,"CEG,BWXT,CCJ,LEU,SMR,OKLO",-0.5068060325858628
ITA,aerospace_defense,iShares U.S. Aerospace & Defense ETF,ok,2026-05-11,0.011186182552026747,0.0544021068562317,-0.01589441694036564,-0.037060585387033496,-0.4670859006487551,219728627.01446533,"RTX,LMT,NOC,GD,RKLB,KTOS,HWM",-0.5513430630947895
