policy_id,portfolio,precedence,candidate_id,policy_variant,evidence_type,source,production_ready,activation_stage,metrics_valid,invalid_reason,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,avg_turnover_monthly,delta_cagr_pp,delta_max_dd_pp,delta_sharpe,fusion_score,priority_count,diagnostic_action,autolearning_status,macro_latest_risk_state,macro_latest_style_state,dependencies,conflict_scope,notes
position_hard_stop_distribution,main,100,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,True,,False,0.21383170353333703,0.3,8.6168,-0.33188177747542924,-0.15,18.1882,1.0257189061823884,,0.0,0.0,0.0,-28.7096,153,tighten_entry_or_fast_exit,,,,Requires trade-level reason attribution before production activation.,Overrides long-hold and shakeout rules when hard exits trigger.,Historical journey found quick-loss patterns; entry gates or fast exits should be tightened.
position_hard_stop_distribution,concentrated,100,concentrated_broker_position_risk_replay,,production,sidecar:outputs/broker_position_risk_replay/concentrated/metrics.json,True,reject_current_form,True,,False,0.24054997000176925,0.5,25.945,-0.38618659773287567,-0.18,20.6187,1.0522530868628541,,-13.2944,-0.7273,-0.2257,-80.8477,,,,,,"Requires account-ledger target pass, stress review, liquidity review, and human approval before production activation.",Overrides 50% conviction sizing when a position breaks.,Concentrated hard-stop evidence near the 50% CAGR / -18% MaxDD goal.
macro_crisis_cash_ladder,main,95,,fast_reentry,monthly_proxy,outputs/crisis_reentry_replay/metrics.json#best_by_cagr,False,confirm_with_production_compatible_replay,True,,True,0.30237975252173355,0.3,0.0,-0.13643731902663936,-0.15,0.0,1.8768091111593845,0.5214166204159879,8.8548,19.5444,0.8511,70.8002,,,,,,Requires macro_policy_engine risk states and production-compatible cash accounting.,Overrides idle cash redeploy and new risk-on adds in red/crisis regimes.,Crisis cash ladder plus staged bargain re-entry.
stale_leader_trim,main,90,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,True,,False,0.21383170353333703,0.3,8.6168,-0.33188177747542924,-0.15,18.1882,1.0257189061823884,,0.0,0.0,0.0,-28.7096,4,review_trim_or_exit,,,,Requires relative-strength underperformance and no shakeout veto.,Can be delayed by shakeout_hold_veto; yields to hard exits.,Historical journey found stale leaders that should be reviewed for half-trim or exit.
shakeout_hold_veto,main,86,,,diagnostic,outputs/shakeout_breakdown_study/pattern_summary.json,False,shadow_watch,True,,False,0.21383170353333703,0.3,8.6168,-0.33188177747542924,-0.15,18.1882,1.0257189061823884,,0.0,0.0,0.0,-28.7096,1298,shakeout_veto_candidate,,,,"Needs shakeout/distribution classifier with volume, RS recovery, sector context, and fundamental deterioration flags.",Cannot override hard stops or confirmed distribution.,Protects valid shake-outs from soft stale trims; not yet hard-wired to production exits.
monster_early_staged_sizing,main,80,,,diagnostic,outputs/winner_onset_study/pattern_summary.json,False,shadow_watch,True,,False,0.21383170353333703,0.3,8.6168,-0.33188177747542924,-0.15,18.1882,1.0257189061823884,,0.0,0.0,0.0,-28.7096,29,refine_monster_entry_pattern,,,,Requires conversion from event-level onset evidence into portfolio-level challenger replay.,Can support monster staged sizing only after macro/risk/liquidity gates pass.,Winner-onset study is available to refine early monster entry patterns without ticker hardcoding.
monster_early_staged_sizing,concentrated,80,monster_lifecycle_review_concentrated,,historical_replay,sidecar:outputs/monster_lifecycle_review_concentrated/metrics.json,False,conditional_defense_only,True,,False,0.15268458042181554,0.5,34.7315,-0.26710776620914156,-0.18,8.7108,0.923217786622281,0.2817499296930825,-22.0809,11.1806,-0.3547,-82.2922,,,,,,Requires weekly/intramonth validation before production activation.,Conflicts with hard stops and macro crisis defense.,Concentrated staged monster sizing up to the 50% policy cap.
long_winner_hold_template,main,76,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,True,,False,0.21383170353333703,0.3,8.6168,-0.33188177747542924,-0.15,18.1882,1.0257189061823884,,0.0,0.0,0.0,-28.7096,147,preserve_or_repair_winner_hold,,,,"Requires structural theme, no hard distribution, and no stale-leader breakdown.","Yields to stale_leader_trim, hard stops, and crisis defense.",Historical journey found short big winners and long-winner templates that should reduce premature exits.
idle_cash_redeploy,main,70,,cash0.00_cap0.33,monthly_proxy,outputs/main_cash_drag_replay/summary.json#best_by_cagr,False,confirm_with_production_compatible_replay,True,,True,0.34801686242607976,0.3,0.0,-0.1408128731564312,-0.15,0.0,1.8225053431308806,0.496125236847269,13.4185,19.1069,0.7968,77.3595,,,,,,Blocked by macro crisis cash ladder; allowed in green/recovery regimes only.,Conflicts with crisis cash floors and confirmed monster stage funding.,Redeploy normal-market idle cash while respecting single-name caps.
style_macro_router,main,64,main_v2_historical_replay,,historical_replay,sidecar:outputs/main_v2_backtest/metrics.json,False,candidate_for_combination,True,,False,0.21420485808285794,0.3,8.5795,-0.27188732867585785,-0.15,12.1887,1.0175528427444152,0.48561022669106485,0.0373,5.9994,-0.0082,-14.4974,,,,,,Requires style-regime monthly attribution and no regression versus production.,Determines opportunity style before monster/stale rules act.,Main v2 sleeve router for core/future/early style allocation.
