rank,ticker,Name,sector,weight,score,score_model_core,score_total,score_focus_bonus,portfolio_seed_score,ensemble_weight_linear,ensemble_weight_catboost,ensemble_weight_ranker,adaptive_ensemble_active,adaptive_ensemble_history_months,adaptive_quality_linear,adaptive_quality_catboost,adaptive_quality_ranker,anticipatory_growth_score,profitability_inflection_score,dominant_archetype_label,archetype_alignment_score,portfolio_sleeve_label,portfolio_sleeve_confidence,portfolio_core_compounder_engine_score,portfolio_future_winner_engine_score,portfolio_early_scout_engine_score,portfolio_monster_slot,sage_sector,sage_composite_score,sage_g_score,sage_v_score,sage_q_score,sage_c_score,sleeve_target_core_compounder_weight,sleeve_target_future_winner_weight,sleeve_target_early_scout_weight,sleeve_invested_share,sleeve_growth_signal,sleeve_risk_signal,future_winner_regime_strength,early_scout_regime_strength,future_winner_scout_score,long_hold_compounder_score,score_future_winner_model,pred_future_winner_ret,pred_future_winner_p,strategy_blueprint_score,stagflation_score,growth_liquidity_reentry_score,m2_yoy_lag1m,fed_assets_bil,reverse_repo_bil,tga_bil,net_liquidity_bil,net_liquidity_change_1m_bil,liquidity_impulse_score,liquidity_drain_score,fear_greed_score,fear_greed_delta_1w,fear_greed_risk_off_score,fear_greed_risk_on_score,fund_join_status,fundamental_reliability_score,core_fundamental_fields_present,sector_adjusted_fields_present,partial_scout_confirmation_score,fundamental_lane_label,latest_statement_repair_used,revenues_ttm,gross_profit_ttm,op_income_ttm,net_income_ttm,op_margin_ttm,gross_margins,operating_margins,roe_proxy,roa_proxy,asset_turnover_ttm,book_to_market_proxy,capital_efficiency_score,sector_adjusted_quality_score,market_cap_live,current_price_live,return_on_equity_effective,revenue_growth_final,earnings_growth_final,forward_pe_final,peg_final,sales_growth_yoy,net_income_growth_yoy,op_income_growth_yoy,ocf_growth_yoy,sales_cagr_3y,sales_cagr_5y,net_income_cagr_3y,net_income_cagr_5y,op_income_cagr_3y,op_income_cagr_5y,ocf_cagr_3y,ocf_cagr_5y,ep_ttm,sp_ttm,fcfy_ttm,price_above_ma20,ma20_above_ma50,golden_cross_fresh_20d,death_cross_recent_20d,breakout_fresh_20d,breakout_volume_z,volume_dryup_20d,post_breakout_hold_score,held_from_prev_rebalance,prev_weight,portfolio_hold_policy_seed_bonus,portfolio_hold_policy_bonus,portfolio_hold_policy_support,portfolio_hold_policy_exit_risk,target_n,weight_cap,cash_target,prev_holdings_applied,prev_holdings_count,rebalance_action,active_rebalance_interval_months,sleeve_rebalance_interval_months,scheduled_rebalance_due,recommended_rebalance_interval_months,next_scheduled_rebalance_date,recommended_next_run_date,recommended_next_run_mode,atr14_pct,event_regime_label,live_event_alert_label,applied_regime_sleeve_policy_label,applied_regime_sleeve_live_label,applied_regime_sleeve_source_label,backtest_usable,research_only_backtest,research_only_output,entry_date,last_trade_date,thesis_status,entry_price,reference_price,shares_held,held_days,unrealized_return,manual_lock
1,GOOG,ALPHABET INC CLASS C,Communication,0.17527639920761293,6.915342082672346,4.776236257550339,6.867659428873503,0.8832975108705907,8.814441258484472,0.2656063828961051,0.4350023676010225,0.2993912495028725,True,12,-0.1845643471305052,-0.1486228812241155,-0.275825382478698,1.1060727565317274,0.46814065474301014,emerging_growth,1.0221266537278926,core_compounder,0.010113129291123327,0.7686254445636622,0.7382860566902922,0.5657019021817016,,Software,1.0364211361979225,0.41238644342242536,2.791535340161677,0.14201757776710772,1.0579843434525162,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5375902926810525,0.3326738292295318,0.2049164634515207,0.121,1.3636256368954842,0.8552211343514646,0.19556827716870082,0.9876282215213352,0.551313269276022,0.9379164473189181,0.0,-0.08978079885840222,0.046905869017049406,6.0,1.199,6.0,6.0,-6.0,0.0,0.3326738292295318,6.0,-3.199999999999946,0.12226281287008249,0.21085714285714402,matched_with_ttm,1.0,5,0,1.0,full_ttm,False,422498000000.0,255053000000.0,138129000000.0,160208000000.0,0.3269340919957018,0.6036785972951352,0.3269340919957018,0.33464091605987306,0.22759436810201172,0.6002082625983955,0.10294808781821807,1.2175336472990432,1.0390897928893257,4650363208740.234,383.82000732421875,0.33464091605987306,0.17454192648027744,0.44336732855238026,29.0703,0.9748591549295774,0.17454192648027744,0.44336732855238026,0.17532589088186246,0.3148694202909481,0.1407157505639378,0.1652553373926271,0.3982809091830559,0.25551033232955955,0.24156269994055246,0.22694705493500056,0.24701379565170267,0.19035609074455007,0.03445064241410076,0.09085268849665898,0.03275636615086359,1.0,1.0,0.0,0.0,0.9,0.0,0.057326707694363765,0.78,0.0,0.0,0.0,0.0,0.0,0.0,14,0.21600000000000003,0.0,False,0,full_rebalance,1,1,True,1,2026-06-30,2026-06-30,full_step1_and_step2,0.026672655142377766,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
2,GEV,GE VERNOVA INC,Industrials,0.131681195349928,5.681555559460642,3.6064670922022453,5.66535100112099,0.8777118316214351,7.725273887784553,0.2656063828961051,0.4350023676010225,0.2993912495028725,True,12,-0.1845643471305052,-0.1486228812241155,-0.275825382478698,1.0855720705164986,0.42560130675207586,emerging_growth,0.9806595874348095,core_compounder,0.051945514397121396,0.5140641984569123,0.8688126422728606,0.7129760990814964,,Industrial,0.48338860619907237,2.4665738466226634,-2.548316099385528,-0.491357787757591,2.5333748777794667,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5375902926810525,0.3326738292295318,0.2049164634515207,0.121,1.6573571524744444,0.8011813495624043,0.15712312048890434,0.6291729937814206,0.48832827274894836,1.145999743167993,0.0,-0.08978079885840222,0.046905869017049406,6.0,1.199,6.0,6.0,-6.0,0.0,0.3326738292295318,6.0,-3.199999999999946,0.12226281287008249,0.21085714285714402,matched_with_ttm,0.92839,5,0,0.8571428571428571,full_ttm,False,39375000000.0,7846000000.0,1524000000.0,9365000000.0,0.0387047619047619,0.19926349206349206,0.0387047619047619,0.62163956189844,0.12385600169285299,0.5207506744961117,0.052297686626450596,1.2441162371343992,-0.0720947952103071,288062454991.6626,1071.97998046875,0.62163956189844,0.12709317303563772,1.5666830823148952,30.4711,0.016707570498796464,0.12709317303563772,,,,,,,,,,,,0.03251031100276866,0.13668910792675024,,1.0,1.0,0.0,0.0,0.35,0.0,-0.07307897875883773,0.67,0.0,0.0,0.0,0.0,0.0,0.0,14,0.21600000000000003,0.0,False,0,full_rebalance,1,1,True,1,2026-06-30,2026-06-30,full_step1_and_step2,0.04617023270250565,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
3,AMZN,AMAZON.COM INC,Consumer Discretionary,0.11945266185271544,5.024226965989361,3.809456340210982,5.017736924371404,0.39999601093176596,6.529951456837978,0.2656063828961051,0.4350023676010225,0.2993912495028725,True,12,-0.1845643471305052,-0.1486228812241155,-0.275825382478698,0.7895717794348128,0.3608495388241103,emerging_growth,0.5291303437209567,core_compounder,0.038569496769291646,0.28086456143270927,0.4762228277883987,0.36051433748052375,,Software,0.2031234986859981,0.47756713482299323,-0.13090600739205277,-0.06519993814280411,0.5666765858777649,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5375902926810525,0.3326738292295318,0.2049164634515207,0.121,1.1108950090148828,0.29882760594486607,0.09194404527511166,0.5406457586516206,0.2772711785698649,0.6206277370470479,0.0,-0.08978079885840222,0.046905869017049406,6.0,1.199,6.0,6.0,-6.0,0.0,0.3326738292295318,6.0,-3.199999999999946,0.12226281287008249,0.21085714285714402,matched_with_ttm_fallback,0.8626666666666667,4,0,0.7142857142857143,full_ttm,False,716924000000.0,360510000000.0,79975000000.0,77670000000.0,0.11155296795755199,0.5028566486824266,0.11155296795755199,,0.08473429846284761,0.782130194298681,,0.27885872625994684,-0.03117566115829712,2859454909064.9424,265.82000732421875,,0.12377754683294695,0.6082272316789135,31.7731,1.1363769670958512,0.12377754683294695,,,,0.11728456546856747,0.41693047094167635,,0.6082272316789135,0.8688211092464733,0.6337694285804338,0.4395820730040392,0.16128676031516043,0.02716251959552617,0.2507205124050857,0.039348058835728485,1.0,1.0,0.8,0.0,0.8,0.0,0.0282994120875647,0.76,0.0,0.0,0.0,0.0,0.0,0.0,14,0.21600000000000003,0.0,False,0,full_rebalance,1,1,True,1,2026-06-30,2026-06-30,full_step1_and_step2,0.027298273342853435,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
4,PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,0.08311323102774754,6.897396060294389,4.630439821782481,6.859217832479439,0.6263094563271724,8.536820053441932,0.2656063828961051,0.4350023676010225,0.2993912495028725,True,12,-0.1845643471305052,-0.1486228812241155,-0.275825382478698,1.3266556801320135,1.6274797364100393,emerging_growth,1.4037016055871805,core_compounder,0.001367884018807423,0.927791402891437,0.9318950549478593,0.7816978393370317,,Software,3.1816554012983773,3.922405889744933,6.0,1.922902567868769,-1.1460820138636107,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5375902926810525,0.3326738292295318,0.2049164634515207,0.121,1.5010277010468085,1.298827883523095,0.15599174092112658,0.635273814526376,0.4858784728600994,0.9445255437143736,0.0,-0.08978079885840222,0.046905869017049406,6.0,1.199,6.0,6.0,-6.0,0.0,0.3326738292295318,6.0,-3.199999999999946,0.12226281287008249,0.21085714285714402,matched_with_ttm,0.9834999999999999,5,0,0.5714285714285714,full_ttm,False,5224174000.0,4392169000.0,1991965000.0,2281529000.0,0.38129759843374283,0.8407394164130062,0.38129759843374283,0.2666496109699997,0.22369723143510611,0.5122149489816978,0.026245448576425648,1.0159794426430062,0.9075117999886365,326010088000.0,136.0,0.2666496109699997,0.6770894863089338,2.9978359567611896,212.038,0.3222413033236577,0.6770894863089338,2.9978359567611896,3.911519589713243,1.0406706685179787,0.38062466889784585,0.34753280912489526,,,,,0.9351501348432258,,0.006998338652637031,0.01602457774251452,0.008245990228376,0.0,0.0,0.0,0.0,0.0,0.0,0.08289376031403006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.21600000000000003,0.0,False,0,full_rebalance,1,1,True,1,2026-06-30,2026-06-30,full_step1_and_step2,0.044448019075794376,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
5,VRT,VERTIV HOLDINGS CLASS A,Industrials,0.08311323102774754,5.8972778286419585,3.1287526021197802,5.869561091452935,1.07304785600923,8.904226596635041,0.2656063828961051,0.4350023676010225,0.2993912495028725,True,12,-0.1845643471305052,-0.1486228812241155,-0.275825382478698,2.1649933493130815,1.3006519363250435,emerging_growth,1.6722055566407985,core_compounder,0.0023162184373193284,0.8320163733850388,0.9318950549478593,0.9249463996359013,True,Industrial,1.1382326039843211,3.0080607953592935,-1.741190605839396,-0.18009552157403497,3.771552383079508,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5375902926810525,0.3326738292295318,0.2049164634515207,0.121,2.621158645399084,1.7763683888004584,0.007996799792591278,-0.1931423434114681,0.3105873704835427,1.4192974132460416,0.0,-0.08978079885840222,0.046905869017049406,6.0,1.199,6.0,6.0,-6.0,0.0,0.3326738292295318,6.0,-3.199999999999946,0.12226281287008249,0.21085714285714402,matched_with_ttm_fallback,0.925,5,0,1.0,full_ttm,False,10229900000.0,3715200000.0,1829700000.0,1332800000.0,0.1788580533534052,0.363170705480992,0.1788580533534052,0.3381625352041205,0.0994619443138484,0.7634196759725673,0.03010185840304866,0.7727978963162451,0.04199145824058051,141017871493.61133,367.1300048828125,0.3381625352041205,0.2768541401432887,1.0114235914207654,80.9207,0.5954429727740985,0.2768541401432887,,,,0.21580013629307948,0.5095356874012973,,1.0114235914207654,1.0154071645889724,,,0.5887392073654256,0.009451284336399739,0.07254328753971766,0.013429503508608812,1.0,1.0,0.0,0.0,0.95,0.0,0.24611135301806508,0.99,0.0,0.0,0.0,0.0,0.0,0.0,14,0.21600000000000003,0.0,False,0,full_rebalance,1,1,True,1,2026-06-30,2026-06-30,full_step1_and_step2,0.049498620200930966,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
6,GLW,CORNING INC,Information Technology,0.07108785664877319,5.952283788884468,4.236758744976652,5.939248504619707,0.8433750295069264,8.111032243552305,0.2656063828961051,0.4350023676010225,0.2993912495028725,True,12,-0.1845643471305052,-0.1486228812241155,-0.275825382478698,1.5787650321993565,0.6262456627581872,emerging_growth,0.987467479108478,future_winner,0.008158878345697765,0.49486570278327,0.9318950549478593,0.907418419910766,True,Software,0.3591499369998785,-0.27339664747008424,-0.3328512076356079,-0.041813606721165505,3.656699781357342,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5375902926810525,0.3326738292295318,0.2049164634515207,0.121,2.246820578481275,0.6015655334596407,0.017453298826346195,-0.01616504026638446,0.2548745927157758,0.6377044230806872,0.0,-0.08978079885840222,0.046905869017049406,6.0,1.199,6.0,6.0,-6.0,0.0,0.3326738292295318,6.0,-3.199999999999946,0.12226281287008249,0.21085714285714402,matched_with_ttm_fallback,0.925,5,0,0.8571428571428571,full_ttm,False,15629000000.0,5621000000.0,2279000000.0,1742000000.0,0.1458186704203724,0.35965192910614885,0.1458186704203724,0.1415454619322337,0.05573864908968739,0.5000799923207372,0.0723802468915828,-0.033209966277351226,-0.327520069590062,170612847155.62476,198.24000549316406,0.1415454619322337,0.1914163744473243,0.09796415013898607,85.191,3.7795474711623784,0.1914163744473243,,,,0.03273748859578829,0.06696788197405046,0.09796415013898607,0.33298925835570437,0.16586055080893258,0.349656141149296,0.010093005293607682,0.04333307946349807,0.010210251039366526,0.09160505941117075,0.014383442049716106,1.0,1.0,0.0,0.0,0.95,0.0,-0.05194221246943265,0.79,0.0,0.0,0.0,0.0,0.0,0.0,14,0.21600000000000003,0.0,False,0,full_rebalance,1,2,True,1,2026-06-30,2026-06-30,full_step1_and_step2,0.068682978004717,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
7,LRCX,LAM RESEARCH CORP,Information Technology,0.06569442545694472,6.32188320508492,4.478756141673892,6.278965852217192,0.8755651511103645,8.254667532695906,0.2656063828961051,0.4350023676010225,0.2993912495028725,True,12,-0.1845643471305052,-0.1486228812241155,-0.275825382478698,0.9594438495071098,0.6893396436040202,emerging_growth,1.008261946652433,core_compounder,0.023239285017172245,0.7448791596916184,0.6751613046401017,0.6470387024349264,,Semiconductor,0.20587290678322545,-0.41720719360540137,0.0,0.1409571488252237,2.1110409155920666,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5375902926810525,0.3326738292295318,0.2049164634515207,0.121,1.5258405476591306,1.3131142658978292,0.05958709487653664,0.30774792442989607,0.2650596478025334,0.7522848992426028,0.0,-0.08978079885840222,0.046905869017049406,6.0,1.199,6.0,6.0,-6.0,0.0,0.3326738292295318,6.0,-3.199999999999946,0.12226281287008249,0.21085714285714402,matched_with_ttm_fallback,0.9165850000000001,5,0,0.8571428571428571,full_ttm,False,18435591000.0,8979059000.0,5900968000.0,5358217000.0,0.32008564303688447,0.48705023885591736,0.32008564303688447,0.5433405001754783,0.257706819623594,0.8866713543873554,0.029262747719102873,2.0687468202949963,1.2609253522994495,361715143827.3926,289.239990234375,0.5433405001754783,0.0,0.05161410945491629,47.8588,2.134647636039251,0.0,,,,0.022789943557689707,0.12907308762404734,0.05161410945491629,0.189238603578461,0.031078868201760423,0.1714683970487525,0.2572973770596889,0.237467758501531,0.01481336098705587,0.0509671527847264,0.016843267703790896,1.0,1.0,0.0,0.0,0.8,0.0,0.028528626307930627,0.96,0.0,0.0,0.0,0.0,0.0,0.0,14,0.21600000000000003,0.0,False,0,full_rebalance,1,1,True,1,2026-06-30,2026-06-30,full_step1_and_step2,0.04976835606732304,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
8,RKLB,ROCKET LAB CORP,Industrials,0.05919575795071224,3.101776590824557,-0.04755755381086131,3.095865956077814,1.0184537844948462,6.079814472443007,0.2656063828961051,0.4350023676010225,0.2993912495028725,True,12,-0.1845643471305052,-0.1486228812241155,-0.275825382478698,2.427207880995154,2.0993785647356087,emerging_growth,1.135515083611052,future_winner,0.0023162184373193284,0.2463426209516715,0.9318950549478593,0.9249463996359013,,Industrial,1.1003038899131716,3.6044514019550262,-2.0766925463447885,-1.2000000000000002,4.386126905434065,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5375902926810525,0.3326738292295318,0.2049164634515207,0.121,2.663212503714921,0.5619199143510398,-0.05905670578092682,-0.661257031189868,0.17315344070564404,0.8127686708527848,0.0,-0.08978079885840222,0.046905869017049406,6.0,1.199,6.0,6.0,-6.0,0.0,0.3326738292295318,6.0,-3.199999999999946,0.12226281287008249,0.21085714285714402,matched_with_ttm_fallback,0.9085,5,0,0.8571428571428571,full_ttm,False,601799000.0,207181000.0,-228838000.0,-198209000.0,-0.38025653083504624,0.3442694321525958,-0.38025653083504624,-0.11511370882781002,-0.07028835000448591,0.21340836563601862,0.03328093368093406,-1.3871114204985928,-1.913250855958858,68037964971.433716,117.55999755859375,-0.11511370882781002,0.3795957947246076,,,,0.3795957947246076,,,,0.4180486722213492,,,,,,,,-0.0029132117646849024,0.008845047030031986,-0.004729800489110937,1.0,1.0,0.0,0.0,1.0,0.4376786053305191,-0.18370602211430964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.21600000000000003,0.0,False,0,full_rebalance,1,2,True,1,2026-06-30,2026-06-30,full_step1_and_step2,0.07508263725104154,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
9,FTI,TECHNIPFMC PLC,Energy,0.051385241477818325,1.9695720624233528,0.28111758199603953,1.9467643351802646,0.8470734770675372,4.579183525159696,0.2656063828961051,0.4350023676010225,0.2993912495028725,True,12,-0.1845643471305052,-0.1486228812241155,-0.275825382478698,1.1408496343904257,0.22361757827341638,emerging_growth,0.9216896585873122,future_winner,0.010878732519663684,0.658945412715211,0.8321321115898508,0.7994959140308597,True,Energy,1.2245195650040452,3.4755638122303294,-0.9142966078153123,-0.07595969835978217,1.7042420484480234,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5375902926810525,0.3326738292295318,0.2049164634515207,0.121,1.6263500105624755,0.7950511500679648,0.03352356217224729,0.11725806185126586,0.2667999907678625,0.9342350289866516,0.0,-0.08978079885840222,0.046905869017049406,6.0,1.199,6.0,6.0,-6.0,0.0,0.3326738292295318,6.0,-3.199999999999946,0.12226281287008249,0.21085714285714402,matched_with_ttm_fallback,0.925,5,7,0.8571428571428571,full_ttm,False,9932600000.0,,1436100000.0,967100000.0,0.1445844995268107,,0.1445844995268107,0.28399847296860775,0.09588443501452494,0.984781035286186,0.11551354751328775,0.7839529859248239,0.34103630880052926,29180992814.823303,73.19000244140625,0.28399847296860775,0.09350126055508468,0.5631231381933035,28.0113,0.3012291644262824,0.09350126055508468,,,,0.14018259311077697,0.2372721575288066,,,0.5631231381933035,,0.7110926571390206,0.2185438260942596,0.03314143580161997,0.3403790975526527,0.04960077983586469,0.0,1.0,0.0,0.0,0.55,0.0,0.06708867654352624,0.51,0.0,0.0,0.0,0.0,0.0,0.0,14,0.21600000000000003,0.0,False,0,full_rebalance,1,2,True,1,2026-06-30,2026-06-30,full_step1_and_step2,0.03107370995882185,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
10,ON,ON SEMICONDUCTOR CORP,Information Technology,0.04,4.402020791295538,3.6270558594269127,4.407909307556001,0.3308542808776853,6.203281765477255,0.2656063828961051,0.4350023676010225,0.2993912495028725,True,12,-0.1845643471305052,-0.1486228812241155,-0.275825382478698,0.5179505738148278,0.5524935535378771,emerging_growth,-0.1316854196425606,early_scout,0.043878077577158246,-0.16709016085854708,0.5724868803797323,0.44085264764825755,,Semiconductor,0.38677153399148806,-0.8269942659536723,0.0,0.7582656153601552,3.2443541549015635,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,0.5375902926810525,0.3326738292295318,0.2049164634515207,0.121,0.8538451462039457,-0.3131342129402437,0.20016716617799268,1.1123703212853218,0.6610441308323275,-0.36574478733589383,0.0,-0.08978079885840222,0.046905869017049406,6.0,1.199,6.0,6.0,-6.0,0.0,0.3326738292295318,6.0,-3.199999999999946,0.12226281287008249,0.21085714285714402,matched_with_ttm_fallback,0.9085,5,0,0.7142857142857143,full_ttm,False,5995400000.0,1983900000.0,84200000.0,121000000.0,0.014044100477032391,0.33090369283117055,0.014044100477032391,0.01573083373418791,0.010074266493489192,0.4991674159922736,0.17942679252970004,-0.5266758517025242,-0.48762702745335346,40801041454.208725,104.11000061035156,0.01573083373418791,-0.15346709402312808,-0.6008691683003108,334.9133,,-0.15346709402312808,,,,-0.1036699576539808,0.026716771116843896,-0.6008691683003108,-0.1253795750807959,-0.6707113488808599,-0.24741574145513345,-0.12566346463647315,0.14757458432572523,0.0029656105748133684,0.14694232760525675,0.041070030084419513,1.0,1.0,0.0,0.0,0.95,0.0,-0.43013004577419833,0.99,0.0,0.0,0.0,0.0,0.0,0.0,14,0.21600000000000003,0.0,False,0,full_rebalance,1,1,True,1,2026-06-30,2026-06-30,full_step1_and_step2,0.05439301721703198,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
