ticker,onset_date,peak_date,hold_3m_return,hold_6m_return,hold_12m_return,hold_18m_return,max_return_6m,max_return_12m,max_return_18m,max_dd_3m,max_dd_6m,max_dd_12m,first_2x_date,first_2x_days,first_3x_date,first_3x_days,first_5x_date,first_5x_days,trail20_after_50pct_return,trail20_after_50pct_date,trail20_after_50pct_days,ma50_5d_after_50pct_return,ma50_5d_after_50pct_date,ma50_5d_after_50pct_days,ma200_after_50pct_return,ma200_after_50pct_date,ma200_after_50pct_days
PLTR,2023-02-08,2024-02-08,0.20924565176154197,0.8746957842839815,1.9659365412136376,2.574209027536475,1.431873372474199,1.9817517557990532,2.650851490754174,-0.2729970173858324,-0.2729970173858324,-0.3016508155084334,2023-06-15,88,2024-02-12,253.0,2024-10-08,418.0,0.8552310832846537,2023-08-09,125.0,0.8698296090341495,2023-08-15,129.0,18.142335887099815,2026-01-28,744.0
PLTR,2024-08-09,2025-08-12,0.8620460060622035,2.752749146539351,5.143618584172769,3.302899163544053,2.8870376753151143,5.230256574298919,5.903698470364881,-0.07916391542484713,-0.21121624759173496,-0.40611458429565517,2024-11-11,65,2025-02-04,121.0,2025-07-16,232.0,1.165278335932713,2025-01-13,106.0,1.787404228187028,2025-03-12,146.0,4.243252412643465,2026-01-28,367.0
LRCX,2025-03-12,2026-02-25,0.18749180320466485,0.5128294459493157,1.7908968535845395,,0.5128294459493157,2.2772842279860543,2.9084395258376534,-0.24907867285136465,-0.24907867285136465,-0.24907867285136465,2025-10-27,158,2026-01-21,216.0,,,1.621628100546018,2026-03-06,247.0,1.8786220051907603,2026-03-11,250.0,,,
GLW,2025-03-19,2026-02-25,0.04131609617662568,0.6487967439232065,1.5934751402679028,,0.6487967439232065,2.3335693499821955,3.3173928387529807,-0.2168770529573646,-0.2168770529573646,-0.23006844728779374,2026-01-27,215,2026-02-23,233.0,,,1.5666202257056119,2026-03-06,242.0,0.6974338033654133,2025-11-19,170.0,,,
VRT,2022-12-07,2023-12-08,0.04245996774722349,0.551244926352424,2.452864850778368,5.5431647791833685,0.551244926352424,2.452864850778368,6.7792587465691145,-0.13487241720594545,-0.2600243291688642,-0.2600243291688642,2023-08-02,162,2023-10-11,211.0,2024-03-01,308.0,4.993799396696542,2024-07-17,402.0,5.377115940465465,2024-06-26,388.0,3.964050903904379,2024-08-05,415.0
AMAT,2020-06-15,2021-04-05,-0.007053221295609591,0.5575157138859212,1.4543836862898711,1.6131280893634092,0.5830919952290963,1.5280352496444123,1.815360204771213,-0.18392854556725302,-0.18392854556725302,-0.19692430324828736,2021-02-12,168,,,,,1.36247470716166,2022-01-25,407.0,1.2060437167742397,2021-05-14,231.0,1.399246178092255,2022-01-21,405.0
GEV,2025-04-09,2026-04-10,0.6510233797498004,0.943116234162571,2.041683598979032,,1.0358803620797246,2.0422974235943356,2.5278338181773568,-0.05610890305666949,-0.13168314645404722,-0.17509823928338453,2025-07-30,76,2026-04-10,251.0,,,,,,0.8569693116725858,2025-10-01,120.0,,,
AAPL,2020-03-20,2021-01-26,0.5296923699969842,0.8726638231872819,1.169716772220068,1.5215296885097582,1.3518721985265607,1.5136010339925035,1.7640864073068805,-0.0678298375025681,-0.20375612911258578,-0.20375612911258578,2020-08-13,101,2021-12-07,433.0,,,0.8726638231872819,2020-09-18,126.0,1.043734987721339,2020-10-27,153.0,1.1760445306104863,2021-06-03,303.0
LITE,2025-02-11,2026-02-12,-0.06394467883746813,0.5104272068048066,6.329899914035124,,0.5104272068048066,6.329899914035124,12.229773693559611,-0.38219894516156394,-0.38219894516156394,-0.38219894516156394,2025-09-10,145,2025-11-06,186.0,2026-02-02,244.0,6.015578054602121,2026-03-06,267.0,,,,,,
KLAC,2025-04-09,2026-04-13,0.31777710681608196,0.5047478992588612,1.5340047730384625,,0.6279308704259001,1.5340047730384625,1.772136249061215,-0.11731666153826914,-0.11731666153826914,-0.22406824116894486,2026-01-09,189,,,,,0.8703303273841299,2026-02-04,206.0,,,,,,
NVDA,2019-08-19,2020-08-17,0.19681530086898236,0.8459070348542594,1.8797046653395681,2.484985405326008,0.8459070348542594,1.897613414265885,2.602785041181222,-0.06819301679525347,-0.06819301679525347,-0.37554040826097546,2020-05-18,188,2020-08-26,258.0,,,0.4405161815841996,2020-03-09,139.0,0.2751831877986659,2020-03-17,145.0,0.15269435337328408,2020-03-16,144.0
NVDA,2022-11-30,2023-11-20,0.4116882294862123,1.3242737110062053,1.7643822364744546,5.883775370287819,1.3706088101856975,1.979786809983287,5.883775370287819,-0.2233289258416188,-0.2233289258416188,-0.2233289258416188,2023-05-25,121,2024-01-08,276.0,2024-03-04,314.0,5.13303881126996,2024-07-30,416.0,1.4246050483275008,2023-09-21,202.0,6.002666877877708,2025-01-27,539.0
TSM,2020-02-28,2021-02-16,-0.05632413881124698,0.5225289019553374,1.4621969650517626,1.2765298980944455,0.572587311497649,1.6704143115316783,1.6704143115316783,-0.22378420811709587,-0.22378420811709587,-0.22378420811709587,2020-12-07,196,,,,,1.0854318978528275,2021-03-24,269.0,1.2190850829556696,2021-03-09,258.0,1.1347386419874619,2021-08-17,370.0
STX,2025-05-05,2026-05-06,0.6301107827960561,1.8617394304472419,7.5120303308718785,,1.8918060500880207,7.5120303308718785,8.027133915271815,-0.06535480284503614,-0.1760238954791179,-0.209978296413596,2025-09-05,85,2025-11-06,129.0,2026-04-07,231.0,2.811976935404036,2026-03-06,210.0,,,,,,
TSLA,2019-09-11,2020-08-31,0.4117361685287244,1.2685147030064825,6.513961873019442,13.037434129028082,2.712747738709293,9.08336749926564,16.869081859412503,-0.09668150284406063,-0.38899304163468074,-0.606265385382069,2020-01-13,85,2020-02-03,99.0,2020-07-06,205.0,1.7478753344276465,2020-02-27,116.0,1.2121408568086385,2020-03-13,127.0,0.4618373000742986,2020-03-18,130.0
AMD,2018-03-07,2018-09-14,0.2802287883427337,1.329248428268341,0.7982026667040656,1.496732029199264,1.329248428268341,1.6732027640972778,1.809640525549356,-0.22140523601491913,-0.22140523601491913,-0.4911369499584487,2018-08-27,120,2019-11-13,426.0,,,1.0424836983241357,2018-10-10,151.0,0.8619282141902689,2018-10-24,161.0,0.3766340438362952,2018-10-29,164.0
AMD,2019-07-31,2020-07-30,0.08472899677222756,0.6019703631228401,1.5681443346109543,1.812479384036025,0.6981936876470836,1.5681443346109543,2.1937601827045765,-0.1743199568255246,-0.1743199568255246,-0.34278441287536066,2020-07-22,246,2020-09-01,275.0,,,0.44532010570907965,2020-02-27,145.0,0.5586206205366007,2020-03-02,147.0,1.5533661100800082,2021-03-04,401.0
APP,2023-04-17,2024-04-11,0.7325580906716644,1.3800489000294855,3.339045340501416,7.864749372757785,1.6933903250033326,3.7882495185520586,7.9963279453653175,-0.15878908099548394,-0.15878908099548394,-0.17859570768964472,2023-08-10,80,2024-02-15,210.0,2024-05-09,268.0,3.205630390390138,2024-08-02,326.0,1.3586291649711808,2023-10-19,129.0,12.425336173111614,2025-04-04,494.0
APP,2024-10-10,2025-09-30,1.179508427626205,0.6298675317106595,3.073667800435598,2.217964706727626,2.5220244254408395,3.9609223708560073,4.064899158617455,-0.2202490477603518,-0.5699723736744688,-0.5699723736744688,2024-11-08,21,2025-02-13,85.0,2025-12-09,291.0,1.2166528975160116,2024-12-10,42.0,1.2592517209331335,2025-03-04,97.0,0.5145678035328669,2025-04-04,120.0
MPWR,2020-03-11,2021-01-21,0.4798650806202407,0.5909665674694908,1.1854882848159356,2.1719166045850464,0.8251333424946272,1.610027224231629,2.2668150194178036,-0.20719955203887275,-0.20719955203887275,-0.25083090769809446,2020-10-09,148,2021-08-04,353.0,,,0.9553517264608715,2021-03-08,249.0,0.5294726655968001,2020-09-11,128.0,1.0872712785331284,2021-05-10,293.0
MU,2025-03-14,2026-03-17,0.1484323431340251,0.5688472567828267,3.5957245003519205,,0.5688472567828267,3.5957245003519205,6.920148086196815,-0.37150354447806977,-0.37150354447806977,-0.37150354447806977,2025-10-16,149,2026-01-02,202.0,2026-04-27,280.0,1.0036545939907295,2025-11-20,174.0,2.204586150014162,2026-03-30,261.0,,,
