rebalance_date,ticker,weight,stage,monster_onset_score,cum_return,peak_return,months_held,bad_months,period_forward_return,risk_adjusted_forward_return,weighted_forward_return,risk_exit_proxy,risk_exit_reason,hard_stop_proxy,sector,industry_group,theme_horizon_primary,theme_holding_profile_primary,theme_event_risk_sensitivity_max,theme_structural_growth_max,technical_leadership_signal,leadership_signal,growth_signal,rs_acceleration_score,revenue_growth_final,revision_score,portfolio_monster_early_score,portfolio_risk_entry_block_score,portfolio_defensive_rotation_action,distribution_risk_score,explosion_exit_score,stage2_overext_penalty
2019-04-30,NOW,0.05,scout,1.3984340084680313,-0.05070289316354881,0.0,1,0,-0.0507028931635488,-0.0507028931635488,-0.00253514465817744,False,none,,Information Technology,Software - Application,structural_growth,long_duration,0.35,1.0,0.99,1.8930598332880448,0.7907400664504772,0.6845158717281841,nan,0.0,0.6215084051769902,0.1083333333333333,promote_monster_early,0.3672090476878017,0.0,0.0
2019-04-30,ALGN,0.05,scout,1.3828825931097242,-0.14566809155836113,0.0,1,0,-0.1456680915583611,-0.1456680915583611,-0.007283404577918056,False,none,,Health Care,Medical Devices,unknown,neutral,0.35,0.35,1.0,1.0,1.0,2.3535904408987065,nan,1.0,0.3739077285780416,0.0135416666666666,neutral,0.5148237082807853,0.0,0.0
2019-04-30,CDNS,0.05,scout,1.3600405359267675,-0.08836203801740516,0.0,1,0,-0.0883620380174052,-0.0883620380174052,-0.00441810190087026,False,none,,Information Technology,Software - Application,unknown,neutral,0.35,0.35,1.0,1.8930598332880448,1.0,0.6237218476820772,nan,1.0,0.5914604639167291,0.1083333333333333,promote_monster_early,0.4062287348994117,0.0,0.0
2019-05-31,NOW,0.12,confirm,0.9196972810807902,0.026508967814092177,0.026508967814092177,2,0,0.0813358224960263,0.0813358224960263,0.009760298699523157,False,none,,Information Technology,Software - Application,structural_growth,long_duration,0.35,1.0,0.7065375189626122,2.475683110210262,0.3677325276407998,-0.9797308731163588,nan,0.0,0.5860376806698473,0.1333333333333333,promote_monster_early,0.5259785323702689,0.0,0.0
2019-05-31,ALGN,0.025,scout,0.4873348414801128,-0.17650568590437066,0.0,2,0,-0.0360955666542521,-0.0360955666542521,-0.0009023891663563025,False,none,,Health Care,Medical Devices,unknown,neutral,0.35,0.35,0.7311660091050585,0.7311660091050585,1.0,1.462332018210117,nan,1.0,0.300955239626432,0.0270833333333333,neutral,0.8548876066327226,0.0,0.0
2019-05-31,CDNS,0.05,scout,0.3194764421626283,0.05620978786748987,0.05620978786748987,2,1,0.1585846925137757,0.1585846925137757,0.007929234625688784,False,none,,Information Technology,Software - Application,unknown,neutral,0.35,0.35,0.6056035876822389,2.475683110210262,1.0,-0.992073851312914,nan,1.0,0.43232335380137,0.2552083333333333,neutral,0.5259785323702689,0.0,0.0
2019-05-31,SBAC,0.05,scout,0.9879293859019418,0.04003706086082359,0.04003706086082359,1,0,0.0400370608608235,0.0400370608608235,0.0020018530430411753,False,none,,Real Estate,Equity REITs,unknown,neutral,0.35,0.35,1.0,1.0,1.0,0.3674077682301169,nan,1.0,0.5107681585199825,0.0,neutral,0.5259785323702689,0.0,0.0
2019-05-31,BR,0.05,scout,0.9651219411975177,0.04162107800315962,0.04162107800315962,1,0,0.0416210780031596,0.0416210780031596,0.00208105390015798,False,none,,Industrials,Software - Infrastructure,unknown,neutral,0.35,0.35,1.0,1.0,0.3202172440290086,1.8226748214822808,nan,0.0,0.3769978736730331,0.0135416666666666,neutral,0.5259785323702689,0.0,0.0
2019-05-31,SHOP,0.05,scout,0.9421755030448788,0.11342424231255666,0.11342424231255666,1,0,0.1134242423125566,0.1134242423125566,0.00567121211562783,False,none,,Software,Software - Application,unknown,neutral,0.35,0.35,1.1102732440841048,2.475683110210262,0.4949335216888523,-0.8602008009423434,nan,0.0,0.5385648026863652,0.2416666666666667,neutral,0.5259785323702689,0.0,0.0
2019-06-28,NOW,0.12,confirm,0.8021229800218135,0.025489707329710676,0.026508967814092177,3,0,-0.0009929387042298,-0.0009929387042298,-0.000119152644507576,False,none,,Information Technology,Software - Application,structural_growth,long_duration,0.35,1.0,0.74,1.955971333241528,0.3040508806316642,-1.6687773623543234,nan,0.0,0.5708734493670824,0.2416666666666667,neutral,0.0516149525445256,0.0,0.0
2019-06-28,ALGN,0.025,scout,0.12702831064425885,-0.38965646952924793,0.0,3,1,-0.2588369828138545,-0.2588369828138545,-0.0064709245703463624,False,none,,Health Care,Medical Devices,unknown,neutral,0.35,0.35,0.2510109515536807,0.9547133677664914,1.0,0.5020219031073614,nan,1.0,0.2492119670826871,0.1458333333333333,neutral,0.8185455703578457,0.0,0.0
2019-06-28,CDNS,0.12,confirm,0.8193749181985036,0.10235354840303157,0.10235354840303157,3,0,0.0436880637403549,0.0436880637403549,0.005242567648842588,False,none,,Information Technology,Software - Application,unknown,neutral,0.35,0.35,0.94,1.955971333241528,1.0,-1.735924576932224,nan,1.0,0.5603928376163535,0.2416666666666667,neutral,0.1746973725859344,0.0,0.0
2019-06-28,SBAC,0.05,scout,0.6823887496988124,0.13687182340923476,0.13687182340923476,2,0,0.0931070306939469,0.0931070306939469,0.004655351534697345,False,none,,Real Estate,Equity REITs,unknown,neutral,0.35,0.35,0.7611454918669506,0.7611454918669506,1.0,-0.3664415715013165,nan,1.0,0.4485091018603595,0.1333333333333333,neutral,0.0516149525445256,0.0,0.0
2019-06-28,BR,0.12,confirm,0.8656569880151808,0.03759363397029114,0.04162107800315962,2,0,-0.0038665154900564,-0.0038665154900564,-0.00046398185880676797,False,none,,Industrials,Software - Infrastructure,unknown,neutral,0.35,0.35,0.8667406227257669,0.8667406227257669,0.0280752325850568,1.7334812454515338,nan,0.0,0.3371623016332445,0.0135416666666666,neutral,0.160585291783261,0.0,0.0
2019-06-28,SHOP,0.12,confirm,0.7720034955221379,0.14196334932196275,0.14196334932196275,2,0,0.0256318354898856,0.0256318354898856,0.003075820258786272,False,none,,Software,Software - Application,unknown,neutral,0.35,0.35,0.9023885332966112,1.955971333241528,0.3405130898993974,-1.264228937389515,nan,0.0,0.4902560054711349,0.2416666666666667,neutral,0.3571079750413211,0.0,0.0
2019-06-28,ADBE,0.05,scout,1.1261685450181915,0.013553656231158895,0.013553656231158895,1,0,0.0135536562311588,0.0135536562311588,0.00067768281155794,False,none,,Information Technology,Software - Application,structural_growth,long_duration,0.15,1.0,0.94,1.955971333241528,1.0,-0.0012244575191531,nan,1.0,0.5412434358121541,0.1333333333333333,neutral,0.0516149525445256,0.0,0.0
2019-06-28,HEI,0.05,scout,1.0815305977045822,0.03122184935139294,0.03122184935139294,1,0,0.0312218493513929,0.0312218493513929,0.0015610924675696451,False,none,,Industrials,Aerospace & Defense,unknown,neutral,0.35,0.35,1.0,1.0745812029349455,0.596086915396937,-0.2873845271787818,nan,0.0,0.5753591963197289,0.2416666666666667,neutral,0.5078704143095487,0.0,0.0
2019-07-31,NOW,0.12,confirm,0.055334812555521695,-0.01691558346943922,0.026508967814092177,4,1,-0.0413512593018312,-0.0413512593018312,-0.004962151116219744,False,none,,Information Technology,Software - Application,structural_growth,long_duration,0.35,1.0,0.4206774007332278,1.2926338518573093,0.1864745459205431,-2.142147228875533,nan,0.0,0.4206774007332278,0.146875,neutral,0.2846848712565041,0.0,0.0
