ticker,Name,sector,industry_group,source_universe,selected_main_current,selected_concentrated_current,current_main_weight,current_concentrated_weight,decision_bucket,selection_pressure_score,score,concentrated_score,portfolio_monster_early_score,portfolio_future_winner_engine_score,portfolio_early_scout_engine_score,relative_strength_composite,oneil_leadership_score,portfolio_candidate_minimum_pass,portfolio_candidate_gate_label,portfolio_risk_entry_block_score,portfolio_stale_mega_leader_score,portfolio_stale_leader_reason,portfolio_defensive_rotation_action,entry_quality_score,concentrated_entry_quality_gate_pass,selection_confirmation_score,trend_template_full,breakout_setup_quality_score,price_above_ma50,price_above_ma200,market_cap_live,dollar_vol_20d,sales_growth_yoy,eps_growth_yoy,revenues_ttm,months_held_main,first_held_main,last_held_main,months_held_concentrated,first_held_concentrated,last_held_concentrated
LNG,CHENIERE ENERGY INC,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,False,False,0.0,0.0,not_selected_low_priority,0.6671052631578946,5.642617068759845,,0.540995443836378,0.6425443971545785,0.450172341940346,,0.7683840671297012,True,future_relaxed,0.121875,0.0,,neutral,0.1557291881150282,,1.0,0.0,0.179276923125506,1.0,1.0,,1163420784.3655396,0.2627481510315297,0.2334067365595464,19464000000.0,8,2022-01-31,2022-08-31,0,,
VZ,VERIZON COMMUNICATIONS INC,Communication,Communication Equipment,current_constituents_proxy,False,False,0.0,0.0,not_selected_low_priority,0.6599177631578947,4.391388277547049,,0.5950904995223453,0.4866203082716874,0.3300704074294449,,1.12,True,future_relaxed,0.0,0.0,,promote_monster_early,0.4672655046692486,,1.0,1.0,0.7355782583045991,1.0,1.0,,1346412168.8243866,0.0,,138191000000.0,5,2020-03-31,2026-02-27,0,,
ETR,ENTERGY CORP,Utilities,Utilities,current_constituents_proxy,False,False,0.0,0.0,not_selected_low_priority,0.6553453947368422,3.4859013624144617,,0.5761648267941569,0.6728437604209746,0.6212648757387668,,0.3245665237325318,True,early_relaxed,0.0,0.0,,neutral,0.3554311554708682,,1.0,1.0,0.5759386407372996,1.0,1.0,,312422400.68943024,0.0898202161292085,0.0,12946686000.0,17,2022-05-31,2026-02-27,21,2022-05-31,2026-02-27
CNQ,Canadian Natural Resources,Energy,Oil Gas & Consumable Fuels,adr_whitelist,False,False,0.0,0.0,not_selected_low_priority,0.6484128289473683,2.8330656233703664,,0.5879853811393795,0.6520106800301736,0.5687637717187499,,0.5388667483766736,True,adr_global_alpha_fallback,0.1083333333333333,0.0,,promote_monster_early,0.0,,1.0,1.0,0.5274020730855438,1.0,1.0,,636884564.5054245,,,44167000000.0,0,,,0,,
SNDK,SANDISK CORP,Information Technology,Tech Hardware & Storage,current_constituents_proxy+strategic_global_hardware,False,False,0.0,0.0,omitted_candidate_gate_block,0.6480016447368422,4.0943344781631925,,0.480092920670389,0.6527736833815502,0.4620228763796271,,0.757932962684935,False,rejected,0.3333333333333333,0.0,,neutral,0.0,,1.0,1.0,-0.5824640226566142,1.0,1.0,,12184408465.398865,,,7355000000.0,0,,,0,,
SU,Suncor Energy,Energy,Oil Gas & Consumable Fuels,adr_whitelist,False,False,0.0,0.0,not_selected_low_priority,0.6460115131578947,2.694669008455913,,0.6109014666131161,0.6728437604209746,0.6212648757387668,,0.5388667483766736,True,adr_global_alpha_fallback,0.1083333333333333,0.0,,promote_monster_early,0.0,,1.0,1.0,0.6144741195987253,1.0,1.0,,367127802.8251457,,,52377000000.0,0,,,0,,
SLB,SLB NV,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,False,False,0.0,0.0,not_selected_low_priority,0.6453371710526317,3.0471297095289245,,0.5828194479581208,0.630885662801492,0.4334091112513339,,0.2993704157648185,True,future_relaxed,0.1083333333333333,0.0,,promote_monster_early,0.0,,1.0,1.0,0.3318374728005956,1.0,1.0,,1061105627.6293564,0.1795592894521376,,33135000000.0,0,,,0,,
DAL,DELTA AIR LINES INC,Industrials,Transportation & Logistics,current_constituents_proxy,False,False,0.0,0.0,omitted_candidate_gate_block,0.6417269736842106,3.5827387847398917,,0.4782323732964154,0.5231531539694521,0.4158154964112315,,0.9696271082104676,False,rejected,0.146875,0.0,,neutral,0.855301565863489,,1.0,1.0,0.2273399831409076,1.0,1.0,,1032787756.4658736,0.0279188228995992,0.4307551250131161,63364000000.0,3,2024-02-29,2024-04-30,2,2024-02-29,2024-03-28
TRGP,TARGA RESOURCES CORP,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,False,False,0.0,0.0,not_selected_low_priority,0.6410197368421052,2.2825992007063105,,0.6174863412343489,0.6728437604209746,0.5706230775616534,,0.8083001225650103,True,future_relaxed,0.1083333333333333,0.0,,promote_monster_early,0.0,,1.0,1.0,0.6174137894306565,1.0,1.0,,385902158.6063385,0.2045030133265426,0.0,17028300000.0,6,2024-06-28,2024-11-29,0,,
OKE,ONEOK INC,Energy,Oil Gas & Consumable Fuels,current_constituents_proxy,False,False,0.0,0.0,omitted_candidate_gate_block,0.6383223684210527,2.601235824049456,,0.5486914777959526,0.6628415026434819,0.4929362115178679,,0.6087198453884646,False,rejected,0.0135416666666666,0.0,,neutral,0.3947555728905481,,1.0,0.0,0.3950329108222513,1.0,1.0,,481146874.2302704,0.5498663471287677,0.0,33629000000.0,1,2022-03-31,2022-03-31,0,,
