ticker,event_date,prior_peak_date,event_price,prior_peak_price,drawdown_from_peak,days_since_peak,label,label_reason,recovery_3m,recovery_6m,half_recovery_3m,half_recovery_6m,lower_low_after_half_recovery_6m,fast_drop_flag,high_volume_panic_flag,v_recovery_days,forward_1m_return,forward_3m_return,forward_6m_return,max_forward_3m_return,max_forward_6m_return,max_dd_next_3m,max_dd_next_6m,mom_1m,mom_3m,mom_6m,rs_vs_spy_3m,rs_vs_spy_6m,price_vs_sma50,price_vs_sma200,volume_surge,distribution_risk_score,breakdown_risk_score,shakeout_quality_score
CIEN,2017-05-17,2017-03-01,23.030000686645508,26.40999984741211,-0.12798179402859045,77,DISTRIBUTION,half_recovery_failed_then_lower_low,1,1,1,1,1,0,0,15,0.1042118778538279,0.04732957534039306,-0.1467651310177862,0.19409462353800655,0.19409462353800655,-0.12763637195933952,-0.28836364746093746,0.03879118662120118,-0.0922349261009563,0.023555586073133572,-0.1004330897538257,-0.07641176293738061,0.0008344198515342072,0.01293774791438329,0.7791284978065752,0.6545454545454544,0.35,0.5090909090909091
EME,2017-05-17,2016-12-08,60.802791595458984,70.39958953857422,-0.1363189473975106,160,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,0,1,1,1,0,0,0,162,0.03829661008814367,0.028749513695483397,0.24304359465507663,0.09318570128891324,0.2987927100215966,-0.05894349653261732,-0.09110773627437685,0.025419706324590008,-0.10179565503416022,-0.09958255295509189,-0.10999381868702962,-0.19954990196560607,-0.007156783959195612,-0.010394063003002163,0.7035594039602641,0.4727272727272727,0.27,0.6181818181818182
MTZ,2017-05-17,2017-05-05,41.099998474121094,47.150001525878906,-0.12831395240649546,12,DISTRIBUTION,half_recovery_failed_then_lower_low,1,1,1,1,1,1,0,68,0.08637477332251242,-0.05717758056854394,0.0012166193093485766,0.13990268159305486,0.14111930090240343,-0.17289218223977865,-0.17289218223977865,-0.029515939670312852,0.04846932842353269,0.11989094331640637,0.04027116477066328,0.01992359430589219,-0.009519254134503496,0.15291232223471996,1.0758633506488056,0.4363636363636363,0.0,0.7272727272727273
NEM,2017-05-18,2017-02-06,26.224374771118164,29.824237823486328,-0.12070260013596401,101,AMBIGUOUS,mixed_forward_evidence,1,1,1,1,0,0,0,74,-0.011448655823552367,0.08385879101397364,0.08688596547052985,0.11753227932686627,0.1905908921476822,-0.1019432668273963,-0.1019432668273963,-0.006264545599097948,-0.11204324876454752,-0.014732231248964056,-0.1251653297086055,-0.11057999262557316,-0.006353644705346495,-0.06883083443902505,0.951640989841606,0.45454545454545453,0.15,0.5272727272727273
XOM,2017-06-02,2016-12-13,53.747379302978516,61.44297790527344,-0.12524781292598186,171,AMBIGUOUS,mixed_forward_evidence,0,0,0,0,0,0,0,-1,0.03270444420770491,-0.030567754704496353,0.06761775905878631,0.05018853330549233,0.06761775905878631,-0.07967857940091594,-0.07967857940091594,-0.02961617243820014,-0.026792109706733958,-0.07234197627714223,-0.055364423563652454,-0.19167063660346106,-0.023333356268513517,-0.04712790986662374,0.8865923153250501,0.40909090909090906,0.29000000000000004,0.36363636363636365
MKSI,2017-06-12,2017-06-08,71.54581451416016,81.67992401123047,-0.12407099565465973,4,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,0,1,1,1,0,1,0,92,0.0228460148824019,0.11407118604196587,0.23460155755389978,0.11407118604196587,0.42153671073135257,-0.13607198637279472,-0.1748347683441157,-0.046363906680540246,0.14152743312556915,0.2891871441647207,0.11373766761843696,0.19720681079777735,0.0022830968433424914,0.23070611449216805,1.3253856231247094,0.1636363636363636,0.0,0.9090909090909091
VZ,2017-06-13,2017-01-05,28.539152145385742,32.81727981567383,-0.1303620438475469,159,DISTRIBUTION,half_recovery_failed_then_lower_low,0,1,0,1,1,0,0,171,-0.05164984877430501,0.020310725278500197,0.14399312692499056,0.06653963997892087,0.14399312692499056,-0.06934046162067009,-0.10942854503132071,0.013525518461386499,-0.047521031392004254,-0.0771601637469922,-0.08430380695695128,-0.16789135222562723,-0.007129226396546673,-0.04721767864954196,0.8889018841390466,0.6727272727272726,0.12,0.3454545454545454
HPE,2017-06-14,2017-05-16,9.973336219787598,11.341769218444824,-0.12065427997175071,29,AMBIGUOUS,mixed_forward_evidence,0,1,1,1,0,1,0,103,0.026881368272354766,0.023709860227785873,0.12778116546681284,0.10188652471011839,0.15834762967855287,-0.08315839806444503,-0.12491661348338412,-0.11509777856377079,-0.011442454656456436,-0.05875579873443537,-0.03802770455157778,-0.14935648484671193,-0.08008760681190541,-0.03359471301894601,1.1775101637893866,0.2545454545454546,0.0,0.7454545454545455
ROST,2017-06-16,2016-12-16,55.10364532470703,63.458499908447266,-0.13165855788891856,182,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,0,1,0,1,0,0,0,154,-0.09570559961897085,0.013234254684463709,0.2629028964167064,0.024916909482737726,0.30471544310211973,-0.125639009651193,-0.125639009651193,-0.020947061253155597,-0.10966207556354746,-0.10474787452541712,-0.1383217694545068,-0.19527084054241284,-0.04960221774680906,-0.07181164139174057,1.2384374892185968,0.4727272727272727,0.27,0.5272727272727273
COST,2017-06-22,2017-06-07,141.887939453125,161.78726196289062,-0.12299684331347394,15,AMBIGUOUS,mixed_forward_evidence,0,1,0,1,0,1,1,160,-0.055009867973907944,0.013807420509899915,0.1807229731938682,0.02328727848678458,0.21359238127029312,-0.0609237139835922,-0.07457925629386697,-0.07351986148382794,-0.0010135147475313078,0.02026089662312547,-0.04371844157510141,-0.06227333270900881,-0.07013080261055782,0.01587008817029556,1.7103811171565333,0.1636363636363636,0.0,0.8181818181818181
COHR,2017-06-26,2017-02-15,34.79999923706055,40.0,-0.13000001907348635,131,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,1,1,1,1,0,0,0,28,0.10488510361781289,0.1436781640694753,0.3591954101736883,0.16235636924560315,0.49425290632254293,-0.1470951953205124,-0.1788461391742413,0.1153845636567199,-0.11675132260583698,0.1736930753723076,-0.16322152510330734,0.08424450313179888,0.08132964459702197,0.11333634101956025,0.777571531892304,0.3818181818181818,0.15,0.6909090909090908
KLAC,2017-06-27,2017-06-08,81.85337829589844,94.98551177978516,-0.13825406883454305,19,AMBIGUOUS,mixed_forward_evidence,0,1,1,1,1,1,0,111,0.06455748635014569,0.0635806658895599,0.16124863753119434,0.09403938189634786,0.2130274853789178,-0.13333305803133777,-0.13333305803133777,-0.10378085401349857,-0.01332178726322919,0.20029920534488332,-0.04386260013700216,0.12120695752147315,-0.06906386829609301,0.09292456524659443,1.2151900312821526,0.36363636363636365,0.0,0.7272727272727273
LRCX,2017-06-27,2017-06-08,12.820839881896973,14.62490463256836,-0.1233556591305146,19,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,1,1,1,1,0,1,0,22,0.13926117397651305,0.17473218718909522,0.281371802620201,0.2292954467266084,0.5177096951157147,-0.115480598448653,-0.17436403130440237,-0.06503865446936019,0.13527302329764468,0.34724655069106447,0.10473221042387171,0.2681543028676543,-0.037680321576407994,0.21802725456851624,1.4172219724258484,0.1636363636363636,0.0,0.9090909090909091
ON,2017-06-27,2017-06-08,14.369999885559082,16.649999618530273,-0.13693692403654545,19,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,1,1,1,1,0,1,0,41,0.060542790013058845,0.23173283951983925,0.45233131561861706,0.23173283951983925,0.5267919769509459,-0.05852417688716949,-0.13491344210436362,-0.07230470639821274,-0.06017005092146832,0.10794137160422657,-0.09071086379524129,0.028849123780816388,-0.05008065380475668,0.05428426154682131,1.0059948001832313,0.2727272727272727,0.0,0.7999999999999999
TER,2017-06-27,2017-04-27,29.619644165039062,34.65193557739258,-0.1452239630630231,61,SHAKEOUT,reclaimed_prior_high_with_positive_6m_return,1,1,1,1,0,0,0,27,0.10867497307012886,0.1509340067475362,0.36317861085653735,0.19132340418297789,0.43559794101752924,-0.11358724818557964,-0.11537230077597627,-0.1269706684590617,0.006840895369415678,0.21092998065456325,-0.023699917504357293,0.13183773283115308,-0.09336541374240315,0.10936625439685144,1.2491519621461282,0.2727272727272727,0.0,0.7999999999999999
