date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,week_end_date
2019-06-07,HEI,106.0,126.92864990234375,13454.436889648438,0.13203750242067477,121.5122299194336,574.1405181884766,2019-06-07
2019-06-07,SBAC,64.0,202.28994750976562,12946.556640625,0.12705332952961612,199.46424865722656,180.8447265625,2019-06-07
2019-06-07,FDS,46.0,273.089111328125,12562.09912109375,0.12328038748216337,258.8158874511719,656.5682983398438,2019-06-07
2019-06-07,AWI,145.0,88.55223846435547,12840.074577331543,0.126008348918002,84.33500671386719,611.4986038208008,2019-06-07
2019-06-14,HEI,106.0,125.1628646850586,13267.263656616211,0.1297397482148917,121.5122299194336,386.96728515625,2019-06-14
2019-06-14,SBAC,64.0,207.79441833496094,13298.8427734375,0.13004855843916124,199.46424865722656,533.130859375,2019-06-14
2019-06-14,AWI,145.0,88.67350006103516,12857.657508850098,0.1257342351073003,84.33500671386719,629.0815353393555,2019-06-14
2019-06-14,FDS,46.0,276.9868469238281,12741.394958496094,0.12459731084016046,258.8158874511719,835.8641357421875,2019-06-14
2019-06-21,SBAC,64.0,212.75759887695312,13616.486328125,0.13187136162138294,199.46424865722656,850.7744140625,2019-06-21
2019-06-21,HEI,106.0,127.24612426757812,13488.089172363281,0.13062787579467317,121.5122299194336,607.7928009033203,2019-06-21
2019-06-21,AWI,145.0,91.30462646484375,13239.170837402344,0.1282171804821809,84.33500671386719,1010.5948638916016,2019-06-21
2019-06-21,FDS,46.0,278.6227111816406,12816.644714355469,0.12412514867426087,258.8158874511719,911.1138916015625,2019-06-21
2019-06-28,SBAC,64.0,206.27145385742188,13201.373046875,0.12836042541755313,199.46424865722656,435.6611328125,2019-06-28
2019-06-28,HEI,106.0,132.81253051757812,14078.128234863281,0.13688534691758322,121.5122299194336,1197.8318634033203,2019-06-28
2019-06-28,FDS,46.0,267.8546142578125,12321.312255859375,0.11980336266908283,258.8158874511719,415.78143310546875,2019-06-28
2019-06-28,AWI,145.0,90.6888427734375,13149.882202148438,0.1278597663792287,84.33500671386719,921.3062286376953,2019-06-28
2019-07-05,ACM,638.0,35.730525970458984,22796.075569152832,0.22206752257103063,36.200035095214844,-299.5468215942383,2019-07-05
2019-07-05,HD,129.0,179.43202209472656,23146.730850219727,0.22548342410665917,178.43072509765625,129.1673126220703,2019-07-05
2019-07-05,LPX,974.0,23.94463348388672,23322.073013305664,0.2271915163456334,23.74659538269043,192.88911056518555,2019-07-05
2019-07-12,LPX,974.0,23.278505325317383,22673.26418685913,0.22056786926817973,23.74659538269043,-455.91971588134766,2019-07-12
2019-07-12,HD,129.0,185.17665100097656,23887.787979125977,0.23238288288192605,178.43072509765625,870.2244415283203,2019-07-12
2019-07-12,ACM,638.0,35.80717849731445,22844.97988128662,0.2222383373810917,36.200035095214844,-250.64250946044922,2019-07-12
2019-07-19,ACM,638.0,34.9831428527832,22319.245140075684,0.21913803665437812,36.200035095214844,-776.3772506713867,2019-07-19
2019-07-19,HD,129.0,180.77272033691406,23319.680923461914,0.2289606597759995,178.43072509765625,302.1173858642578,2019-07-19
2019-07-19,LPX,974.0,23.431535720825195,22822.31579208374,0.22407735759859485,23.74659538269043,-306.8681106567383,2019-07-19
2019-07-26,ACM,638.0,35.33766555786133,22545.430625915527,0.21890689602256602,36.200035095214844,-550.191764831543,2019-07-26
2019-07-26,HD,129.0,184.0565643310547,23743.296798706055,0.23053768587470516,178.43072509765625,725.7332611083984,2019-07-26
2019-07-26,LPX,974.0,23.935632705688477,23313.306255340576,0.22636265383699392,23.74659538269043,184.12235260009766,2019-07-26
2019-07-31,ACM,638.0,34.44655990600586,21976.90522003174,0.21614768002126106,36.200035095214844,-1118.717170715332,2019-08-02
2019-07-31,LPX,974.0,23.530553817749023,22918.75941848755,0.2254110225108554,23.74659538269043,-210.4244842529297,2019-08-02
2019-08-02,HD,126.0,180.0175018310547,22682.20523071289,0.22755902590833715,178.43072509765625,199.93386840820312,2019-08-02
2019-08-02,CTAS,374.0,60.176795959472656,22506.121688842773,0.22579246931214703,60.32117462158203,-53.99761962890625,2019-08-02
2019-08-02,TER,424.0,51.94672775268555,22025.412567138672,0.22096975924636744,53.23884963989258,-547.8596801757812,2019-08-02
2019-08-09,HD,126.0,178.2101287841797,22454.47622680664,0.22601552329963348,178.43072509765625,-27.795135498046875,2019-08-09
2019-08-09,CTAS,374.0,61.343509674072266,22942.472618103027,0.23092745082059313,60.32117462158203,382.35330963134766,2019-08-09
2019-08-09,TER,424.0,50.68376541137695,21489.916534423828,0.21630674802357627,53.23884963989258,-1083.355712890625,2019-08-09
2019-08-16,HD,126.0,172.80494689941406,21773.423309326172,0.21976739823831734,178.43072509765625,-708.8480529785156,2019-08-16
2019-08-16,CTAS,374.0,61.57169723510742,23027.814765930176,0.2324284457398444,60.32117462158203,467.6954574584961,2019-08-16
2019-08-16,TER,424.0,51.441551208496094,21811.217712402344,0.22014887144599904,53.23884963989258,-762.0545349121094,2019-08-16
2019-08-23,CTAS,374.0,59.62488555908203,22299.70719909668,0.2242779681071204,60.32117462158203,-260.412109375,2019-08-23
2019-08-23,TER,424.0,50.50889587402344,21415.771850585938,0.21538784133854655,53.23884963989258,-1157.5003967285156,2019-08-23
2019-08-23,HD,126.0,184.53175354003906,23251.000946044922,0.23384554792929868,178.43072509765625,768.7295837402344,2019-08-23
2019-08-30,HD,126.0,193.3905029296875,24367.203369140625,0.23977657661929072,178.43072509765625,1884.9320068359375,2019-08-30
2019-08-30,CTAS,374.0,61.431976318359375,22975.559143066406,0.2260826092261074,60.32117462158203,415.43983459472656,2019-08-30
2019-08-30,TER,424.0,51.46098327636719,21819.456909179688,0.21470640689119627,53.23884963989258,-753.8153381347656,2019-08-30
2019-09-06,HD,119.0,197.32046508789062,23481.135345458984,0.23033222947409554,178.43072509765625,2247.8790588378906,2019-09-06
2019-09-06,BKNG,296.0,77.26184844970703,22869.50714111328,0.22433261804800547,76.246826171875,300.44659423828125,2019-09-06
2019-09-06,RMD,174.0,132.23641967773438,23009.13702392578,0.22570228189671837,129.8518524169922,414.9147033691406,2019-09-06
2019-09-13,BKNG,296.0,81.04203033447266,23988.440979003906,0.2351276138116175,76.246826171875,1419.3804321289062,2019-09-13
2019-09-13,RMD,174.0,124.59254455566406,21679.102752685547,0.2124921625493431,129.8518524169922,-915.1195678710938,2019-09-13
2019-09-13,HD,119.0,199.75352478027344,23770.66944885254,0.23299308158897694,178.43072509765625,2537.4131622314453,2019-09-13
2019-09-20,HD,119.0,191.80538940429688,22824.841339111328,0.2257979813891644,178.43072509765625,1591.5850524902344,2019-09-20
