date,leader_basket_level,available_tickers,target_tickers,available_weight
2019-05-31,100.78896371784975,2,2,1.0
2019-06-03,100.92468594893974,2,2,1.0
2019-06-04,103.50726192676058,2,2,1.0
2019-06-05,104.67535865016738,2,2,1.0
2019-06-06,104.94823172957886,2,2,1.0
2019-06-07,105.95992974825005,2,2,1.0
2019-06-10,106.87282302052108,2,2,1.0
2019-06-11,106.0603396033385,2,2,1.0
2019-06-12,107.33142721638772,2,2,1.0
2019-06-13,106.62054331863132,2,2,1.0
2019-06-14,105.98222568840293,2,2,1.0
2019-06-17,105.9008646445561,2,2,1.0
2019-06-18,107.16012949829911,2,2,1.0
2019-06-19,108.99564950721931,2,2,1.0
2019-06-20,108.1203647277986,2,2,1.0
2019-06-21,107.1855496160896,2,2,1.0
2019-06-24,106.81201644944304,2,2,1.0
2019-06-25,105.27073712171965,2,2,1.0
2019-06-26,106.45525122175535,2,2,1.0
2019-06-27,106.24059619764583,2,2,1.0
2019-06-28,107.42572741239337,2,2,0.9999999999999999
2019-07-01,107.59684008325922,2,2,0.9999999999999999
2019-07-02,108.955117050907,2,2,0.9999999999999999
2019-07-03,109.51524835763851,2,2,0.9999999999999999
2019-07-05,109.18934782114503,2,2,0.9999999999999999
2019-07-08,109.25441873374089,2,2,0.9999999999999999
2019-07-09,109.81721148733304,2,2,0.9999999999999999
2019-07-10,109.18111630747832,2,2,0.9999999999999999
2019-07-11,109.94924639921324,2,2,0.9999999999999999
2019-07-12,110.97695075388232,2,2,0.9999999999999999
2019-07-15,110.98220049637423,2,2,0.9999999999999999
2019-07-16,111.05019198766075,2,2,0.9999999999999999
2019-07-17,110.7137714104067,2,2,0.9999999999999999
2019-07-18,110.84169147918124,2,2,0.9999999999999999
2019-07-19,110.10653548721844,2,2,0.9999999999999999
2019-07-22,109.66118290666631,2,2,0.9999999999999999
2019-07-23,110.51069681996563,2,2,0.9999999999999999
2019-07-24,111.26945533576757,2,2,0.9999999999999999
2019-07-25,111.83944052693728,2,2,0.9999999999999999
2019-07-26,111.73236881534669,2,2,0.9999999999999999
2019-07-29,111.60041650907382,2,2,0.9999999999999999
2019-07-30,111.633176312501,2,2,0.9999999999999999
2019-07-31,110.17897508336269,2,2,1.0
2019-08-01,109.65902095801195,2,2,1.0
2019-08-02,109.3525981500468,2,2,1.0
2019-08-05,105.95194036771383,2,2,1.0
2019-08-06,108.23024765816744,2,2,1.0
2019-08-07,108.26470213875689,2,2,1.0
2019-08-08,110.44081775934296,2,2,1.0
2019-08-09,109.85450455351189,2,2,1.0
2019-08-12,108.64606681044962,2,2,1.0
2019-08-13,109.98376049180382,2,2,1.0
2019-08-14,106.25221076773425,2,2,1.0
2019-08-15,106.98780448793322,2,2,1.0
2019-08-16,108.38199362818825,2,2,1.0
2019-08-19,110.22718111734522,2,2,1.0
2019-08-20,112.65367170294915,2,2,1.0
2019-08-21,113.47256885430505,2,2,1.0
2019-08-22,112.95595777572625,2,2,1.0
2019-08-23,110.25063948907686,2,2,1.0
2019-08-26,111.47553506265,2,2,1.0
2019-08-27,111.53680269271193,2,2,1.0
2019-08-28,112.7125850687715,2,2,1.0
2019-08-29,114.59628139624911,2,2,1.0
2019-08-30,115.1259415806896,2,2,1.0
2019-09-03,113.5238439589088,2,2,1.0
2019-09-04,113.91555401353058,2,2,1.0
2019-09-05,115.96508912950092,2,2,1.0
2019-09-06,116.7100655878903,2,2,1.0
2019-09-09,114.9906563739678,2,2,1.0
2019-09-10,114.70363636894157,2,2,1.0
2019-09-11,114.33395291590301,2,2,1.0
2019-09-12,114.72952075855595,2,2,1.0
2019-09-13,114.015721974506,2,2,1.0
2019-09-16,112.6489600297841,2,2,1.0
2019-09-17,113.84631191419864,2,2,1.0
2019-09-18,113.4258272162623,2,2,1.0
2019-09-19,113.15781672450576,2,2,1.0
2019-09-20,112.73440547108069,2,2,1.0
2019-09-23,113.54142307574969,2,2,1.0
2019-09-24,113.37672033434177,2,2,1.0
2019-09-25,114.21626844649764,2,2,1.0
2019-09-26,114.05154160948338,2,2,1.0
2019-09-27,113.64103292641671,2,2,1.0
2019-09-30,114.93402881569531,2,2,1.0
2019-10-01,113.13993127189545,2,2,1.0
2019-10-02,111.2585998677995,2,2,1.0
2019-10-03,111.2206379995718,2,2,1.0
2019-10-04,112.25716688392549,2,2,1.0
2019-10-07,112.34072293533775,2,2,1.0
2019-10-08,112.17918891049011,2,2,1.0
2019-10-09,113.84973325788215,2,2,1.0
2019-10-10,114.53982234600777,2,2,1.0
2019-10-11,113.12736629381033,2,2,1.0
2019-10-14,113.22414569774483,2,2,1.0
2019-10-15,114.12604215002037,2,2,1.0
2019-10-16,114.84831021586116,2,2,1.0
2019-10-17,114.55143857585632,2,2,1.0
2019-10-18,114.31814239455021,2,2,1.0
2019-10-21,113.86175860641801,2,2,1.0
2019-10-22,115.37559803921411,2,2,1.0
2019-10-23,114.28177354506212,2,2,1.0
2019-10-24,115.49513183063557,2,2,1.0
2019-10-25,116.3313788689052,2,2,1.0
2019-10-28,116.82234669725165,2,2,1.0
2019-10-29,116.96955526477858,2,2,1.0
2019-10-30,117.14843713895014,2,2,1.0
2019-10-31,116.9678663154696,2,2,1.0
2019-11-01,116.69114945402059,2,2,1.0
2019-11-04,115.92284717057834,2,2,1.0
2019-11-05,116.06746401408803,2,2,1.0
2019-11-06,116.63659007079146,2,2,1.0
2019-11-07,111.86114716503486,2,2,1.0
2019-11-08,112.6149399367756,2,2,1.0
2019-11-11,113.21213301894574,2,2,1.0
2019-11-12,112.60392387520135,2,2,1.0
2019-11-13,112.32259264811762,2,2,1.0
2019-11-14,112.71484239928722,2,2,1.0
2019-11-15,112.46884785922049,2,2,1.0
2019-11-18,112.72924074120505,2,2,1.0
2019-11-19,112.28565422782074,2,2,1.0
2019-11-20,111.74273582277098,2,2,1.0
2019-11-21,111.91224738363353,2,2,1.0
2019-11-22,112.46542897719972,2,2,1.0
2019-11-25,113.03137132716833,2,2,1.0
2019-11-26,113.28340301858768,2,2,1.0
2019-11-27,114.28616197166926,2,2,1.0
2019-11-29,113.9269786329319,2,2,1.0
2019-12-02,112.21735887541516,2,2,1.0
2019-12-03,110.81393765796501,2,2,1.0
2019-12-04,110.97320419006088,2,2,1.0
2019-12-05,113.58010085240707,2,2,1.0
2019-12-06,115.21372334782139,2,2,1.0
2019-12-09,113.5084318521882,2,2,1.0
2019-12-10,114.32843235015008,2,2,1.0
2019-12-11,116.0109157699946,2,2,1.0
2019-12-12,116.1190510669185,2,2,1.0
2019-12-13,117.02466808428173,2,2,1.0
2019-12-16,118.6145081430835,2,2,1.0
2019-12-17,119.0777696475182,2,2,1.0
2019-12-18,119.45605533523616,2,2,1.0
2019-12-19,119.55278876664968,2,2,1.0
2019-12-20,120.03209500125912,2,2,1.0
2019-12-23,121.74096399088705,2,2,1.0
2019-12-24,121.63733981046022,2,2,1.0
2019-12-26,123.44577708559783,2,2,1.0
2019-12-27,123.16275408996667,2,2,1.0
2019-12-30,122.79662710453282,2,2,1.0
2019-12-31,123.1004766371141,2,2,1.0
2020-01-02,127.08156465713233,2,2,1.0
2020-01-03,128.16360982574716,2,2,1.0
2020-01-06,129.29117144398955,2,2,1.0
2020-01-07,132.09487190633294,2,2,1.0
2020-01-08,135.45701144671392,2,2,1.0
2020-01-09,135.14508749559056,2,2,1.0
2020-01-10,135.32186189754773,2,2,1.0
2020-01-13,143.9417984307059,2,2,1.0
2020-01-14,144.4867014136795,2,2,1.0
2020-01-15,141.42243508286856,2,2,1.0
2020-01-16,140.38730323987392,2,2,1.0
2020-01-17,141.07250394621613,2,2,1.0
2020-01-21,144.53993113147058,2,2,1.0
2020-01-22,147.5288389543659,2,2,1.0
2020-01-23,146.7959810700921,2,2,1.0
2020-01-24,144.04728201647487,2,2,1.0
2020-01-27,140.39019967586182,2,2,1.0
2020-01-28,143.13341080167007,2,2,1.0
2020-01-29,145.52151898650118,2,2,1.0
2020-01-30,151.8326011389184,2,2,1.0
2020-01-31,149.98142491189958,2,2,1.0
2020-02-03,155.04823387799632,2,2,1.0
2020-02-04,156.57820220834435,2,2,1.0
2020-02-05,155.7066076290568,2,2,1.0
2020-02-06,157.4522080639899,2,2,1.0
2020-02-07,156.0548008952758,2,2,1.0
2020-02-10,157.3343773290925,2,2,1.0
2020-02-11,157.86511708421781,2,2,1.0
2020-02-12,160.94114747404257,2,2,1.0
2020-02-13,159.33276132611002,2,2,1.0
2020-02-14,159.38864294370543,2,2,1.0
2020-02-18,159.65550707213387,2,2,1.0
2020-02-19,160.61070741845808,2,2,1.0
2020-02-20,158.67931403648961,2,2,1.0
2020-02-21,154.96948526210085,2,2,1.0
2020-02-24,149.3117534423093,2,2,1.0
2020-02-25,147.3722372091201,2,2,1.0
2020-02-26,148.74497780539514,2,2,1.0
2020-02-27,143.41457740833346,2,2,1.0
2020-02-28,145.79516190386948,2,2,1.0
2020-03-02,150.93276453868714,2,2,1.0
2020-03-03,146.4193360134952,2,2,1.0
2020-03-04,151.4545232680332,2,2,1.0
2020-03-05,147.82166412583493,2,2,1.0
2020-03-06,142.72456353925554,2,2,1.0
2020-03-09,134.6330668855391,2,2,1.0
2020-03-10,142.3791510724246,2,2,1.0
2020-03-11,134.7534639599043,2,2,1.0
2020-03-12,123.46613831776648,2,2,1.0
2020-03-13,132.45178654941694,2,2,1.0
2020-03-16,122.16004309214613,2,2,1.0
2020-03-17,129.2557577338196,2,2,1.0
2020-03-18,125.4915428503242,2,2,1.0
2020-03-19,125.68551725064226,2,2,1.0
2020-03-20,120.63490243449094,2,2,1.0
2020-03-23,119.13156439609487,2,2,1.0
2020-03-24,126.20158498042927,2,2,1.0
2020-03-25,125.45568641322296,2,2,1.0
2020-03-26,134.82886151924632,2,2,1.0
2020-03-27,127.76437333539256,2,2,1.0
2020-03-30,131.5608783365558,2,2,1.0
2020-03-31,133.4503482719493,2,2,1.0
2020-04-01,130.62904154932815,2,2,1.0
2020-04-02,134.13558567332657,2,2,1.0
2020-04-03,132.75136998113294,2,2,1.0
2020-04-06,140.26236871593974,2,2,1.0
2020-04-07,138.89201372624532,2,2,1.0
2020-04-08,138.09382948313947,2,2,1.0
2020-04-09,138.91065811593754,2,2,1.0
2020-04-13,141.5289524216344,2,2,1.0
2020-04-14,146.15689677968913,2,2,1.0
2020-04-15,145.39030212152875,2,2,1.0
2020-04-16,152.8314836354936,2,2,1.0
2020-04-17,152.3048134497508,2,2,1.0
