date,signal_date,ticker,target_weight,actual_weight,shares,price
2019-06-03,2019-05-31,FDS,0.2,0.19948700632507496,77.0,258.8158874511719
2019-06-03,2019-05-31,HEI,0.2,0.19947882190041336,164.0,121.5122299194336
2019-06-12,2019-06-11,FDS,0.35,0.3496330939203646,127.0,281.81005859375
2019-06-12,2019-06-11,HEI,0.35,0.3500879199847768,284.0,126.18463134765625
2019-06-13,2019-06-12,FDS,0.5,0.49877921508570994,183.0,277.5010070800781
2019-06-13,2019-06-12,HEI,0.5,0.4992430729489535,402.0,126.44256591796875
2019-06-14,2019-06-13,FDS,0.35,0.35058015505080764,128.0,276.9868469238281
2019-06-14,2019-06-13,HEI,0.35,0.3514892501507733,284.0,125.1628646850586
2019-06-17,2019-06-14,FDS,0.5,0.4979555329416654,182.0,276.3420104980469
2019-06-17,2019-06-14,HEI,0.5,0.4998007658388673,403.0,125.26207733154297
2019-07-01,2019-06-28,HD,0.5,0.49752575966728874,284.0,178.43072509765625
2019-07-01,2019-06-28,HEI,0.4999999999999999,0.5019314327130564,388.0,131.7604522705078
2019-08-01,2019-07-31,CTAS,0.5,0.500613494754953,865.0,60.32117462158203
2019-08-01,2019-07-31,HD,0.5,0.49901514946422,288.0,180.5945281982422
2019-08-06,2019-08-05,CTAS,0.2,0.20057808148216036,344.0,59.892677307128906
2019-08-06,2019-08-05,HD,0.2,0.20180852195202534,117.0,177.17495727539062
2019-09-03,2019-08-30,HD,0.2,0.20043314354394967,110.0,190.13209533691406
2019-09-03,2019-08-30,RMD,0.2,0.19910838536715875,160.0,129.8518524169922
2019-09-10,2019-09-09,HD,0.35,0.3495064780621978,184.0,198.91688537597656
2019-09-10,2019-09-09,RMD,0.35,0.34948383629661095,289.0,126.6378402709961
2019-09-11,2019-09-10,HD,0.5,0.5003400894421394,263.0,198.6266326904297
2019-09-11,2019-09-10,RMD,0.5,0.4996487271198835,414.0,126.00633239746094
2019-09-25,2019-09-24,HD,0.35,0.3513086221759909,188.0,194.73367309570312
2019-09-25,2019-09-24,RMD,0.35,0.3505896185349665,285.0,128.1929931640625
2019-10-01,2019-09-30,MLM,0.35,0.3486602051915047,141.0,256.3644714355469
2019-10-01,2019-09-30,SHW,0.35,0.3490063819911939,211.0,171.4847412109375
2019-10-03,2019-10-02,MLM,0.2,0.20144549612414428,83.0,248.4738311767578
2019-10-03,2019-10-02,SHW,0.2,0.20038827119699457,120.0,170.9591064453125
2019-10-16,2019-10-15,MLM,0.35,0.3494257083755391,142.0,255.0349884033203
2019-10-16,2019-10-15,SHW,0.35,0.34954358961926635,204.0,177.58424377441406
2019-10-17,2019-10-16,MLM,0.5,0.4990355248522484,202.0,255.388916015625
2019-10-17,2019-10-16,SHW,0.5,0.5000262521791833,293.0,176.4197235107422
2019-11-01,2019-10-31,BKNG,0.5,0.5006649817788975,652.0,79.79021453857422
2019-11-01,2019-10-31,ORLY,0.5,0.49907994400792133,1780.0,29.134000778198242
2019-12-02,2019-11-29,AAPL,0.5,0.500811345362328,793.0,63.6181640625
