date,signal_date,ticker,target_weight,actual_weight,shares,price
2019-06-03,2019-05-31,PEG,0.1150520496332599,0.11512655319176031,245.0,46.92022705078125
2019-06-03,2019-05-31,ORLY,0.103884770968069,0.10393896267591868,416.0,24.947999954223633
2019-06-03,2019-05-31,ELS,0.0880623940183087,0.08801651050826602,175.0,50.220008850097656
2019-06-03,2019-05-31,FDS,0.086219006039979,0.08553703358733368,33.0,258.8158874511719
2019-06-03,2019-05-31,WRB,0.0793910145330264,0.07935679636203596,331.0,23.939044952392578
2019-06-03,2019-05-31,TSCO,0.0743559884988942,0.07443478602637212,408.0,18.216564178466797
2019-06-03,2019-05-31,AMT,0.0530347763084625,0.05207600461748892,30.0,173.3273468017578
2019-06-04,2019-06-03,PEG,0.0479383540138583,0.048232616555739655,103.0,46.94393539428711
2019-06-04,2019-06-03,ORLY,0.0432853212366954,0.04338079846223472,174.0,24.99333381652832
2019-06-04,2019-06-03,ELS,0.0366926641742953,0.03702146752794617,74.0,50.15310287475586
2019-06-04,2019-06-03,FDS,0.0359245858499912,0.03720061583244981,14.0,266.3777770996094
2019-06-04,2019-06-03,WRB,0.033079589388761,0.03312240811534542,138.0,24.061279296875
2019-06-04,2019-06-03,TSCO,0.0309816618745392,0.031031795172243894,166.0,18.74022102355957
2019-06-04,2019-06-03,AMT,0.0220978234618593,0.02233933664375657,13.0,172.2672882080078
2019-06-12,2019-06-11,PEG,0.1150520496332599,0.11495226524270297,242.0,47.93336486816406
2019-06-12,2019-06-11,ORLY,0.103884770968069,0.10395126338286981,409.0,25.6473331451416
2019-06-12,2019-06-11,ELS,0.0880623940183087,0.08764487513458197,172.0,51.42020797729492
2019-06-12,2019-06-11,FDS,0.086219006039979,0.08378031633200154,30.0,281.81005859375
2019-06-12,2019-06-11,WRB,0.0793910145330264,0.07936478133794143,324.0,24.718297958374023
2019-06-12,2019-06-11,TSCO,0.0743559884988942,0.07422869005317138,388.0,19.305267333984375
2019-06-12,2019-06-11,AMT,0.0530347763084625,0.052073215721845104,30.0,175.15756225585938
2019-06-13,2019-06-12,PEG,0.1917534160554332,0.1915062705635691,404.0,47.789981842041016
2019-06-13,2019-06-12,ORLY,0.1731412849467817,0.17324884461017126,676.0,25.83799934387207
2019-06-13,2019-06-12,ELS,0.1467706566971812,0.14658894573773712,285.0,51.8551139831543
2019-06-13,2019-06-12,FDS,0.1436983433999651,0.1431306604930091,52.0,277.5010070800781
2019-06-13,2019-06-12,WRB,0.1323183575550441,0.13223246544897657,538.0,24.779415130615234
2019-06-13,2019-06-12,TSCO,0.123926647498157,0.12394343376879374,642.0,19.463624954223633
2019-06-13,2019-06-12,AMT,0.0883912938474375,0.08756300498140679,51.0,173.09547424316406
2019-07-01,2019-06-28,PEG,0.1754399302344647,0.1759809805374617,376.0,46.53152084350586
