ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
FDS,BUY,9.0,258.8158874511719,2329.342987060547,5.823357467651367,-2335.1663445281984,97664.8336554718,9.0,2019-06-03,2019-05-31,target_rebalance,0.0242239986402845,next_close
SHOP,BUY,96.0,26.5,2544.0,6.36,-2550.36,95114.4736554718,96.0,2019-06-03,2019-05-31,target_rebalance,0.0254937053895228,next_close
HD,BUY,54.0,159.73707580566406,8625.80209350586,21.56450523376465,-8647.366598739623,86467.10705673217,54.0,2019-06-03,2019-05-31,target_rebalance,0.0876940759033131,next_close
SBUX,BUY,181.0,65.337646484375,11826.114013671875,29.565285034179688,-11855.679298706054,74611.42775802611,181.0,2019-06-03,2019-05-31,target_rebalance,0.118316539858434,next_close
HEI,BUY,192.0,121.5122299194336,23330.34814453125,58.32587036132813,-23388.67401489258,51222.75374313354,192.0,2019-06-03,2019-05-31,target_rebalance,0.2342716802084453,next_close
FDS,SELL,9.0,268.02288818359375,2412.2059936523438,6.03051498413086,2406.1754786682127,53628.92922180175,0.0,2019-07-01,2019-06-28,target_exit,,next_close
SBUX,SELL,45.0,72.47830963134766,3261.5239334106445,8.153809833526612,3253.3701235771177,56882.299345378866,136.0,2019-07-01,2019-06-28,target_rebalance,0.0938069390875247,next_close
SHOP,BUY,124.0,30.468000411987305,3778.032051086426,9.445080127716064,-3787.477131214142,53094.82221416473,220.0,2019-07-01,2019-06-28,target_rebalance,0.0640908865304836,next_close
VEEV,BUY,23.0,163.47000122070312,3759.810028076172,9.39952507019043,-3769.2095531463624,49325.612661018364,23.0,2019-07-01,2019-06-28,target_rebalance,0.0364916847104598,next_close
ORCL,BUY,104.0,52.40153884887695,5449.760040283203,13.624400100708009,-5463.384440383911,43862.22822063445,104.0,2019-07-01,2019-06-28,target_rebalance,0.0524728533184343,next_close
AWI,BUY,77.0,91.9670639038086,7081.463920593262,17.703659801483155,-7099.167580394745,36763.06064023971,77.0,2019-07-01,2019-06-28,target_rebalance,0.0681488043080593,next_close
