rebalance_date,policy,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,monster_count,winner_count,scout_count,equity,drawdown
2019-05-31,lifecycle_review_concentrated,0.00890316028003299,0.00037500000000000006,0.07500000000000001,0.00852816028003299,0.85,3,"SBAC,BR,MSCI",0,0,3,1.008528160280033,0.0
2019-06-28,lifecycle_review_concentrated,0.0008980557480555979,0.0008250000000000001,0.165,7.305574805559776e-05,0.52,6,"SBAC,BR,MSCI,NOC,HEI,TT",0,0,4,1.008601839059217,0.0
2019-07-31,lifecycle_review_concentrated,0.04640743801522662,0.0008000000000000001,0.16000000000000003,0.04560743801522662,0.19999999999999996,7,"SBAC,BR,MSCI,NOC,HEI,TT,RMD",0,0,2,1.054601584916154,0.0
2019-08-30,lifecycle_review_concentrated,-0.054242801932607186,0.0014000000000000002,0.28,-0.055642801932607185,0.019999999999999907,7,"SBAC,MSCI,NOC,HEI,RMD,EW,TGT",0,1,2,0.9959205978088509,-0.05564280193260718
2019-09-30,lifecycle_review_concentrated,0.016815675606486905,0.00305,0.61,0.013765675606486904,0.0,7,"NOC,RMD,EW,TGT,SYY,SHW,LHX",0,2,3,1.0096301176881062,-0.04264308708736042
2019-10-31,lifecycle_review_concentrated,0.030795562728508804,0.0014599088316209392,0.2919817663241878,0.029335653896887866,1.1102230246251565e-16,7,"NOC,RMD,EW,TGT,SYY,SHW,AAPL",1,2,2,1.0392482773844787,-0.014558396034362153
2019-11-29,lifecycle_review_concentrated,0.027863237989403006,0.0003083066517769645,0.061661330355392896,0.027554931337626043,0.0,7,"NOC,RMD,EW,TGT,SYY,SHW,AAPL",1,2,1,1.067884692310554,0.0
2019-12-31,lifecycle_review_concentrated,-0.007056764546693548,0.000511511948064979,0.10230238961299581,-0.007568276494758527,0.0,7,"NOC,RMD,EW,TGT,SYY,SHW,AAPL",1,3,1,1.0598026456946277,-0.007568276494758441
2020-01-31,lifecycle_review_concentrated,-0.007354385228215294,0.001609799703039302,0.3219599406078604,-0.008964184931254596,0.0,7,"NOC,RMD,SYY,AAPL,ADSK,FICO,GOOG",1,2,3,1.0503023787879882,-0.016464617995903152
2020-02-28,lifecycle_review_concentrated,-0.03891758825954142,0.0021301406480791606,0.4260281296158321,-0.04104772890762058,0.38,7,"AAPL,ADSK,FICO,GOOG,NOW,CLX,MSCI",0,1,6,1.0071898514724698,-0.056836511727460404
2020-03-31,lifecycle_review_concentrated,0.05989814773637811,0.002125,0.42500000000000004,0.05777314773637811,0.57,5,"CLX,MSCI,AMZN,GILD,VRTX",0,0,3,1.0653783795601695,-0.002346988179933285
2020-04-30,lifecycle_review_concentrated,0.051469714944096745,0.0014249999999999998,0.285,0.05004471494409674,0.0,7,"CLX,MSCI,AMZN,GILD,VRTX,INCY,CDNS",0,2,2,1.1186949368728618,0.0
2020-05-29,lifecycle_review_concentrated,0.04064834074428352,0.0013744913257656886,0.2748982651531377,0.03927384941851783,1.1102230246251565e-16,7,"CLX,MSCI,AMZN,VRTX,INCY,CDNS,MELI",0,4,1,1.1626303933688649,0.0
2020-06-30,lifecycle_review_concentrated,0.08363667731492914,0.000771874811554001,0.1543749623108002,0.08286480250337515,2.220446049250313e-16,7,"CLX,MSCI,AMZN,VRTX,INCY,CDNS,MELI",1,5,0,1.258971531299797,0.0
2020-07-31,lifecycle_review_concentrated,0.025411100228108937,0.0009816083606658211,0.1963216721331642,0.024429491867443115,0.0,7,"CLX,MSCI,AMZN,INCY,CDNS,MELI,SE",2,4,1,1.2897275660850278,0.0
2020-08-31,lifecycle_review_concentrated,-0.05801013576795187,0.0006866952789699569,0.1373390557939914,-0.05869683104692183,0.0,7,"CLX,MSCI,AMZN,CDNS,MELI,SE,WDAY",3,2,1,1.2140246450419772,-0.058696831046921916
2020-09-30,lifecycle_review_concentrated,-0.009844335829941946,0.0029294274300932094,0.5858854860186419,-0.012773763260035155,0.0,7,"MSCI,CDNS,SE,WDAY,TT,CHRW,TGT",1,1,3,1.1985169816343626,-0.07072081488304949
2020-10-30,lifecycle_review_concentrated,0.024384130049050132,0.0025037500000000003,0.50075,0.021880380049050133,0.7015,6,"SE,WDAY,TGT,MLM,GOOG,GOOGL",0,0,4,1.224740988687763,-0.05038783314101891
2020-11-30,lifecycle_review_concentrated,0.024420160688960454,0.00175375,0.35075,0.022666410688960456,0.0,7,"SE,WDAY,TGT,MLM,GOOG,GOOGL,STE",0,1,1,1.2525014709249633,-0.028863533771759542
2020-12-31,lifecycle_review_concentrated,0.13229968372451237,0.0006042056074766356,0.12084112149532712,0.13169547811703572,0.019999999999999907,7,"SE,TGT,MLM,GOOG,GOOGL,STE,HPQ",0,1,2,1.4174502509807168,0.0
2021-01-29,lifecycle_review_concentrated,0.07846926880687397,0.00115,0.23,0.07731926880687397,0.19999999999999996,7,"TGT,MLM,GOOG,GOOGL,STE,HPQ,CSCO",0,0,2,1.5270464679566658,0.0
2021-02-26,lifecycle_review_concentrated,0.0226969629777342,0.0010750000000000002,0.21500000000000002,0.0216219629777342,0.0,7,"TGT,MLM,GOOG,GOOGL,HPQ,CSCO,BX",0,4,2,1.5600642101521045,0.0
2021-03-31,lifecycle_review_concentrated,0.08537341233092782,0.0007505677264226557,0.15011354528453114,0.08462284460450517,0.0,7,"TGT,MLM,GOOG,GOOGL,HPQ,CSCO,ODFL",2,2,1,1.6920812813808561,0.0
2021-04-30,lifecycle_review_concentrated,0.0021216458265440547,0.0006041028652934513,0.12082057305869026,0.0015175429612506034,0.0,7,"TGT,MLM,GOOG,GOOGL,HPQ,CSCO,ODFL",4,0,0,1.6946490874192797,0.0
2021-05-28,lifecycle_review_concentrated,-0.0008857451407731571,0.0010330578512396692,0.20661157024793386,-0.0019188029920128263,0.0,7,"TGT,MLM,GOOG,GOOGL,CSCO,ODFL,NEM",3,1,1,1.6913973896799277,-0.001918802992012858
2021-06-30,lifecycle_review_concentrated,0.08617488199647375,0.0012790697674418606,0.2558139534883721,0.08489581222903189,0.0,7,"TGT,GOOG,GOOGL,CSCO,ODFL,MSCI,TRU",2,2,2,1.8349899448788696,0.0
2021-07-30,lifecycle_review_concentrated,0.05215544883217652,0.0004136542036769262,0.08273084073538524,0.05174179462849959,0.0,7,"TGT,GOOG,GOOGL,CSCO,ODFL,MSCI,TRU",2,2,0,1.929935617752154,0.0
2021-08-31,lifecycle_review_concentrated,-0.061469292124191,0.0006427023991013401,0.128540479820268,-0.06211199452329234,0.0,7,"TGT,GOOG,GOOGL,CSCO,ODFL,MSCI,TRU",2,4,0,1.8100634672320255,-0.0621119945232923
2021-09-30,lifecycle_review_concentrated,0.09477058799187009,0.0016942148760330578,0.33884297520661155,0.09307637311583704,0.0,7,"GOOGL,CSCO,ODFL,MSCI,TRU,MPWR,VRSK",1,3,2,1.978537609871459,0.0
2021-10-29,lifecycle_review_concentrated,0.010480646082844918,0.0010831416365428854,0.21662832730857706,0.009397504446302033,0.0,7,"GOOGL,CSCO,ODFL,MSCI,MPWR,VRSK,FDS",2,1,1,1.9971309258574017,0.0
2021-11-30,lifecycle_review_concentrated,-0.0076371352485444105,0.0008163418888170766,0.16326837776341532,-0.008453477137361488,0.0,7,"GOOGL,ODFL,MSCI,MPWR,VRSK,FDS,TSLA",2,2,1,1.9802482252353486,-0.008453477137361443
2021-12-31,lifecycle_review_concentrated,-0.04397320812810936,0.0010116217643951397,0.20232435287902795,-0.044984829892504505,0.0,7,"GOOGL,ODFL,VRSK,FDS,TSLA,TER,AAPL",2,2,3,1.8911670956782025,-0.05305802879884158
2022-01-31,lifecycle_review_concentrated,-3.7022386338763334e-05,0.0030853351955307264,0.6170670391061452,-0.0031223575818694897,0.71,4,"AAPL,EXPE,MKC,ATO",0,0,3,1.8852621957584295,-0.05601472024221199
2022-02-28,lifecycle_review_concentrated,0.02904213311180074,0.0008250000000000001,0.165,0.02821713311180074,0.3799999999999999,7,"AAPL,EXPE,MKC,ATO,FCX,SYY,WMB",0,0,4,1.938458890086791,-0.02937816194770604
2022-03-31,lifecycle_review_concentrated,-0.04956123186395852,0.001291588785046729,0.2583177570093458,-0.05085282064900525,0.0,7,"AAPL,EXPE,MKC,ATO,FCX,SYY,OKE",0,1,1,1.8398827878137376,-0.07873702019618711
2022-04-29,lifecycle_review_concentrated,-0.014917638121921699,0.0020212616822429907,0.40425233644859815,-0.01693889980416469,0.06999999999999995,6,"MKC,ATO,SYY,RS,DG,DLTR",0,2,3,1.8087171976195533,-0.09434220150437023
2022-05-31,lifecycle_review_concentrated,-0.01513184114443641,0.0006000000000000001,0.12000000000000001,-0.01573184114443641,0.10999999999999999,7,"ATO,SYY,RS,DG,DLTR,WEC,VLO",0,2,5,1.7802627459913924,-0.10858986612152333
2022-06-30,lifecycle_review_concentrated,0.04160794448252313,0.0009750000000000001,0.195,0.04063294448252314,0.020000000000000018,7,"ATO,SYY,DG,WEC,UTHR,MNST,TMUS",0,2,4,1.8526000633135649,-0.0723692476404807
2022-07-29,lifecycle_review_concentrated,-0.027240576941344248,0.0008800000000000001,0.17600000000000002,-0.028120576941344247,0.0,7,"ATO,SYY,DG,WEC,UTHR,MNST,TMUS",0,2,1,1.8005038806916165,-0.09845475958536365
2022-08-31,lifecycle_review_concentrated,-0.050379664547572346,0.00179,0.358,-0.052169664547572346,0.019999999999999907,7,"ATO,DG,WEC,UTHR,TMUS,ENPH,BJ",0,1,2,1.7065721972193326,-0.1454880723522557
2022-09-30,lifecycle_review_concentrated,0.025760294040671258,0.002225,0.445,0.023535294040671256,0.71,4,"TMUS,BJ,HUBB,LNG",0,0,3,1.746736875682524,-0.12537688287380533
2022-10-31,lifecycle_review_concentrated,0.006496073036993779,0.0008250000000000001,0.165,0.005671073036993779,0.3799999999999999,7,"TMUS,BJ,HUBB,LNG,GILD,FSLR,FANG",0,0,4,1.7566427480809297,-0.12041683129673952
2022-11-30,lifecycle_review_concentrated,-0.06033527981290859,0.000675,0.135,-0.061010279812908595,0.10999999999999988,7,"TMUS,BJ,HUBB,LNG,GILD,FSLR,FANG",0,0,1,1.6494694824891953,-0.17408044653805033
2022-12-30,lifecycle_review_concentrated,-0.0005152028282475107,0.00235,0.47000000000000003,-0.002865202828247511,0.39,5,"HUBB,GILD,ISRG,JBL,HCA",0,1,3,1.6447434178628593,-0.1764468735785345
2023-01-31,lifecycle_review_concentrated,0.0051083994534783465,0.000475,0.095,0.004633399453478347,0.19999999999999996,7,"HUBB,GILD,ISRG,JBL,HCA,URI,SBUX",0,1,4,1.6523641711162973,-0.17263102297266275
2023-02-28,lifecycle_review_concentrated,0.0011527370691243142,0.0023250000000000002,0.465,-0.001172262930875686,0.2899999999999999,7,"JBL,HCA,URI,SBUX,EXPE,FTNT,RS",0,1,5,1.6504271658501906,-0.17360091695458846
2023-03-31,lifecycle_review_concentrated,-0.041013540780941465,0.001691355140186916,0.3382710280373832,-0.04270489592112838,0.0,7,"JBL,HCA,SBUX,FTNT,RS,PANW,AAPL",1,0,3,1.5799458455071553,-0.20889220378535867
2023-04-28,lifecycle_review_concentrated,0.0056016553778585505,0.002295093457943925,0.45901869158878505,0.0033065619199146253,0.10999999999999999,7,"HCA,SBUX,FTNT,RS,AAPL,EW,SYK",0,1,3,1.5851700342754367,-0.20627635687184775
