portfolio,candidate_id,source,valid_for_production,metrics_valid,invalid_reason,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,avg_turnover_monthly,governance_action,distance_to_target_pp,rank_score,notes,params
main,main_v2_position_aware_risk_proxy,sidecar:outputs/position_aware_risk_replay/metrics.json#with_position_risk,False,True,,False,0.2837850970613358,0.3,1.6215,-0.11045621259771754,-0.15,0.0,1.653153767583052,,needs_alpha_boost,1.6215,-1.3377789852327362,Monthly proxy for position-level stops/decay. Target pass here is not production evidence until weekly/intramonth replay confirms it.,"{""data_mode"": ""monthly_position_proxy"", ""experiment_id"": ""position_aware_risk_replay"", ""hard_stop"": -0.08, ""risk_exit_count"": 208, ""risk_exit_rate"": 0.23476297968397292, ""trailing_stop"": -0.15}"
main,orchestrator_replay_main_proxy,sidecar:outputs/orchestrator_replay/concentrated_balanced/metrics.json#metrics.main_proxy,False,True,,False,0.2406845483491098,0.3,5.9315,-0.1320383920419459,-0.15,0.0,1.7217861307604272,,needs_alpha_boost,5.9315,-5.6960364117372855,Orchestrator replay proxy for main returns; discovery-only until wired as a true portfolio path.,"{""data_mode"": ""historical_concentrated_monthly"", ""experiment_id"": ""E4_concentrated_balanced_replay"", ""valid_for_promotion"": true}"
main,main_latest_champion,latest_run:outputs/backtest_metrics.json,False,True,,False,0.2028785105431481,0.3,9.7121,-0.15275979516510796,-0.15,0.276,1.4848607897809738,0.5246327180707515,blocked_both,9.9881,-9.80138067440675,"Legacy target-weight champion artifact. Useful for research comparison, but not production-compatible after broker-ledger replay is available.",{}
main,main_rebalance_interval_adaptive_I1,latest_run_report:outputs/reports/rebalance_interval_comparison.csv,False,True,,False,0.2028785105431481,0.3,9.7121,-0.15275979516510796,-0.15,0.276,1.4848607897809738,0.5246327180707515,blocked_both,9.9881,-9.80138067440675,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""adaptive"", ""rebalance_interval_months"": ""1""}"
main,main_rebalance_interval_fixed_interval_I1,latest_run_report:outputs/reports/rebalance_interval_comparison.csv,False,True,,False,0.2015474213897368,0.3,9.8453,-0.15294481352204892,-0.15,0.2945,1.473875965189186,0.5143451310869869,blocked_both,10.1397,-9.954597716594305,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""fixed_interval"", ""rebalance_interval_months"": ""1""}"
main,main_sleeve_cap_policy_sleeve_cap_policy_I1,latest_run_report:outputs/reports/sleeve_cap_policy_comparison.csv,False,True,,False,0.18891960909128724,0.3,11.108,-0.15665192605180567,-0.15,0.6652,1.3959729401871472,0.5218573196879008,blocked_both,11.7732,-11.603388205972355,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""sleeve_cap_policy"", ""rebalance_interval_months"": ""1""}"
main,main_sleeve_cap_policy_sleeve_cap_policy_I1,latest_run_report:outputs/reports/sleeve_cap_policy_comparison.csv,False,True,,False,0.16937766813849753,0.3,13.0622,-0.1597561837608178,-0.15,0.9756,1.2581132886723851,0.5297824083026264,blocked_both,14.0379,-13.891238483448326,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""sleeve_cap_policy"", ""rebalance_interval_months"": ""1""}"
main,main_rebalance_interval_fixed_interval_I6,latest_run_report:outputs/reports/rebalance_interval_comparison.csv,False,True,,False,0.15899191362289145,0.3,14.1008,-0.11093987521009885,-0.15,0.0,1.5349406957173781,0.11663428092042585,needs_alpha_boost,14.1008,-13.944399872736644,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""fixed_interval"", ""rebalance_interval_months"": ""6""}"
main,main_rebalance_interval_fixed_interval_I3,latest_run_report:outputs/reports/rebalance_interval_comparison.csv,False,True,,False,0.15894749951593634,0.3,14.1053,-0.15022414661051164,-0.15,0.0224,1.2493451427506572,0.2218393556520672,blocked_both,14.1277,-13.988797551069734,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""fixed_interval"", ""rebalance_interval_months"": ""3""}"
main,main_alpha_selector_market_circuit_grid_best,sidecar:outputs/alpha_selector_market_circuit_grid/main/best_metrics.json,True,True,,False,0.23251823786214554,0.3,6.7482,-0.22882979788393065,-0.15,7.883,0.8956104008320681,,blocked_both,14.6312,-14.449374495664904,Production-compatible account-ledger alpha-selector target book scaled by daily QQQ/SPY trend-circuit states.,{}
main,main_sleeve_cap_policy_sleeve_cap_policy_I1,latest_run_report:outputs/reports/sleeve_cap_policy_comparison.csv,False,True,,False,0.17226493961409273,0.3,12.7735,-0.1716281289218462,-0.15,2.1628,1.2691318600295822,0.531445775888611,blocked_both,14.9363,-14.790159792637215,Comparison artifact; requires champion/challenger gate before production.,"{""policy_mode"": ""sleeve_cap_policy"", ""rebalance_interval_months"": ""1""}"
main,main_alpha_selector_shadow_drawdown_grid_best,sidecar:outputs/alpha_selector_shadow_drawdown_grid/main/best_metrics.json,True,True,,False,0.16238820721033598,0.3,13.7612,-0.1738961302937284,-0.15,2.3896,0.8261836697411913,,blocked_both,16.1508,-16.0240492668222,Production-compatible account-ledger alpha-selector target book scaled by an observable full-risk shadow account drawdown circuit.,{}
main,main_alpha_selector_broker_grid_best_target_distance,sidecar:outputs/alpha_selector_broker_grid/main/best_target_distance_metrics.json,True,True,,False,0.16782574557061913,0.3,13.2174,-0.18250233424224582,-0.15,3.2502,0.8368070177072748,,blocked_both,16.4677,-16.337847681510578,Production-compatible account-ledger alpha-selector variant ranked by shortest distance to the configured CAGR/MaxDD target pair.,{}
main,main_alpha_selector_broker_grid_best,sidecar:outputs/alpha_selector_broker_grid/main/best_metrics.json,True,True,,False,0.25015854985009645,0.3,4.9841,-0.26985234723887586,-0.15,11.9852,0.8866590934926829,,blocked_both,16.9694,-16.782443711329652,Production-compatible account-ledger best variant from a simple future/early/monster/RS leader selector grid.,{}
main,main_alpha_selector_leader_circuit_grid_best,sidecar:outputs/alpha_selector_leader_circuit_grid/main/best_metrics.json,True,True,,False,0.15833789865816406,0.3,14.1662,-0.18328862969996707,-0.15,3.3289,0.8173424876237197,,blocked_both,17.4951,-17.375374944679653,Production-compatible account-ledger best variant from alpha-selector targets with selected-leader-basket circuit overlays.,{}
main,experiment_E6_risk_sensing_on,experiment:outputs/experiments/E6_risk_sensing_on/metrics.json,False,True,,False,0.1846609658361189,0.3,11.5339,-0.2162517256738774,-0.15,6.6252,1.1194872875548136,,blocked_both,18.1591,-18.016900789890798,Aggressive lab artifact; discovery-only unless replay-backed.,{}
main,lifecycle_review_overlay_main,sidecar:outputs/lifecycle_review_overlay_main/metrics.json,False,True,,False,0.1500771060328001,0.3,14.9923,-0.19522565743422715,-0.15,4.5226,0.9682155515376666,0.35088686049447354,blocked_both,19.5149,-19.403981420309417,Research-only overlay on production monthly picks: monthly lifecycle review instead of monthly churn.,"{""data_mode"": ""main_monthly_weights_plus_candidate_replay_book""}"
main,monster_lifecycle_review_main,sidecar:outputs/monster_lifecycle_review_main/metrics.json,False,True,,False,0.15019055686594673,0.3,14.9809,-0.2075197481016101,-0.15,5.752,0.998556782048409,0.23170814664675796,blocked_both,20.7329,-20.625013355489905,"Research-only monthly lifecycle review: staged entry, long-hold winners, shakeout hold, stale-leader exits.","{""data_mode"": ""historical_candidate_replay_book""}"
main,experiment_E0_baseline_latest,experiment:outputs/experiments/E0_baseline_latest/metrics.json,False,True,,False,0.21403316158616126,0.3,8.5967,-0.2727261662085777,-0.15,12.2726,1.1831414285357171,0.4858881015027757,blocked_both,20.8693,-20.713422321947345,Aggressive lab artifact; discovery-only unless replay-backed.,{}
main,experiment_E2_main_v2_balanced,experiment:outputs/experiments/E2_main_v2_balanced/metrics.json,False,True,,False,0.21403316158616126,0.3,8.5967,-0.2727261662085777,-0.15,12.2726,1.1831414285357171,0.4858881015027757,blocked_both,20.8693,-20.713422321947345,Aggressive lab artifact; discovery-only unless replay-backed.,{}
main,experiment_E3_main_v2_aggressive,experiment:outputs/experiments/E3_main_v2_aggressive/metrics.json,False,True,,False,0.21403316158616126,0.3,8.5967,-0.2727261662085777,-0.15,12.2726,1.1831414285357171,0.4858881015027757,blocked_both,20.8693,-20.713422321947345,Aggressive lab artifact; discovery-only unless replay-backed.,{}
main,experiment_E5_orchestrator_balanced,experiment:outputs/experiments/E5_orchestrator_balanced/metrics.json,False,True,,False,0.21403316158616126,0.3,8.5967,-0.2727261662085777,-0.15,12.2726,1.1831414285357171,0.4858881015027757,blocked_both,20.8693,-20.713422321947345,Aggressive lab artifact; discovery-only unless replay-backed.,{}
main,experiment_E9_kitchen_sink_all_on,experiment:outputs/experiments/E9_kitchen_sink_all_on/metrics.json,False,True,,False,0.21403316158616126,0.3,8.5967,-0.2727261662085777,-0.15,12.2726,1.1831414285357171,0.4858881015027757,blocked_both,20.8693,-20.713422321947345,Aggressive lab artifact; discovery-only unless replay-backed.,{}
main,experiment_E1_auto_feature_gates_on,experiment:outputs/experiments/E1_auto_feature_gates_on/metrics.json,False,True,,False,0.20165834588806963,0.3,9.8342,-0.27307967491398366,-0.15,12.308,1.0971959712745438,,blocked_both,22.1421,-22.000454539752038,Aggressive lab artifact; discovery-only unless replay-backed.,{}
main,main_alpha_selector_dynamic_regime_grid_best_target_distance,sidecar:outputs/alpha_selector_dynamic_regime_grid/main/best_target_distance_metrics.json,True,True,,False,0.1801321758608596,0.3,11.9868,-0.25903849656353894,-0.15,10.9038,0.7195747957190397,,blocked_both,22.8906,-22.773819947461757,Production-compatible account-ledger regime-adaptive alpha-selector variant ranked by shortest distance to the CAGR/MaxDD target pair.,{}
main,main_alpha_selector_dynamic_regime_grid_best,sidecar:outputs/alpha_selector_dynamic_regime_grid/main/best_metrics.json,True,True,,False,0.1914905502019204,0.3,10.8509,-0.2759012805891504,-0.15,12.5901,0.7373564254016252,,blocked_both,23.4411,-23.317605744189795,Production-compatible account-ledger best variant from same-date regime-adaptive alpha-selector concentration.,{}
main,main_v2_historical_replay,sidecar:outputs/main_v2_backtest/metrics.json,False,True,,False,0.1462212033118837,0.3,15.3779,-0.2461081044373461,-0.15,9.6108,0.8172916852515839,0.5022775996767732,blocked_both,24.9887,-24.899955506860525,Research-only Main v2 replay from candidate_replay_book.,"{""data_mode"": ""historical_candidate_replay_book""}"
main,main_v3_alpha_concentration,sidecar:outputs/main_v3_alpha_concentration/metrics.json,False,True,,False,0.15921411320541878,0.3,14.0786,-0.2786017896010845,-0.15,12.8602,0.8105123080936678,0.6104690716430746,blocked_both,26.9388,-26.846923817079603,Research-only concentrated Main v3 replay from candidate_replay_book. Official evidence requires the companion broker-ledger replay.,"{""data_mode"": ""historical_candidate_replay_book""}"
main,main_broker_market_circuit_grid_best,sidecar:outputs/broker_market_circuit_grid/main/best_metrics.json,True,True,,False,0.12593894861955457,0.3,17.4061,-0.24829830481815707,-0.15,9.8298,0.6536513700651678,,blocked_both,27.2359,-27.17141313528484,Production-compatible account-ledger best variant from a grid of daily SPY/QQQ market-circuit multipliers.,{}
main,main_broker_market_circuit_replay,sidecar:outputs/broker_market_circuit_replay/main/metrics.json,True,True,,False,0.11350231384224596,0.3,18.6498,-0.2460848082928514,-0.15,9.6085,0.6305389884879913,,blocked_both,28.2582,-28.205961793936392,Production-compatible account-ledger challenger that injects daily SPY/QQQ crash circuit target rows before next-close replay.,{}
main,main_broker_ledger_replay,sidecar:outputs/broker_replay/main/metrics.json,True,True,,False,0.1286319220673693,0.3,17.1368,-0.27072447057026816,-0.15,12.0724,0.6351022076912176,,blocked_both,29.2093,-29.149138225239774,Production-compatible monthly target replay when metrics mark next-close integer-share ledger as valid.,{}
main,main_broker_replacement_swap_replay,sidecar:outputs/broker_replacement_swap_replay/main/metrics.json,True,True,,False,0.1145190184113476,0.3,18.5481,-0.27150844564780685,-0.15,12.1508,0.5694919121574918,,blocked_both,30.6989,-30.654486400685773,Production-compatible account-ledger challenger that swaps weak/stale holdings into stronger same-date candidates.,{}
main,main_broker_crisis_reentry_fast_reentry,sidecar:outputs/broker_crisis_reentry_replay/main/metrics.json,True,True,,False,0.11145703853835331,0.3,18.8543,-0.2763552708423579,-0.15,12.6355,0.5640414424444559,,blocked_both,31.4898,-31.44999194426592,Production-compatible account-ledger conversion of the crisis cash ladder / bargain re-entry target book.,{}
main,main_broker_execution_policy_replay,sidecar:outputs/broker_execution_policy_replay/main/metrics.json,True,True,,False,0.13001084544829555,0.3,16.9989,-0.2960995101523419,-0.15,14.61,0.6224889051998894,,blocked_both,31.6089,-31.555235699898045,"Production-compatible account-ledger replay with no-trade bands, staged entries, minimum holding, and winner trim deferral.",{}
main,main_position_risk_weekly_validation,sidecar:outputs/position_risk_weekly_validation/main/metrics.json,False,True,,False,0.08142495563543051,0.3,21.8575,-0.25870412203078297,-0.15,10.8704,0.6316029680810156,,blocked_both,32.7279,-32.711470861147426,"Daily stop / weekly relative-performance validation on official main monthly holdings. Stricter than monthly proxy, still research-only until true weekly scored snapshots and order tickets exist.","{""data_mode"": ""daily_price_path_validation_from_monthly_holdings"", ""hard_stop"": -0.08, ""metric_mode"": ""position_risk_weekly_validation"", ""price_coverage"": 1.0, ""trailing_stop"": -0.15, ""validation_granularity"": ""daily_stop_checks_weekly_relative_checks""}"
