ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,current_shares,current_weight,target_weight,target_value_usd,current_value_usd,trade_value_delta_usd,order_type,time_in_force,reason,status,estimated_cash_after_usd,client_order_id,idempotency_key
MU,SELL,47.0,751.0,749.1225000000001,35297.0,88.2425,35208.7575,47.0,0.09112743536938209,0.0,0.0,35297.0,-35297.0,limit,day,target_rebalance,ready,131275.61729175912,r1k-M-20260522-S-MU-91583f1835e0,91583f1835e02eb936a342894c7269032b52c652f1ea998d927aea2d59b15b82
BE,SELL,115.0,302.489990234375,301.7337652587891,34786.348876953125,86.96587219238282,34699.38300476074,115.0,0.08980907043151892,0.0,0.0,34786.348876953125,-34786.348876953125,limit,day,target_rebalance,ready,165975.00029651987,r1k-M-20260522-S-BE-653dd2d76285,653dd2d76285e4813d56394af1bc6e9a34dbeaf1031eda7b836713199569dd46
KO,SELL,377.0,81.4800033569336,81.27630334854126,30717.961265563965,76.79490316390991,30641.166362400054,377.0,0.07930557922505774,0.0,0.0,30717.961265563965,-30717.961265563965,limit,day,target_rebalance,ready,196616.16665891992,r1k-M-20260522-S-KO-3d2bb72de155,3d2bb72de15548ce5541faa7db8c16980be81750330b3bee4ac81aedb99ec246
LRCX,SELL,94.0,305.3500061035156,304.58663108825687,28702.90057373047,71.75725143432618,28631.143322296142,94.0,0.07410323021634767,0.0,0.0,28702.90057373047,-28702.90057373047,limit,day,target_rebalance,ready,225247.30998121607,r1k-M-20260522-S-LRCX-782139fc65ee,782139fc65ee61803cfb9413f2dbdff7584186ec995efac4535ccdf8206c762d
AMAT,SELL,51.0,432.1600036621094,431.0796036529541,22040.160186767578,55.10040046691895,21985.05978630066,51.0,0.05690181241891636,0.0,0.0,22040.160186767578,-22040.160186767578,limit,day,target_rebalance,ready,247232.36976751674,r1k-M-20260522-S-AMAT-02e812757e50,02e812757e50372d0b210b7e8025c6029fa318765b0d7934efec021562a85c14
FTI,SELL,301.0,70.98999786376953,70.81252286911011,21367.98935699463,53.419973392486575,21314.569383602142,301.0,0.05516644669810954,0.0,0.0,21367.98935699463,-21367.98935699463,limit,day,target_rebalance,ready,268546.93915111886,r1k-M-20260522-S-FTI-ad63d427c365,ad63d427c365a60deebbee843b17aea277da6e77742d9621d19ba76f85de3b2f
VZ,SELL,382.0,48.349998474121094,48.229123477935794,18469.699417114258,46.17424854278565,18423.525168571472,382.0,0.04768383545131296,0.0,0.0,18469.699417114258,-18469.699417114258,limit,day,target_rebalance,ready,286970.4643196903,r1k-M-20260522-S-VZ-50cac3b91493,50cac3b91493d4404c647b774e73d1cb07a420c9c4e4e48f2de790940a320543
SCCO,SELL,102.0,179.6699981689453,179.22082317352294,18326.339813232422,45.81584953308106,18280.52396369934,102.0,0.04731371920808203,0.0,0.0,18326.339813232422,-18326.339813232422,limit,day,target_rebalance,ready,305250.98828338966,r1k-M-20260522-S-SCCO-9e86293e9ce9,9e86293e9ce92f70c9d9fc80386a75731e13baf2b08bda678144c11d58ea3e80
LITE,SELL,17.0,946.9000244140625,944.5327743530274,16097.300415039062,40.24325103759766,16057.057164001464,17.0,0.041558934277502325,0.0,0.0,16097.300415039062,-16097.300415039062,limit,day,target_rebalance,ready,321308.0454473911,r1k-M-20260522-S-LITE-fada1ebb4ad2,fada1ebb4ad24d3533efc4ea11c00517711159a8cf89e229b8e9e8380a69321f
PR,SELL,526.0,20.440000534057617,20.388900532722474,10751.440280914307,26.878600702285766,10724.56168021202,526.0,0.027757349897350757,0.0,0.0,10751.440280914307,-10751.440280914307,limit,day,target_rebalance,ready,332032.60712760314,r1k-M-20260522-S-PR-2366529cb9f5,2366529cb9f51f785e0e2080f475a588944f6858b1fac2df30097d2d020cbc6a
ETR,SELL,92.0,112.4000015258789,112.11900152206421,10340.80014038086,25.85200035095215,10314.948140029906,92.0,0.02669718662946579,0.0,0.0,10340.80014038086,-10340.80014038086,limit,day,target_rebalance,ready,342347.55526763306,r1k-M-20260522-S-ETR-712487408ccc,712487408cccaff2ea6589f6d02a27d3e628e8880e82e0c5a1a36041a1d79b00
ATI,SELL,58.0,162.2899932861328,161.8842683029175,9412.819610595703,23.532049026489258,9389.287561569214,58.0,0.024301388523336607,0.0,0.0,9412.819610595703,-9412.819610595703,limit,day,target_rebalance,ready,351736.84282920224,r1k-M-20260522-S-ATI-de65865115fa,de65865115fa825ab58fd4a92bbafd5c8bbe3bb25077570c161bd7ebae01ffc3
THC,SELL,41.0,173.77999877929688,173.34554878234863,7124.979949951172,17.81244987487793,7107.167500076294,41.0,0.01839479700533526,0.0,0.0,7124.979949951172,-7124.979949951172,limit,day,target_rebalance,ready,358844.01032927854,r1k-M-20260522-S-THC-d8657e9ee0c8,d8657e9ee0c8f839d2eb003949879311082de613e6bd3cc20fb4486f323fd81a
