ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
ELS,BUY,995.0,50.220008850097656,49968.90880584717,124.92227201461792,-50093.83107786179,49906.16892213821,995.0,2019-06-03,2019-05-31,target_rebalance,0.5,next_close
PEG,BUY,1060.0,46.920223236083984,49735.43663024902,124.33859157562256,-49859.775221824646,46.393700313565205,1060.0,2019-06-03,2019-05-31,target_rebalance,0.5,next_close
PEG,SELL,8.0,48.68206787109375,389.45654296875,0.9736413574218751,388.48290161132815,434.87660192489335,1052.0,2019-06-24,2019-06-21,target_rebalance,0.5,next_close
ELS,SELL,492.0,50.94347381591797,25064.18911743164,62.6604727935791,25001.528644638063,25436.405246562957,503.0,2019-06-24,2019-06-21,target_rebalance,0.25,next_close
ELS,SELL,503.0,51.358219146728516,25833.184230804443,64.58296057701111,25768.60127022743,51205.00651679039,0.0,2019-07-01,2019-06-28,target_exit,,next_close
PEG,SELL,1052.0,46.531517028808594,48951.15591430664,122.3778897857666,48828.77802452087,100033.78454131127,0.0,2019-07-01,2019-06-28,target_exit,,next_close
VEEV,BUY,305.0,163.47000122070312,49858.35037231445,124.64587593078613,-49982.99624824524,50050.78829306603,305.0,2019-07-01,2019-06-28,target_rebalance,0.5,next_close
WRB,BUY,1949.0,25.609556198120117,49913.02503013611,124.78256257534028,-50037.80759271145,12.980700354579312,1949.0,2019-07-01,2019-06-28,target_rebalance,0.5,next_close
VEEV,SELL,305.0,165.24000549316406,50398.20167541504,125.9955041885376,50272.2061712265,50285.18687158108,0.0,2019-08-01,2019-07-31,target_exit,,next_close
WRB,SELL,26.0,26.52721405029297,689.7075653076172,1.724268913269043,687.9832963943481,50973.170167975426,1923.0,2019-08-01,2019-07-31,target_rebalance,0.5,next_close
TER,BUY,955.0,53.21874237060547,50823.89896392822,127.05974740982056,-50950.95871133804,22.21145663738571,955.0,2019-08-01,2019-07-31,target_rebalance,0.5,next_close
TER,SELL,955.0,49.78089141845703,47540.751304626465,118.85187826156617,47421.8994263649,47444.110883002286,0.0,2019-08-06,2019-08-05,target_exit,,next_close
WRB,SELL,78.0,26.862655639648438,2095.287139892578,5.238217849731446,2090.0489220428467,49534.159805045136,1845.0,2019-08-06,2019-08-05,target_rebalance,0.5,next_close
WRB,SELL,1845.0,27.533554077148438,50799.40727233887,126.99851818084717,50672.40875415802,100206.56855920315,0.0,2019-09-03,2019-08-30,target_exit,,next_close
AEP,BUY,685.0,73.12709045410156,50092.05696105957,125.23014240264892,-50217.28710346222,49989.28145574093,685.0,2019-09-03,2019-08-30,target_rebalance,0.5,next_close
BKNG,BUY,653.0,76.24681854248047,49789.172508239746,124.47293127059937,-49913.64543951034,75.63601623058639,653.0,2019-09-03,2019-08-30,target_rebalance,0.5,next_close
BKNG,SELL,2.0,77.67022705078125,155.3404541015625,0.38835113525390624,154.9521029663086,230.58811919689498,651.0,2019-10-01,2019-09-30,target_rebalance,0.5,next_close
AEP,BUY,3.0,73.473876953125,220.421630859375,0.5510540771484375,-220.97268493652345,9.61543426037153,688.0,2019-10-01,2019-09-30,target_rebalance,0.5,next_close
AEP,SELL,688.0,73.74185943603516,50734.39929199219,126.83599822998048,50607.56329376221,50617.178728022576,0.0,2019-11-01,2019-10-31,target_exit,,next_close
BKNG,SELL,8.0,79.79021453857422,638.3217163085938,1.5958042907714844,636.7259120178222,51253.9046400404,643.0,2019-11-01,2019-10-31,target_rebalance,0.5,next_close
LRCX,BUY,1983.0,25.778263092041016,51118.295711517334,127.79573927879333,-51246.09145079613,7.8131892442688695,1983.0,2019-11-01,2019-10-31,target_rebalance,0.5,next_close
BKNG,SELL,643.0,73.78913116455078,47446.41133880615,118.61602834701539,47327.795310459136,47335.608499703405,0.0,2019-11-08,2019-11-07,target_exit,,next_close
LRCX,SELL,54.0,25.261333465576172,1364.1120071411133,3.4102800178527835,1360.7017271232605,48696.31022682667,1929.0,2019-11-08,2019-11-07,target_rebalance,0.5,next_close
LRCX,SELL,958.0,24.921335220336914,23874.639141082764,59.68659785270691,23814.952543230058,72511.26277005672,971.0,2019-11-25,2019-11-22,target_rebalance,0.25,next_close
LRCX,SELL,971.0,24.3590030670166,23652.59197807312,59.131479945182804,23593.460498127937,96104.72326818467,0.0,2019-12-02,2019-11-29,target_exit,,next_close
CPRT,BUY,2185.0,21.989999771118164,48048.14949989319,120.12037374973298,-48168.26987364292,47936.45339454174,2185.0,2019-12-02,2019-11-29,target_rebalance,0.5,next_close
PANW,BUY,1276.0,37.45166778564453,47788.32809448242,119.47082023620605,-47907.79891471863,28.654479823111615,1276.0,2019-12-02,2019-11-29,target_rebalance,0.5,next_close
CPRT,SELL,2185.0,23.3700008392334,51063.451833724976,127.65862958431244,50935.79320414066,50964.44768396377,0.0,2020-01-02,2019-12-31,target_exit,,next_close
PANW,SELL,1276.0,39.23500061035156,50063.860778808594,125.15965194702149,49938.701126861575,100903.14881082534,0.0,2020-01-02,2019-12-31,target_exit,,next_close
LRCX,BUY,1820.0,27.71573257446289,50442.63328552246,126.10658321380616,-50568.739868736266,50334.408942089074,1820.0,2020-01-02,2019-12-31,target_rebalance,0.5,next_close
MCHP,BUY,1057.0,47.460716247558594,50165.97707366943,125.41494268417358,-50291.39201635361,43.01692573546461,1057.0,2020-01-02,2019-12-31,target_rebalance,0.5,next_close
