ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
ORLY,BUY,541.0,24.947999954223633,13496.867975234985,33.742169938087464,-13530.610145173072,86469.38985482694,541.0,2019-06-03,2019-05-31,target_rebalance,0.1350296304290124,next_close
PEG,BUY,303.0,46.92023468017578,14216.831108093262,35.542077770233156,-14252.373185863495,72217.01666896344,303.0,2019-06-03,2019-05-31,target_rebalance,0.1425444629429416,next_close
TSCO,BUY,852.0,18.069843292236328,15395.506484985352,38.48876621246338,-15433.995251197815,56783.021417765616,852.0,2019-06-03,2019-05-31,target_rebalance,0.1539692121775554,next_close
FDS,BUY,61.0,257.5592041015625,15711.111450195312,39.27777862548828,-15750.3892288208,41032.632188944815,61.0,2019-06-03,2019-05-31,target_rebalance,0.1584578208779692,next_close
MA,BUY,175.0,232.9153594970703,40760.187911987305,101.90046977996826,-40862.08838176727,170.54380717754248,175.0,2019-06-03,2019-05-31,target_rebalance,0.4099988735725215,next_close
ORLY,SELL,541.0,24.95599937438965,13501.1956615448,33.752989153862,13467.442672390938,13637.98647956848,0.0,2019-07-01,2019-06-28,target_exit,,next_close
PEG,SELL,303.0,46.53150939941406,14099.047348022461,35.24761837005615,14063.799729652404,27701.786209220885,0.0,2019-07-01,2019-06-28,target_exit,,next_close
TSCO,SELL,852.0,19.744211196899414,16822.0679397583,42.05516984939575,16780.012769908906,44481.79897912979,0.0,2019-07-01,2019-06-28,target_exit,,next_close
MA,SELL,15.0,256.47998046875,3847.19970703125,9.617999267578126,3837.581707763672,48319.38068689346,160.0,2019-07-01,2019-06-28,target_rebalance,0.3870272327450498,next_close
WRB,BUY,530.0,25.609556198120117,13573.064785003662,33.93266196250916,-13606.997446966172,34712.383239927294,530.0,2019-07-01,2019-06-28,target_rebalance,0.1287133812836052,next_close
AVGO,BUY,560.0,25.29401969909668,14164.65103149414,35.411627578735356,-14200.062659072875,20512.32058085442,560.0,2019-07-01,2019-06-28,target_rebalance,0.1342455942168629,next_close
VEEV,BUY,125.0,163.47000122070312,20433.75015258789,51.08437538146973,-20484.83452796936,27.486052885058598,125.0,2019-07-01,2019-06-28,target_rebalance,0.1984313465555341,next_close
AVGO,SELL,560.0,24.029951095581055,13456.77261352539,33.64193153381348,13423.130681991577,13450.616734876636,0.0,2019-08-01,2019-07-31,target_exit,,next_close
FDS,SELL,61.0,259.9218444824219,15855.232513427734,39.638081283569335,15815.594432144166,29266.211167020803,0.0,2019-08-01,2019-07-31,target_exit,,next_close
MA,SELL,160.0,263.9049072265625,42224.78515625,105.561962890625,42119.22319335937,71385.43436038017,0.0,2019-08-01,2019-07-31,target_exit,,next_close
VEEV,SELL,125.0,165.24000549316406,20655.000686645508,51.63750171661377,20603.363184928894,91988.79754530906,0.0,2019-08-01,2019-07-31,target_exit,,next_close
WRB,BUY,92.0,26.5272159576416,2440.5038681030273,6.101259670257568,-2446.605127773285,89542.19241753577,622.0,2019-08-01,2019-07-31,target_rebalance,0.1557393821683323,next_close
MKTX,BUY,44.0,316.46807861328125,13924.595458984375,34.81148864746094,-13959.406947631836,75582.78546990393,44.0,2019-08-01,2019-07-31,target_rebalance,0.1316768864698352,next_close
TSCO,BUY,729.0,19.27117156982422,14048.684074401855,35.12171018600464,-14083.80578458786,61498.97968531607,729.0,2019-08-01,2019-07-31,target_rebalance,0.1324968954607774,next_close
TER,BUY,293.0,53.21873092651367,15593.088161468506,38.982720403671266,-15632.070881872178,45866.9088034439,293.0,2019-08-01,2019-07-31,target_rebalance,0.1474587312050747,next_close
V,BUY,268.0,170.49237060546875,45691.955322265625,114.22988830566406,-45806.18521057129,60.723592872607696,268.0,2019-08-01,2019-07-31,target_rebalance,0.4326281046959804,next_close
MKTX,SELL,44.0,374.5086669921875,16478.38134765625,41.195953369140625,16437.18539428711,16497.908987159717,0.0,2019-09-03,2019-08-30,target_exit,,next_close
TER,SELL,293.0,50.789772033691406,14881.403205871582,37.20350801467895,14844.199697856902,31342.108685016618,0.0,2019-09-03,2019-08-30,target_exit,,next_close
TSCO,SELL,729.0,17.946117401123047,13082.719585418701,32.70679896354675,13050.012786455154,44392.12147147177,0.0,2019-09-03,2019-08-30,target_exit,,next_close
WRB,SELL,622.0,27.53354835510254,17125.86707687378,42.81466769218445,17083.052409181593,61475.17388065337,0.0,2019-09-03,2019-08-30,target_exit,,next_close
V,SELL,71.0,170.7669677734375,12124.454711914062,30.31113677978516,12094.143575134278,73569.31745578765,197.0,2019-09-03,2019-08-30,target_rebalance,0.312428256293236,next_close
LRCX,BUY,760.0,19.62836265563965,14917.555618286133,37.29388904571533,-14954.849507331848,58614.4679484558,760.0,2019-09-03,2019-08-30,target_rebalance,0.1392365882411926,next_close
DUK,BUY,221.0,71.75130462646484,15857.03832244873,39.642595806121825,-15896.680918254853,42717.78703020095,221.0,2019-09-03,2019-08-30,target_rebalance,0.1482096120875435,next_close
AEP,BUY,288.0,73.1270980834961,21060.604248046875,52.651510620117186,-21113.255758666994,21604.531271533953,288.0,2019-09-03,2019-08-30,target_rebalance,0.1965469183760832,next_close
