rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,cash_weight_start,cash_weight_end,stock_weight_start,stock_weight_end,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month
2019-05-31,2019-06-28,risk_off_alert,0.18,0.36,0.18,0.28,0.3151604868383643,0.28,0.3151604868383643,0.72,0.6848395131616357,initial_rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.0488436107718877
2019-06-28,2019-07-31,balanced,0.25,0.35,0.4,0.0,0.036733094030420466,0.0,0.036733094030420466,1.0,0.9632669059695794,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.0507988182843069
2019-07-31,2019-08-30,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,1.0,1.0,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,1.069229795387965
2019-08-30,2019-09-30,balanced,0.25,0.35,0.4,0.0,0.17329901261286537,0.006221313981178547,0.17329901261286537,0.9937786860188215,0.8267009873871347,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.012850896671185677,1.0554892337696813
2019-09-30,2019-10-31,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,1.0,1.0,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.012850896671185677,0.0,1.0831322973443438
2019-10-31,2019-11-29,growth_reentry_alert,0.25,0.35,0.4,0.0,0.0,0.0,0.0,1.0,1.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,20,0.0,0.0,1.0866279286147134
2019-11-29,2019-12-31,balanced,0.25,0.35,0.4,0.0,0.03187884288899175,0.0,0.03187884288899175,1.0,0.9681211571110083,rebalance,"core_compounder,early_scout,future_winner",1,20,0.0,0.0,1.1256174906692311
2019-12-31,2020-01-31,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,1.0000000000000002,1.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,1.2065085560738995
2020-01-31,2020-02-28,balanced,0.25,0.35,0.4,0.0,0.30776996714600724,0.0,0.30776996714600724,0.9999999999999999,0.6922300328539928,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.0376631348852485,1.1610676615862818
2020-02-28,2020-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.8039280629489213,0.28,0.8039280629489213,0.72,0.19607193705107856,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.0376631348852485,-0.09013430783939659,1.0977607424698688
2020-03-31,2020-04-30,systemic_alert,0.2,0.3,0.1,0.4,0.3623463436030175,0.4,0.3623463436030175,0.6,0.6376536563969825,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.09013430783939659,0.0,1.2094867143576566
