as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,open_lot_count,open_lot_quantity,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,monster_recommendation,monster_stage,monster_priority_score,monster_reason,risk_state,account_source,approval_status,target_weight,position_state,is_emerging_seat,cleanup_action,cleanup_reason,projected_weight_after_cleanup_review,operator_review_only
2026-06-05,current_broker_ledger_mark_to_market,concentrated,equity,SNDK,241.0,1559.3199462890625,375796.10705566406,0.3451124172944727,1187.0,89729.10705566406,0.0,,,,0.0,0.0,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit,0.2286631880190386,EXIT_REVIEW,False,TRIM_REVIEW,current weight materially above target,0.2286631880190386,True
2026-06-05,current_broker_ledger_mark_to_market,concentrated,equity,BE,986.0,263.6099853515625,259919.44555664065,0.2386970659720126,290.5199890136719,-26533.263610839844,0.0,,,,0.0,0.0,0.0,,,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit,0.0,BUY_REVIEW,False,FULL_EXIT_REVIEW,no current production target weight,0.0,True
2026-06-05,current_broker_ledger_mark_to_market,concentrated,equity,WDC,454.0,511.7200012207031,232320.8805541992,0.2133519192208239,398.7318176455944,51296.63534309936,110653.0975841467,,,,0.0,0.0,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit,0.2719723073162635,EXIT_REVIEW,False,INCREASE_TO_MEANINGFUL_WEIGHT_REVIEW,target is meaningful and current is under target,0.2719723073162635,True
2026-06-05,current_broker_ledger_mark_to_market,concentrated,equity,CIEN,170.0,488.2099914550781,82995.69854736328,0.07621911353776,390.79856716024045,16559.942130122407,76704.33601772763,,,,0.0,0.0,0.0,,,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit,0.0,BUY_REVIEW,False,FULL_EXIT_REVIEW,concentrated position below minimum meaningful weight,0.0,True
2026-06-05,current_broker_ledger_mark_to_market,concentrated,equity,LITE,69.0,863.6599731445312,59592.538146972656,0.0547268172992768,435.778128783527,29523.847260909293,288580.44151220785,,,,0.0,0.0,0.0,,,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit,0.0,BUY_REVIEW,False,FULL_EXIT_REVIEW,concentrated position below minimum meaningful weight,0.0,True
2026-06-05,current_broker_ledger_mark_to_market,main,equity,SNDK,66.0,1559.3199462890625,102915.11645507812,0.1362443804866033,765.3624369303385,52401.19561767578,1582.1990454101565,,,,0.0,0.0,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit,0.0,EXIT_REVIEW,False,FULL_EXIT_REVIEW,no current production target weight,0.0,True
2026-06-05,current_broker_ledger_mark_to_market,main,equity,STM,1386.0,70.72000122070312,98017.92169189452,0.1297612195126426,55.75,20748.42169189453,212.2391270494464,,,,0.0,0.0,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit,0.04,EXIT_REVIEW,False,TRIM_REVIEW,current weight materially above target,0.04,True
2026-06-05,current_broker_ledger_mark_to_market,main,equity,WDC,183.0,511.7200012207031,93644.76022338869,0.1239718010523862,334.9209810433282,32354.22069245961,37240.52230802865,,,,0.0,0.0,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit,0.0,EXIT_REVIEW,False,FULL_EXIT_REVIEW,no current production target weight,0.0,True
2026-06-05,current_broker_ledger_mark_to_market,main,equity,MRVL,315.0,263.4700012207031,82993.05038452148,0.1098705139129699,164.9499969482422,31033.801345825195,-6056.643403606415,,,,0.0,0.0,0.0,,,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit,0.0,EXIT_REVIEW,False,FULL_EXIT_REVIEW,no current production target weight,0.0,True
2026-06-05,current_broker_ledger_mark_to_market,main,equity,CIEN,101.0,488.2099914550781,49309.20913696289,0.0652780940502776,365.7847423773182,12364.950156853753,28075.982447649883,,,,0.0,0.0,0.0,,,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit,0.0,BUY_REVIEW,False,FULL_EXIT_REVIEW,no current production target weight,0.0,True
