horizon,status,start_date,end_date,period_return,cagr,max_dd,sharpe,realized_volatility,start_equity_usd,end_equity_usd,avg_cash_weight,end_cash_weight,series,series_type
1M,completed,2026-05-12,2026-06-12,0.14411687700730846,3.8855475827077317,-0.12727292257628098,2.9212362480502265,0.5892041973089649,701430.3702012158,802518.3245926953,0.17287835553407188,0.1606735631797519,main,portfolio
3M,completed,2026-03-12,2026-06-12,0.4345016458145481,3.189094954004063,-0.12727292257628098,3.246723402374804,0.4735921798667211,559440.5046060467,802518.3245926953,0.30716072939944744,0.1606735631797519,main,portfolio
6M,completed,2025-12-12,2026-06-12,0.7581191132581131,2.102984560818589,-0.1282001579199179,2.895322880318193,0.4288140612259547,456464.13746420376,802518.3245926953,0.2633388913552302,0.1606735631797519,main,portfolio
YTD,completed,2026-01-02,2026-06-12,0.7144480633604435,2.3973658364414177,-0.1282001579199179,2.9480943744039845,0.4507410261908317,468091.3593962717,802518.3245926953,0.22738507321727885,0.1606735631797519,main,portfolio
1Y,completed,2025-06-12,2026-06-12,1.513821311198602,1.5154089703041036,-0.1282001579199179,2.70098549365616,0.3684428947359692,319242.3904665088,802518.3245926953,0.18623533073295115,0.1606735631797519,main,portfolio
2Y,completed,2024-06-12,2026-06-12,1.7887328664666358,0.6705365963641827,-0.24244216005642605,1.7905878414895449,0.3164265122124302,287771.6737385096,802518.3245926953,0.22105585586628698,0.1606735631797519,main,portfolio
FULL,completed,2019-06-03,2026-06-12,7.03466099641401,0.34528730214391823,-0.2600681723490029,1.2747398509583197,0.2598062827200495,99882.03919877532,802518.3245926953,0.26613406998494665,0.1606735631797519,main,portfolio
1M,completed,2026-05-12,2026-06-12,0.09242690709265755,1.8336684138447135,-0.15014159177920283,1.8988544731470165,0.6437520841300256,1237027.9227439098,1351362.5876303844,0.07037179171566994,0.0660311631298875,concentrated,portfolio
3M,completed,2026-03-12,2026-06-12,0.2906002586333589,1.7533110729029624,-0.15014159177920283,2.37153162716237,0.471265480827116,1047080.6731910683,1351362.5876303844,0.4483753406343928,0.0660311631298875,concentrated,portfolio
6M,completed,2025-12-12,2026-06-12,1.0900115927021812,3.3903203782604665,-0.15014159177920283,3.37677925396808,0.47871893464551335,646581.3837344339,1351362.5876303844,0.30913274689093156,0.0660311631298875,concentrated,portfolio
YTD,completed,2026-01-02,2026-06-12,0.8797563701240332,3.1863545270303417,-0.15014159177920283,3.2092322199029217,0.4841225763882395,718903.049942167,1351362.5876303844,0.33082051964502796,0.0660311631298875,concentrated,portfolio
1Y,completed,2025-06-12,2026-06-12,2.9237001610358897,2.9273757417761366,-0.15014159177920283,3.2664345328702105,0.452562705814782,344410.2587272146,1351362.5876303844,0.20767183615945606,0.0660311631298875,concentrated,portfolio
2Y,completed,2024-06-12,2026-06-12,3.7900762917404753,1.189798778771122,-0.2323994134581331,2.3378298503379473,0.36612765150036225,282117.13244745973,1351362.5876303844,0.2978082064127729,0.0660311631298875,concentrated,portfolio
FULL,completed,2019-06-03,2026-06-12,12.519204801600482,0.44871193108673757,-0.25828369779832017,1.4060472746273327,0.2988131795388836,99958.73333248138,1351362.5876303844,0.42306916023123115,0.0660311631298875,concentrated,portfolio
1M,completed,2026-05-12,2026-06-12,0.004836228778401397,0.05849104335036048,-0.044946501730241395,0.4566235122692955,0.14383775340279917,738.1799926757812,741.75,,,SPY,benchmark
3M,completed,2026-03-12,2026-06-12,0.11667981407708616,0.549822679875303,-0.055299084239559315,2.9756895039406923,0.14993142004372537,664.2459106445312,741.75,,,SPY,benchmark
6M,completed,2025-12-12,2026-06-12,0.09418779540125044,0.19798731846504447,-0.08884972579331007,1.422221479212873,0.13508367707249117,677.9000854492188,741.75,,,SPY,benchmark
YTD,completed,2026-01-02,2026-06-12,0.0887125296929776,0.21266982617490515,-0.08884972579331007,1.4540781091163213,0.1394421147260691,681.309326171875,741.75,,,SPY,benchmark
1Y,completed,2025-06-12,2026-06-12,0.24265529239102634,0.24284021534614508,-0.08884972579331007,1.8370360803533188,0.12289870362511138,596.9072875976562,741.75,,,SPY,benchmark
2Y,completed,2024-06-12,2026-06-12,0.40350582192148643,0.18483404600294673,-0.18755233666641313,1.096749221235113,0.16834567635364645,528.4979858398438,741.75,,,SPY,benchmark
FULL,completed,2011-06-13,2026-06-12,6.580690865735379,0.14460405966918977,-0.3371725001650744,0.8732511094834793,0.1719959180160942,97.84728240966797,741.75,,,SPY,benchmark
1M,completed,2026-05-12,2026-06-12,0.01993670722214258,0.26186215763596055,-0.07032000186501774,1.030687330274633,0.2501441492277124,707.239990234375,721.3400268554688,,,QQQ,benchmark
3M,completed,2026-03-12,2026-06-12,0.20927159365140424,1.1263201721405123,-0.07347138925605412,3.5293440439539294,0.2191278995698046,596.5078735351562,721.3400268554688,,,QQQ,benchmark
6M,completed,2025-12-12,2026-06-12,0.17854722127681089,0.39054163549769494,-0.11723572714706232,1.8228286065253498,0.1935754228269753,612.0586547851562,721.3400268554688,,,QQQ,benchmark
YTD,completed,2026-01-02,2026-06-12,0.17799052857912345,0.45008904110336334,-0.11723572714706232,1.966715886845483,0.19935598641498814,612.347900390625,721.3400268554688,,,QQQ,benchmark
1Y,completed,2025-06-12,2026-06-12,0.3582273911673879,0.3585122584943139,-0.11964367111609375,1.875188186287166,0.17192972657348563,531.0892944335938,721.3400268554688,,,QQQ,benchmark
2Y,completed,2024-06-12,2026-06-12,0.5380409387794913,0.24036064393925716,-0.22768296008055722,1.1043240134452768,0.21746463829993523,468.9992370605469,721.3400268554688,,,QQQ,benchmark
FULL,completed,2011-06-13,2026-06-12,14.048788102561458,0.19814905444990205,-0.3511870963803574,0.9733314700842107,0.20855297846650378,47.93342971801758,721.3400268554688,,,QQQ,benchmark
