as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,risk_state,account_source,approval_status,backtest_metric_mode,official_broker_cagr,official_broker_max_dd,official_broker_sharpe,official_broker_avg_cash_weight,daily_monitoring_backtest_status,daily_monitoring_position_risk_cagr,daily_monitoring_position_risk_max_dd,daily_monitoring_risk_action_count
2026-06-12,current_broker_ledger_mark_to_market,concentrated,equity,SNDK,269.0,1980.0999755859373,532646.8934326172,0.3997967678780401,231517.3328857422,6976.059427490234,2026-03-02,2026-05-01,102.0,1119.4407455274163,target_rebalance,"future_winner,unassigned",EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4456994566932744,-0.25878262050008727,1.4014706395996714,0.42366950852946966,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,concentrated,equity,BE,1101.0,260.2200012207031,286502.22134399414,0.2150442694691093,-33360.286560058594,0.0,2026-05-01,2026-05-01,42.0,290.5199890136719,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4456994566932744,-0.25878262050008727,1.4014706395996714,0.42366950852946966,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,concentrated,equity,WDC,431.0,562.9299926757812,242622.8268432617,0.1821090541996007,72946.29836262274,127227.50152369923,2026-02-02,2026-05-01,130.0,404.0744776183657,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4456994566932744,-0.25878262050008727,1.4014706395996714,0.42366950852946966,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,concentrated,equity,CIEN,254.0,445.9800109863281,113278.92279052734,0.0850254601289402,1355.4079977471847,93136.79622949052,2026-03-02,2026-05-01,102.0,471.67250926100365,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4456994566932744,-0.25878262050008727,1.4014706395996714,0.42366950852946966,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,concentrated,equity,LITE,76.0,921.5599975585938,70038.55981445312,0.0525698923356124,28340.130746838586,305265.1126125364,2026-02-02,2026-05-01,130.0,645.1084257427015,target_rebalance,"future_winner,unassigned",BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4456994566932744,-0.25878262050008727,1.4014706395996714,0.42366950852946966,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,concentrated,cash,CASH,0.0,1.0,87204.72177260392,0.065454555988697,0.0,0.0,,,,0.0,,,RESERVE_CASH,Combined cash is below target under macro gate `none`.,green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.4456994566932744,-0.25878262050008727,1.4014706395996714,0.42366950852946966,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,SNDK,65.0,1980.0999755859373,128706.49841308594,0.1618218490944198,78811.65759277344,1654.1171838378907,2026-03-02,2026-05-01,102.0,767.6129356971154,target_rebalance,"future_winner,unassigned",EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,STM,1221.0,77.30000305175781,94383.30372619627,0.1186675181201297,26312.55372619629,63.89534005165079,2026-05-01,2026-05-01,42.0,55.75,target_rebalance,early_scout,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,MRVL,333.0,279.70001220703125,93140.1040649414,0.117104451216296,38211.75508117676,-1651.947744541168,2026-05-01,2026-05-01,42.0,164.9499969482422,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
2026-06-12,current_broker_ledger_mark_to_market,main,equity,WDC,164.0,562.9299926757812,92320.51879882812,0.1160739919552001,36915.84043055157,33078.95767228503,2026-02-02,2026-05-01,130.0,369.4150530187095,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",green,simulated_broker_replay,blocked_by_safety_audit,broker_ledger_next_close,0.3433467646244528,-0.2593350230450131,1.2708383020209202,0.2679130353180229,missing,,,0
