ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
EXEL,BUY,138.0,24.100000381469727,3325.8000526428223,8.314500131607057,-3334.1145527744293,96665.88544722558,138.0,2020-05-01,2020-04-30,target_rebalance,0.0332958646917179,next_close
AMZN,BUY,33.0,114.302001953125,3771.966064453125,9.429915161132813,-3781.3959796142576,92884.48946761132,33.0,2020-05-01,2020-04-30,target_rebalance,0.038238016399978,next_close
SHOP,BUY,65.0,61.36399841308594,3988.659896850586,9.971649742126464,-3998.6315465927123,88885.8579210186,65.0,2020-05-01,2020-04-30,target_rebalance,0.04,next_close
ENPH,BUY,242.0,43.25,10466.5,26.16625,-10492.66625,78393.1916710186,242.0,2020-05-01,2020-04-30,target_rebalance,0.105,next_close
MRNA,BUY,219.0,47.93000030517578,10496.670066833496,26.24167516708374,-10522.91174200058,67870.27992901803,219.0,2020-05-01,2020-04-30,target_rebalance,0.105,next_close
AMZN,SELL,33.0,123.552001953125,4077.216064453125,10.193040161132812,4067.023024291992,71937.30295331002,0.0,2020-06-01,2020-05-29,target_exit,,next_close
ENPH,SELL,242.0,59.68000030517578,14442.560073852539,36.10640018463135,14406.453673667907,86343.75662697793,0.0,2020-06-01,2020-05-29,target_exit,,next_close
EXEL,SELL,138.0,24.139999389648438,3331.3199157714844,8.32829978942871,3322.9916159820555,89666.74824295999,0.0,2020-06-01,2020-05-29,target_exit,,next_close
MRNA,BUY,69.0,62.18000030517578,4290.420021057129,10.726050052642822,-4301.146071109772,85365.60217185022,288.0,2020-06-01,2020-05-29,target_rebalance,0.1658167997733767,next_close
SHOP,BUY,81.0,75.80000305175781,6139.800247192383,15.349500617980958,-6155.149747810364,79210.45242403985,146.0,2020-06-01,2020-05-29,target_rebalance,0.1025335201985598,next_close
PDD,BUY,284.0,65.76000213623047,18675.840606689453,46.689601516723634,-18722.530208206175,60487.92221583367,284.0,2020-06-01,2020-05-29,target_rebalance,0.1730511619698421,next_close
SE,BUY,255.0,82.47000122070312,21029.850311279297,52.57462577819825,-21082.424937057494,39405.49727877618,255.0,2020-06-01,2020-05-29,target_rebalance,0.1950985180582213,next_close
ZS,BUY,280.0,109.9800033569336,30794.400939941406,76.98600234985352,-30871.38694229126,8534.110336484919,280.0,2020-06-01,2020-05-29,target_rebalance,0.285,next_close
ZS,SELL,280.0,111.51000213623047,31222.80059814453,78.05700149536133,31144.74359664917,39678.85393313409,0.0,2020-07-01,2020-06-30,target_exit,,next_close
PDD,SELL,87.0,85.44999694824219,7434.14973449707,18.585374336242676,7415.564360160828,47094.41829329492,197.0,2020-07-01,2020-06-30,target_rebalance,0.133353667447442,next_close
MRNA,SELL,193.0,61.59000015258789,11886.870029449463,29.717175073623658,11857.15285437584,58951.57114767076,95.0,2020-07-01,2020-06-30,target_rebalance,0.0464644979128498,next_close
SE,BUY,5.0,114.45999908447266,572.2999954223633,1.4307499885559083,-573.7307454109192,58377.84040225984,260.0,2020-07-01,2020-06-30,target_rebalance,0.2373555031377211,next_close
SHOP,BUY,104.0,101.66400146484375,10573.05615234375,26.432640380859375,-10599.488792724609,47778.35160953523,250.0,2020-07-01,2020-06-30,target_rebalance,0.202826331501987,next_close
TSLA,BUY,336.0,74.64199829101562,25079.71142578125,62.699278564453124,-25142.410704345704,22635.940905189527,336.0,2020-07-01,2020-06-30,target_rebalance,0.2,next_close
MRNA,SELL,95.0,77.9800033569336,7408.100318908691,18.52025079727173,7389.58006811142,30025.520973300947,0.0,2020-08-03,2020-07-31,target_exit,,next_close
SHOP,SELL,200.0,108.30500030517578,21661.000061035156,54.15250015258789,21606.84756088257,51632.368534183515,50.0,2020-08-03,2020-07-31,target_rebalance,0.0371380814158588,next_close
TSLA,SELL,238.0,99.0,23562.0,58.905,23503.095,75135.46353418351,98.0,2020-08-03,2020-07-31,target_rebalance,0.0673431407192637,next_close
SE,BUY,64.0,132.75,8496.0,21.240000000000002,-8517.24,66618.2235341835,324.0,2020-08-03,2020-07-31,target_rebalance,0.3,next_close
PDD,BUY,200.0,96.02999877929688,19205.999755859375,48.01499938964844,-19254.014755249023,47364.20877893448,397.0,2020-08-03,2020-07-31,target_rebalance,0.2655187778648774,next_close
DOCU,BUY,190.0,226.27999877929688,42993.199768066406,107.48299942016602,-43100.68276748657,4263.52601144791,190.0,2020-08-03,2020-07-31,target_rebalance,0.3,next_close
PDD,SELL,397.0,91.36000061035156,36269.92024230957,90.67480060577392,36179.245441703795,40442.771453151705,0.0,2020-09-01,2020-08-31,target_exit,,next_close
SHOP,SELL,50.0,113.43199920654297,5671.599960327148,14.178999900817871,5657.420960426331,46100.192413578035,0.0,2020-09-01,2020-08-31,target_exit,,next_close
SE,SELL,192.0,161.8000030517578,31065.6005859375,77.66400146484375,30987.936584472656,77088.1289980507,132.0,2020-09-01,2020-08-31,target_rebalance,0.1285563706056666,next_close
