ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
AAPL,BUY,39.0,48.211204528808594,1880.2369766235352,14.101777324676513,-1894.3387539482117,98105.6612460518,39.0,2019-07-01,2019-06-28,target_rebalance,0.0188811901726387,next_close
MELI,BUY,3.0,619.3099975585938,1857.9299926757812,13.93447494506836,-1871.8644676208496,96233.79677843094,3.0,2019-07-01,2019-06-28,target_rebalance,0.0193039431517306,next_close
BRKR,BUY,40.0,49.25894546508789,1970.3578186035156,14.777683639526366,-1985.135502243042,94248.66127618791,40.0,2019-07-01,2019-06-28,target_rebalance,0.020179302278872,next_close
ALLE,BUY,20.0,101.91130828857422,2038.2261657714844,15.286696243286132,-2053.5128620147707,92195.14841417313,20.0,2019-07-01,2019-06-28,target_rebalance,0.0205584735376422,next_close
BLD,BUY,26.0,81.0199966430664,2106.5199127197266,15.798899345397949,-2122.3188120651243,90072.82960210802,26.0,2019-07-01,2019-06-28,target_rebalance,0.0217439685520295,next_close
EXP,BUY,25.0,85.14261627197266,2128.5654067993164,15.964240550994873,-2144.5296473503113,87928.2999547577,25.0,2019-07-01,2019-06-28,target_rebalance,0.0219798823235258,next_close
TREX,BUY,76.0,35.560001373291016,2702.560104370117,20.26920078277588,-2722.829305152893,85205.47064960482,76.0,2019-07-01,2019-06-28,target_rebalance,0.0272954122132711,next_close
PAGS,BUY,74.0,36.51414108276367,2702.0464401245117,20.265348300933837,-2722.3117884254457,82483.15886117937,74.0,2019-07-01,2019-06-28,target_rebalance,0.027308707789341,next_close
AWI,BUY,32.0,91.96708679199219,2942.94677734375,22.072100830078124,-2965.018878173828,79518.13998300555,32.0,2019-07-01,2019-06-28,target_rebalance,0.0302065412402438,next_close
CHDN,BUY,61.0,56.81071853637695,3465.453830718994,25.990903730392453,-3491.4447344493865,76026.69524855616,61.0,2019-07-01,2019-06-28,target_rebalance,0.0349584304273596,next_close
URI,BUY,27.0,129.5101776123047,3496.7747955322266,26.225810966491697,-3523.0006064987183,72503.69464205744,27.0,2019-07-01,2019-06-28,target_rebalance,0.0352738375187297,next_close
KBR,BUY,161.0,23.020479202270508,3706.2971515655518,27.797228636741636,-3734.0943802022935,68769.60026185514,161.0,2019-07-01,2019-06-28,target_rebalance,0.0370739808077746,next_close
SHOP,BUY,135.0,30.468000411987305,4113.180055618286,30.848850417137143,-4144.0289060354235,64625.57135581972,135.0,2019-07-01,2019-06-28,target_rebalance,0.041231315038054,next_close
PAYC,BUY,18.0,221.28439331054688,3983.1190795898438,29.873393096923827,-4012.9924726867675,60612.57888313295,18.0,2019-07-01,2019-06-28,target_rebalance,0.0413480314897197,next_close
MA,BUY,17.0,256.4799499511719,4360.159149169922,32.70119361877441,-4392.8603427886965,56219.71854034425,17.0,2019-07-01,2019-06-28,target_rebalance,0.0442749138816865,next_close
RGEN,BUY,56.0,86.05000305175781,4818.8001708984375,36.141001281738276,-4854.941172180176,51364.777368164076,56.0,2019-07-01,2019-06-28,target_rebalance,0.0483873328329541,next_close
HEI,BUY,83.0,131.76043701171875,10936.116271972656,82.02087203979492,-11018.137144012451,40346.640224151626,83.0,2019-07-01,2019-06-28,target_rebalance,0.1099947367444263,next_close
TER,BUY,240.0,47.4210090637207,11381.042175292969,85.35781631469726,-11466.399991607666,28880.24023254396,240.0,2019-07-01,2019-06-28,target_rebalance,0.1141721741065475,next_close
EXP,SELL,25.0,78.57978057861328,1964.494514465332,14.73370885848999,1949.760805606842,30830.001038150804,0.0,2019-08-01,2019-07-31,target_exit,,next_close
URI,SELL,27.0,116.56880187988281,3147.357650756836,23.60518238067627,3123.75246837616,33953.75350652696,0.0,2019-08-01,2019-07-31,target_exit,,next_close
TER,SELL,7.0,53.218746185302734,372.53122329711914,2.7939841747283936,369.73723912239075,34323.49074564935,233.0,2019-08-01,2019-07-31,target_rebalance,0.12,next_close
KBR,SELL,30.0,23.038835525512695,691.1650657653809,5.1837379932403564,685.9813277721405,35009.47207342149,131.0,2019-08-01,2019-07-31,target_rebalance,0.0291441973524402,next_close
AWI,SELL,12.0,88.96273803710938,1067.5528564453125,8.006646423339843,1059.5462100219727,36069.01828344347,20.0,2019-08-01,2019-07-31,target_rebalance,0.0165979324988919,next_close
BLD,SELL,16.0,85.77999877929688,1372.47998046875,10.293599853515625,1362.1863806152344,37431.2046640587,10.0,2019-08-01,2019-07-31,target_rebalance,0.0075554940698941,next_close
BRKR,SELL,33.0,45.58406066894531,1504.2740020751953,11.282055015563964,1492.9919470596315,38924.19661111833,7.0,2019-08-01,2019-07-31,target_rebalance,0.0029581441875974,next_close
AAPL,SELL,33.0,49.8569221496582,1645.2784309387207,12.339588232040406,1632.9388427066804,40557.13545382501,6.0,2019-08-01,2019-07-31,target_rebalance,0.00286534580974,next_close
ALLE,SELL,19.0,93.65021514892578,1779.3540878295898,13.345155658721923,1766.0089321708679,42323.144385995874,1.0,2019-08-01,2019-07-31,target_rebalance,0.0007411031457022,next_close
CHDN,SELL,54.0,61.59781265258789,3326.281883239746,24.947114124298096,3301.334769115448,45624.47915511132,7.0,2019-08-01,2019-07-31,target_rebalance,0.003979925547523,next_close
HEI,SELL,41.0,136.98123168945312,5616.230499267578,42.12172874450683,5574.108770523071,51198.58792563439,42.0,2019-08-01,2019-07-31,target_rebalance,0.054976681335095,next_close
SHOP,BUY,9.0,34.138999938964844,307.2509994506836,2.3043824958801267,-309.5553819465637,50889.03254368783,144.0,2019-08-01,2019-07-31,target_rebalance,0.047916784929532,next_close
RGEN,BUY,6.0,95.51000213623047,573.0600128173828,4.297950096130371,-577.3579629135132,50311.674580774314,62.0,2019-08-01,2019-07-31,target_rebalance,0.0577344311629476,next_close
PAGS,BUY,50.0,42.74040222167969,2137.0201110839844,16.027650833129883,-2153.0477619171143,48158.6268188572,124.0,2019-08-01,2019-07-31,target_rebalance,0.0518221326134834,next_close
PAYC,BUY,9.0,231.89047241210938,2087.0142517089844,15.652606887817383,-2102.666858596802,46055.9599602604,27.0,2019-08-01,2019-07-31,target_rebalance,0.0626263428323893,next_close
MELI,BUY,3.0,626.4500122070312,1879.3500366210938,14.095125274658203,-1893.4451618957519,44162.514798364646,6.0,2019-08-01,2019-07-31,target_rebalance,0.0404626017117668,next_close
V,BUY,18.0,170.49232482910156,3068.861846923828,23.01646385192871,-3091.8783107757567,41070.63648758889,18.0,2019-08-01,2019-07-31,target_rebalance,0.0310400353414406,next_close
TREX,BUY,137.0,38.8849983215332,5327.244770050049,39.95433577537536,-5367.199105825424,35703.43738176346,213.0,2019-08-01,2019-07-31,target_rebalance,0.080732377607611,next_close
LSCC,BUY,347.0,19.299999237060547,6697.09973526001,50.228248014450074,-6747.32798327446,28956.109398489003,347.0,2019-08-01,2019-07-31,target_rebalance,0.0652112585467503,next_close
ALLE,SELL,1.0,87.11625671386719,87.11625671386719,0.6533719253540039,86.46288478851318,29042.572283277517,0.0,2019-09-03,2019-08-30,target_exit,,next_close
BRKR,SELL,7.0,41.86011505126953,293.0208053588867,2.1976560401916503,290.8231493186951,29333.39543259621,0.0,2019-09-03,2019-08-30,target_exit,,next_close
MELI,SELL,6.0,581.0,3486.0,26.145,3459.855,32793.250432596215,0.0,2019-09-03,2019-08-30,target_exit,,next_close
AAPL,SELL,3.0,49.39085006713867,148.17255020141602,1.11129412651062,147.0612560749054,32940.31168867112,3.0,2019-09-03,2019-08-30,target_rebalance,0.0014007144662741,next_close
CHDN,SELL,5.0,58.65040588378906,293.2520294189453,2.1993902206420897,291.0526391983032,33231.36432786942,2.0,2019-09-03,2019-08-30,target_rebalance,0.0008042864391356,next_close
TREX,SELL,15.0,41.349998474121094,620.2499771118164,4.651874828338623,615.5981022834778,33846.9624301529,198.0,2019-09-03,2019-08-30,target_rebalance,0.0791946222114795,next_close
HEI,SELL,5.0,140.951416015625,704.757080078125,5.285678100585938,699.471401977539,34546.43383213044,37.0,2019-09-03,2019-08-30,target_rebalance,0.0495173755103477,next_close
AWI,SELL,9.0,88.05046844482422,792.454216003418,5.943406620025635,786.5108093833924,35332.94464151383,11.0,2019-09-03,2019-08-30,target_rebalance,0.0091664539506278,next_close
LSCC,SELL,60.0,18.540000915527344,1112.4000549316406,8.343000411987305,1104.0570545196533,36437.00169603348,287.0,2019-09-03,2019-08-30,target_rebalance,0.051390454759635,next_close
PAGS,SELL,42.0,47.488285064697266,1994.5079727172852,14.958809795379638,1979.5491629219055,38416.55085895539,82.0,2019-09-03,2019-08-30,target_rebalance,0.0372800902957219,next_close
RGEN,SELL,23.0,90.45999908447266,2080.579978942871,15.604349842071533,2064.9756291008,40481.52648805619,39.0,2019-09-03,2019-08-30,target_rebalance,0.0340932764786882,next_close
PAYC,SELL,9.0,238.11956787109375,2143.0761108398438,16.07307083129883,2127.0030400085448,42608.52952806473,18.0,2019-09-03,2019-08-30,target_rebalance,0.039430158350394,next_close
TER,SELL,50.0,50.78977584838867,2539.4887924194336,19.046165943145752,2520.442626476288,45128.97215454102,183.0,2019-09-03,2019-08-30,target_rebalance,0.089857328537613,next_close
KBR,SELL,122.0,23.360095977783203,2849.931709289551,21.37448781967163,2828.557221469879,47957.5293760109,9.0,2019-09-03,2019-08-30,target_rebalance,0.0019336690800359,next_close
SHOP,BUY,34.0,38.39099884033203,1305.293960571289,9.789704704284668,-1315.0836652755738,46642.44571073532,178.0,2019-09-03,2019-08-30,target_rebalance,0.0663206249189808,next_close
MA,BUY,6.0,269.63238525390625,1617.7943115234375,12.133457336425781,-1629.9277688598634,45012.517941875456,23.0,2019-09-03,2019-08-30,target_rebalance,0.0601766793367347,next_close
MKTX,BUY,7.0,374.5086364746094,2621.5604553222656,19.661703414916992,-2641.222158737183,42371.295783138274,7.0,2019-09-03,2019-08-30,target_rebalance,0.0281279550654295,next_close
DG,BUY,20.0,141.61216735839844,2832.2433471679688,21.241825103759766,-2853.4851722717285,39517.810610866545,20.0,2019-09-03,2019-08-30,target_rebalance,0.0286593144055417,next_close
BLD,BUY,38.0,89.83000183105469,3413.540069580078,25.601550521850584,-3439.1416201019288,36078.668990764614,48.0,2019-09-03,2019-08-30,target_rebalance,0.0424277391835835,next_close
V,BUY,24.0,170.7669677734375,4098.4072265625,30.738054199218748,-4129.145280761719,31949.523710002897,42.0,2019-09-03,2019-08-30,target_rebalance,0.070076585547389,next_close
LRCX,BUY,526.0,19.614545822143555,10317.25110244751,77.37938326835632,-10394.630485715867,21554.89322428703,526.0,2019-09-03,2019-08-30,target_rebalance,0.1,next_close
AWI,SELL,11.0,90.17227935791016,991.8950729370117,7.439213047027588,984.4558598899841,22539.349084177014,0.0,2019-10-01,2019-09-30,target_exit,,next_close
HEI,SELL,37.0,119.00623321533203,4403.230628967285,33.024229717254634,4370.206399250031,26909.555483427044,0.0,2019-10-01,2019-09-30,target_exit,,next_close
KBR,SELL,9.0,22.12530517578125,199.12774658203125,1.4934580993652342,197.63428848266602,27107.18977190971,0.0,2019-10-01,2019-09-30,target_exit,,next_close
PAYC,SELL,18.0,202.70428466796875,3648.6771240234375,27.36507843017578,3621.3120455932617,30728.501817502973,0.0,2019-10-01,2019-09-30,target_exit,,next_close
RGEN,SELL,39.0,73.8499984741211,2880.1499404907227,21.601124553680418,2858.548815937042,33587.05063344001,0.0,2019-10-01,2019-09-30,target_exit,,next_close
V,SELL,42.0,166.0880126953125,6975.696533203125,52.317723999023436,6923.378809204101,40510.42944264411,0.0,2019-10-01,2019-09-30,target_exit,,next_close
TER,SELL,16.0,56.52928161621094,904.468505859375,6.783513793945312,897.6849920654297,41408.11443470954,167.0,2019-10-01,2019-09-30,target_rebalance,0.0932702319647456,next_close
LRCX,SELL,53.0,21.328523635864258,1130.4117527008057,8.478088145256041,1121.9336645555495,42530.04809926509,473.0,2019-10-01,2019-09-30,target_rebalance,0.1,next_close
PAGS,SELL,26.0,43.76390075683594,1137.8614196777344,8.533960647583008,1129.3274590301514,43659.37555829524,56.0,2019-10-01,2019-09-30,target_rebalance,0.0239198350467414,next_close
MA,SELL,5.0,260.805419921875,1304.027099609375,9.780203247070313,1294.2468963623046,44953.62245465755,18.0,2019-10-01,2019-09-30,target_rebalance,0.0465280101635254,next_close
LSCC,SELL,127.0,17.81999969482422,2263.139961242676,16.973549709320068,2246.1664115333556,47199.7888661909,160.0,2019-10-01,2019-09-30,target_rebalance,0.028158095860147,next_close
SHOP,SELL,105.0,31.32200050354004,3288.810052871704,24.66607539653778,3264.143977475166,50463.932843666065,73.0,2019-10-01,2019-09-30,target_rebalance,0.0223721435569162,next_close
BLD,BUY,4.0,94.80000305175781,379.20001220703125,2.844000091552734,-382.044012298584,50081.88883136748,52.0,2019-10-01,2019-09-30,target_rebalance,0.0489663785879405,next_close
