ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
PAYC,BUY,72.0,221.2843780517578,15932.475219726562,39.83118804931641,-15972.306407775879,84027.69359222412,72.0,2019-07-01,2019-06-28,target_rebalance,0.1594344251471426,next_close
HEI,BUY,137.0,131.7604522705078,18051.18196105957,45.12795490264892,-18096.309915962218,65931.3836762619,137.0,2019-07-01,2019-06-28,target_rebalance,0.1815852856802126,next_close
NOW,BUY,328.0,56.70199966430664,18598.255889892578,46.49563972473145,-18644.751529617308,47286.632146644595,328.0,2019-07-01,2019-06-28,target_rebalance,0.1864037924972782,next_close
ROKU,BUY,210.0,91.37000274658203,19187.700576782227,47.96925144195557,-19235.66982822418,28050.962318420414,210.0,2019-07-01,2019-06-28,target_rebalance,0.1924882742094991,next_close
MELI,BUY,37.0,619.3099975585938,22914.46990966797,57.28617477416992,-22971.75608444214,5079.206233978275,37.0,2019-07-01,2019-06-28,target_rebalance,0.2300882224658673,next_close
NOW,SELL,328.0,54.79999923706055,17974.39974975586,44.93599937438965,17929.46375038147,23008.669984359745,0.0,2019-08-01,2019-07-31,target_exit,,next_close
ROKU,SELL,210.0,100.84500122070312,21177.450256347656,52.94362564086914,21124.506630706786,44133.176615066535,0.0,2019-08-01,2019-07-31,target_exit,,next_close
MELI,SELL,2.0,626.4500122070312,1252.9000244140625,3.1322500610351565,1249.7677743530273,45382.944389419565,35.0,2019-08-01,2019-07-31,target_rebalance,0.2087049266796933,next_close
HEI,BUY,14.0,136.9812469482422,1917.7374572753906,4.794343643188476,-1922.5318009185792,43460.412588500985,151.0,2019-08-01,2019-07-31,target_rebalance,0.2018379876743857,next_close
PAYC,BUY,19.0,231.8904571533203,4405.918685913086,11.014796714782715,-4416.933482627868,39043.47910587312,91.0,2019-08-01,2019-07-31,target_rebalance,0.2065466689290704,next_close
CDNS,BUY,226.0,73.04000091552734,16507.04020690918,41.26760051727295,-16548.307807426452,22495.17129844667,226.0,2019-08-01,2019-07-31,target_rebalance,0.1611415923592148,next_close
MA,BUY,66.0,263.9049377441406,17417.72589111328,43.5443147277832,-17461.270205841065,5033.9010926056035,66.0,2019-08-01,2019-07-31,target_rebalance,0.1717688243576354,next_close
CDNS,SELL,226.0,68.13999938964844,15399.639862060547,38.49909965515137,15361.140762405395,20395.041855010997,0.0,2019-09-03,2019-08-30,target_exit,,next_close
HEI,SELL,151.0,140.95143127441406,21283.666122436523,53.20916530609131,21230.45695713043,41625.49881214143,0.0,2019-09-03,2019-08-30,target_exit,,next_close
MA,SELL,66.0,269.6322937011719,17795.731384277344,44.48932846069336,17751.24205581665,59376.74086795808,0.0,2019-09-03,2019-08-30,target_exit,,next_close
MELI,SELL,35.0,581.0,20335.0,50.8375,20284.1625,79660.90336795808,0.0,2019-09-03,2019-08-30,target_exit,,next_close
PAYC,SELL,9.0,238.11953735351562,2143.0758361816406,5.357689590454101,2137.7181465911867,81798.62151454926,82.0,2019-09-03,2019-08-30,target_rebalance,0.1921934888819735,next_close
SBAC,BUY,71.0,242.78659057617188,17237.847930908203,43.094619827270506,-17280.942550735475,64517.678963813785,71.0,2019-09-03,2019-08-30,target_rebalance,0.1713611951387623,next_close
RNG,BUY,128.0,140.32403564453125,17961.4765625,44.90369140625,-18006.38025390625,46511.29870990754,128.0,2019-09-03,2019-08-30,target_rebalance,0.1779471199995437,next_close
MKTX,BUY,51.0,374.50860595703125,19099.938903808594,47.74984725952149,-19147.688751068115,27363.609958839425,51.0,2019-09-03,2019-08-30,target_rebalance,0.1889286202045434,next_close
EW,BUY,305.0,72.87000274658203,22225.35083770752,55.5633770942688,-22280.91421480179,5082.695744037635,305.0,2019-09-03,2019-08-30,target_rebalance,0.2195695757751769,next_close
EW,SELL,305.0,71.70333099365234,21869.515953063965,54.67378988265991,21814.842163181303,26897.53790721894,0.0,2019-10-01,2019-09-30,target_exit,,next_close
MKTX,SELL,51.0,302.7009582519531,15437.74887084961,38.59437217712402,15399.154498672486,42296.69240589142,0.0,2019-10-01,2019-09-30,target_exit,,next_close
PAYC,SELL,82.0,202.70431518554688,16621.753845214844,41.55438461303711,16580.199460601805,58876.89186649323,0.0,2019-10-01,2019-09-30,target_exit,,next_close
RNG,SELL,128.0,123.18096160888672,15767.1630859375,39.41790771484375,15727.745178222656,74604.63704471588,0.0,2019-10-01,2019-09-30,target_exit,,next_close
SBAC,SELL,71.0,216.49624633789062,15371.233489990234,38.428083724975586,15332.805406265259,89937.44245098115,0.0,2019-10-01,2019-09-30,target_exit,,next_close
NEE,BUY,294.0,49.05152130126953,14421.147262573242,36.05286815643311,-14457.200130729676,75480.24232025148,294.0,2019-10-01,2019-09-30,target_rebalance,0.1604979506575085,next_close
PODD,BUY,98.0,162.8300018310547,15957.34017944336,39.8933504486084,-15997.233529891968,59483.00879035951,98.0,2019-10-01,2019-09-30,target_rebalance,0.1782954620271246,next_close
MLM,BUY,69.0,255.99864196777344,17663.906295776367,44.15976573944092,-17708.06606151581,41774.9427288437,69.0,2019-10-01,2019-09-30,target_rebalance,0.1965899259220801,next_close
TER,BUY,329.0,56.52928924560547,18598.1361618042,46.4953404045105,-18644.63150220871,23130.31122663499,329.0,2019-10-01,2019-09-30,target_rebalance,0.2071395128657571,next_close
DG,BUY,128.0,144.71498107910156,18523.517578125,46.3087939453125,-18569.82637207031,4560.484854564678,128.0,2019-10-01,2019-09-30,target_rebalance,0.2074771485275295,next_close
DG,SELL,128.0,145.787353515625,18660.78125,46.651953125,18614.129296875,23174.614151439677,0.0,2019-11-01,2019-10-31,target_exit,,next_close
MLM,SELL,69.0,251.51931762695312,17354.832916259766,43.38708229064942,17311.445833969115,40486.05998540879,0.0,2019-11-01,2019-10-31,target_exit,,next_close
NEE,SELL,294.0,49.82948684692383,14649.869132995605,36.62467283248901,14613.244460163116,55099.30444557191,0.0,2019-11-01,2019-10-31,target_exit,,next_close
PODD,SELL,98.0,146.47999572753906,14355.039581298828,35.88759895324707,14319.151982345582,69418.4564279175,0.0,2019-11-01,2019-10-31,target_exit,,next_close
TER,SELL,329.0,60.69285202026367,19967.948314666748,49.91987078666687,19918.02844388008,89336.48487179758,0.0,2019-11-01,2019-10-31,target_exit,,next_close
COST,BUY,50.0,269.942138671875,13497.10693359375,33.742767333984375,-13530.849700927734,75805.63517086985,50.0,2019-11-01,2019-10-31,target_rebalance,0.1534319698671853,next_close
AMD,BUY,458.0,34.88999938964844,15979.619720458984,39.94904930114746,-16019.568769760132,59786.06640110972,458.0,2019-11-01,2019-10-31,target_rebalance,0.179160128725798,next_close
ROKU,BUY,109.0,146.5,15968.5,39.92125,-16008.42125,43777.64515110972,109.0,2019-11-01,2019-10-31,target_rebalance,0.1795668196724499,next_close
CPRT,BUY,896.0,20.727500915527344,18571.8408203125,46.42960205078125,-18618.270422363283,25159.374728746436,896.0,2019-11-01,2019-10-31,target_rebalance,0.2080843905573333,next_close
LRCX,BUY,796.0,25.76012420654297,20505.058868408203,51.26264717102051,-20556.321515579224,4603.053213167212,796.0,2019-11-01,2019-10-31,target_rebalance,0.2297566911772334,next_close
AMD,SELL,458.0,38.72999954223633,17738.33979034424,44.3458494758606,17693.99394086838,22297.04715403559,0.0,2019-12-02,2019-11-29,target_exit,,next_close
COST,SELL,50.0,271.1272888183594,13556.364440917969,33.89091110229492,13522.473529815674,35819.52068385127,0.0,2019-12-02,2019-11-29,target_exit,,next_close
ROKU,SELL,109.0,136.07000732421875,14831.630798339844,37.07907699584961,14794.551721343994,50614.072405195264,0.0,2019-12-02,2019-11-29,target_exit,,next_close
CPRT,SELL,191.0,21.989999771118164,4200.089956283569,10.500224890708923,4189.589731392861,54803.66213658812,705.0,2019-12-02,2019-11-29,target_rebalance,0.1727323660526627,next_close
LRCX,BUY,46.0,24.34186363220215,1119.7257270812988,2.799314317703247,-1122.525041399002,53681.13709518912,842.0,2019-12-02,2019-11-29,target_rebalance,0.2286322937359397,next_close
LULU,BUY,65.0,225.52999877929688,14659.449920654297,36.64862480163574,-14696.098545455932,38985.03854973319,65.0,2019-12-02,2019-11-29,target_rebalance,0.1651745403940858,next_close
AAPL,BUY,270.0,63.61815643310547,17176.902236938477,42.94225559234619,-17219.84449253082,21765.194057202367,270.0,2019-12-02,2019-11-29,target_rebalance,0.1917303999086558,next_close
RNG,BUY,104.0,164.9323272705078,17152.962036132812,42.882405090332036,-17195.844441223144,4569.349615979223,104.0,2019-12-02,2019-11-29,target_rebalance,0.1917303999086558,next_close
LULU,SELL,65.0,233.4199981689453,15172.299880981445,37.93074970245362,15134.369131278992,19703.718747258215,0.0,2020-01-02,2019-12-31,target_exit,,next_close
RNG,SELL,104.0,172.61680603027344,17952.147827148438,44.88036956787109,17907.267457580565,37610.98620483878,0.0,2020-01-02,2019-12-31,target_exit,,next_close
AAPL,SELL,57.0,72.3338851928711,4123.031455993652,10.307578639984131,4112.723877353668,41723.71008219245,213.0,2020-01-02,2019-12-31,target_rebalance,0.1584739588425605,next_close
LRCX,BUY,10.0,27.696218490600586,276.96218490600586,0.6924054622650146,-277.6545903682709,41446.055491824176,852.0,2020-01-02,2019-12-31,target_rebalance,0.2435389681006815,next_close
CPRT,BUY,61.0,23.3700008392334,1425.5700511932373,3.5639251279830932,-1429.1339763212204,40016.92151550295,766.0,2020-01-02,2019-12-31,target_rebalance,0.1848382414457142,next_close
TER,BUY,210.0,67.880615234375,14254.92919921875,35.637322998046876,-14290.566522216797,25726.354993286157,210.0,2020-01-02,2019-12-31,target_rebalance,0.1474264691784844,next_close
CRUS,BUY,246.0,85.0,20910.0,52.275,-20962.275,4764.0799932861555,246.0,2020-01-02,2019-12-31,target_rebalance,0.2157223624325592,next_close
AAPL,SELL,213.0,74.33518981933594,15833.395431518555,39.583488578796384,15793.811942939758,20557.89193622591,0.0,2020-02-03,2020-01-31,target_exit,,next_close
CRUS,SELL,246.0,77.19000244140625,18988.740600585938,47.47185150146485,18941.268749084473,39499.16068531039,0.0,2020-02-03,2020-01-31,target_exit,,next_close
TER,SELL,210.0,66.0491714477539,13870.32600402832,34.6758150100708,13835.65018901825,53334.810874328636,0.0,2020-02-03,2020-01-31,target_exit,,next_close
LRCX,SELL,258.0,28.67710304260254,7398.692584991455,18.49673146247864,7380.195853528977,60715.00672785761,594.0,2020-02-03,2020-01-31,target_rebalance,0.1754353270036534,next_close
CPRT,BUY,95.0,25.200000762939453,2394.000072479248,5.98500018119812,-2399.9850726604463,58315.02165519716,861.0,2020-02-03,2020-01-31,target_rebalance,0.2236533582524771,next_close
AMD,BUY,273.0,48.02000045776367,13109.460124969482,32.773650312423705,-13142.233775281906,45172.78787991525,273.0,2020-02-03,2020-01-31,target_rebalance,0.1354855695640639,next_close
PCTY,BUY,125.0,144.1199951171875,18014.999389648438,45.037498474121094,-18060.03688812256,27112.750991792695,125.0,2020-02-03,2020-01-31,target_rebalance,0.1870607179876477,next_close
RNG,BUY,108.0,205.07899475097656,22148.53143310547,55.371328582763674,-22203.902761688234,4908.8482301044605,108.0,2020-02-03,2020-01-31,target_rebalance,0.2283650271921577,next_close
CPRT,SELL,861.0,21.672500610351562,18660.023025512695,46.650057563781736,18613.372967948915,23522.221198053376,0.0,2020-03-02,2020-02-28,target_exit,,next_close
PCTY,SELL,125.0,133.22000122070312,16652.50015258789,41.63125038146973,16610.86890220642,40133.0901002598,0.0,2020-03-02,2020-02-28,target_exit,,next_close
LRCX,SELL,12.0,27.923080444335938,335.07696533203125,0.8376924133300782,334.23927291870115,40467.329373178494,582.0,2020-03-02,2020-02-28,target_rebalance,0.1699893955505144,next_close
RNG,SELL,16.0,239.09605407714844,3825.536865234375,9.563842163085937,3815.973023071289,44283.30239624978,92.0,2020-03-02,2020-02-28,target_rebalance,0.2302277563302803,next_close
AMD,BUY,54.0,47.459999084472656,2562.8399505615234,6.407099876403809,-2569.247050437927,41714.05534581185,327.0,2020-03-02,2020-02-28,target_rebalance,0.1629498102093983,next_close
TSLA,BUY,355.0,49.574668884277344,17599.007453918457,43.997518634796144,-17643.00497255325,24071.0503732586,355.0,2020-03-02,2020-02-28,target_rebalance,0.184515145975257,next_close
NVDA,BUY,2810.0,6.8757452964782715,19320.844283103943,48.30211070775986,-19369.1463938117,4701.903979446899,2810.0,2020-03-02,2020-02-28,target_rebalance,0.2023178919345497,next_close
LRCX,SELL,582.0,20.888593673706055,12157.161518096924,30.39290379524231,12126.768614301682,16828.672593748583,0.0,2020-04-01,2020-03-31,target_exit,,next_close
TSLA,SELL,355.0,32.104000091552734,11396.92003250122,28.492300081253052,11368.427732419968,28197.10032616855,0.0,2020-04-01,2020-03-31,target_exit,,next_close
NVDA,SELL,49.0,6.045971393585205,296.25259828567505,0.7406314957141876,295.51196678996087,28492.61229295851,2761.0,2020-04-01,2020-03-31,target_rebalance,0.2118416301548618,next_close
RNG,SELL,24.0,209.97276306152344,5039.3463134765625,12.598365783691406,5026.747947692871,33519.36024065138,68.0,2020-04-01,2020-03-31,target_rebalance,0.1794080348110378,next_close
