as_of_date,portfolio_kind,row_type,ticker,current_weight,target_portfolio_weight,target_combined_weight,delta_portfolio_weight,preview_action,review_action,review_reason,review_quantity_delta,review_trade_value_delta_usd,review_order_count,review_order_status,cash_policy_flag,macro_recommended_cash_floor,macro_cash_raise_gate,macro_cash_raise_confirmation_count
2026-06-18,concentrated,equity,SNDK,0.383315399259425,0.285,0.2230341998767317,-0.09831539925942501,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-58.0,-126715.5,1,ready,,0.03,none,0.0
2026-06-18,concentrated,equity,BE,0.2363735933991877,0.285,0.17796816342344568,0.04862640660081227,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,192.0,63150.720703125,1,ready,,0.03,none,0.0
2026-06-18,concentrated,equity,WDC,0.2103970026212972,0.1661419491385671,0.1451993117768018,-0.044255053482730095,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-77.0,-57459.70849609375,1,ready,,0.03,none,0.0
2026-06-18,concentrated,equity,CIEN,0.0708662963537495,0.1211138971457406,0.11042115297325199,0.0502476007919911,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,153.0,65517.66018676758,1,ready,,0.03,none,0.0
2026-06-18,concentrated,equity,LITE,0.0416790619767787,0.0642441537156922,0.06382258638024944,0.022565091738913495,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,34.0,28900.0,1,ready,,0.03,none,0.0
2026-06-18,concentrated,cash,CASH,0.0573686463895617,0.0,0.12111940297002637,,RESERVE_CASH,RESERVE_CASH,Combined cash is below target under macro gate `none`.,0.0,0.0,0,,below_combined_cash_target,0.03,none,0.0
2026-06-18,main,equity,SNDK,0.1642109589433157,0.12,0.2230341998767317,-0.0442109589433157,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-15.0,-32771.25,1,ready,,0.03,none,0.0
2026-06-18,main,equity,WDC,0.143548288257306,0.1103767503060305,0.1451993117768018,-0.033171537951275504,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-34.0,-25371.8193359375,1,ready,,0.03,none,0.0
2026-06-18,main,equity,MRVL,0.1210718757460281,0.0852620036506741,0.03202017137167904,-0.035809872095353995,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-90.0,-27952.198791503903,1,ready,,0.03,none,0.0
2026-06-18,main,equity,STM,0.1128463410863386,0.1062470352186422,0.03990110635180746,-0.006599305867696401,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-66.0,-5173.739959716797,1,ready,,0.03,none,0.0
2026-06-18,main,equity,CIEN,0.0556436355863876,0.0926416949801767,0.11042115297325199,0.0369980593937891,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,67.0,28690.74008178711,1,ready,,0.03,none,0.0
2026-06-18,main,equity,ON,0.0503543213861424,0.056486650620838,0.021213578800022642,0.006132329234695595,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,39.0,4743.180107116699,1,ready,,0.03,none,0.0
2026-06-18,main,equity,MU,0.0491175296151037,0.0314983467889042,0.011829213705058348,-0.017619182826199495,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-12.0,-13607.8798828125,1,ready,,0.03,none,0.0
2026-06-18,main,equity,LITE,0.0422310529961805,0.063121621444509,0.06382258638024944,0.020890568448328505,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,19.0,16150.0,1,ready,,0.03,none,0.0
2026-06-18,main,equity,PWR,0.0375741717223483,0.0527095682414274,0.019795094365042787,0.015135396519079095,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,16.0,11236.0,1,ready,,0.03,none,0.0
2026-06-18,main,equity,FIX,0.0300763067578858,0.0397066788566912,0.014911855306621393,0.0096303720988054,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,3.0,5902.230102539063,1,ready,,0.03,none,0.0
2026-06-18,main,equity,COHR,0.0223329660068301,0.0252241121663043,0.009472922986570377,0.0028911461594741984,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,5.0,1947.8500366210935,1,ready,,0.03,none,0.0
2026-06-18,main,equity,TER,0.0133891933358586,0.013489705178385,0.005066062877609831,0.00010051184252640039,HOLD,HOLD,No preview order or no material target gap.,0.0,0.0,0,,,0.03,none,0.0
2026-06-18,main,equity,KEYS,0.0088025696709978,0.0112506281917038,0.004225176835080758,0.0024480585207060004,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,5.0,1818.350067138672,1,ready,,0.03,none,0.0
2026-06-18,main,cash,CASH,0.1488007888892763,0.0,0.12111940297002637,,RESERVE_CASH,RESERVE_CASH,Combined cash is below target under macro gate `none`.,0.0,0.0,0,,below_combined_cash_target,0.03,none,0.0
