rebalance_date,ticker,weight,target_weight,sector,industry_group,primary_lane,holding_state,hold_replace_decision,crisis_state,market_style_regime_label,regime_state,regime_capacity_regime,selection_confirmation_score,breakout_setup_quality_score,volatility_contraction_score,rs_benchmark_1m,ticker_ret_1m,rs_benchmark_3m,ticker_ret_3m,atr14_pct,price_above_ma50,price_above_ma200,spy_1m_return,qqq_1m_return,benchmark_risk_score,linked_mdd_position_pnl_usd
2021-07-30,DXCM,0.1585084056941205,0.1585084056941205,Health Care,Medical Devices,MARKET_LEADER,NEW,new_entry,GREEN,balanced,neutral,neutral,1.0,0.5148910323272486,-0.3192919660503321,0.1807724616093832,0.2072833952356556,0.268093460742415,0.3351722393586644,0.0306381739758927,1.0,1.0,0.0244125025038601,0.0286093647486846,0.0,-12595.675506591793
2021-07-30,NTLA,0.0248860772144071,0.0248860772144071,Health Care,Biotechnology,MARKET_LEADER,HOLD,keep_prior_holding,GREEN,balanced,neutral,neutral,1.0,0.6373903504644671,0.4728238780256765,-0.1504069073454568,-0.1238959737191843,0.7806483583671155,0.847727136983365,0.0628682328514315,1.0,1.0,0.0244125025038601,0.0286093647486846,0.0,-10444.351196289055
2021-07-30,MRNA,0.285,0.285,Health Care,Biotechnology,MARKET_LEADER,HOLD,keep_prior_holding,GREEN,balanced,neutral,neutral,1.0,0.5607142857142857,-0.1211517234038153,0.4782980396172086,0.5048089732434811,0.9103286233552932,0.9774074019715426,0.068333472963087,1.0,1.0,0.0244125025038601,0.0286093647486846,0.0,-10372.441162109375
2021-08-31,BILL,0.3,0.3,Information Technology,Software - Application,MARKET_LEADER,NEW,new_entry,GREEN,balanced,bull,bull,1.0,0.5344222188478581,-0.5655487747372201,0.2907359575480822,0.3267092395867363,0.7336876518590768,0.8425330245918361,0.0504339403853451,1.0,1.0,0.0297598623955681,0.0421867016817401,0.0,-60995.773498535156
2021-08-31,DDOG,0.1711820384982711,0.1711820384982711,Information Technology,Software - Application,MARKET_LEADER,NEW,new_entry,GREEN,balanced,bull,bull,1.0,0.5607142857142857,-0.5154760002890595,0.2088325612368994,0.2448058432755535,0.4046087561311874,0.5134541288639467,0.0351021189610666,1.0,1.0,0.0297598623955681,0.0421867016817401,0.0,-31852.79931640625
2021-08-31,NTLA,0.1858876041782185,0.1858876041782185,Health Care,Biotechnology,MARKET_LEADER,HOLD,keep_prior_holding,GREEN,balanced,bull,bull,1.0,0.7167426719128683,0.4433909223025446,0.0957150639043799,0.131688345943034,1.0332682321448403,1.1421136048775995,0.0560375980715082,1.0,1.0,0.0297598623955681,0.0421867016817401,0.0,-10444.351196289055
2021-08-31,MRNA,0.1121331021671679,0.1121331021671679,Health Care,Biotechnology,MARKET_LEADER,HOLD,keep_prior_holding,GREEN,balanced,bull,bull,1.0,0.3772259947010516,-0.371854644846646,0.0293264802332137,0.0652997622718678,0.9272068062077028,1.0360521789404622,0.0675028285264721,1.0,1.0,0.0297598623955681,0.0421867016817401,0.0,-10372.441162109375
2021-08-31,DKS,0.08,0.08,Consumer Discretionary,Specialty Retail,MARKET_LEADER,NEW,new_entry,GREEN,balanced,bull,bull,1.0,0.2416920784172012,-0.3418903184423745,0.3161489062513042,0.3521221882899583,0.3402135938114287,0.449058966544188,0.1730614884326582,1.0,1.0,0.0297598623955681,0.0421867016817401,0.0,-2385.21240234375
2021-09-30,BILL,0.038,0.038,Information Technology,Software - Application,MARKET_LEADER,HOLD,keep_prior_holding,WATCH,quality_compounder,neutral,neutral,1.0,0.5975186251649017,0.4383766551905208,-0.0008276951844243,-0.0536371776994475,0.4489029568449514,0.4573098748809234,0.0478308080657139,1.0,1.0,-0.0480183018182684,-0.0576006632117778,1.0,-60995.773498535156
2021-09-30,DDOG,0.1777581128516675,0.1777581128516675,Information Technology,Software - Application,MARKET_LEADER,HOLD,keep_prior_holding,WATCH,quality_compounder,neutral,neutral,1.0,0.6443001184714344,0.239574344012334,0.0873553439804564,0.0345458614654332,0.3496830475364589,0.358089965572431,0.0344646133822897,1.0,1.0,-0.0480183018182684,-0.0576006632117778,1.0,-31852.79931640625
2021-09-30,DXCM,0.1602861756382408,0.1602861756382408,Health Care,Medical Devices,MARKET_LEADER,NEW,new_entry,WATCH,quality_compounder,neutral,neutral,1.0,0.7006399662096473,0.2839112785638974,0.1013580279592063,0.0485485454441831,0.2722956237709659,0.280702541806938,0.029725545079538,1.0,1.0,-0.0480183018182684,-0.0576006632117778,1.0,-12595.675506591793
2021-09-30,MRNA,0.076,0.076,Health Care,Biotechnology,MARKET_LEADER,HOLD,keep_prior_holding,WATCH,quality_compounder,neutral,neutral,1.0,0.4573204736588407,0.255079366460653,0.0910354471130192,0.0382259645979961,0.6294345678316604,0.6378414858676325,0.0602180207709213,0.0,1.0,-0.0480183018182684,-0.0576006632117778,1.0,-10372.441162109375
2021-10-29,DDOG,0.192065716510933,0.192065716510933,Information Technology,Software - Application,MARKET_LEADER,HOLD,keep_prior_holding,GREEN,balanced,bull,bull,1.0,0.7203184522919762,0.0738929945501732,0.1434000031126199,0.2092804675680037,0.4517026256638542,0.5018430100707594,0.0358998580835428,1.0,1.0,0.0570836276639874,0.0746773012467802,0.0,-31852.79931640625
2021-10-29,TSLA,0.08,0.08,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER,NEW,new_entry,GREEN,balanced,bull,bull,0.2451249999999999,0.3976190476190476,-0.23687478506626,0.3599300211217595,0.4258104855771434,0.5945041795322398,0.6446445639391449,0.0355142415862916,1.0,1.0,0.0570836276639874,0.0746773012467802,0.0,-18079.413665771484
2021-10-29,DXCM,0.1014820838327105,0.1014820838327105,Health Care,Medical Devices,MARKET_LEADER,HOLD,keep_prior_holding,GREEN,balanced,bull,bull,0.2451249999999999,0.5388828133981998,-0.3226882401425006,0.0764084802477149,0.1422889447030988,0.3163984570667021,0.3665388414736072,0.0281790016611609,1.0,1.0,0.0570836276639874,0.0746773012467802,0.0,-12595.675506591793
2021-10-29,NET,0.273143764850389,0.273143764850389,Information Technology,Software - Infrastructure,MARKET_LEADER,NEW,new_entry,GREEN,balanced,bull,bull,1.0,0.5607142857142857,-0.0472897910825247,0.6674291987836467,0.7333096632390306,0.5672697178266018,0.617410102233507,0.0497586204310195,1.0,1.0,0.0570836276639874,0.0746773012467802,0.0,-1836.0966491699219
2021-11-30,DDOG,0.0259615775215641,0.0259615775215641,Information Technology,Software - Application,MARKET_LEADER,HOLD,keep_prior_holding,WATCH,quality_compounder,neutral,neutral,1.0,0.4793670510929603,-0.2402436615251431,0.0613182623490175,0.0672851842504453,0.2812117221412769,0.3049109779294239,0.0519514697547432,1.0,1.0,-0.0080347043665361,0.0199685481693918,0.0,-31852.79931640625
2021-11-30,NVDA,0.076,0.076,Information Technology,Semiconductors,MARKET_LEADER,NEW,new_entry,WATCH,quality_compounder,neutral,neutral,0.246716875,0.5228537975560572,-0.3718288836129393,0.2720868035872714,0.2780537254886992,0.4167876734392903,0.4404869292274374,0.0532181590792618,1.0,1.0,-0.0080347043665361,0.0199685481693918,0.0,-30292.085662841804
2021-11-30,TSLA,0.076,0.076,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER,HOLD,keep_prior_holding,WATCH,quality_compounder,neutral,neutral,0.2451249999999999,0.4927132383016597,-0.3750022353731768,0.0216452669723511,0.027612188873779,0.5425126993520037,0.5662119551401508,0.0528482502689689,1.0,1.0,-0.0080347043665361,0.0199685481693918,0.0,-18079.413665771484
2021-11-30,RKLB,0.076,0.076,Industrials,Aerospace & Defense,MARKET_LEADER,NEW,new_entry,WATCH,quality_compounder,neutral,neutral,0.2451249999999999,0.6319045395960782,0.4459040422309814,0.1228586611142911,0.128825583015719,0.5575569833861516,0.5812562391742986,0.0684561432428818,1.0,1.0,-0.0080347043665361,0.0199685481693918,0.0,-2892.539848327635
2021-12-31,NVDA,0.04,0.04,Information Technology,Semiconductors,MARKET_LEADER,HOLD,keep_prior_holding,GREEN,quality_compounder,bull,bull,0.246716875,0.4314238086075436,-0.112075520750442,-0.1286957201219752,-0.0998102906405481,0.3081395023722137,0.4198977980014078,0.0505020538730173,1.0,1.0,0.0462476431894158,0.0115232157734384,0.0,-30292.085662841804
2022-01-31,MA,0.0997499999999999,0.0997499999999999,Financials,Consumer Finance,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,quality_compounder,neutral,neutral,1.0,0.4999762994686658,-0.0366928276080487,0.1468255343354006,0.0767199983043569,0.190805855586958,0.1530966761233523,0.0486738575550561,1.0,1.0,-0.0527411155831033,-0.087469956478984,4.0,-12456.719299316403
2022-01-31,PLNT,0.0395869031620762,0.0395869031620762,Consumer Discretionary,Specialty Retail,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,quality_compounder,neutral,neutral,1.0,0.6139687616758807,0.0738147854106577,0.0486879780470568,-0.0214175579839868,0.1519768851728862,0.1142677057092804,0.0491490497796109,1.0,1.0,-0.0527411155831033,-0.087469956478984,4.0,-387.24005126953125
2022-02-28,MA,0.02,0.02,Financials,Consumer Finance,QUALITY_COMPOUNDER,HOLD,keep_prior_holding,DEFENSE_REVIEW,balanced,bear,bear,1.0,0.2435405517170374,-0.2181952034612624,-0.0435795307351242,-0.056704707327164,0.1933664729274963,0.1145180637683076,0.0424151072587617,0.0,1.0,-0.012037529415719,-0.0142128237683606,4.0,-12456.719299316403
2022-04-29,STLD,0.0223621789334568,0.0223621789334568,Materials,Metals & Mining,MARKET_LEADER,HOLD,keep_prior_holding,CRISIS_DEFENSE,cash_defense,bear,bear,1.0,0.5940631415721411,0.2505126179825417,0.1547493934587848,0.0230253961324939,0.6543702630176831,0.5676951654159332,0.0962590553347719,1.0,1.0,-0.1073554930939864,-0.1560925015585953,6.0,-13262.109004974365
2022-04-29,RGLD,0.02,0.02,Materials,Metals & Mining,MARKET_LEADER,HOLD,keep_prior_holding,CRISIS_DEFENSE,cash_defense,bear,bear,1.0,0.4326110417003919,0.272015559510641,0.0593944589395529,-0.0723295383867379,0.4039107308068104,0.3172356332050605,0.0605786464400396,0.0,1.0,-0.1073554930939864,-0.1560925015585953,6.0,-493.4564208984375
2022-05-31,STLD,0.0114704840405345,0.0114704840405345,Materials,Metals & Mining,MARKET_LEADER,HOLD,keep_prior_holding,DEFENSE_REVIEW,balanced,bear,bear,1.0,0.498143046784613,-0.1697351990261948,0.0024895857884831,-0.0043147750583787,0.2952555430037196,0.2145980704800045,0.0834140232510383,1.0,1.0,0.0022570560862742,-0.015865777779998,4.0,-13262.109004974365
2022-05-31,MA,0.0029101467051388,0.0029101467051388,Financials,Consumer Finance,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,balanced,bear,bear,1.0,0.5120944429704206,-0.0181501141217563,-0.0083588005501445,-0.0151631613970064,0.0738583370196804,-0.0067991355040345,0.0417252896904864,1.0,1.0,0.0022570560862742,-0.015865777779998,4.0,-12456.719299316403
2022-06-30,FANG,0.0375,0.0375,Energy,Oil Gas & Consumable Fuels,QUALITY_COMPOUNDER,NEW,new_entry,CRISIS_DEFENSE,balanced,bear,bear,1.0,-0.5964595993279953,-0.1857193742268956,-0.1168542648115009,-0.2064063327588056,0.0961010097566507,-0.1084130775000273,0.2348994841287501,0.0,1.0,-0.0876089146161732,-0.091495221278436,7.0,-2813.149139404297
2022-07-29,WCC,0.0633860440465046,0.0633860440465046,Industrials,Capital Goods - Machinery,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,turnaround_accumulation,bear,bear,1.0,0.3999773913672056,0.2749090640015591,0.092487175405549,0.1898733620571946,0.030514072451643,0.0371571733310402,0.0506910835792507,1.0,1.0,0.0832150193234224,0.1115573539798686,2.0,-6250.767700195314
