as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,open_lot_count,open_lot_quantity,avg_entry_price,entry_reasons,entry_sleeves,target_portfolio_weight,target_combined_weight,delta_portfolio_weight,preview_action,review_action,review_reason,review_quantity_delta,review_trade_value_delta_usd,review_order_count,review_order_status,monster_recommendation,monster_stage,monster_priority_score,monster_reason,entry_monster_early_score_max,entry_stale_mega_leader_score_max,entry_risk_entry_block_score_max,account_source,approval_status,risk_state,combined_current_cash_weight,combined_target_cash_weight,combined_cash_gap_weight,macro_recommended_cash_floor,macro_cash_raise_gate,macro_cash_raise_confirmation_count,cash_policy_flag
2026-06-22,current_broker_ledger_mark_to_market,concentrated,equity,SNDK,237.0,2288.22998046875,542310.5053710938,0.3879686694435681,1119.903968263779,276893.2648925781,6184.959904785156,2026-03-02,2026-05-01,112,2,237.0,1119.903968263779,target_rebalance,"future_winner,unassigned",0.285,0.22456669626668121,-0.10296866944356814,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-62.0,-141870.2587890625,1,ready,,,0.0,,0.623018791374677,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,concentrated,equity,BE,970.0,346.114990234375,335731.5405273437,0.2401821793577515,290.5199890136719,53927.15118408203,0.0,2026-05-01,2026-05-01,52,1,970.0,290.5199890136719,target_rebalance,future_winner,0.285,0.18061520264244937,0.044817820642248485,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,181.0,62646.81323242188,1,ready,,,0.0,,0.4967107328491786,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,concentrated,equity,WDC,380.0,759.655029296875,288668.9111328125,0.2065135973814207,393.8895203626656,138990.89339499958,112228.49255550854,2026-02-02,2026-05-01,140,2,380.0,404.2281889262952,target_rebalance,future_winner,0.1658109919383137,0.14546674530478956,-0.040702605443107,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-74.0,-56214.47216796875,1,ready,,,0.0,,0.5695755086015799,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,concentrated,equity,CIEN,223.0,438.4700012207031,97778.8102722168,0.069950912890999,440.411924406126,-433.0488703493029,82109.77434825458,2026-03-02,2026-05-01,112,2,223.0,471.7846980757777,target_rebalance,future_winner,0.1210803191563067,0.11066302279316431,0.051129406265307695,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,162.0,71032.1401977539,1,ready,,,0.0,,0.6170108406682897,0.0,0.2416666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,concentrated,equity,LITE,67.0,841.1900024414062,56359.73016357422,0.0403197233046371,545.5004299270504,19811.20135846184,268356.85791125253,2026-02-02,2026-05-01,140,2,67.0,643.4540346060227,target_rebalance,"future_winner,unassigned",0.0646086889053795,0.06413584945112237,0.024288965600742403,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,40.0,33647.60009765625,1,ready,,,0.0,,0.5892849775341478,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,concentrated,cash,CASH,0.0,1.0,76970.86299888405,0.0550649176216233,1.0,0.0,0.0,,,,0,0.0,0.0,,,0.0,0.12008607436202302,,RESERVE_CASH,RESERVE_CASH,Combined cash is below target under macro gate `none`.,0.0,0.0,0,,,,0.0,,0.0,0.0,0.0,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,below_combined_cash_target
2026-06-22,current_broker_ledger_mark_to_market,main,equity,SNDK,60.0,2288.22998046875,137293.798828125,0.1699482160027756,770.5253458658855,91062.27807617188,1582.1990454101565,2026-03-02,2026-05-01,112,2,60.0,770.5253458658855,target_rebalance,"future_winner,unassigned",0.12,0.22456669626668121,-0.0499482160027756,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-17.0,-38899.90966796875,1,ready,,,0.0,,0.623018791374677,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,main,equity,WDC,152.0,759.655029296875,115467.564453125,0.1429307569059278,336.6471991889388,64297.1901764063,30444.396853355967,2026-02-02,2026-05-01,140,2,152.0,368.7676799171849,target_rebalance,future_winner,0.1102654485514349,0.14546674530478956,-0.0326653083544929,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-34.0,-25828.27099609375,1,ready,,,0.0,,0.5695755086015799,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,main,equity,MRVL,308.0,307.739990234375,94783.9169921875,0.1173276414235075,164.9499969482422,43979.317932128906,-1537.1959184646605,2026-05-01,2026-05-01,52,1,308.0,164.9499969482422,target_rebalance,future_winner,0.0852589194369642,0.031227140450355226,-0.0320687219865433,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-84.0,-25850.1591796875,1,ready,,,0.0,,0.626503990716103,0.0,0.2416666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,main,equity,STM,1129.0,80.0999984741211,90432.89827728271,0.1119417618375078,55.75,27491.148277282715,229.23301129817915,2026-05-01,2026-05-01,52,1,1129.0,55.75,target_rebalance,early_scout,0.1054748770594471,0.038631486554957704,-0.006466884778060705,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-65.0,-5206.499900817871,1,ready,,,0.0,,0.5535521462788437,0.0,0.325,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,main,equity,CIEN,103.0,438.4700012207031,45162.41012573242,0.0559039890859339,385.1401008860319,5492.979734471141,23225.24437357635,2026-03-02,2026-05-01,112,2,103.0,410.1369910379058,target_rebalance,future_winner,0.0926381557507864,0.11066302279316431,0.036734166664852505,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,67.0,29377.49008178711,1,ready,,,0.0,,0.6170108406682897,0.0,0.2416666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,main,equity,ON,327.0,130.89999389648438,42804.29800415039,0.0529850156754954,103.02999877929688,9113.488403320312,440.96551027297954,2026-05-01,2026-05-01,52,1,327.0,103.02999877929688,target_rebalance,future_winner,0.0564536699670997,0.02067685929686225,0.003468654291604298,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,21.0,2748.899871826172,1,ready,,,0.0,,0.5966208727452122,0.0,0.4583333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,main,equity,MU,34.0,1187.760009765625,40383.84033203125,0.0499888682398648,469.9933695447429,24404.065767509997,20182.120748908463,2026-01-02,2026-05-01,171,2,34.0,475.4681234920726,target_rebalance,future_winner,0.0316324308233738,0.011585771513770566,-0.018356437416490998,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-12.0,-14253.1201171875,1,ready,,,0.0,,0.6090671448645442,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,main,equity,LITE,39.0,841.1900024414062,32806.410095214844,0.0406091966041154,309.7009183794092,20728.074278417887,61540.558895600974,2026-02-02,2026-05-01,140,2,39.0,463.9207810621995,target_rebalance,"future_winner,unassigned",0.0633177035523909,0.06413584945112237,0.022708506948275503,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,21.0,17664.99005126953,1,ready,,,0.0,,0.5892849775341478,0.0,0.3333333333333333,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
2026-06-22,current_broker_ledger_mark_to_market,main,equity,PWR,42.0,712.3900146484375,29920.38061523437,0.037036744201745,742.2100219726562,-1252.4403076171875,951.0120153808592,2026-05-01,2026-05-01,52,1,42.0,742.2100219726562,target_rebalance,future_winner,0.0527619774770134,0.019324730972356815,0.015725233275268403,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,17.0,12110.630249023438,1,ready,,,0.0,,0.5299326417928577,0.0,0.2416666666666667,simulated_broker_replay,blocked_by_safety_audit,green,0.088165577928403,0.12008607436202302,0.03192049643362002,0.03,none,0.0,
