split,feature,rows,auc,spearman
holdout,crisis_score,1687,0.4699126407515529,-0.02637404698149423
holdout,cash_raise_confirmation_score,1687,0.4129864571215347,-0.07627456285617193
holdout,liquidity_confirmation_score,1687,0.3442129985293795,-0.13658727046460473
holdout,market_trend_damage_score,1687,0.4972837419609737,-0.002389503220121496
holdout,volatility_stress_score,1687,0.53508911521324,0.03145281365992582
holdout,credit_stress_score,1687,0.43961401698895936,-0.07288451801802738
holdout,rate_shock_score,1687,0.6194440176474462,0.104710137637672
holdout,vix_zscore_252d,1687,0.6382767400513619,0.1212109447176132
holdout,hy_oas_zscore_252d,735,0.19127169127169127,-0.22146528809424568
holdout,m2_6m_change_lag1m,1687,0.389119054412959,-0.09720048903277785
holdout,net_liquidity_13w_change_pct,1687,0.4659397704076033,-0.029856595419085433
holdout,fed_assets_13w_change_pct,1687,0.39256239162404793,-0.09417830401368299
holdout,reverse_repo_13w_change_pct,1661,0.4634834281888182,-0.03224170871731429
holdout,tga_13w_change_pct,1687,0.6072949362365284,0.0940532396128272
holdout,dxy_ret_20d,1687,0.5185254285651573,0.016239063134394285
test,crisis_score,143,0.47423664122137404,-0.024790531929061794
test,cash_raise_confirmation_score,143,0.5986005089058524,0.09500627353380614
test,liquidity_confirmation_score,143,0.7092875318066157,0.21237496373096426
test,market_trend_damage_score,143,0.263676844783715,-0.2341226743539484
test,volatility_stress_score,143,0.5769720101781171,0.08580832855955754
test,credit_stress_score,143,0.5,
test,rate_shock_score,143,0.5655216284987278,0.06308248227648827
test,vix_zscore_252d,94,0.3363821138211382,-0.18915406239519889
test,hy_oas_zscore_252d,0,,
test,m2_6m_change_lag1m,17,0.75,
test,net_liquidity_13w_change_pct,78,0.011363636363636364,-0.6107733638944575
test,fed_assets_13w_change_pct,78,0.13636363636363635,-0.4554052052031388
test,reverse_repo_13w_change_pct,78,0.7904040404040404,0.3630011025310881
test,tga_13w_change_pct,78,0.13131313131313133,-0.46173027749762685
test,dxy_ret_20d,123,0.1006006006006006,-0.4105443552245214
all,crisis_score,1830,0.4635883335781434,-0.03217105430560974
all,cash_raise_confirmation_score,1830,0.41930908490011753,-0.07129371336838271
all,liquidity_confirmation_score,1830,0.371683589159812,-0.11342354126963344
all,market_trend_damage_score,1830,0.4794657939189189,-0.018224489173708516
all,volatility_stress_score,1830,0.5320326270564042,0.029074803213044377
all,credit_stress_score,1830,0.4434810149823737,-0.07095461920988888
all,rate_shock_score,1830,0.6106763183019976,0.09779424663093474
all,vix_zscore_252d,1781,0.6082596037507562,0.09685780365950103
all,hy_oas_zscore_252d,735,0.19127169127169127,-0.22146528809424568
all,m2_6m_change_lag1m,1704,0.38486724698604063,-0.10512873114622379
all,net_liquidity_13w_change_pct,1765,0.43380135155772753,-0.05947362871906359
all,fed_assets_13w_change_pct,1765,0.3760833460598656,-0.11132857618571222
all,reverse_repo_13w_change_pct,1739,0.48153320918684045,-0.01670506998247941
all,tga_13w_change_pct,1765,0.6004600641417227,0.090254824906961
all,dxy_ret_20d,1810,0.4856012187871581,-0.012786622101398094
