ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
PAYC,BUY,78.0,221.28439331054688,17260.182678222656,43.15045669555664,-17303.33313491821,82696.66686508179,78.0,2019-07-01,2019-06-28,target_rebalance,0.1730868734534101,next_close
ROKU,BUY,198.0,91.37000274658203,18091.260543823242,45.228151359558105,-18136.4886951828,64560.17816989899,198.0,2019-07-01,2019-06-28,target_rebalance,0.181005414595879,next_close
NOW,BUY,323.0,56.70199966430664,18314.745891571045,45.78686472892761,-18360.532756299974,46199.64541359901,323.0,2019-07-01,2019-06-28,target_rebalance,0.1831544992735389,next_close
HEI,BUY,154.0,131.76046752929688,20291.11199951172,50.7277799987793,-20341.839779510497,25857.805634088516,154.0,2019-07-01,2019-06-28,target_rebalance,0.2033059646537326,next_close
MELI,BUY,33.0,619.3099975585938,20437.229919433594,51.093074798583984,-20488.322994232178,5369.482639856338,33.0,2019-07-01,2019-06-28,target_rebalance,0.2094472480234391,next_close
NOW,SELL,323.0,54.79999923706055,17700.399753570557,44.25099938392639,17656.14875418663,23025.631394042968,0.0,2019-08-01,2019-07-31,target_exit,,next_close
ROKU,SELL,198.0,100.84500122070312,19967.31024169922,49.918275604248045,19917.391966094972,42943.023360137944,0.0,2019-08-01,2019-07-31,target_exit,,next_close
PAYC,BUY,15.0,231.89047241210938,3478.3570861816406,8.695892715454102,-3487.052978897095,39455.97038124085,93.0,2019-08-01,2019-07-31,target_rebalance,0.2110662912777081,next_close
CDNS,BUY,230.0,73.04000091552734,16799.20021057129,41.99800052642822,-16841.19821109772,22614.77217014313,230.0,2019-08-01,2019-07-31,target_rebalance,0.1636672580475929,next_close
MA,BUY,65.0,263.90496826171875,17153.82293701172,42.8845573425293,-17196.707494354247,5418.064675788883,65.0,2019-08-01,2019-07-31,target_rebalance,0.16824412101591,next_close
CDNS,SELL,230.0,68.13999938964844,15672.19985961914,39.18049964904785,15633.019359970092,21051.084035758977,0.0,2019-09-03,2019-08-30,target_exit,,next_close
HEI,SELL,154.0,140.95140075683594,21706.515716552734,54.26628929138184,21652.24942726135,42703.33346302033,0.0,2019-09-03,2019-08-30,target_exit,,next_close
MA,SELL,65.0,269.63238525390625,17526.105041503906,43.81526260375977,17482.289778900147,60185.623241920475,0.0,2019-09-03,2019-08-30,target_exit,,next_close
MELI,SELL,33.0,581.0,19173.0,47.932500000000005,19125.0675,79310.69074192048,0.0,2019-09-03,2019-08-30,target_exit,,next_close
PAYC,SELL,7.0,238.1195831298828,1666.8370819091797,4.16709270477295,1662.6699892044066,80973.36073112489,86.0,2019-09-03,2019-08-30,target_rebalance,0.2002396922704772,next_close
BFAM,BUY,102.0,163.36000061035156,16662.72006225586,41.65680015563965,-16704.3768624115,64268.98386871339,102.0,2019-09-03,2019-08-30,target_rebalance,0.1656910730972747,next_close
SBAC,BUY,69.0,242.78672790527344,16752.284225463867,41.88071056365967,-16794.164936027526,47474.81893268586,69.0,2019-09-03,2019-08-30,target_rebalance,0.1658004401392466,next_close
MKTX,BUY,54.0,374.50860595703125,20223.464721679688,50.55866180419922,-20274.023383483887,27200.795549201976,54.0,2019-09-03,2019-08-30,target_rebalance,0.2007208206563727,next_close
EW,BUY,302.0,72.87000274658203,22006.740829467773,55.01685207366943,-22061.757681541443,5139.037867660532,302.0,2019-09-03,2019-08-30,target_rebalance,0.2175479738366286,next_close
BFAM,SELL,102.0,151.8300018310547,15486.660186767578,38.71665046691895,15447.94353630066,20586.981403961192,0.0,2019-10-01,2019-09-30,target_exit,,next_close
EW,SELL,302.0,71.70333099365234,21654.405960083008,54.13601490020752,21600.2699451828,42187.25134914399,0.0,2019-10-01,2019-09-30,target_exit,,next_close
MKTX,SELL,54.0,302.7008972167969,16345.848449707031,40.86462112426758,16304.983828582765,58492.235177726754,0.0,2019-10-01,2019-09-30,target_exit,,next_close
PAYC,SELL,86.0,202.70433044433594,17432.57241821289,43.58143104553223,17388.99098716736,75881.22616489412,0.0,2019-10-01,2019-09-30,target_exit,,next_close
SBAC,SELL,69.0,216.4962615966797,14938.242050170898,37.34560512542725,14900.896445045471,90782.12260993959,0.0,2019-10-01,2019-09-30,target_exit,,next_close
NEE,BUY,299.0,49.0515251159668,14666.406009674072,36.66601502418518,-14703.072024698258,76079.05058524133,299.0,2019-10-01,2019-09-30,target_rebalance,0.161771707293393,next_close
TER,BUY,277.0,56.52928161621094,15658.61100769043,39.146527519226076,-15697.757535209656,60381.29305003168,277.0,2019-10-01,2019-09-30,target_rebalance,0.1724991296748995,next_close
PODD,BUY,104.0,162.8300018310547,16934.320190429688,42.33580047607422,-16976.65599090576,43404.63705912592,104.0,2019-10-01,2019-09-30,target_rebalance,0.1875544394211873,next_close
MLM,BUY,75.0,255.9986114501953,19199.89585876465,47.99973964691162,-19247.89559841156,24156.74146071436,75.0,2019-10-01,2019-09-30,target_rebalance,0.212583998459908,next_close
DG,BUY,135.0,144.71499633789062,19536.524505615234,48.84131126403809,-19585.36581687927,4571.3756438350865,135.0,2019-10-01,2019-09-30,target_rebalance,0.2155907251506119,next_close
DG,SELL,135.0,145.78733825683594,19681.29066467285,49.20322666168213,19632.08743801117,24203.463081846257,0.0,2019-11-01,2019-10-31,target_exit,,next_close
MLM,SELL,75.0,251.5193634033203,18863.952255249023,47.15988063812256,18816.7923746109,43020.25545645716,0.0,2019-11-01,2019-10-31,target_exit,,next_close
NEE,SELL,299.0,49.82949447631836,14899.01884841919,37.24754712104797,14861.771301298142,57882.0267577553,0.0,2019-11-01,2019-10-31,target_exit,,next_close
PODD,SELL,104.0,146.47999572753906,15233.919555664062,38.084798889160155,15195.834756774902,73077.8615145302,0.0,2019-11-01,2019-10-31,target_exit,,next_close
TER,SELL,277.0,60.69285583496094,16811.92106628418,42.02980266571045,16769.89126361847,89847.75277814867,0.0,2019-11-01,2019-10-31,target_exit,,next_close
COST,BUY,52.0,269.9420166015625,14036.98486328125,35.092462158203126,-14072.077325439453,75775.67545270921,52.0,2019-11-01,2019-10-31,target_rebalance,0.1576078273302961,next_close
AMD,BUY,431.0,34.88999938964844,15037.589736938477,37.59397434234619,-15075.183711280823,60700.49174142839,431.0,2019-11-01,2019-10-31,target_rebalance,0.1675397464023484,next_close
ROKU,BUY,109.0,146.5,15968.5,39.92125,-16008.42125,44692.07049142839,109.0,2019-11-01,2019-10-31,target_rebalance,0.1788153421517931,next_close
CPRT,BUY,905.0,20.727500915527344,18758.388328552246,46.895970821380615,-18805.284299373627,25886.786192054766,905.0,2019-11-01,2019-10-31,target_rebalance,0.2089484144073786,next_close
LRCX,BUY,826.0,25.7601261138916,21277.864170074463,53.19466042518616,-21331.05883049965,4555.727361555117,826.0,2019-11-01,2019-10-31,target_rebalance,0.2370886697081836,next_close
AMD,SELL,431.0,38.72999954223633,16692.629802703857,41.73157450675964,16650.898228197097,21206.625589752213,0.0,2019-12-02,2019-11-29,target_exit,,next_close
COST,SELL,52.0,271.1273498535156,14098.622192382812,35.246555480957035,14063.375636901856,35270.00122665407,0.0,2019-12-02,2019-11-29,target_exit,,next_close
ROKU,SELL,109.0,136.07000732421875,14831.630798339844,37.07907699584961,14794.551721343994,50064.55294799807,0.0,2019-12-02,2019-11-29,target_exit,,next_close
CPRT,SELL,173.0,21.989999771118164,3804.2699604034424,9.510674901008606,3794.7592855024336,53859.3122335005,732.0,2019-12-02,2019-11-29,target_rebalance,0.1786889535794623,next_close
LRCX,BUY,17.0,24.34185791015625,413.81158447265625,1.0345289611816406,-414.8461134338379,53444.46612006667,843.0,2019-12-02,2019-11-29,target_rebalance,0.2279416792059459,next_close
LULU,BUY,66.0,225.52999877929688,14884.979919433594,37.21244979858398,-14922.192369232178,38522.27375083449,66.0,2019-12-02,2019-11-29,target_rebalance,0.1656036653974478,next_close
AAPL,BUY,266.0,63.618160247802734,16922.430625915527,42.30607656478882,-16964.736702480317,21557.53704835417,266.0,2019-12-02,2019-11-29,target_rebalance,0.1881446696494561,next_close
RNG,BUY,103.0,164.9323272705078,16988.029708862305,42.47007427215576,-17030.49978313446,4527.037265219711,103.0,2019-12-02,2019-11-29,target_rebalance,0.1896210321676877,next_close
LULU,SELL,66.0,233.4199981689453,15405.71987915039,38.51429969787598,15367.205579452515,19894.242844672226,0.0,2020-01-02,2019-12-31,target_exit,,next_close
RNG,SELL,103.0,172.61680603027344,17779.531021118164,44.448827552795414,17735.08219356537,37629.3250382376,0.0,2020-01-02,2019-12-31,target_exit,,next_close
