date,signal_date,ticker,target_weight,actual_weight,shares,price
2019-06-03,2019-05-31,SHOP,0.1575,0.15754701525000656,594.0,26.5
2019-06-03,2019-05-31,HEI,0.1159200642196156,0.11553711306110273,95.0,121.51224517822266
2019-06-03,2019-05-31,PAYC,0.0753436054237577,0.07509006648354725,39.0,192.37118530273438
2019-07-01,2019-06-28,HEI,0.45,0.45011369327760703,356.0,131.7604522705078
2019-07-01,2019-06-28,SHOP,0.3377994464420934,0.33827076225589076,1157.0,30.468000411987305
2019-07-01,2019-06-28,PAYC,0.2055543244171215,0.20384927375178405,96.0,221.28439331054688
2019-08-01,2019-07-31,PAYC,0.45,0.4504488469351897,216.0,231.8904571533203
2019-08-01,2019-07-31,SHOP,0.3285958413696468,0.32912011934139496,1072.0,34.138999938964844
2019-08-01,2019-07-31,HEI,0.2157182536485838,0.21681170838647043,176.0,136.9812774658203
2019-09-03,2019-08-30,SHOP,0.45,0.4502399501468299,1380.0,38.39099884033203
2019-09-03,2019-08-30,HEI,0.3273561778020815,0.32701492393397397,273.0,140.95140075683594
2019-09-03,2019-08-30,PAYC,0.214104022975838,0.21450452242124984,106.0,238.1195526123047
2019-10-01,2019-09-30,SHOP,0.45,0.45009001400997883,1408.0,31.32200050354004
2019-10-01,2019-09-30,RH,0.1,0.09921419607514828,57.0,170.5500030517578
2019-10-01,2019-09-30,TREX,0.1,0.1000041217901194,225.0,43.54999923706055
2019-11-01,2019-10-31,RH,0.1,0.10132726405574273,57.0,175.83999633789062
2019-11-01,2019-10-31,ROKU,0.1,0.09923073817631163,67.0,146.5
2019-11-01,2019-10-31,TREX,0.1,0.10042255603519358,222.0,44.744998931884766
2019-12-02,2019-11-29,QRVO,0.45,0.44994889402897226,432.0,102.97000122070312
2019-12-02,2019-11-29,CRUS,0.1,0.09962874873948993,139.0,70.86000061035156
2019-12-02,2019-11-29,RH,0.1,0.1007764004997116,50.0,199.25999450683594
2020-01-02,2019-12-31,QRVO,0.45,0.4506491186583879,416.0,115.95999908447266
2020-01-02,2019-12-31,CRUS,0.1,0.10005215863015465,126.0,85.0
2020-01-02,2019-12-31,RH,0.1,0.09879099696674934,50.0,211.5
2020-02-03,2020-01-31,QRVO,0.45,0.44949114127124556,428.0,107.55999755859375
2020-02-03,2020-01-31,CRUS,0.1,0.09948590846305666,132.0,77.19000244140625
2020-02-03,2020-01-31,RH,0.1,0.10184800335923182,50.0,208.6199951171875
2020-03-02,2020-02-28,TSLA,0.2475,0.2476043757510149,487.0,49.574668884277344
2020-03-02,2020-02-28,ZG,0.2270245613998778,0.22686956720604487,405.0,54.619998931884766
2020-03-02,2020-02-28,RNG,0.055,0.053946667486609444,22.0,239.09605407714844
2020-04-01,2020-03-31,MRNA,0.1125,0.11250463253903233,297.0,29.670000076293945
2020-04-01,2020-03-31,TSLA,0.1090359448156542,0.10943766496786576,267.0,32.104000091552734
2020-04-01,2020-03-31,RNG,0.025,0.02680768871809619,10.0,209.97276306152344
2020-05-01,2020-04-30,MRNA,0.315,0.3149411575172357,576.0,47.93000030517578
2020-05-01,2020-04-30,TSLA,0.2863510266403218,0.28641696795538335,537.0,46.75466537475586
2020-05-01,2020-04-30,RNG,0.0699999999999999,0.06943420566155216,28.0,217.378173828125
2020-06-01,2020-05-29,MRNA,0.45,0.45020603391011904,757.0,62.18000030517578
2020-06-01,2020-05-29,TSLA,0.3272371624906259,0.3269898371699715,571.0,59.87333297729492
2020-06-01,2020-05-29,RNG,0.2150197704423471,0.21304882351951848,80.0,278.4353942871094
2020-07-01,2020-06-30,TSLA,0.443138134888283,0.44324862620512806,672.0,74.64199829101562
2020-07-01,2020-06-30,SE,0.376613261997782,0.37626302738599915,372.0,114.45999908447266
2020-07-01,2020-06-30,MRNA,0.179011944654354,0.17960524390423835,330.0,61.59000015258789
2020-08-03,2020-07-31,SE,0.45,0.4497755418574527,480.0,132.75
2020-08-03,2020-07-31,TSLA,0.3782576026417811,0.3787516639200753,542.0,99.0
2020-08-03,2020-07-31,MRNA,0.1654600274091393,0.16567989606775183,301.0,77.9800033569336
2020-09-01,2020-08-31,TSLA,0.45,0.45045589118658913,521.0,158.35000610351562
2020-09-01,2020-08-31,SE,0.3042658786424994,0.30478534705604776,345.0,161.8000030517578
2020-09-01,2020-08-31,RUN,0.2412677761262637,0.2414811640945872,759.0,58.27000045776367
2020-10-01,2020-09-30,RUN,0.45,0.45010508730334103,1093.0,79.97000122070312
2020-10-01,2020-09-30,TSLA,0.350884140394706,0.35155616004272083,457.0,149.3866729736328
2020-10-01,2020-09-30,SE,0.1920139695050539,0.19279798784791913,234.0,160.0
2020-11-02,2020-10-30,SE,0.45,0.4503045790962764,447.0,159.6699981689453
2020-11-02,2020-10-30,TSLA,0.3325514391959166,0.33355141904189506,396.0,133.50332641601562
2020-11-02,2020-10-30,RUN,0.2094156860973419,0.20988572127387695,614.0,54.18000030517578
2020-12-01,2020-11-30,TSLA,0.45,0.4500148459967255,452.0,194.9199981689453
2020-12-01,2020-11-30,SE,0.3448500844139501,0.3451927344116282,381.0,177.3800048828125
2020-12-01,2020-11-30,RUN,0.1991696083156779,0.19917147240578756,624.0,62.4900016784668
2021-01-04,2020-12-31,PDD,0.45,0.45027438711719464,618.0,166.77999877929688
2021-01-04,2020-12-31,TSLA,0.3687382689694143,0.3698186425714336,348.0,243.2566680908203
2021-01-04,2020-12-31,SE,0.1791628186414479,0.17986766218252193,210.0,196.05999755859375
2021-02-01,2021-01-29,PDD,0.45,0.4493889178062344,656.0,173.9600067138672
2021-02-01,2021-01-29,TSLA,0.3783471224892948,0.3792166061892662,344.0,279.9366760253906
2021-02-01,2021-01-29,SE,0.166483140369712,0.16737213967840195,182.0,233.52999877929688
2021-03-01,2021-02-26,PDD,0.45,0.4509897787705163,607.0,186.14999389648438
2021-03-01,2021-02-26,SE,0.3398349580363549,0.3392227320434289,342.0,248.50999450683594
2021-03-01,2021-02-26,TSLA,0.2036514691529168,0.20454645840695987,214.0,239.47666931152344
2021-04-01,2021-03-31,WSM,0.3889906572331318,0.388482116145357,1017.0,82.51467895507812
2021-04-01,2021-03-31,SE,0.3158792569445683,0.31743599724564037,290.0,236.4499969482422
2021-04-01,2021-03-31,FUTU,0.293615459048865,0.2939999496665036,430.0,147.69300842285156
2021-05-03,2021-04-30,FUTU,0.45,0.45011457317657844,686.0,141.4622039794922
2021-05-03,2021-04-30,WSM,0.3331957856440085,0.33360887631386954,902.0,79.73931884765625
2021-05-03,2021-04-30,SE,0.2097210150062809,0.21021855481112592,178.0,254.6199951171875
2021-06-01,2021-05-28,STLD,0.45,0.45067283667478564,1627.0,59.69231414794922
2021-06-01,2021-05-28,DKS,0.2771152849228532,0.2775020873462401,719.0,83.17292022705078
2021-06-01,2021-05-28,WSM,0.2681276520309879,0.26874946062661836,745.0,77.73845672607422
2021-07-01,2021-06-30,NVDA,0.4044089544553068,0.40507736640799,4206.0,20.142330169677734
2021-07-01,2021-06-30,DKS,0.357017281371084,0.35729912886008364,859.0,86.99209594726562
2021-07-01,2021-06-30,STLD,0.2368991623480361,0.23743030170194093,877.0,56.621002197265625
2021-08-02,2021-07-30,STLD,0.45,0.45031013968098854,1627.0,58.48017501831055
2021-08-02,2021-07-30,NVDA,0.3354472091597828,0.3358058866663625,3605.0,19.681922912597656
2021-08-02,2021-07-30,DKS,0.2073320154299581,0.20769504761632243,487.0,90.11180114746094
2021-09-01,2021-08-31,BILL,0.4128748201265723,0.41234835988922025,361.0,277.1300048828125
