as_of_date,snapshot_semantics,portfolio_kind,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd,first_entry_date,latest_entry_date,holding_days,open_lot_count,open_lot_quantity,avg_entry_price,entry_reasons,entry_sleeves,daily_review_action,daily_review_reason,monster_recommendation,monster_stage,monster_priority_score,monster_reason,risk_state,account_source,approval_status
2026-06-23,current_broker_ledger_mark_to_market,concentrated,equity,SNDK,273.0,1963.5999755859373,536062.7933349609,0.3668891713446866,1120.430624713828,230185.23278808597,7191.8138427734375,2026-03-02,2026-05-01,113,2,273.0,1120.430624713828,target_rebalance,"future_winner,unassigned",EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,concentrated,equity,BE,1118.0,321.9800109863281,359973.65228271484,0.2463712024673215,290.5199890136719,35172.30456542969,0.0,2026-05-01,2026-05-01,53,1,1118.0,290.5199890136719,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,concentrated,equity,WDC,438.0,670.75,293788.5,0.2010731217606569,393.7702838773184,121317.11566173454,130403.42899215796,2026-02-02,2026-05-01,141,2,438.0,404.1428657427226,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,concentrated,equity,CIEN,257.0,459.8500061035156,118181.45156860352,0.080885104083737,439.89174748833824,5129.272464100592,94436.25024330452,2026-03-02,2026-05-01,113,2,257.0,471.7086666122021,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,concentrated,equity,LITE,77.0,827.9199829101562,63749.83868408203,0.0436313166646981,543.4268615421316,21905.970345337897,309274.407424819,2026-02-02,2026-05-01,141,2,77.0,642.2293554528967,target_rebalance,"future_winner,unassigned",BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,concentrated,cash,CASH,0.0,1.0,89346.55811572325,0.0611500836788997,1.0,0.0,0.0,,,,0,0.0,0.0,,,RESERVE_CASH,Combined cash is below target under macro gate `none`.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,main,equity,SNDK,61.0,1963.5999755859373,119779.5985107422,0.1588895874612862,768.0426355580814,72928.99774169922,1582.1990454101565,2026-03-02,2026-05-01,113,2,61.0,768.0426355580814,target_rebalance,"future_winner,unassigned",EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,main,equity,WDC,154.0,670.75,103295.5,0.1370231624222331,337.61306234422875,51303.08839898877,31123.88009645648,2026-02-02,2026-05-01,141,2,154.0,369.5811840899579,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,main,equity,MRVL,311.0,279.0400085449219,86781.4426574707,0.1151169965050783,164.9499969482422,35481.99360656738,-6077.34198682785,2026-05-01,2026-05-01,53,1,311.0,164.9499969482422,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,main,equity,STM,1151.0,72.43000030517578,83366.93035125732,0.1105875903419154,55.68721008300781,19270.95154571533,235.70702055454248,2026-05-01,2026-05-01,53,1,1151.0,55.68721008300781,target_rebalance,early_scout,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,main,equity,CIEN,104.0,459.8500061035156,47824.400634765625,0.0634398460332099,385.1894688596912,7764.695873357741,23292.983277261766,2026-03-02,2026-05-01,113,2,104.0,409.59461622971753,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,main,equity,ON,331.0,117.05999755859376,38746.85919189453,0.0513983395249779,103.02999877929688,4643.929595947266,456.6399546146396,2026-05-01,2026-05-01,53,1,331.0,103.02999877929688,target_rebalance,future_winner,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,main,equity,MU,34.0,1051.77001953125,35760.1806640625,0.0474364618340608,462.8180291430442,20024.367673198994,20218.471006648728,2026-01-02,2026-05-01,172,2,34.0,468.79393364401426,target_rebalance,future_winner,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
2026-06-23,current_broker_ledger_mark_to_market,main,equity,LITE,40.0,827.9199829101562,33116.79931640625,0.0439299734415965,325.6728523570339,20089.885222124896,62428.27932579535,2026-02-02,2026-05-01,141,2,40.0,476.0710113525391,target_rebalance,"future_winner,unassigned",BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,,,0.0,,green,simulated_broker_replay,blocked_by_safety_audit
