ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
PLTR,-47644.5909576416,-0.46511436538597106
TPR,-18825.98419189453,-0.1837823667741019
ETR,-11151.656509399414,-0.10886431252989368
BROS,-10255.849361419678,-0.10011929520964348
HWM,-10188.717117309568,-0.0994639391558163
APP,-9875.08056640625,-0.0964021673491293
VRSN,-9461.821105957031,-0.0923678602468294
GILD,-9377.804107666016,-0.09154767243418763
FOX,-6296.21280670166,-0.061464669232392216
FOXA,-6211.411937713623,-0.060636829144550645
MSTR,-5654.880615234375,-0.055203878463906085
AXON,-5083.679931640623,-0.049627723057431135
VST,-3320.8494873046875,-0.03241868113010458
MRVL,-3112.9779357910193,-0.03038940471444527
NRG,-3041.2505950927734,-0.029689190568849014
HIMX,-2894.6648597717285,-0.028258196412154536
RL,-2806.3328552246094,-0.027395884795821633
IBKR,-2498.1734771728516,-0.024387582055061287
HUBS,-1825.2796630859339,-0.017818681514191276
UAL,-1633.1204223632794,-0.015942791271346558
NTNX,-1541.260986328125,-0.015046044286275602
NTRA,-1406.5808715820312,-0.01373127476383536
GE,-1140.3445739746094,-0.011132232057928244
BHF,-1057.0,-0.010318608562513447
FTNT,-789.3599395751953,-0.0077058620921529875
GTLS,-779.7201232910156,-0.007611756613580619
UBER,-736.5595703125,-0.007190416167481351
NEE,-417.5137023925781,-0.00407583771473486
KVUE,-415.52454376220794,-0.00405641921967759
LULU,-341.5008544921875,-0.0033337877400839593
SAN,558.2542490959167,0.005449770174816122
