ticker,target_weight,Name,sector,portfolio_sleeve_label
CASH,0.1880077022716685,Cash,Cash,
SNDK,0.1215808088681418,SANDISK CORP,Information Technology,future_winner
WDC,0.111729133898428,WESTERN DIGITAL CORP,Information Technology,future_winner
STM,0.1074262101410119,STMicroelectronics,Semiconductors,early_scout
CIEN,0.0936777770248297,CIENA CORP,Information Technology,future_winner
MRVL,0.0862774628742756,MARVELL TECHNOLOGY INC,Information Technology,future_winner
LITE,0.0645012514635407,LUMENTUM HOLDINGS INC,Information Technology,future_winner
ON,0.0572038170400792,ON SEMICONDUCTOR CORP,Information Technology,future_winner
PWR,0.0533379469051217,QUANTA SERVICES INC,Industrials,future_winner
FIX,0.0348247881785043,COMFORT SYSTEMS USA INC,Industrials,future_winner
MU,0.0320243536934063,MICRON TECHNOLOGY INC,Information Technology,future_winner
COHR,0.0256392603663189,COHERENT CORP,Information Technology,future_winner
TER,0.0138729802920905,TERADYNE INC,Information Technology,unassigned
KEYS,0.009896506982582,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner
