ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
Z,BUY,34.0,42.08000183105469,1430.7200622558594,10.730400466918946,-1441.4504627227784,98558.54953727723,34.0,2019-06-03,2019-05-31,target_rebalance,0.0145942077689862,next_close
CMS,BUY,33.0,46.3166618347168,1528.4498405456543,11.463373804092408,-1539.9132143497468,97018.63632292749,33.0,2019-06-03,2019-05-31,target_rebalance,0.0155848028980658,next_close
AWI,BUY,19.0,84.33501434326172,1602.3652725219727,12.017739543914795,-1614.3830120658874,95404.2533108616,19.0,2019-06-03,2019-05-31,target_rebalance,0.0164794167798174,next_close
BLD,BUY,22.0,79.98999786376953,1759.7799530029297,13.198349647521972,-1772.9783026504517,93631.27500821116,22.0,2019-06-03,2019-05-31,target_rebalance,0.0181791242679814,next_close
ARMK,BUY,84.0,22.887659072875977,1922.563362121582,14.419225215911865,-1936.982587337494,91694.29242087367,84.0,2019-06-03,2019-05-31,target_rebalance,0.0194282406268255,next_close
PODD,BUY,19.0,109.31999969482422,2077.07999420166,15.578099956512451,-2092.6580941581724,89601.63432671549,19.0,2019-06-03,2019-05-31,target_rebalance,0.0215279124380198,next_close
AMT,BUY,12.0,171.68844604492188,2060.2613525390625,15.451960144042967,-2075.7133126831054,87525.92101403238,12.0,2019-06-03,2019-05-31,target_rebalance,0.0215317049829633,next_close
V,BUY,15.0,150.9186553955078,2263.779830932617,16.97834873199463,-2280.758179664612,85245.16283436777,15.0,2019-06-03,2019-05-31,target_rebalance,0.0233955389047737,next_close
TSCO,BUY,135.0,18.069847106933594,2439.429359436035,18.29572019577026,-2457.7250796318053,82787.43775473596,135.0,2019-06-03,2019-05-31,target_rebalance,0.0244058838695713,next_close
HD,BUY,18.0,158.54783630371094,2853.861053466797,21.403957901000975,-2875.265011367798,79912.17274336817,18.0,2019-06-03,2019-05-31,target_rebalance,0.029896629609148,next_close
FICO,BUY,10.0,287.55999755859375,2875.5999755859375,21.56699981689453,-2897.166975402832,77015.00576796534,10.0,2019-06-03,2019-05-31,target_rebalance,0.0306829145744317,next_close
