as_of_date,account_source,approval_status,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,target_weight,target_value_usd,delta_weight,delta_value_usd,suggested_action,suggested_quantity_delta,preview_trade_value_delta_usd,preview_order_count,preview_order_status,monster_recommendation,monster_stage,monster_priority_score,monster_reason,portfolio_sources,source_current,source_target,risk_state,block_reason
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,cash,CASH,0.0,1.0,228707.57167118418,0.09772861632791847,0.11804407553648864,276250.4461900139,0.02031545920857017,47542.87451882972,RESERVE_CASH,0.0,0.0,0,,,,0.0,,,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,SNDK,365.0,2090.7099609375,763109.1357421875,0.32608277635206095,0.22598807020716788,528864.3665056513,-0.10009470614489308,-234244.76923653623,SELL,-111.0,-232068.8056640625,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,BE,1207.0,252.02000427246094,304188.14515686035,0.129982082850655,0.1820843028014569,426119.3936628488,0.052102219950801915,121931.24850598845,BUY,483.0,121725.66206359863,1,ready,,,0.0,,concentrated,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,WDC,651.0,586.4500122070312,381778.95794677734,0.1631372718910034,0.14636067139891507,342517.83153761306,-0.016776600492088345,-39261.12640916428,SELL,-65.0,-38119.25079345703,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,CIEN,397.0,479.5,190361.5,0.08134302621101643,0.11086853778898109,259458.027803972,0.029525511577964667,69096.52780397201,BUY,144.0,69048.0,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,LITE,130.0,816.97998046875,106207.3974609375,0.04538328976956411,0.06480734922026885,151664.19032149814,0.019424059450704738,45456.79286056064,BUY,54.0,44116.9189453125,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,STM,1330.0,71.41999816894533,94988.59756469728,0.040589404797991516,0.038792432680910316,90783.26708217553,-0.0017969721170811997,-4205.330482521749,SELL,-58.0,-4142.359893798828,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,MRVL,360.0,266.7699890136719,96037.19604492188,0.041037479506699635,0.03115545699728944,72910.97717220527,-0.009882022509410195,-23126.218872716607,SELL,-86.0,-22942.21905517578,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,ON,382.0,90.6500015258789,34628.30058288574,0.014796956117474544,0.020656739344202285,48341.54899118828,0.005859783226727741,13713.248408302541,BUY,151.0,13688.150230407717,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,PWR,49.0,687.8699951171875,33705.62976074219,0.014402691327221455,0.01926074383466482,45074.596536045596,0.004858052507443365,11368.966775303408,BUY,16.0,11005.919921875,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,FIX,12.0,1854.22998046875,22250.759765625,0.009507931671216418,0.0125754994918679,29429.57814614724,0.003067567820651481,7178.81838052224,BUY,3.0,5562.68994140625,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,MU,40.0,1132.3299560546875,45293.1982421875,0.019354154131980578,0.011564241009437362,27062.99934314311,-0.007789913122543216,-18230.19889904439,SELL,-16.0,-18117.279296875,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,COHR,53.0,380.55999755859375,20169.67987060547,0.008618669207704661,0.009258534583349763,21667.11288213226,0.0006398653756451017,1497.4330115267912,BUY,3.0,1141.6799926757812,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,TER,28.0,436.8599853515625,12232.07958984375,0.005226867673830576,0.0050096401367794455,11723.716897667953,-0.00021722753705113052,-508.36269217579684,SELL,-1.0,-436.8599853515625,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
2026-06-26,simulated_broker_replay,blocked_by_safety_audit,equity,KEYS,20.0,328.66000366210943,6573.200073242188,0.0028087821636622657,0.0035737049682199175,8363.296400394582,0.0007649228045576517,1790.0963271523933,BUY,5.0,1643.3000183105469,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,yellow,Live trading safety audit did not pass.
