as_of_date,portfolio_kind,row_type,ticker,current_weight,target_portfolio_weight,target_combined_weight,delta_portfolio_weight,preview_action,review_action,review_reason,review_quantity_delta,review_trade_value_delta_usd,review_order_count,review_order_status,cash_policy_flag,macro_recommended_cash_floor,macro_cash_raise_gate,macro_cash_raise_confirmation_count
2026-06-26,concentrated,equity,SNDK,0.4125051395921607,0.285,0.22598807020716788,-0.1275051395921607,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-91.0,-190254.6064453125,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,concentrated,equity,BE,0.2034491334095399,0.285,0.1820843028014569,0.08155086659046007,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,483.0,121725.66206359863,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,concentrated,equity,WDC,0.1855263925352322,0.165934730074398,0.14636067139891507,-0.019591662460834214,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-49.0,-28736.05059814453,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,concentrated,equity,CIEN,0.0888345568471137,0.1205849114807052,0.11086853778898109,0.03175035463359151,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,99.0,47470.5,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,concentrated,equity,LITE,0.045899109553077,0.0649803584448967,0.06480734922026885,0.019081248891819703,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,34.0,27777.3193359375,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,concentrated,cash,CASH,0.0637856680628763,0.0,0.11804407553648864,,RESERVE_CASH,RESERVE_CASH,Combined cash is below target under macro gate `no_big_cash_without_second_confirmation`.,0.0,0.0,0,,below_combined_cash_target,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,SNDK,0.173179417725729,0.1215808088681418,0.22598807020716788,-0.051598608857587214,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-20.0,-41814.19921875,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,WDC,0.1235251667038092,0.111729133898428,0.14636067139891507,-0.01179603280538119,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-16.0,-9383.2001953125,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,MRVL,0.1136433214541247,0.0862774628742756,0.03115545699728944,-0.027365858579849106,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-86.0,-22942.21905517578,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,STM,0.112402487495283,0.1074262101410119,0.038792432680910316,-0.0049762773542711,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-58.0,-4142.359893798828,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,CIEN,0.0680885842753225,0.0936777770248297,0.11086853778898109,0.025589192749507203,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,45.0,21577.5,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,MU,0.0535966240113325,0.0320243536934063,0.011564241009437362,-0.021572270317926197,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-16.0,-18117.279296875,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,LITE,0.0444706720814094,0.0645012514635407,0.06480734922026885,0.0200305793821313,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,20.0,16339.599609375,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,ON,0.0409765721680399,0.0572038170400792,0.020656739344202285,0.016227244872039304,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,151.0,13688.150230407717,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,PWR,0.0398847516947708,0.0533379469051217,0.01926074383466482,0.013453195210350898,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,16.0,11005.919921875,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,FIX,0.0263299049616217,0.0348247881785043,0.0125754994918679,0.008494883216882597,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,3.0,5562.68994140625,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,COHR,0.0238673087882516,0.0256392603663189,0.009258534583349763,0.0017719515780672997,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,3.0,1141.6799926757812,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,TER,0.0144745391382608,0.0138729802920905,0.0050096401367794455,-0.0006015588461703008,SELL,EXIT_REVIEW,"Target preview wants lower exposure; validate stale-leader, hard-stop, and distribution evidence.",-1.0,-436.8599853515625,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
2026-06-26,main,equity,KEYS,0.0077782392621742,0.009896506982582,0.0035737049682199175,0.0021182677204077995,BUY,BUY_REVIEW,Target preview wants more exposure; validate against portfolio and market gates.,5.0,1643.3000183105469,1,ready,,0.05,no_big_cash_without_second_confirmation,2.0
