ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
UI,SELL,41.0,131.9829864501953,5411.302444458008,13.52825611114502,5397.774188346863,15823.06101311442,0.0,2020-03-02,2020-02-28,target_exit,,next_close
SE,SELL,30.0,48.040000915527344,1441.2000274658203,3.603000068664551,1437.5970273971557,17260.658040511575,109.0,2020-03-02,2020-02-28,target_rebalance,0.0455291965899287,next_close
PENN,SELL,69.0,28.21999931335449,1947.17995262146,4.86794988155365,1942.3120027399063,19202.97004325148,147.0,2020-03-02,2020-02-28,target_rebalance,0.0362929678122597,next_close
DXCM,SELL,28.0,71.43250274658203,2000.1100769042969,5.000275192260743,1995.109801712036,21198.079844963515,81.0,2020-03-02,2020-02-28,target_rebalance,0.0503694279169331,next_close
SHOP,SELL,49.0,48.84000015258789,2393.160007476806,5.982900018692017,2387.1771074581147,23585.25695242163,88.0,2020-03-02,2020-02-28,target_rebalance,0.0376153196804737,next_close
PAYC,SELL,13.0,284.6087341308594,3699.913543701172,9.24978385925293,3690.663759841919,27275.92071226355,7.0,2020-03-02,2020-02-28,target_rebalance,0.0157858332741295,next_close
PCTY,SELL,30.0,133.22000122070312,3996.6000366210938,9.991500091552735,3986.608536529541,31262.52924879309,14.0,2020-03-02,2020-02-28,target_rebalance,0.0157858332741295,next_close
QRVO,SELL,42.0,100.44000244140624,4218.480102539063,10.546200256347657,4207.933902282715,35470.463151075804,18.0,2020-03-02,2020-02-28,target_rebalance,0.0157858332741295,next_close
FTNT,SELL,195.0,22.020000457763672,4293.900089263916,10.734750223159793,4283.165339040756,39753.62849011656,82.0,2020-03-02,2020-02-28,target_rebalance,0.0157858332741295,next_close
STM,SELL,169.0,26.429880142211918,4466.6497440338135,11.166624360084532,4455.483119673729,44209.11160979029,69.0,2020-03-02,2020-02-28,target_rebalance,0.0157858332741295,next_close
NOW,SELL,70.0,68.87999725341797,4821.599807739258,12.053999519348144,4809.545808219909,49018.6574180102,131.0,2020-03-02,2020-02-28,target_rebalance,0.0790099019594719,next_close
AMD,SELL,120.0,47.459999084472656,5695.199890136719,14.237999725341798,5680.961890411377,54699.61930842158,168.0,2020-03-02,2020-02-28,target_rebalance,0.0696832872503979,next_close
TSLA,BUY,6.0,49.574668884277344,297.44801330566406,0.7436200332641602,-298.1916333389282,54401.42767508265,131.0,2020-03-02,2020-02-28,target_rebalance,0.0572127237133881,next_close
RNG,BUY,4.0,239.09605407714844,956.3842163085938,2.390960540771484,-958.7751768493652,53442.652498233285,35.0,2020-03-02,2020-02-28,target_rebalance,0.0737863421582396,next_close
MA,BUY,6.0,296.0189819335937,1776.1138916015625,4.440284729003906,-1780.5541763305664,51662.09832190272,6.0,2020-03-02,2020-02-28,target_rebalance,0.0157858332741295,next_close
PODD,BUY,9.0,181.50999450683597,1633.5899505615234,4.083974876403809,-1637.6739254379272,50024.42439646479,9.0,2020-03-02,2020-02-28,target_rebalance,0.0157858332741295,next_close
