portfolio,ticker,target_weight,current_weight,delta_weight,rank,company_name,sector,lane,theme,selection_score,reference_price,reference_price_date,suggested_action,selection_reason,review_required,review_reason,production_mutation_allowed,live_trading_enabled,human_approval_required,target_book_source,target_snapshot_hash,target_snapshot_source_path,target_snapshot_generated_at,target_snapshot_semantics,target_snapshot_portfolio
concentrated,AMD,0.1028509028588668,0.105935637587751,-0.0030847347288841948,0,,Information Technology,future_winner,,6.299744959965563,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,91b897683bc23c3af74ef51b46f243a7763e18380e101378b55c8e20b712eebe,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,2026-07-02,alphaops_vnext_operating_target,concentrated
concentrated,CASH,0.1675438877170625,0.1706029164083393,-0.003059028691276805,0,,Cash,,,0.0,0.0,,REVIEW_REQUIRED,cash_from_concentrated_green_benchmark_risk_cyclical_new_entry_block,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,91b897683bc23c3af74ef51b46f243a7763e18380e101378b55c8e20b712eebe,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,2026-07-02,alphaops_vnext_operating_target,concentrated
concentrated,MU,0.3,0.2850160248649426,0.014983975135057392,0,,Information Technology,future_winner,,5.761354480600467,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,91b897683bc23c3af74ef51b46f243a7763e18380e101378b55c8e20b712eebe,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,2026-07-02,alphaops_vnext_operating_target,concentrated
concentrated,SNDK,0.2784319159906224,0.2788946870705314,-0.0004627710799089968,0,,Information Technology,future_winner,,3.805587821202354,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,91b897683bc23c3af74ef51b46f243a7763e18380e101378b55c8e20b712eebe,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,2026-07-02,alphaops_vnext_operating_target,concentrated
concentrated,UMC,0.08,0.0875737866394537,-0.007573786639453697,0,,Semiconductors,future_winner,,4.026082406986455,0.0,,REVIEW_REQUIRED,MARKET_LEADER|concentrated_high_vol_weak_timing_new_entry_cap|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,91b897683bc23c3af74ef51b46f243a7763e18380e101378b55c8e20b712eebe,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,2026-07-02,alphaops_vnext_operating_target,concentrated
concentrated,WDC,0.0711732934334482,0.0719769474289817,-0.0008036539955334904,0,,Information Technology,future_winner,,6.552912934958235,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,91b897683bc23c3af74ef51b46f243a7763e18380e101378b55c8e20b712eebe,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_concentrated_target_book.csv,2026-07-02,alphaops_vnext_operating_target,concentrated
main,ALAB,0.044870436711056,0.0600642255484873,-0.015193788837431305,0,,Information Technology,unassigned,,2.92412788324994,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,4fe56be0ed7cdcd01d1d4bd90bfa533a41846dad19469d90872fccd730cfef0f,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,2026-07-02,alphaops_vnext_operating_target,main
main,AMD,0.044870436711056,0.0486451499948826,-0.0037747132838266,0,,Information Technology,future_winner,,6.299744959965563,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,4fe56be0ed7cdcd01d1d4bd90bfa533a41846dad19469d90872fccd730cfef0f,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,2026-07-02,alphaops_vnext_operating_target,main
main,CASH,0.0500690127474076,0.0521095463214106,-0.002040533574003002,0,,Cash,,,0.0,0.0,,REVIEW_REQUIRED,cash_from_main_defense_review_balanced_new_entry_block,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,4fe56be0ed7cdcd01d1d4bd90bfa533a41846dad19469d90872fccd730cfef0f,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,2026-07-02,alphaops_vnext_operating_target,main
main,CIEN,0.0537158507507146,0.0430684036613473,0.010647447089367296,0,,Information Technology,future_winner,,3.64142284882906,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,4fe56be0ed7cdcd01d1d4bd90bfa533a41846dad19469d90872fccd730cfef0f,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,2026-07-02,alphaops_vnext_operating_target,main
main,FLEX,0.1141052395569537,0.1138381246311517,0.00026711492580200336,0,,Information Technology,future_winner,,3.060477069235344,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,4fe56be0ed7cdcd01d1d4bd90bfa533a41846dad19469d90872fccd730cfef0f,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,2026-07-02,alphaops_vnext_operating_target,main
main,HPE,0.0600666006233051,0.0569272510544748,0.003139349568830302,0,,Information Technology,unassigned,,5.636446748362351,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,4fe56be0ed7cdcd01d1d4bd90bfa533a41846dad19469d90872fccd730cfef0f,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,2026-07-02,alphaops_vnext_operating_target,main
main,MRVL,0.044870436711056,0.0535195215029778,-0.0086490847919218,0,,Information Technology,future_winner,,6.701724973383298,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,4fe56be0ed7cdcd01d1d4bd90bfa533a41846dad19469d90872fccd730cfef0f,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,2026-07-02,alphaops_vnext_operating_target,main
main,MU,0.0633954993350146,0.062132610610674,0.0012628887243405912,0,,Information Technology,future_winner,,5.761354480600467,0.0,,REVIEW_REQUIRED,MARKET_LEADER|hold_forward_to_latest_close,True,review-only operating output; human approval required,False,False,True,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,4fe56be0ed7cdcd01d1d4bd90bfa533a41846dad19469d90872fccd730cfef0f,/home/runner/work/r1000-quant-engine/r1000-quant-engine/outputs/reports/operating_main_target_book.csv,2026-07-02,alphaops_vnext_operating_target,main
