ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
BLD,BUY,75.0,79.98999786376953,5999.249839782715,14.998124599456787,-6014.247964382172,93985.75203561783,75.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
FICO,BUY,21.0,287.55999755859375,6038.759948730469,15.096899871826173,-6053.856848602295,87931.89518701553,21.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
HEI,BUY,49.0,121.46788787841797,5951.9265060424805,14.879816265106202,-5966.806322307587,81965.08886470794,49.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
MDB,BUY,46.0,130.55999755859375,6005.7598876953125,15.014399719238282,-6020.774287414551,75944.3145772934,46.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
MELI,BUY,10.0,568.77001953125,5687.7001953125,14.21925048828125,-5701.919445800781,70242.39513149261,10.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
MKTX,BUY,22.0,273.61505126953125,6019.5311279296875,15.048827819824218,-6034.579955749512,64207.8151757431,22.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
PAYC,BUY,31.0,192.3712158203125,5963.5076904296875,14.908769226074218,-5978.416459655762,58229.39871608734,31.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
PCTY,BUY,67.0,89.87000274658203,6021.290184020996,15.05322546005249,-6036.343409481048,52193.055306606286,67.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
PODD,BUY,55.0,109.31999969482422,6012.599983215332,15.03149995803833,-6027.631483173371,46165.42382343292,55.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
ROKU,BUY,67.0,89.70999908447266,6010.569938659668,15.02642484664917,-6025.596363506317,40139.8274599266,67.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
SE,BUY,217.0,27.969999313354492,6069.489850997925,15.173724627494812,-6084.66357562542,34055.16388430118,217.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
SHOP,BUY,229.0,26.5,6068.5,15.17125,-6083.67125,27971.492634301183,229.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
VEEV,BUY,40.0,149.2100067138672,5968.4002685546875,14.92100067138672,-5983.321269226074,21988.171365075108,40.0,2019-06-03,2019-05-31,target_rebalance,0.0607142857142857,next_close
NOW,BUY,241.0,49.67599868774414,11971.915683746338,29.929789209365847,-12001.845472955703,9986.325892119405,241.0,2019-06-03,2019-05-31,target_rebalance,0.12,next_close
FICO,SELL,21.0,316.739990234375,6651.539794921875,16.628849487304688,6634.910945434571,16621.236837553974,0.0,2019-07-01,2019-06-28,target_exit,,next_close
MDB,SELL,46.0,147.6699981689453,6792.819915771484,16.98204978942871,6775.8378659820555,23397.07470353603,0.0,2019-07-01,2019-06-28,target_exit,,next_close
MKTX,SELL,22.0,299.989013671875,6599.75830078125,16.499395751953124,6583.258905029297,29980.333608565328,0.0,2019-07-01,2019-06-28,target_exit,,next_close
NOW,SELL,241.0,56.70199966430664,13665.1819190979,34.16295479774475,13631.018964300156,43611.352572865486,0.0,2019-07-01,2019-06-28,target_exit,,next_close
PAYC,SELL,31.0,221.2843780517578,6859.815719604492,17.14953929901123,6842.666180305481,50454.01875317097,0.0,2019-07-01,2019-06-28,target_exit,,next_close
PCTY,SELL,67.0,97.0199966430664,6500.339775085449,16.250849437713622,6484.088925647736,56938.107678818706,0.0,2019-07-01,2019-06-28,target_exit,,next_close
PODD,SELL,55.0,118.5,6517.5,16.29375,6501.20625,63439.31392881871,0.0,2019-07-01,2019-06-28,target_exit,,next_close
VEEV,SELL,40.0,163.47000122070312,6538.800048828125,16.347000122070312,6522.453048706055,69961.76697752476,0.0,2019-07-01,2019-06-28,target_exit,,next_close
SHOP,SELL,18.0,30.468000411987305,548.4240074157715,1.3710600185394288,547.0529473972321,70508.81992492199,211.0,2019-07-01,2019-06-28,target_rebalance,0.0588103197343885,next_close
SE,SELL,29.0,34.27000045776367,993.8300132751465,2.484575033187866,991.3454382419586,71500.16536316395,188.0,2019-07-01,2019-06-28,target_rebalance,0.0588103197343885,next_close
ROKU,BUY,3.0,91.37000274658203,274.1100082397461,0.6852750205993653,-274.79528326034546,71225.3700799036,70.0,2019-07-01,2019-06-28,target_rebalance,0.0588103197343885,next_close
BLD,BUY,4.0,81.0199966430664,324.0799865722656,0.810199966430664,-324.8901865386963,70900.4798933649,79.0,2019-07-01,2019-06-28,target_rebalance,0.0588103197343885,next_close
BRKR,BUY,130.0,49.21590042114258,6398.067054748535,15.995167636871338,-6414.062222385406,64486.41767097949,130.0,2019-07-01,2019-06-28,target_rebalance,0.0588103197343885,next_close
KBR,BUY,279.0,23.02048110961914,6422.71422958374,16.056785573959353,-6438.771015157699,58047.646655821794,279.0,2019-07-01,2019-06-28,target_rebalance,0.0588103197343885,next_close
OC,BUY,123.0,52.018978118896484,6398.334308624268,15.99583577156067,-6414.330144395828,51633.31651142597,123.0,2019-07-01,2019-06-28,target_rebalance,0.0588103197343885,next_close
PAGS,BUY,175.0,36.514137268066406,6389.974021911621,15.974935054779053,-6405.9489569664,45227.36755445957,175.0,2019-07-01,2019-06-28,target_rebalance,0.0588103197343885,next_close
RGEN,BUY,74.0,86.05000305175781,6367.700225830078,15.919250564575195,-6383.619476394653,38843.74807806491,74.0,2019-07-01,2019-06-28,target_rebalance,0.0588103197343885,next_close
SRPT,BUY,41.0,156.60000610351562,6420.600250244141,16.051500625610352,-6436.651750869751,32407.096327195162,41.0,2019-07-01,2019-06-28,target_rebalance,0.0588103197343885,next_close
