ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
ROKU,BUY,111.0,89.70999908447266,9957.809898376465,49.789049491882324,-10007.598947868348,89992.40105213165,111.0,2019-06-03,2019-05-31,target_rebalance,0.1,next_close
MELI,BUY,25.0,568.77001953125,14219.25048828125,71.09625244140625,-14290.346740722656,75702.054311409,25.0,2019-06-03,2019-05-31,target_rebalance,0.1458288893837478,next_close
PAYC,BUY,95.0,192.3712158203125,18275.265502929688,91.37632751464844,-18366.641830444336,57335.41248096466,95.0,2019-06-03,2019-05-31,target_rebalance,0.183369227015906,next_close
HEI,BUY,216.0,121.46788787841797,26237.06378173828,131.1853189086914,-26368.24910064697,30967.16338031769,216.0,2019-06-03,2019-05-31,target_rebalance,0.2633596107161617,next_close
SHOP,BUY,1132.0,26.5,29998.0,149.99,-30147.99,819.1733803176867,1132.0,2019-06-03,2019-05-31,target_rebalance,0.3,next_close
SHOP,SELL,214.0,30.468000411987305,6520.152088165283,32.60076044082642,6487.551327724457,7306.724708042144,918.0,2019-07-01,2019-06-28,target_rebalance,0.2531508021170019,next_close
ROKU,BUY,4.0,91.37000274658203,365.4800109863281,1.8274000549316407,-367.30741104125974,6939.417297000884,115.0,2019-07-01,2019-06-28,target_rebalance,0.095184260629318,next_close
MELI,BUY,1.0,619.3099975585938,619.3099975585938,3.0965499877929688,-622.4065475463867,6317.010749454497,26.0,2019-07-01,2019-06-28,target_rebalance,0.1465671282833289,next_close
PAYC,BUY,4.0,221.2843780517578,885.1375122070312,4.425687561035156,-889.5631997680664,5427.447549686431,99.0,2019-07-01,2019-06-28,target_rebalance,0.1991935067817947,next_close
HEI,BUY,35.0,131.71240234375,4609.93408203125,23.04967041015625,-4632.983752441406,794.4637972450246,251.0,2019-07-01,2019-06-28,target_rebalance,0.3,next_close
SHOP,SELL,83.0,34.138999938964844,2833.536994934082,14.16768497467041,2819.3693099594116,3613.833107204436,835.0,2019-08-01,2019-07-31,target_rebalance,0.2427331282674059,next_close
HEI,SELL,84.0,136.9312286376953,11502.223205566406,57.51111602783203,11444.712089538574,15058.54519674301,167.0,2019-08-01,2019-07-31,target_rebalance,0.1945542741234478,next_close
ROKU,BUY,1.0,100.84500122070312,100.84500122070312,0.5042250061035156,-101.34922622680664,14957.195970516204,116.0,2019-08-01,2019-07-31,target_rebalance,0.1,next_close
MELI,BUY,2.0,626.4500122070312,1252.9000244140625,6.264500122070313,-1259.1645245361328,13698.031445980072,28.0,2019-08-01,2019-07-31,target_rebalance,0.1511094993248988,next_close
PAYC,BUY,52.0,231.89044189453125,12058.302978515625,60.29151489257813,-12118.594493408204,1579.4369525718685,151.0,2019-08-01,2019-07-31,target_rebalance,0.3,next_close
MELI,SELL,28.0,581.0,16268.0,81.34,16186.66,17766.09695257187,0.0,2019-09-03,2019-08-30,target_exit,,next_close
PAYC,SELL,34.0,238.11952209472656,8096.063751220703,40.480318756103514,8055.583432464599,25821.680385036467,117.0,2019-09-03,2019-08-30,target_rebalance,0.2175823109449318,next_close
