rank,ticker,Name,sector,weight,score,score_model_core,score_total,score_focus_bonus,portfolio_seed_score,ensemble_weight_linear,ensemble_weight_catboost,ensemble_weight_ranker,adaptive_ensemble_active,adaptive_ensemble_history_months,adaptive_quality_linear,adaptive_quality_catboost,adaptive_quality_ranker,anticipatory_growth_score,profitability_inflection_score,dominant_archetype_label,archetype_alignment_score,portfolio_sleeve_label,portfolio_sleeve_confidence,portfolio_core_compounder_engine_score,portfolio_future_winner_engine_score,portfolio_early_scout_engine_score,portfolio_monster_slot,sage_sector,sage_composite_score,sage_g_score,sage_v_score,sage_q_score,sage_c_score,sleeve_target_core_compounder_weight,sleeve_target_future_winner_weight,sleeve_target_early_scout_weight,sleeve_invested_share,sleeve_growth_signal,sleeve_risk_signal,future_winner_regime_strength,early_scout_regime_strength,future_winner_scout_score,long_hold_compounder_score,score_future_winner_model,pred_future_winner_ret,pred_future_winner_p,strategy_blueprint_score,stagflation_score,growth_liquidity_reentry_score,m2_yoy_lag1m,fed_assets_bil,reverse_repo_bil,tga_bil,net_liquidity_bil,net_liquidity_change_1m_bil,liquidity_impulse_score,liquidity_drain_score,fear_greed_score,fear_greed_delta_1w,fear_greed_risk_off_score,fear_greed_risk_on_score,fund_join_status,fundamental_reliability_score,core_fundamental_fields_present,sector_adjusted_fields_present,partial_scout_confirmation_score,fundamental_lane_label,latest_statement_repair_used,revenues_ttm,gross_profit_ttm,op_income_ttm,net_income_ttm,op_margin_ttm,gross_margins,operating_margins,roe_proxy,roa_proxy,asset_turnover_ttm,book_to_market_proxy,capital_efficiency_score,sector_adjusted_quality_score,market_cap_live,current_price_live,return_on_equity_effective,revenue_growth_final,earnings_growth_final,forward_pe_final,peg_final,sales_growth_yoy,net_income_growth_yoy,op_income_growth_yoy,ocf_growth_yoy,sales_cagr_3y,sales_cagr_5y,net_income_cagr_3y,net_income_cagr_5y,op_income_cagr_3y,op_income_cagr_5y,ocf_cagr_3y,ocf_cagr_5y,ep_ttm,sp_ttm,fcfy_ttm,price_above_ma20,ma20_above_ma50,golden_cross_fresh_20d,death_cross_recent_20d,breakout_fresh_20d,breakout_volume_z,volume_dryup_20d,post_breakout_hold_score,held_from_prev_rebalance,prev_weight,portfolio_hold_policy_seed_bonus,portfolio_hold_policy_bonus,portfolio_hold_policy_support,portfolio_hold_policy_exit_risk,target_n,weight_cap,cash_target,prev_holdings_applied,prev_holdings_count,rebalance_action,active_rebalance_interval_months,sleeve_rebalance_interval_months,scheduled_rebalance_due,recommended_rebalance_interval_months,next_scheduled_rebalance_date,recommended_next_run_date,recommended_next_run_mode,atr14_pct,event_regime_label,live_event_alert_label,applied_regime_sleeve_policy_label,applied_regime_sleeve_live_label,applied_regime_sleeve_source_label,backtest_usable,research_only_backtest,research_only_output,entry_date,last_trade_date,thesis_status,entry_price,reference_price,shares_held,held_days,unrealized_return,manual_lock
1,CAT,CATERPILLAR INC,Industrials,0.12841184575451428,5.2102217552009185,4.347038800965633,5.2101340697372995,0.2874802912509505,6.631707768049483,0.2593091164479693,0.425042200952914,0.31564868259911677,True,12.0,-0.1662099715910865,-0.10636570672392934,-0.2138965591577588,0.42854706771663664,-0.4339214663033216,defensive_value,0.22116422505073008,core_compounder,0.025798776626753894,0.4623650710159073,0.3849687411356456,0.19313834571538396,,Industrial,0.9038162093621454,0.43173778422235914,-0.5507064023515666,2.5317700698852703,1.7162804533392921,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,1.915032679738562,0.31384419834321414,1.0,1.0,0.46563701636071003,0.02512378891340228,0.15873910757350937,0.4405445850969859,0.1843154848912985,0.5428408255201671,-0.20869481509928509,-0.18173005628045724,0.0472405146998045,6.0,2.175,6.0,6.0,6.0,0.05286033408684444,0.11954761935093002,6.0,6.0,0.318857142857142,0.2660746735046597,matched_with_ttm,0.9971950000000002,5.0,0.0,0.5714285714285714,full_ttm,False,70755000000.0,59427000000.0,11657000000.0,9430000000.0,0.16475160766023603,0.8398982404070384,0.16475160766023603,0.5053590568060021,0.09869178440607013,0.740502354788069,0.04204240402143101,1.0524195137478267,-0.13978707430534132,443837607157.0054,963.530029296875,0.5053590568060021,0.11849697276276894,-0.05121239561324076,49.5707,1.7672263814616755,0.11849697276276894,-0.05121239561324076,-0.03915265413781732,0.09297374024130578,0.046693358607869495,0.41475237522364283,0.0986288962655979,0.5059037681272072,0.09905999711727587,0.18625664650172724,0.10924680423148714,0.11576229203568889,0.021246509642127247,0.15941641460537787,0.021361416534147235,1.0,1.0,0.0,0.0,0.9,0.0,-0.34631228014088267,0.78,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2131830186367649,0.0,False,0,full_rebalance,1,1,True,1,2026-08-31,2026-08-31,full_step1_and_step2,0.046297014880693724,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
2,GOOGL,ALPHABET INC CLASS A,Communication,0.0935412810645347,5.109756185371701,4.0444559091645935,5.066308974669671,0.2811884721536138,5.265292880491173,0.2593091164479693,0.425042200952914,0.31564868259911677,True,12.0,-0.1662099715910865,-0.10636570672392934,-0.2138965591577588,0.5647066980245352,0.13885223826034465,compounder,0.7231694182919535,core_compounder,0.07194232613343328,0.5474836031997916,0.33165662479949176,0.12851516629815715,,Software,-0.08494900365405453,0.4295889374556871,-1.3972228270814475,0.2200646467230456,0.39322942217370316,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,1.915032679738562,0.31384419834321414,1.0,1.0,0.6666140581566176,0.8020919420573037,0.13737276710269355,0.7484325541130625,0.10217525633085346,0.7469210048918665,-0.20869481509928509,-0.18173005628045724,0.0472405146998045,6.0,2.175,6.0,6.0,6.0,0.05286033408684444,0.11954761935093002,6.0,6.0,0.318857142857142,0.2660746735046597,matched_with_ttm,1.0,5.0,0.0,0.7142857142857143,full_ttm,False,422498000000.0,255053000000.0,138129000000.0,160208000000.0,0.3269340919957018,0.6036785972951352,0.3269340919957018,0.33464091605987306,0.22759436810201172,0.6002082625983955,0.10978726742338304,1.219947462212806,1.0405415067718196,4360669604370.117,359.9100036621094,0.33464091605987306,0.17454192648027744,0.44336732855238026,26.3473,0.8835446009389671,0.17454192648027744,0.44336732855238026,0.17532589088186246,0.3148694202909481,0.1407157505639378,0.16525533739262688,0.3982809091830559,0.25551033232955955,0.24156269994055246,0.22694705493500056,0.24701379565170267,0.19035609074455007,0.036739311742271165,0.09688833099774095,0.034932479142043,1.0,0.0,0.0,0.0,0.0,0.0,-0.2224934725868397,0.4,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2131830186367649,0.0,False,0,full_rebalance,1,1,True,1,2026-08-31,2026-08-31,full_step1_and_step2,0.03406803514328564,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
3,VRT,VERTIV HOLDINGS CLASS A,Industrials,0.08000000000000002,5.305708967237192,4.145489815433938,5.284404682086783,0.7147390335379,6.813285957706703,0.2593091164479693,0.425042200952914,0.31564868259911677,True,12.0,-0.1662099715910865,-0.10636570672392934,-0.2138965591577588,1.568356577102859,0.7695806680418806,emerging_growth,1.2800623728429104,core_compounder,0.026391108577035787,0.7837828142332965,0.8629561399644039,0.7475121354533649,,Industrial,0.9358451439750985,3.107538531776608,-1.8089982314178918,-0.1729135812685792,2.291230740166025,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,1.915032679738562,0.31384419834321414,1.0,1.0,2.096213255267889,1.5876331772445318,0.10863424060752332,0.1955826283094783,0.13783371573067338,1.1880684272813131,-0.20869481509928509,-0.18173005628045724,0.0472405146998045,6.0,2.175,6.0,6.0,6.0,0.05286033408684444,0.11954761935093002,6.0,6.0,0.318857142857142,0.2660746735046597,matched_with_ttm_fallback,0.925,5.0,0.0,1.0,full_ttm,False,10229900000.0,3715200000.0,1829700000.0,1332800000.0,0.1788580533534052,0.363170705480992,0.1788580533534052,0.3381625352041205,0.0994619443138484,0.7634196759725673,0.03677268647849306,0.773093620561257,0.059566840944227345,115436222003.59717,300.5299987792969,0.3381625352041205,0.2768541401432887,1.0114235914207654,82.089,0.6040397350993377,0.2768541401432887,,,,0.21580013629307948,0.5095356874012973,,1.0114235914207654,1.0154071645889724,,,0.5887392073654256,0.011545769402938949,0.08861949761038802,0.016405595809788252,0.0,0.0,0.0,0.0,0.0,0.0,-0.20578804847863807,0.2,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2131830186367649,0.0,False,0,full_rebalance,1,1,True,1,2026-08-31,2026-08-31,full_step1_and_step2,0.07536044175583881,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
4,AAPL,APPLE INC,Information Technology,0.07737228438499921,5.164523964716809,3.438683296257624,5.086172116219139,0.8918229739321535,6.131997718354134,0.2593091164479693,0.425042200952914,0.31564868259911677,True,12.0,-0.1662099715910865,-0.10636570672392934,-0.2138965591577588,0.16330123392972273,-0.15464295295382316,compounder,0.9394319954007805,core_compounder,0.14019955112709553,0.6711868674447092,0.25058821406342263,0.059279865790159536,,Software,-0.5054110247297862,-0.35074694083216096,-1.427097196572084,0.026348288193848525,-0.21641578895980654,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,1.915032679738562,0.31384419834321414,1.0,1.0,0.5857063902737218,2.4505533271367006,0.017154621956962428,-0.05788801878448596,0.07597557669123625,0.6603083248275691,-0.20869481509928509,-0.18173005628045724,0.0472405146998045,6.0,2.175,6.0,6.0,6.0,0.05286033408684444,0.11954761935093002,6.0,6.0,0.318857142857142,0.2660746735046597,matched_with_ttm_fallback,0.9165850000000001,5.0,0.0,0.7142857142857143,full_ttm,False,416161000000.0,195201000000.0,133050000000.0,112010000000.0,0.31970799762591884,0.4690516410716045,0.31970799762591884,1.5191298333175105,0.30184703111441674,1.121479888542155,0.023492602906684916,3.1070695231655154,1.328007355004837,4532958753995.605,308.6300048828125,1.5191298333175105,0.0,0.03909439353742883,36.0746,2.0142155220547178,0.0,,,,0.018071275091400274,0.45080063129890147,0.03909439353742883,0.5459582925602204,0.03652342902100392,0.14945282036766638,-0.029918174805878994,0.06679924384853564,0.024710129978850585,0.09180780646485526,0.021788638582458133,1.0,1.0,0.0,0.0,0.0,0.0,-0.29012840233632664,0.8,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2131830186367649,0.0,False,0,full_rebalance,1,1,True,1,2026-08-31,2026-08-31,full_step1_and_step2,0.028971371695199238,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
5,AMAT,APPLIED MATERIAL INC,Information Technology,0.05740498173332894,7.762730526967009,4.637986560960863,7.715067871237837,1.0540516844305858,9.701630351281107,0.2593091164479693,0.425042200952914,0.31564868259911677,True,12.0,-0.1662099715910865,-0.10636570672392934,-0.2138965591577588,1.2901924390130752,0.713955176512757,emerging_growth,1.1356813845939266,core_compounder,0.022386722791853608,0.8731113130341505,0.9402714814097113,0.8031864676252345,True,Semiconductor,0.627016076315262,0.08241622428578384,0.0,0.11712933978553636,3.792587085792358,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,1.915032679738562,0.31384419834321414,1.0,1.0,1.8673603615159988,1.396959292346097,0.23825600675248493,0.725085750028575,0.28127749109953337,0.8914942939303618,-0.20869481509928509,-0.18173005628045724,0.0472405146998045,6.0,2.175,6.0,6.0,6.0,0.05286033408684444,0.11954761935093002,6.0,6.0,0.318857142857142,0.2660746735046597,matched_with_ttm_fallback,0.9165850000000001,5.0,0.0,0.8571428571428571,full_ttm,False,28368000000.0,13808000000.0,8289000000.0,6998000000.0,0.2921954314720812,0.4867456288776086,0.2921954314720812,0.34278716629928974,0.17370798788661074,0.7041652186863923,0.04993637313419614,1.1207038812045922,0.7003107769399446,478789277221.80237,603.0399780273438,0.34278716629928974,0.04386223138063006,0.023684038476570413,57.5882,3.3520488940628637,0.04386223138063006,,,,0.032447526413378114,0.43319086870822066,0.023684038476570413,0.439584898351723,0.021072060380536994,0.13679122218655615,0.1385612662403679,0.15900782066457575,0.014616033259153649,0.05924944719858113,0.011900851316184265,1.0,1.0,0.0,0.0,0.9,0.0,-0.49355595544520625,0.78,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2131830186367649,0.0,False,0,full_rebalance,1,1,True,1,2026-08-31,2026-08-31,full_step1_and_step2,0.08535325076835795,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
6,LRCX,LAM RESEARCH CORP,Information Technology,0.05740498173332894,7.489567507796243,5.154307038258185,7.440521003570468,0.9530450300251873,9.159837332014218,0.2593091164479693,0.425042200952914,0.31564868259911677,True,12.0,-0.1662099715910865,-0.10636570672392934,-0.2138965591577588,1.0603190408066223,0.6941888897442119,emerging_growth,1.0753699376354986,core_compounder,0.028791228109300238,0.8538977970818106,0.9402714814097113,0.7430006101241042,,Semiconductor,0.3467096745807992,-0.36840554076308835,0.0,0.14011156366999453,2.937491486202543,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,1.915032679738562,0.31384419834321414,1.0,1.0,1.7075581256282415,1.442026750075726,0.23676451921753244,0.7591112822495569,0.23667142077760478,0.7929526558170306,-0.20869481509928509,-0.18173005628045724,0.0472405146998045,6.0,2.175,6.0,6.0,6.0,0.05286033408684444,0.11954761935093002,6.0,6.0,0.318857142857142,0.2660746735046597,matched_with_ttm_fallback,0.9165850000000001,5.0,0.0,0.8571428571428571,full_ttm,False,18435591000.0,8979059000.0,5900968000.0,5358217000.0,0.32008564303688447,0.48705023885591736,0.32008564303688447,0.5433405001754783,0.257706819623594,0.8866713543873554,0.02408570267294561,2.075235874905212,1.2184482820694942,439463159689.7278,351.4100036621094,0.5433405001754783,0.0,0.05161410945491629,73.6264,3.2839607493309546,0.0,,,,0.022789943557689707,0.12907308762404734,0.05161410945491629,0.189238603578461,0.031078868201760423,0.1714683970487525,0.2572973770596889,0.237467758501531,0.012192642049411008,0.04195025360718745,0.013863426013460231,0.0,1.0,0.0,0.0,0.9,0.0,-0.35281428078830945,0.58,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2131830186367649,0.0,False,0,full_rebalance,1,1,True,1,2026-08-31,2026-08-31,full_step1_and_step2,0.08834576818731925,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
7,UMC,United Microelectronics,Semiconductors,0.05710938992221,4.479808085240716,1.7082903421871962,4.48400318800341,1.0540516844305858,6.527519010190514,0.2593091164479693,0.425042200952914,0.31564868259911677,True,12.0,-0.1662099715910865,-0.10636570672392934,-0.2138965591577588,1.0253575746214134,0.5010290735810871,emerging_growth,0.7401935868870378,future_winner,0.045695004594825596,0.677034261161333,0.9402714814097113,0.8031864676252345,True,Semiconductor,0.5623984407576514,-0.03782803601341772,0.0,-0.15939999953098336,4.103255021633957,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,1.915032679738562,0.31384419834321414,1.0,1.0,1.4765419504497617,1.0455049319204894,0.1120697046007535,0.2646271800193136,0.13801110707338424,0.8191109885189255,-0.20869481509928509,-0.18173005628045724,0.0472405146998045,6.0,2.175,6.0,6.0,6.0,0.05286033408684444,0.11954761935093002,6.0,6.0,0.318857142857142,0.2660746735046597,matched_no_ttm,0.3745,4.0,0.0,0.8571428571428571,full_ttm,False,,2307230000.0,1574034000.0,1484435000.0,,,,0.1330974325730443,0.08689275577120185,,0.18112010536364684,0.15335186901466874,0.24936488205328544,61577895936.0,24.540000915527344,0.1330974325730443,,0.9990209822228147,36.518,5.093165969316597,,0.9990209822228147,1.015341358674359,,,,-0.06622634439772945,0.575042799816387,-0.054661512018782554,0.5730339193048812,,,0.02410662101126066,,,1.0,1.0,0.0,0.0,0.7,0.0,-0.23511144148049445,0.74,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2131830186367649,0.0,False,0,full_rebalance,1,2,True,1,2026-08-31,2026-08-31,full_step1_and_step2,0.07949121071842397,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
8,GEV,GE VERNOVA INC,Industrials,0.04946483241190788,5.429786721706623,3.0690639309591656,5.409140146026554,0.7988131855117974,7.2877389491161875,0.2593091164479693,0.425042200952914,0.31564868259911677,True,12.0,-0.1662099715910865,-0.10636570672392934,-0.2138965591577588,1.0033129365632991,0.36729042702809,emerging_growth,0.8829976476285755,core_compounder,0.06561668159989516,0.46371487553215013,0.8292915165739583,0.6324414717742728,True,Industrial,0.2286857307402735,2.488757596645316,-2.9465605193136017,-0.746387019704187,1.8723830444590677,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,1.915032679738562,0.31384419834321414,1.0,1.0,1.5539148480132339,0.6913067601708554,0.13317585996205916,0.5722196360453313,0.1097188680465639,1.0967664791981202,-0.20869481509928509,-0.18173005628045724,0.0472405146998045,6.0,2.175,6.0,6.0,6.0,0.05286033408684444,0.11954761935093002,6.0,6.0,0.318857142857142,0.2660746735046597,matched_with_ttm,0.92839,5.0,0.0,0.8571428571428571,full_ttm,False,39375000000.0,7846000000.0,1524000000.0,9365000000.0,0.0387047619047619,0.19926349206349206,0.0387047619047619,0.62163956189844,0.12385600169285299,0.5207506744961117,0.050365259341983874,1.2036497463455542,-0.0887978536631574,299114909698.12195,1113.1099853515625,0.62163956189844,0.12709317303563772,1.5666830823148947,31.8121,0.01744285252139775,0.12709317303563772,,,,,,,,,,,,0.031309037752252175,0.13163837282380453,,1.0,0.0,0.0,0.0,0.9,0.0,-0.21917758482850114,0.78,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2131830186367649,0.0,False,0,full_rebalance,1,1,True,1,2026-08-31,2026-08-31,full_step1_and_step2,0.05109829787568041,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
9,GE,GE AEROSPACE,Industrials,0.04058412896081939,3.5094866756136955,2.6275148031317057,3.610020825079292,0.26491009759323403,5.122901139015788,0.2593091164479693,0.425042200952914,0.31564868259911677,True,12.0,-0.1662099715910865,-0.10636570672392934,-0.2138965591577588,0.6171946078952297,-0.2300634959911807,cyclical_recovery,-0.433808808507072,core_compounder,0.057511664167800264,0.11063043847718755,0.2909173906048355,0.11838239810143472,,Industrial,0.6908620585576439,3.0070009802942566,-1.8818504987427502,0.2112016322643453,0.37382621382836956,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,1.915032679738562,0.31384419834321414,1.0,1.0,0.1071598230091515,-1.3902653655142987,0.009518815687853009,0.14341425786523254,0.03424987242159029,0.4044393978124956,-0.20869481509928509,-0.18173005628045724,0.0472405146998045,6.0,2.175,6.0,6.0,6.0,0.05286033408684444,0.11954761935093002,6.0,6.0,0.318857142857142,0.2660746735046597,matched_no_ttm,0.51739,4.0,0.0,0.5714285714285714,full_ttm,False,45855000000.0,,,8701000000.0,,,,0.46041909196740394,0.06774105648331971,0.3570010510335163,0.046453156472734465,0.4872174183422927,-0.568788259731127,393880661494.75476,377.5199890136719,0.46041909196740394,3.641664136046159,0.11426176637126573,45.26843598376678,3.9618183248347516,3.641664136046159,,,,0.29704254154270004,-0.10449619765441642,,0.11426176637126573,,,0.13359970188162862,0.18889713474378067,0.02209044731208737,0.11641851068794004,,1.0,1.0,0.4,0.0,1.0,-1.2808132941885944,0.10279293910765941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2131830186367649,0.0,False,0,full_rebalance,1,1,True,1,2026-08-31,2026-08-31,full_step1_and_step2,0.025924837192866364,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
10,STM,STMicroelectronics,Semiconductors,0.04018871665529528,2.9591778449231887,2.843108785269539,3.0203861457586543,-0.025920936959657803,4.525933760329063,0.2593091164479693,0.425042200952914,0.31564868259911677,True,12.0,-0.1662099715910865,-0.10636570672392934,-0.2138965591577588,0.216219350365637,-0.17892418732000492,emerging_growth,-0.8749182805797999,future_winner,0.07088878887504942,-0.5743228566365118,0.4726963520139156,0.2600299853887673,,Semiconductor,0.28862485901962276,-0.7922517114604056,0.0,0.13511127479303306,3.5475675955500434,0.35000000000000003,0.30000000000000004,0.35000000000000003,1.0,1.915032679738562,0.31384419834321414,1.0,1.0,0.29417803245307345,-1.9372393109813804,0.2189158705207623,0.7271130117618809,0.22169948084862118,-0.5807238285634204,-0.20869481509928509,-0.18173005628045724,0.0472405146998045,6.0,2.175,6.0,6.0,6.0,0.05286033408684444,0.11954761935093002,6.0,6.0,0.318857142857142,0.2660746735046597,matched_with_ttm_fallback,0.8449749999999999,5.0,0.0,0.5714285714285714,full_ttm,False,11800000000.0,3999000000.0,175000000.0,167000000.0,0.014830508474576272,0.3388983050847458,0.014830508474576272,0.00916323731138546,0.006749383664066605,0.476902558299317,0.2910167795196475,-0.555846751657033,-0.3989285033719486,60749074432.0,68.3499984741211,0.00916323731138546,-0.07530757777603636,-0.9165,232.4185,,-0.07530757777603636,-0.9165,-0.9276560562215792,-0.2967320261437908,-0.0988906792694898,0.029192072414059078,-0.6518990339501378,-0.31487504438520963,-0.6595726805328573,-0.3327761143983129,-0.2548338488447449,0.005576089809280038,0.002749013076519098,0.19424164253248716,,0.0,1.0,0.0,0.0,0.6,0.0,-0.10209320773997255,0.52,0.0,0.0,0.0,0.0,0.0,0.0,18,0.2131830186367649,0.0,False,0,full_rebalance,1,2,True,1,2026-08-31,2026-08-31,full_step1_and_step2,0.06294185249931523,balanced,balanced,aggr_35_30_35,balanced,balanced,True,True,False,,,,,,,,,False
