ticker,first_rebalance_date,last_rebalance_date,target_row_count,linked_mdd_position_pnl_usd,sector,industry_group,primary_lane,crisis_state,market_style_regime_label,regime_state,regime_capacity_regime,avg_weight,max_weight,min_weight,avg_target_weight,max_target_weight,min_target_weight,avg_selection_confirmation_score,max_selection_confirmation_score,min_selection_confirmation_score,avg_breakout_setup_quality_score,max_breakout_setup_quality_score,min_breakout_setup_quality_score,avg_rs_benchmark_1m,max_rs_benchmark_1m,min_rs_benchmark_1m,avg_ticker_ret_1m,max_ticker_ret_1m,min_ticker_ret_1m,avg_atr14_pct,max_atr14_pct,min_atr14_pct
PLTR,2025-01-31,2025-01-31,1,-57128.30658721924,Information Technology,Software - Infrastructure,MARKET_LEADER,GREEN,balanced,neutral,neutral,0.285,0.285,0.285,0.285,0.285,0.285,1.0,1.0,1.0,0.6896909815661476,0.6896909815661476,0.6896909815661476,0.0664594800073037,0.0664594800073037,0.0664594800073037,0.0907047581578688,0.0907047581578688,0.0907047581578688,0.0461917550452565,0.0461917550452565,0.0461917550452565
TPR,2025-02-28,2025-03-31,2,-29236.194557189945,Consumer Discretionary,Apparel & Luxury,MARKET_LEADER,DEFENSE_REVIEW,cash_defense,bear,bear,0.0396573034252014,0.076,0.0033146068504028,0.0396573034252014,0.076,0.0033146068504028,0.246716875,0.246716875,0.246716875,0.40928057337056845,0.5026472269760757,0.3159139197650613,0.03643343022190325,0.1792314555853145,-0.106364595141508,-0.0072728655621382005,0.157609367989477,-0.1721550991137534,0.0419799523550895,0.0436627756638357,0.0402971290463433
BROS,2025-02-28,2025-03-31,2,-25387.26852798462,Consumer Discretionary,Hotels Restaurants & Leisure,MARKET_LEADER,DEFENSE_REVIEW,cash_defense,bear,bear,0.045444120366687546,0.076,0.0148882407333751,0.045444120366687546,0.076,0.0148882407333751,1.0,1.0,1.0,0.12925935000049518,0.2778383897194371,-0.0193196897184467,0.0978814026203288,0.3500329528317825,-0.1542701475911249,0.05417510683628729,0.328410865235945,-0.2200606515633704,0.0652471812141424,0.0654867256637168,0.065007636764568
APP,2025-01-31,2025-01-31,1,-22304.061279296875,Information Technology,Other,MARKET_LEADER,GREEN,balanced,neutral,neutral,0.1139999999999999,0.1139999999999999,0.1139999999999999,0.1139999999999999,0.1139999999999999,0.1139999999999999,1.0,1.0,1.0,0.612242168539125,0.612242168539125,0.612242168539125,0.1170634692263961,0.1170634692263961,0.1170634692263961,0.1413087473769612,0.1413087473769612,0.1413087473769612,0.0517107770178911,0.0517107770178911,0.0517107770178911
UBER,2025-03-31,2025-03-31,1,-13818.900085449219,Industrials,Software - Application,QUALITY_COMPOUNDER,DEFENSE_REVIEW,cash_defense,bear,bear,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,1.0,1.0,1.0,0.3546574545239441,0.3546574545239441,0.3546574545239441,0.0243485695248124,0.0243485695248124,0.0243485695248124,-0.041441934447433,-0.041441934447433,-0.041441934447433,0.0346192263193854,0.0346192263193854,0.0346192263193854
CORT,2025-01-31,2025-01-31,1,-5793.638381958008,Health Care,Biotechnology,MARKET_LEADER,GREEN,balanced,neutral,neutral,0.076,0.076,0.076,0.076,0.076,0.076,0.2451249999999999,0.2451249999999999,0.2451249999999999,0.4847525274530955,0.4847525274530955,0.4847525274530955,0.303795979629101,0.303795979629101,0.303795979629101,0.3280412577796661,0.3280412577796661,0.3280412577796661,0.0504653907989864,0.0504653907989864,0.0504653907989864
HUBS,2025-01-31,2025-01-31,1,-3888.6392822265625,Information Technology,Software - Application,MARKET_LEADER,GREEN,balanced,neutral,neutral,0.0888727620669024,0.0888727620669024,0.0888727620669024,0.0888727620669024,0.0888727620669024,0.0888727620669024,0.2451249999999999,0.2451249999999999,0.2451249999999999,0.5646094027770001,0.5646094027770001,0.5646094027770001,0.0945313733208939,0.0945313733208939,0.0945313733208939,0.118776651471459,0.118776651471459,0.118776651471459,0.0325970154829706,0.0325970154829706,0.0325970154829706
LI,2025-02-28,2025-02-28,1,-2413.040084838867,Auto,Auto Manufacturers & Parts,MARKET_LEADER,WATCH,quality_compounder,neutral,neutral,0.076,0.076,0.076,0.076,0.076,0.076,0.2451249999999999,0.2451249999999999,0.2451249999999999,0.2346295210298107,0.2346295210298107,0.2346295210298107,0.3422064854351486,0.3422064854351486,0.3422064854351486,0.320584397839311,0.320584397839311,0.320584397839311,0.0542745500316147,0.0542745500316147,0.0542745500316147
GOOGL,2025-01-31,2025-01-31,1,-2053.250381469723,Communication,Internet Content & Information,MARKET_LEADER,GREEN,balanced,neutral,neutral,0.0728975863868043,0.0728975863868043,0.0728975863868043,0.0728975863868043,0.0728975863868043,0.0728975863868043,1.0,1.0,1.0,0.7177197136954352,0.7177197136954352,0.7177197136954352,0.0535149490891988,0.0535149490891988,0.0535149490891988,0.0777602272397639,0.0777602272397639,0.0777602272397639,0.0254247382998421,0.0254247382998421,0.0254247382998421
KVUE,2025-03-31,2025-03-31,1,-1741.018886566162,Consumer Staples,Household & Personal Products,QUALITY_COMPOUNDER,DEFENSE_REVIEW,cash_defense,bear,bear,0.0446657403221347,0.0446657403221347,0.0446657403221347,0.0446657403221347,0.0446657403221347,0.0446657403221347,1.0,1.0,1.0,0.419290404775402,0.419290404775402,0.419290404775402,0.0818921822577682,0.0818921822577682,0.0818921822577682,0.0161016782855227,0.0161016782855227,0.0161016782855227,0.0642633949862747,0.0642633949862747,0.0642633949862747
