ticker,position_pnl_usd,avg_weight,max_weight,days_held,sector,industry_group,primary_lane
AMD,-28844.970336914062,0.00875388952886693,0.0101165157720222,20,Information Technology,Semiconductors,MARKET_LEADER
NVDA,-26683.238231658936,0.07770422036100114,0.1369362731654904,48,Information Technology,Semiconductors,MARKET_LEADER
NET,-25732.099060058597,0.03826337941595186,0.115166222044088,28,Information Technology,Software - Infrastructure,MARKET_LEADER
TSLA,-23520.899322509766,0.06465887510370831,0.1108265773408342,48,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER
DDOG,-18375.300689697266,0.04884691469436022,0.0886607861112398,51,Information Technology,Software - Application,TOP7_MANAGER_DISCOVERY
SAIA,-13486.019500732418,0.05256340680377923,0.0898980801456892,26,Industrials,Transportation & Logistics,MARKET_LEADER
ENPH,-13263.118896484377,0.07036523659332454,0.1016606944595989,28,Information Technology,Tech Hardware & Storage,MARKET_LEADER
NOW,-9978.928131103516,0.0036535275974496698,0.0040145178362934,20,Information Technology,Software - Application,QUALITY_COMPOUNDER
U,-9556.629791259766,0.03174938539470778,0.0584171967311734,28,Information Technology,Software - Application,MARKET_LEADER
STLD,-8374.014976501465,0.025041351018527398,0.0338818688522409,42,Materials,Metals & Mining,QUALITY_COMPOUNDER
SRE,-7807.970764160158,0.01829735393899695,0.0509103963464698,122,Utilities,Utilities,MARKET_LEADER
LAD,-7513.420104980469,0.02300637488791437,0.0261129364369654,42,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER
DAR,-6385.369560241701,0.020515900318747563,0.0211975530506348,17,Consumer Staples,Food Beverage & Tobacco,QUALITY_COMPOUNDER
CAR,-6340.255859375,0.022020242457985017,0.0390755938809912,42,Industrials,Commercial Services,MARKET_LEADER
LPX,-5137.919532775878,0.026434140019157892,0.0359589852536776,46,Materials,Construction & Engineering,MARKET_LEADER
GOOGL,-5029.868110656738,0.016994219613098504,0.0182649294354321,19,Communication,Internet Content & Information,MARKET_LEADER
ON,-4110.0600662231445,0.03589199079087259,0.0658883886980652,84,Information Technology,Semiconductors,MARKET_LEADER
GOOG,-3829.254837036133,0.018235904897721266,0.0196237006622665,19,Communication,Internet Content & Information,MARKET_LEADER
FICO,-2999.2198181152344,0.011111001077158159,0.0197994550917819,43,Information Technology,Software - Application,MARKET_LEADER
FTNT,-2860.9281997680646,0.029669756187527298,0.0321210319221784,23,Information Technology,Software - Infrastructure,QUALITY_COMPOUNDER
ADM,-2454.748008728028,0.020860416847296233,0.0312267677914616,82,Consumer Staples,Food Beverage & Tobacco,MARKET_LEADER
SNOW,-1820.0,0.050679418651538834,0.0521677916187879,6,Information Technology,Software - Application,MARKET_LEADER
BRKR,-1711.8757972717285,0.015229607737944996,0.0266498005738649,43,Health Care,Medical Devices,QUALITY_COMPOUNDER
RKLB,-1597.589916229248,0.03116350506588011,0.0368470252362524,22,Industrials,Aerospace & Defense,MARKET_LEADER
ANET,-1576.9872188568115,0.033699339266777456,0.054064483502271,61,Information Technology,Tech Hardware & Storage,MARKET_LEADER
CIEN,-1549.7999572753924,0.04510517742644823,0.0486307378258805,20,Information Technology,Communication Equipment,MARKET_LEADER
BE,-1546.2207641601562,0.07167093980614891,0.0738847866789867,6,Industrials,Capital Goods - Machinery,MARKET_LEADER
MDB,-1003.3801879882812,0.029272071973405634,0.0299399799291352,6,Information Technology,Software - Infrastructure,MARKET_LEADER
BLDR,-926.0299110412598,0.023959542733439615,0.0430770504447037,84,Industrials,Construction & Engineering,MARKET_LEADER
DXCM,-864.4896240234375,0.02650787722748425,0.0275717943852774,6,Health Care,Medical Devices,MARKET_LEADER
