ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
ENPH,SELL,112.0,186.4499969482422,20882.399658203125,52.20599914550781,20830.19365905762,94076.37806880951,0.0,2021-03-01,2021-02-26,target_exit,,next_close
MRNA,SELL,108.0,157.39999389648438,16999.199340820312,42.49799835205078,16956.701342468263,111033.0794112778,0.0,2021-03-01,2021-02-26,target_exit,,next_close
PDD,SELL,148.0,186.1499938964844,27550.199096679688,68.87549774169922,27481.32359893799,138514.40301021578,0.0,2021-03-01,2021-02-26,target_exit,,next_close
ROKU,SELL,83.0,420.30999755859375,34885.72979736328,87.2143244934082,34798.51547286988,173312.91848308567,0.0,2021-03-01,2021-02-26,target_exit,,next_close
TSLA,SELL,152.0,239.47666931152344,36400.45373535156,91.0011343383789,36309.45260101318,209622.37108409885,0.0,2021-03-01,2021-02-26,target_exit,,next_close
AMKR,BUY,620.0,23.05610656738281,14294.786071777344,35.73696517944336,-14330.523036956787,195291.8480471421,620.0,2021-03-01,2021-02-26,target_rebalance,0.0681961564067918,next_close
WAL,BUY,195.0,85.76033020019531,16723.264389038086,41.80816097259522,-16765.072550010682,178526.77549713137,195.0,2021-03-01,2021-02-26,target_rebalance,0.08,next_close
WMS,BUY,154.0,108.50347137451172,16709.534591674805,41.77383647918701,-16751.308428153992,161775.46706897736,154.0,2021-03-01,2021-02-26,target_rebalance,0.08,next_close
MU,BUY,276.0,92.41819763183594,25507.42254638672,63.7685563659668,-25571.191102752684,136204.27596622467,276.0,2021-03-01,2021-02-26,target_rebalance,0.1219197094822348,next_close
WBD,BUY,720.0,58.18000030517578,41889.60021972656,104.7240005493164,-41994.32422027588,94209.95174594878,720.0,2021-03-01,2021-02-26,target_rebalance,0.2,next_close
MU,SELL,276.0,90.12629699707033,24874.857971191406,62.18714492797852,24812.670826263427,119022.62257221222,0.0,2021-04-01,2021-03-31,target_exit,,next_close
WBD,SELL,720.0,43.310001373291016,31183.20098876953,77.95800247192383,31105.24298629761,150127.86555850983,0.0,2021-04-01,2021-03-31,target_exit,,next_close
WMS,SELL,154.0,105.3888931274414,16229.889541625977,40.57472385406494,16189.314817771912,166317.18037628173,0.0,2021-04-01,2021-03-31,target_exit,,next_close
WAL,BUY,19.0,84.60383605957031,1607.472885131836,4.01868221282959,-1611.4915673446656,164705.68880893706,214.0,2021-04-01,2021-03-31,target_rebalance,0.0921705318236176,next_close
AMKR,BUY,187.0,22.91614532470703,4285.319175720215,10.713297939300537,-4296.032473659516,160409.65633527754,807.0,2021-04-01,2021-03-31,target_rebalance,0.093925269120809,next_close
AMAT,BUY,174.0,135.4456329345703,23567.540130615234,58.918850326538085,-23626.45898094177,136783.19735433577,174.0,2021-04-01,2021-03-31,target_rebalance,0.12,next_close
FUTU,BUY,160.0,147.69300842285156,23630.88134765625,59.07720336914063,-23689.95855102539,113093.23880331038,160.0,2021-04-01,2021-03-31,target_rebalance,0.12,next_close
WSM,BUY,439.0,82.51467895507812,36223.9440612793,90.55986015319824,-36314.50392143249,76778.73488187788,439.0,2021-04-01,2021-03-31,target_rebalance,0.1839041990555733,next_close
AMAT,SELL,174.0,127.14781951904295,22123.72059631348,55.309301490783696,22068.41129482269,98847.14617670058,0.0,2021-05-03,2021-04-30,target_exit,,next_close
AMKR,SELL,807.0,18.60537338256836,15014.536319732666,37.53634079933167,14976.999978933334,113824.14615563392,0.0,2021-05-03,2021-04-30,target_exit,,next_close
WSM,SELL,439.0,79.73933410644531,35005.56767272949,87.51391918182374,34918.05375354767,148742.1999091816,0.0,2021-05-03,2021-04-30,target_exit,,next_close
WAL,SELL,117.0,94.8420181274414,11096.516120910645,27.74129030227661,11068.774830608369,159810.97473978996,97.0,2021-05-03,2021-04-30,target_rebalance,0.0475471396136729,next_close
FUTU,SELL,87.0,141.4622039794922,12307.21174621582,30.76802936553955,12276.44371685028,172087.41845664024,73.0,2021-05-03,2021-04-30,target_rebalance,0.0531849591420968,next_close
COF,BUY,168.0,136.40647888183594,22916.28845214844,57.2907211303711,-22973.57917327881,149113.83928336142,168.0,2021-05-03,2021-04-30,target_rebalance,0.12,next_close
CROX,BUY,525.0,98.12999725341795,51518.24855804443,128.79562139511108,-51647.044179439545,97466.79510392188,525.0,2021-05-03,2021-04-30,target_rebalance,0.2692679012442301,next_close
LPX,BUY,919.0,62.54923248291016,57482.74465179443,143.7068616294861,-57626.45151342392,39840.34359049796,919.0,2021-05-03,2021-04-30,target_rebalance,0.3,next_close
CROX,SELL,525.0,103.12999725341795,54143.24855804443,135.35812139511108,54007.89043664932,93848.23402714728,0.0,2021-06-01,2021-05-28,target_exit,,next_close
FUTU,SELL,73.0,144.33721923828125,10536.617004394531,26.34154251098633,10510.275461883544,104358.50948903082,0.0,2021-06-01,2021-05-28,target_exit,,next_close
WAL,SELL,97.0,92.18537139892578,8941.9810256958,22.354952564239504,8919.626073131561,113278.13556216238,0.0,2021-06-01,2021-05-28,target_exit,,next_close
COF,SELL,58.0,151.65264892578125,8795.853637695312,21.98963409423828,8773.864003601075,122051.99956576346,110.0,2021-06-01,2021-05-28,target_rebalance,0.0835277407654074,next_close
LPX,SELL,550.0,64.39356231689453,35416.45927429199,88.54114818572998,35327.91812610626,157379.91769186972,369.0,2021-06-01,2021-05-28,target_rebalance,0.12,next_close
GEN,BUY,803.0,25.0139102935791,20086.16996574402,50.21542491436005,-20136.38539065838,137243.53230121135,803.0,2021-06-01,2021-05-28,target_rebalance,0.1015680676159978,next_close
DKS,BUY,709.0,83.63975524902344,59300.58647155762,148.25146617889405,-59448.83793773651,77794.69436347485,709.0,2021-06-01,2021-05-28,target_rebalance,0.3,next_close
STLD,BUY,994.0,59.69231414794922,59334.16026306152,148.33540065765382,-59482.49566371918,18312.198699755667,994.0,2021-06-01,2021-05-28,target_rebalance,0.3,next_close
COF,SELL,110.0,143.3516845703125,15768.685302734377,39.421713256835936,15729.26358947754,34041.462289233205,0.0,2021-07-01,2021-06-30,target_exit,,next_close
DKS,SELL,709.0,87.48037719726562,62023.58743286133,155.0589685821533,61868.52846427917,95909.99075351238,0.0,2021-07-01,2021-06-30,target_exit,,next_close
GEN,SELL,803.0,24.49378967285156,19668.513107299805,49.17128276824951,19619.341824531555,115529.33257804392,0.0,2021-07-01,2021-06-30,target_exit,,next_close
LPX,SELL,369.0,56.55118560791016,20867.387489318848,52.16846872329712,20815.219020595552,136344.5515986395,0.0,2021-07-01,2021-06-30,target_exit,,next_close
STLD,SELL,994.0,56.62099838256836,56281.27239227295,140.7031809806824,56140.56921129227,192485.12080993177,0.0,2021-07-01,2021-06-30,target_exit,,next_close
ROKU,BUY,47.0,435.6700134277344,20476.49063110352,51.19122657775879,-20527.681857681277,171957.4389522505,47.0,2021-07-01,2021-06-30,target_rebalance,0.108467626238892,next_close
NVDA,BUY,1815.0,20.16580581665039,36600.93755722046,91.50234389305116,-36692.43990111351,135264.99905113698,1815.0,2021-07-01,2021-06-30,target_rebalance,0.1902271655614969,next_close
BEAM,BUY,305.0,133.60000610351562,40748.001861572266,101.87000465393066,-40849.8718662262,94415.1271849108,305.0,2021-07-01,2021-06-30,target_rebalance,0.2120004199667889,next_close
NTLA,BUY,253.0,171.64999389648438,43427.44845581055,108.56862113952636,-43536.01707695008,50879.11010796071,253.0,2021-07-01,2021-06-30,target_rebalance,0.2258892115691711,next_close
MRNA,BUY,191.0,235.1100006103516,44906.01011657715,112.26502529144288,-45018.2751418686,5860.834966092116,191.0,2021-07-01,2021-06-30,target_rebalance,0.2334155766636509,next_close
BEAM,SELL,305.0,90.5999984741211,27632.999534606934,69.08249883651733,27563.917035770417,33424.75200186254,0.0,2021-08-02,2021-07-30,target_exit,,next_close
NVDA,SELL,1815.0,19.704864501953125,35764.32907104492,89.4108226776123,35674.91824836731,69099.67025022984,0.0,2021-08-02,2021-07-30,target_exit,,next_close
ROKU,SELL,47.0,421.3699951171875,19804.38977050781,49.510974426269534,19754.878796081543,88854.54904631138,0.0,2021-08-02,2021-07-30,target_exit,,next_close
MRNA,SELL,26.0,346.6099853515625,9011.859619140623,22.529649047851564,8989.329970092773,97843.87901640416,165.0,2021-08-02,2021-07-30,target_rebalance,0.3,next_close
NTLA,SELL,226.0,136.57000732421875,30864.82165527344,77.16205413818359,30787.65960113525,128631.5386175394,27.0,2021-08-02,2021-07-30,target_rebalance,0.0189880669224758,next_close
ARES,BUY,371.0,61.249488830566406,22723.560356140137,56.80890089035034,-22780.36925703049,105851.16936050892,371.0,2021-08-02,2021-07-30,target_rebalance,0.12,next_close
DXCM,BUY,251.0,127.8375015258789,32087.212882995605,80.21803220748902,-32167.43091520309,73683.73844530583,251.0,2021-08-02,2021-07-30,target_rebalance,0.1697374350664575,next_close
TEAM,BUY,154.0,322.5799865722656,49677.317932128906,124.19329483032227,-49801.51122695923,23882.227218346605,154.0,2021-08-02,2021-07-30,target_rebalance,0.263373626464927,next_close
ARES,SELL,371.0,67.09881591796875,24893.660705566406,62.23415176391602,24831.42655380249,48713.6537721491,0.0,2021-09-01,2021-08-31,target_exit,,next_close
DXCM,SELL,251.0,136.22999572753906,34193.728927612305,85.48432231903077,34108.24460529327,82821.89837744237,0.0,2021-09-01,2021-08-31,target_exit,,next_close
TEAM,SELL,154.0,371.7000122070313,57241.80187988281,143.10450469970704,57098.6973751831,139920.59575262546,0.0,2021-09-01,2021-08-31,target_exit,,next_close
MRNA,SELL,107.0,389.9400024414063,41723.58026123047,104.30895065307618,41619.2713105774,181539.86706320287,58.0,2021-09-01,2021-08-31,target_rebalance,0.1073278751989931,next_close
DDOG,BUY,240.0,135.77000427246094,32584.801025390625,81.46200256347656,-32666.2630279541,148873.60403524878,240.0,2021-09-01,2021-08-31,target_rebalance,0.1566963978431372,next_close
NTLA,BUY,218.0,164.0399932861328,35760.71853637695,89.40179634094238,-35850.120332717896,113023.48370253088,245.0,2021-09-01,2021-08-31,target_rebalance,0.1927479857641667,next_close
DKS,BUY,359.0,123.8515167236328,44462.69450378418,111.15673625946044,-44573.85124004364,68449.63246248724,359.0,2021-09-01,2021-08-31,target_rebalance,0.2132277411937028,next_close
BILL,BUY,225.0,277.1300048828125,62354.25109863281,155.88562774658203,-62510.1367263794,5939.495736107841,225.0,2021-09-01,2021-08-31,target_rebalance,0.3,next_close
DKS,SELL,359.0,109.76126098632812,39404.2926940918,98.5107317352295,39305.78196235657,45245.27769846441,0.0,2021-10-01,2021-09-30,target_exit,,next_close
NTLA,SELL,245.0,134.05999755859375,32844.69940185547,82.11174850463867,32762.58765335083,78007.86535181524,0.0,2021-10-01,2021-09-30,target_exit,,next_close
DDOG,SELL,12.0,144.69000244140625,1736.280029296875,4.340700073242187,1731.9393292236327,79739.80468103888,228.0,2021-10-01,2021-09-30,target_rebalance,0.168916160739165,next_close
BILL,SELL,171.0,277.1300048828125,47389.23083496094,118.47307708740234,47270.757757873536,127010.5624389124,54.0,2021-10-01,2021-09-30,target_rebalance,0.076438659403289,next_close
PCTY,BUY,126.0,285.010009765625,35911.26123046875,89.77815307617188,-36001.03938354492,91009.52305536748,126.0,2021-10-01,2021-09-30,target_rebalance,0.1843676676257485,next_close
RGEN,BUY,131.0,281.6000061035156,36889.60079956055,92.22400199890136,-36981.82480155945,54027.69825380804,131.0,2021-10-01,2021-09-30,target_rebalance,0.1902775122317974,next_close
MRNA,BUY,113.0,341.0899963378906,38543.16958618164,96.3579239654541,-38639.5275101471,15388.170743660943,171.0,2021-10-01,2021-09-30,target_rebalance,0.3,next_close
MRNA,SELL,171.0,337.1700134277344,57656.07229614258,144.14018074035644,57511.93211540222,72900.10285906316,0.0,2021-11-01,2021-10-29,target_exit,,next_close
RGEN,SELL,131.0,304.4700012207031,39885.57015991211,99.71392539978028,39785.85623451233,112685.95909357548,0.0,2021-11-01,2021-10-29,target_exit,,next_close
PCTY,SELL,46.0,305.75,14064.5,35.16125,14029.33875,126715.29784357548,80.0,2021-11-01,2021-10-29,target_rebalance,0.1191847365459507,next_close
