ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
CMS,BUY,59.0,46.31666946411133,2732.6834983825684,6.831708745956421,-2739.5152071285247,97260.48479287147,59.0,2019-06-03,2019-05-31,target_rebalance,0.0276502204738866,next_close
FDS,BUY,11.0,257.55908203125,2833.14990234375,7.082874755859375,-2840.2327770996094,94420.25201577187,11.0,2019-06-03,2019-05-31,target_rebalance,0.0288,next_close
PEG,BUY,61.0,46.51583480834961,2837.465923309326,7.093664808273315,-2844.5595881175996,91575.69242765427,61.0,2019-06-03,2019-05-31,target_rebalance,0.0288,next_close
KO,BUY,77.0,40.374629974365234,3108.846508026123,7.7721162700653075,-3116.6186242961885,88459.07380335809,77.0,2019-06-03,2019-05-31,target_rebalance,0.0311218319076638,next_close
HEI,BUY,26.0,121.51225280761719,3159.318572998047,7.898296432495117,-3167.216869430542,85291.85693392754,26.0,2019-06-03,2019-05-31,target_rebalance,0.0319669418749451,next_close
MELI,BUY,5.0,568.77001953125,2843.85009765625,7.109625244140625,-2850.9597229003907,82440.89721102716,5.0,2019-06-03,2019-05-31,target_rebalance,0.0323441406292024,next_close
AZO,BUY,3.0,1037.6500244140625,3112.9500732421875,7.782375183105469,-3120.732448425293,79320.16476260187,3.0,2019-06-03,2019-05-31,target_rebalance,0.0344074268939432,next_close
PYPL,BUY,37.0,104.6139907836914,3870.717658996582,9.676794147491455,-3880.3944531440734,75439.77030945779,37.0,2019-06-03,2019-05-31,target_rebalance,0.0393772005567756,next_close
ADBE,BUY,15.0,259.0299987792969,3885.449981689453,9.713624954223633,-3895.1636066436768,71544.60670281411,15.0,2019-06-03,2019-05-31,target_rebalance,0.0395435529772243,next_close
SHOP,BUY,150.0,26.5,3975.0,9.9375,-3984.9375,67559.66920281411,150.0,2019-06-03,2019-05-31,target_rebalance,0.0399463628988688,next_close
DHR,BUY,36.0,113.29873657226562,4078.7545166015625,10.196886291503906,-4088.951402893066,63470.71779992105,36.0,2019-06-03,2019-05-31,target_rebalance,0.0415857643395699,next_close
PAYC,BUY,21.0,192.37120056152344,4039.795211791992,10.09948802947998,-4049.8946998214724,59420.82310009957,21.0,2019-06-03,2019-05-31,target_rebalance,0.0420815820744207,next_close
AMT,BUY,26.0,171.6884765625,4463.900390625,11.159750976562501,-4475.0601416015625,54945.76295849801,26.0,2019-06-03,2019-05-31,target_rebalance,0.0455150856141961,next_close
UNH,BUY,22.0,210.12005615234375,4622.6412353515625,11.556603088378907,-4634.197838439942,50311.56512005807,22.0,2019-06-03,2019-05-31,target_rebalance,0.0471709595967944,next_close
HD,BUY,31.0,158.5478515625,4914.9833984375,12.28745849609375,-4927.270856933594,45384.29426312447,31.0,2019-06-03,2019-05-31,target_rebalance,0.0493747581264179,next_close
