as_of_date,account_source,approval_status,row_type,ticker,current_shares,current_price,current_value_usd,current_weight,target_weight,target_value_usd,delta_weight,delta_value_usd,suggested_action,suggested_quantity_delta,preview_trade_value_delta_usd,preview_order_count,preview_order_status,monster_recommendation,monster_stage,monster_priority_score,monster_reason,portfolio_sources,source_current,source_target,risk_state,block_reason
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,cash,CASH,0.0,1.0,110627.49656564617,0.10309417313185508,0.0,0.0,-0.10309417313185508,-110627.49656564617,DEPLOY_CASH,0.0,0.0,0,,,,0.0,,,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,AMD,0.0,511.5700073242188,0.0,0.0,0.21109219019070932,226517.1719791572,0.21109219019070932,226517.1719791572,BUY,442.0,226113.94323730463,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,LRCX,152.0,366.80999755859375,55755.11962890625,0.051958402155461256,0.18008794365113168,193247.37531285305,0.1281295414956704,137492.2556839468,MIXED_REVIEW,375.0,137553.74908447266,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,AMAT,42.0,567.25,23824.5,0.022202139649091634,0.16747583250355896,179713.668796975,0.14527369285446734,155889.168796975,MIXED_REVIEW,275.0,155993.75,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,SNDK,0.0,1980.0999755859373,0.0,0.0,0.09942982862869391,106695.39015629228,0.09942982862869391,106695.39015629228,BUY,52.0,102965.19873046876,1,cash_scaled,,,0.0,,concentrated,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,CAT,0.0,910.5700073242188,0.0,0.0,0.07676595008257037,82375.41095806164,0.07676595008257037,82375.41095806164,BUY,90.0,81951.30065917969,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,TXN,0.0,301.1199951171875,0.0,0.0,0.03655934210848696,39230.8155803931,0.03655934210848696,39230.8155803931,BUY,130.0,39145.599365234375,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,TKR,0.0,137.05999755859375,0.0,0.0,0.02455574780457083,26350.091604523946,0.02455574780457083,26350.091604523946,BUY,192.0,26315.51953125,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,UMC,0.0,21.6299991607666,0.0,0.0,0.02373887519126796,25473.528269492836,0.02373887519126796,25473.528269492836,BUY,1177.0,25458.50901222229,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,NUE,0.0,266.3500061035156,0.0,0.0,0.02122429446866772,22775.20146980349,0.02122429446866772,22775.20146980349,BUY,85.0,22639.750518798828,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,OKE,0.0,90.58999633789062,0.0,0.0,0.021039413516536102,22576.810850085,0.021039413516536102,22576.810850085,BUY,249.0,22556.90908813477,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,NXPI,0.0,304.8599853515625,0.0,0.0,0.0208986196250214,22425.72883180172,0.0208986196250214,22425.72883180172,BUY,73.0,22254.778930664062,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,RKLB,0.0,102.38999938964844,0.0,0.0,0.020020939409262552,21483.914545843825,0.020020939409262552,21483.914545843825,BUY,209.0,21399.509872436523,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,PR,11525.0,19.510000228881832,224852.75263786313,0.20954111165180778,0.015425469636881269,16552.643446637976,-0.1941156420149265,-208300.10919122514,SELL,-10676.0,-208288.76244354245,2,ready,,,0.0,,"concentrated,main",account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,KNX,0.0,81.54000091552734,0.0,0.0,0.015425469636881269,16552.643446637976,0.015425469636881269,16552.643446637976,BUY,203.0,16552.62018585205,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,R,0.0,280.3299865722656,0.0,0.0,0.015425469636881269,16552.643446637976,0.015425469636881269,16552.643446637976,BUY,59.0,16539.469207763672,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,STLD,0.0,282.760009765625,0.0,0.0,0.015425469636881269,16552.643446637976,0.015425469636881269,16552.643446637976,BUY,58.0,16400.08056640625,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,KLAC,0.0,254.5399932861328,0.0,0.0,0.01338037275226037,14358.106726405966,0.01338037275226037,14358.106726405966,BUY,56.0,14254.239624023438,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,COHU,0.0,61.33000183105469,0.0,0.0,0.01105341265275902,11861.110411330626,0.01105341265275902,11861.110411330626,BUY,193.0,11836.690353393557,1,ready,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
2026-06-12,simulated_broker_replay,simulation_ready_preview_only,equity,ON,0.0,116.79000091552734,0.0,0.0,0.010975358866977543,11777.353059618496,0.010975358866977543,11777.353059618496,BUY,97.0,11328.630088806152,1,cash_scaled,,,0.0,,main,account_ledger_preview/*/positions_current.csv,account_ledger_preview/*/target_weights.csv,green,
