rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,cash_weight_start,cash_weight_end,stock_weight_start,stock_weight_end,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month
2019-05-31,2019-06-28,risk_off_alert,0.18,0.36,0.18,0.28,0.31903163878471563,0.28,0.31903163878471563,0.72,0.6809683612152843,initial_rebalance,"core_compounder,early_scout,future_winner",1,14,0.0,0.0,1.0513208014255442
2019-06-28,2019-07-31,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,1.0,1.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,0.0,1.0576784187276647
2019-07-31,2019-08-30,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,0.9999999999999999,1.0,rebalance,"core_compounder,early_scout,future_winner",1,14,0.0,0.0,1.070580817512427
2019-08-30,2019-09-30,balanced,0.25,0.35,0.4,0.0,0.13149737278098178,0.0,0.13149737278098178,1.0,0.8685026272190183,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,-0.015612512697271425,1.053866360905559
2019-09-30,2019-10-31,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,1.0000000000000002,1.0,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.015612512697271425,-7.84276800935335e-05,1.0704968543425568
2019-10-31,2019-11-29,growth_reentry_alert,0.25,0.35,0.4,0.0,0.0011880487939673987,0.0,0.0011880487939673987,1.0,0.9988119512060325,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,16,-7.84276800935335e-05,-0.000887128217687901,1.0696310750598963
2019-11-29,2019-12-31,balanced,0.25,0.35,0.4,0.0,0.03464767740768212,0.0,0.03464767740768212,1.0,0.9653523225923178,rebalance,"core_compounder,early_scout,future_winner",1,16,-0.000887128217687901,0.0,1.090754195349879
2019-12-31,2020-01-31,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,0.9999999999999999,1.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,0.0,1.1611508836041027
2020-01-31,2020-02-28,balanced,0.25,0.35,0.4,0.0,0.3740968665849054,0.0,0.3740968665849054,1.0,0.6259031334150947,rebalance,"core_compounder,early_scout,future_winner",1,14,0.0,-0.027872721933285192,1.1287864479028171
2020-02-28,2020-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.9140162827853414,0.28,0.9140162827853414,0.72,0.08598371721465864,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,-0.027872721933285192,-0.08300692808145906,1.0647673157170543
2020-03-31,2020-04-30,systemic_alert,0.2,0.3,0.1,0.4,0.36419862267584946,0.4,0.36419862267584946,0.6,0.6358013773241505,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.08300692808145906,0.0,1.1666993124348985
2020-04-30,2020-05-29,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,1.0,1.0,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,0.0,1.320156530519217
2020-05-29,2020-06-30,balanced,0.25,0.35,0.4,0.0,0.0001817343574857843,0.00019157914327133652,0.0001817343574857843,0.9998084208567287,0.9998182656425143,rebalance,"core_compounder,early_scout,future_winner",1,14,0.0,0.0,1.3904656769207768
2020-06-30,2020-07-31,balanced,0.25,0.35,0.4,0.0,0.07879732585650842,0.015035346987392607,0.07879732585650842,0.9849646530126075,0.9212026741434917,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,0.0,1.484050761726069
2020-07-31,2020-08-31,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,0.9999999999999998,1.0,rebalance,"core_compounder,early_scout,future_winner",1,14,0.0,0.0,1.7043995763650759
2020-08-31,2020-09-30,balanced,0.25,0.35,0.4,0.0,0.271767274140802,0.0,0.271767274140802,1.0,0.7282327258591981,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,-0.02345247529145054,1.6644271874136152
2020-09-30,2020-10-30,balanced,0.25,0.35,0.4,0.0,0.08692687120437707,0.0,0.08692687120437707,1.0,0.913073128795623,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.02345247529145054,-0.024112011570789006,1.6633030740585133
2020-10-30,2020-11-30,risk_off_alert,0.18,0.36,0.18,0.28,0.2647241261536268,0.2439687079493093,0.2647241261536268,0.7560312920506906,0.7352758738463732,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,-0.024112011570789006,0.0,1.78824087967615
2020-11-30,2020-12-31,growth_reentry_alert,0.25,0.35,0.4,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,rebalance,"core_compounder,early_scout,future_winner",1,14,0.0,0.0,1.8487067257655356
2020-12-31,2021-01-29,balanced,0.25,0.35,0.4,0.0,0.21031443340951284,0.0,0.21031443340951284,1.0,0.7896855665904873,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,0.0,1.853681925792164
2021-01-29,2021-02-26,risk_off_alert,0.18,0.36,0.18,0.28,0.36464219346849086,0.2799999999999999,0.36464219346849086,0.7200000000000001,0.6353578065315092,rebalance,"core_compounder,early_scout,future_winner",1,14,0.0,0.0,1.9507619587126044
2021-02-26,2021-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.5654843069138121,0.28,0.5654843069138121,0.72,0.4345156930861877,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,-0.01461341520737276,1.9222546642391893
2021-03-31,2021-04-30,growth_reentry_alert,0.25,0.35,0.4,0.0,0.03478349744331416,0.0,0.03478349744331416,1.0,0.9652165025566859,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.01461341520737276,0.0,2.0040424498618767
2021-04-30,2021-05-28,balanced,0.25,0.35,0.4,0.0,0.12792923364390602,0.0,0.12792923364390602,1.0,0.8720707663560939,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,17,0.0,0.0,2.0250568184517146
2021-05-28,2021-06-30,balanced,0.25,0.35,0.4,0.0,0.0,0.0,0.0,1.0,1.0,rebalance,"core_compounder,early_scout,future_winner",1,14,0.0,0.0,2.135588504628011
2021-06-30,2021-07-30,balanced,0.25,0.35,0.4,0.0,0.0417209963714447,0.0,0.0417209963714447,1.0,0.9582790036285553,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,0.0,2.298841171669001
2021-07-30,2021-08-31,balanced,0.25,0.35,0.4,0.0,0.0944225824958152,0.0,0.0944225824958152,1.0,0.9055774175041849,rebalance,"core_compounder,early_scout,future_winner",1,14,0.0,0.0,2.407910076833407
2021-08-31,2021-09-30,balanced,0.25,0.35,0.4,0.0,0.42458905273372816,0.0,0.42458905273372816,1.0000000000000002,0.5754109472662717,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,-0.05381244608465748,2.278334545647106
2021-09-30,2021-10-29,risk_off_alert,0.18,0.36,0.18,0.28,0.2592227526415199,0.28,0.2592227526415199,0.72,0.7407772473584803,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.05381244608465748,0.0,2.456767734088112
2021-10-29,2021-11-30,growth_reentry_alert,0.25,0.35,0.4,0.0,0.29831338386992634,0.0,0.29831338386992634,1.0,0.7016866161300737,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,0.0,2.46686894349889
2021-11-30,2021-12-31,balanced,0.25,0.35,0.4,0.0,0.18154179461220718,0.07000000000000006,0.18154179461220718,0.9299999999999999,0.8184582053877927,rebalance,"core_compounder,early_scout,future_winner",1,14,0.0,0.0,2.5023322472454392
2021-12-31,2022-01-31,balanced,0.25,0.35,0.4,0.0,0.42489822074418254,0.0,0.42489822074418254,1.0,0.5751017792558174,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,14,0.0,-0.06474376063642223,2.34032184719698
2022-01-31,2022-02-28,balanced,0.25,0.35,0.4,0.0,0.05151257255311005,0.0,0.05151257255311005,1.0,0.94848742744689,rebalance,"core_compounder,early_scout,future_winner",1,14,-0.06474376063642223,-0.07331184970545436,2.3188816416222697
