ticker,first_rebalance_date,last_rebalance_date,target_row_count,linked_mdd_position_pnl_usd,sector,industry_group,primary_lane,crisis_state,market_style_regime_label,regime_state,regime_capacity_regime,avg_weight,max_weight,min_weight,avg_target_weight,max_target_weight,min_target_weight,avg_selection_confirmation_score,max_selection_confirmation_score,min_selection_confirmation_score,avg_breakout_setup_quality_score,max_breakout_setup_quality_score,min_breakout_setup_quality_score,avg_rs_benchmark_1m,max_rs_benchmark_1m,min_rs_benchmark_1m,avg_ticker_ret_1m,max_ticker_ret_1m,min_ticker_ret_1m,avg_atr14_pct,max_atr14_pct,min_atr14_pct
BILL,2021-08-31,2021-09-30,2,-60995.773498535156,Information Technology,Software - Application,MARKET_LEADER,WATCH,quality_compounder,neutral,neutral,0.16899999999999998,0.3,0.038,0.16899999999999998,0.3,0.038,1.0,1.0,1.0,0.5659704220063799,0.5975186251649017,0.5344222188478581,0.1449540058482156,0.2907359228424252,-0.000827911145994,0.13653603094364442,0.3267092395867363,-0.0536371776994475,0.049132374225529504,0.0504339403853451,0.0478308080657139
DDOG,2021-08-31,2021-11-30,4,-31852.79931640625,Information Technology,Software - Application,MARKET_LEADER,WATCH,quality_compounder,neutral,neutral,0.14169690965580223,0.1924114166089027,0.0260394159246498,0.14169690965580223,0.1924114166089027,0.0260394159246498,1.0,1.0,1.0,0.6011749768926642,0.7203184522919762,0.4793670510929603,0.12522652068322876,0.2088325265312424,0.0613181933849005,0.1389793391398589,0.2448058432755535,0.0345458614654332,0.03935451504541057,0.0519514697547432,0.0344646133822897
NVDA,2021-11-30,2021-12-31,2,-30292.093364715576,Information Technology,Semiconductors,MARKET_LEADER,GREEN,quality_compounder,bull,bull,0.057999999999999996,0.076,0.04,0.057999999999999996,0.076,0.04,0.246716875,0.246716875,0.246716875,0.4771388030818004,0.5228537975560572,0.4314238086075436,0.07169561406195969,0.2720868302814048,-0.1286956021574854,0.08912176525320076,0.2780538211469496,-0.0998102906405481,0.05186010647613955,0.0532181590792618,0.0505020538730173
BLD,2023-03-31,2023-04-28,2,-23063.669662475586,Consumer Discretionary,Construction & Engineering,MARKET_LEADER,DEFENSE_REVIEW,balanced,neutral,neutral,0.138,0.2,0.076,0.138,0.2,0.076,1.0,1.0,1.0,0.49961573585677077,0.5301838526659225,0.469047619047619,0.019317271616036552,0.101987676023146,-0.0633531327910729,0.0777345707725072,0.1528196735481917,0.0026494679968227,0.029102195179529,0.0303178497576379,0.0278865406014201
TSLA,2021-10-29,2021-11-30,2,-18079.413665771484,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER,WATCH,quality_compounder,neutral,neutral,0.078,0.08,0.076,0.078,0.08,0.076,0.2451249999999999,0.2451249999999999,0.2451249999999999,0.4451661429603536,0.4927132383016597,0.3976190476190476,0.19078772540762964,0.3599302528070252,0.0216451980082341,0.2267113372254612,0.4258104855771434,0.027612188873779,0.04418124592763025,0.0528482502689689,0.0355142415862916
ORLY,2022-11-30,2022-12-30,2,-15135.35366821289,Consumer Discretionary,Auto Manufacturers & Parts,QUALITY_COMPOUNDER,DEFENSE_REVIEW,balanced,bear,bear,0.0570541777358919,0.097760379019247,0.0163479764525368,0.0570541777358919,0.097760379019247,0.0163479764525368,0.4408666666666666,0.4408666666666666,0.4408666666666666,0.6504098019968965,0.7241725475641598,0.5766470564296331,0.01917949070372695,0.0501589188756416,-0.0117999374681877,0.0050220764542169005,0.0337678019393514,-0.0237236490309176,0.01802279202970745,0.019120827713983,0.0169247563454319
STLD,2022-04-29,2022-05-31,2,-13262.111999511719,Materials,Metals & Mining,MARKET_LEADER,DEFENSE_REVIEW,balanced,bear,bear,0.016889521719442798,0.0223082222305444,0.0114708212083412,0.016889521719442798,0.0223082222305444,0.0114708212083412,1.0,1.0,1.0,0.5467914910591039,0.5954399353335947,0.498143046784613,0.0786194790560326,0.1547494856742796,0.0024894724377856,0.009355264947633252,0.023025587316876,-0.0043150574216095,0.08983653929290511,0.0962590553347719,0.0834140232510383
DXCM,2021-07-30,2021-10-29,3,-12595.675506591793,Health Care,Medical Devices,MARKET_LEADER,GREEN,balanced,bull,bull,0.13986297032225728,0.1593911656379155,0.1013078222375003,0.13986297032225728,0.1593911656379155,0.1013078222375003,0.7483749999999999,1.0,0.2451249999999999,0.5848046039783653,0.7006399662096473,0.5148910323272486,0.11951302029599446,0.1807725369573662,0.0764087119329806,0.1327069617943125,0.2072833952356556,0.0485485454441831,0.029514240238863867,0.0306381739758927,0.0281790016611609
MA,2022-01-31,2023-01-31,6,-12456.718749999996,Financials,Consumer Finance,QUALITY_COMPOUNDER,DEFENSE_REVIEW,breakout_growth,neutral,neutral,0.04824676155096075,0.1088204789747111,0.0029100903310535,0.04824676155096075,0.1088204789747111,0.0029100903310535,1.0,1.0,1.0,0.4180038849442083,0.5120944429704206,0.2435405517170374,0.027242314701369313,0.1468255789556261,-0.043579059930965,0.02162706110528542,0.0817374475309669,-0.056704139164282,0.03871486550855337,0.0486738575550561,0.0293762535424639
MLI,2023-02-28,2023-03-31,2,-11741.50080871582,Industrials,Other,MARKET_LEADER,DEFENSE_REVIEW,breakout_growth,bull,bull,0.07297800610576305,0.1067939371813661,0.03916207503016,0.07297800610576305,0.1067939371813661,0.03916207503016,1.0,1.0,1.0,0.5221305876234617,0.5348425055192718,0.5094186697276514,0.03715659943785914,0.1427281611129096,-0.0684149622371913,0.06207444622441065,0.1265612538981169,-0.0024123614492956,0.0571513486159606,0.0589957764206964,0.0553069208112248
XPO,2023-06-30,2023-07-31,2,-11219.850521087646,Industrials,Transportation & Logistics,MARKET_LEADER,GREEN,quality_compounder,bull,bull,0.16460274280320364,0.2,0.1292054856064073,0.16460274280320364,0.2,0.1292054856064073,1.0,1.0,1.0,0.6315215296790866,0.7550481542790399,0.5079949050791333,0.14834655340896605,0.1588010386572471,0.137892068160685,0.19515248223824205,0.216745678649882,0.1735592858266021,0.037869105085100496,0.0422031002877078,0.0335351098824932
NTLA,2021-07-30,2021-08-31,2,-10401.72119140625,Health Care,Biotechnology,MARKET_LEADER,GREEN,balanced,bull,bull,0.10533666802119884,0.185617119300863,0.0250562167415347,0.10533666802119884,0.185617119300863,0.0250562167415347,1.0,1.0,1.0,0.6770665111886678,0.7167426719128683,0.6373903504644671,-0.027345901399375455,0.0957150291987228,-0.1504068319974737,0.0038961861119248473,0.131688345943034,-0.1238959737191843,0.05945291546146986,0.0628682328514315,0.0560375980715082
MRNA,2021-07-30,2021-09-30,3,-10372.441162109375,Health Care,Biotechnology,MARKET_LEADER,WATCH,quality_compounder,neutral,neutral,0.15782296043057767,0.285,0.076,0.15782296043057767,0.285,0.076,1.0,1.0,1.0,0.46508691802472607,0.5607142857142857,0.3772259947010516,0.1995532638813993,0.4782981149651917,0.0293264455275567,0.202778233371115,0.5048089732434811,0.0382259645979961,0.06535144075349347,0.068333472963087,0.0602180207709213
WCC,2022-07-29,2022-10-31,3,-6250.764633178711,Industrials,Capital Goods - Machinery,QUALITY_COMPOUNDER,DEFENSE_REVIEW,turnaround_accumulation,bear,bear,0.04780027019701987,0.0633857612281842,0.0320984807154952,0.04780027019701987,0.0633857612281842,0.0320984807154952,1.0,1.0,1.0,0.46545812278051973,0.6275504841760151,0.3688464927983384,0.08733184390761488,0.0934090857121062,0.0760993613345316,0.12465227451850003,0.1898732748497638,0.0300374417040687,0.05197089457542334,0.0576048491214757,0.0476167510255436
LOPE,2022-10-31,2022-11-30,2,-3880.540023803711,Consumer Discretionary,Other,MARKET_LEADER,DEFENSE_REVIEW,turnaround_accumulation,neutral,neutral,0.0731061733582328,0.0825,0.0637123467164656,0.0731061733582328,0.0825,0.0637123467164656,0.6225624999999999,1.0,0.2451249999999999,0.5841816933714259,0.6750796050078066,0.4932837817350452,0.1221205953578555,0.162827990910049,0.081413199805662,0.17522297570640585,0.2234650121996104,0.1269809392132013,0.02791085373217215,0.0343053236313735,0.0215163838329708
