ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
AWI,BUY,391.0,84.33500671386719,32974.98762512207,82.43746906280518,-33057.42509418487,66942.57490581513,391.0,2019-06-03,2019-05-31,target_rebalance,0.33,next_close
HEI,BUY,271.0,121.5122299194336,32929.814308166504,82.32453577041626,-33012.13884393692,33930.43606187821,271.0,2019-06-03,2019-05-31,target_rebalance,0.33,next_close
SBAC,BUY,165.0,199.46424865722656,32911.60102844238,82.27900257110596,-32993.88003101349,936.5560308647182,165.0,2019-06-03,2019-05-31,target_rebalance,0.33,next_close
AWI,SELL,391.0,91.9670639038086,35959.12198638916,89.8978049659729,35869.22418142319,36805.78021228791,0.0,2019-07-01,2019-06-28,target_exit,,next_close
HEI,SELL,271.0,131.7604522705078,35707.08256530762,89.26770641326904,35617.81485889435,72423.59507118227,0.0,2019-07-01,2019-06-28,target_exit,,next_close
SBAC,SELL,165.0,206.40908813476562,34057.49954223633,85.14374885559083,33972.35579338074,106395.950864563,0.0,2019-07-01,2019-06-28,target_exit,,next_close
ACM,BUY,969.0,36.200035095214844,35077.83400726318,87.69458501815797,-35165.52859228134,71230.42227228166,969.0,2019-07-01,2019-06-28,target_rebalance,0.33,next_close
HD,BUY,196.0,178.43072509765625,34972.422119140625,87.43105529785156,-35059.853174438475,36170.56909784319,196.0,2019-07-01,2019-06-28,target_rebalance,0.33,next_close
LPX,BUY,1478.0,23.74659538269043,35097.467975616455,87.74366993904114,-35185.21164555549,985.3574522876952,1478.0,2019-07-01,2019-06-28,target_rebalance,0.33,next_close
ACM,SELL,969.0,33.459632873535156,32422.384254455566,81.05596063613892,32341.328293819428,33326.68574610712,0.0,2019-08-01,2019-07-31,target_exit,,next_close
LPX,SELL,1478.0,23.14348030090332,34206.06388473511,85.51515971183777,34120.54872502327,67447.23447113039,0.0,2019-08-01,2019-07-31,target_exit,,next_close
HD,SELL,8.0,180.5945281982422,1444.7562255859375,3.611890563964844,1441.1443350219727,68888.37880615237,188.0,2019-08-01,2019-07-31,target_rebalance,0.33,next_close
CTAS,BUY,562.0,60.32117462158203,33900.5001373291,84.75125034332275,-33985.251387672426,34903.12741847994,562.0,2019-08-01,2019-07-31,target_rebalance,0.33,next_close
TER,BUY,637.0,53.23884963989258,33913.14722061157,84.78286805152894,-33997.9300886631,905.1973298168377,637.0,2019-08-01,2019-07-31,target_rebalance,0.33,next_close
CTAS,SELL,562.0,60.530757904052734,34018.28594207764,85.04571485519409,33933.24022722244,34838.43755703928,0.0,2019-09-03,2019-08-30,target_exit,,next_close
TER,SELL,637.0,50.808963775634766,32365.309925079346,80.91327481269836,32284.396650266648,67122.83420730593,0.0,2019-09-03,2019-08-30,target_exit,,next_close
HD,SELL,9.0,190.13209533691406,1711.1888580322266,4.277972145080566,1706.910885887146,68829.74509319308,179.0,2019-09-03,2019-08-30,target_rebalance,0.33,next_close
BKNG,BUY,445.0,76.246826171875,33929.837646484375,84.82459411621095,-34014.662240600584,34815.082852592495,445.0,2019-09-03,2019-08-30,target_rebalance,0.33,next_close
RMD,BUY,261.0,129.8518524169922,33891.33348083496,84.7283337020874,-33976.061814537046,839.021038055449,261.0,2019-09-03,2019-08-30,target_rebalance,0.33,next_close
BKNG,SELL,445.0,77.67022705078125,34563.251037597656,86.40812759399414,34476.84291000366,35315.86394805911,0.0,2019-10-01,2019-09-30,target_exit,,next_close
HD,SELL,179.0,197.27772521972656,35312.712814331055,88.28178203582763,35224.43103229523,70540.29498035435,0.0,2019-10-01,2019-09-30,target_exit,,next_close
RMD,SELL,261.0,125.91206359863281,32863.048599243164,82.15762149810791,32780.89097774505,103321.1859580994,0.0,2019-10-01,2019-09-30,target_exit,,next_close
LHX,BUY,190.0,179.4381561279297,34093.24966430664,85.23312416076661,-34178.48278846741,69142.703169632,190.0,2019-10-01,2019-09-30,target_rebalance,0.33,next_close
MLM,BUY,132.0,256.3644714355469,33840.11022949219,84.60027557373047,-33924.710505065916,35217.99266456609,132.0,2019-10-01,2019-09-30,target_rebalance,0.33,next_close
SHW,BUY,198.0,171.4847412109375,33953.978759765625,84.88494689941406,-34038.86370666504,1179.1289579010481,198.0,2019-10-01,2019-09-30,target_rebalance,0.33,next_close
LHX,SELL,190.0,177.42965698242188,33711.634826660156,84.27908706665039,33627.355739593506,34806.484697494554,0.0,2019-11-01,2019-10-31,target_exit,,next_close
MLM,SELL,132.0,251.87867736816406,33247.985412597656,83.11996353149414,33164.865449066165,67971.35014656073,0.0,2019-11-01,2019-10-31,target_exit,,next_close
SHW,SELL,198.0,182.43104553222656,36121.34701538086,90.30336753845215,36031.04364784241,104002.39379440313,0.0,2019-11-01,2019-10-31,target_exit,,next_close
AAPL,BUY,558.0,61.425201416015625,34275.26239013672,85.6881559753418,-34360.95054611206,69641.44324829108,558.0,2019-11-01,2019-10-31,target_rebalance,0.33,next_close
BKNG,BUY,430.0,79.79021453857422,34309.792251586914,85.77448062896728,-34395.566732215884,35245.876516075194,430.0,2019-11-01,2019-10-31,target_rebalance,0.33,next_close
ORLY,BUY,1178.0,29.134000778198242,34319.85291671753,85.79963229179383,-34405.652549009326,840.2239670658673,1178.0,2019-11-01,2019-10-31,target_rebalance,0.33,next_close
BKNG,SELL,430.0,73.99527740478516,31817.969284057617,79.54492321014405,31738.42436084747,32578.64832791334,0.0,2019-12-02,2019-11-29,target_exit,,next_close
ORLY,SELL,1178.0,29.757333755493164,35054.13916397095,87.63534790992738,34966.50381606102,67545.15214397435,0.0,2019-12-02,2019-11-29,target_exit,,next_close
AAPL,SELL,23.0,63.6181640625,1463.2177734375,3.65804443359375,1459.5597290039063,69004.71187297825,535.0,2019-12-02,2019-11-29,target_rebalance,0.33,next_close
BABA,BUY,182.0,186.4346160888672,33931.10012817383,84.82775032043457,-34015.927878494265,34988.78399448399,182.0,2019-12-02,2019-11-29,target_rebalance,0.33,next_close
QRVO,BUY,330.0,102.97000122070312,33980.10040283203,84.95025100708008,-34065.05065383911,923.7333406448743,330.0,2019-12-02,2019-11-29,target_rebalance,0.33,next_close
AAPL,SELL,535.0,72.3338851928711,38698.628578186035,96.7465714454651,38601.88200674057,39525.61534738544,0.0,2020-01-02,2019-12-31,target_exit,,next_close
QRVO,SELL,330.0,115.95999908447266,38266.79969787598,95.66699924468995,38171.132698631285,77696.74804601673,0.0,2020-01-02,2019-12-31,target_exit,,next_close
RMD,BUY,258.0,147.53623962402344,38064.34982299805,95.16087455749512,-38159.51069755554,39537.23734846119,258.0,2020-01-02,2019-12-31,target_rebalance,0.33,next_close
TSLA,BUY,1330.0,28.68400001525879,38149.72002029419,95.37430005073547,-38245.09432034493,1292.1430281162611,1330.0,2020-01-02,2019-12-31,target_rebalance,0.33,next_close
RMD,SELL,258.0,154.18016052246094,39778.48141479492,99.44620353698731,39679.035211257935,40971.178239374196,0.0,2020-02-03,2020-01-31,target_exit,,next_close
TSLA,SELL,1330.0,52.0,69160.0,172.9,68987.1,109958.2782393742,0.0,2020-02-03,2020-01-31,target_exit,,next_close
BABA,BUY,57.0,202.38002014160156,11535.661148071289,28.839152870178225,-11564.500300941467,98393.77793843273,239.0,2020-02-03,2020-01-31,target_rebalance,0.33,next_close
FICO,BUY,116.0,415.8299865722656,48236.27844238281,120.59069610595704,-48356.86913848877,50036.90879994396,116.0,2020-02-03,2020-01-31,target_rebalance,0.33,next_close
GOOG,BUY,657.0,73.69198608398438,48415.634857177734,121.03908714294434,-48536.673944320675,1500.2348556232828,657.0,2020-02-03,2020-01-31,target_rebalance,0.33,next_close
FICO,SELL,116.0,387.05999755859375,44898.959716796875,112.2473992919922,44786.712317504884,46286.94717312817,0.0,2020-03-02,2020-02-28,target_exit,,next_close
GOOG,SELL,657.0,68.88992309570312,45260.67947387695,113.15169868469239,45147.52777519226,91434.47494832042,0.0,2020-03-02,2020-02-28,target_exit,,next_close
BABA,SELL,9.0,200.3666534423828,1803.2998809814453,4.508249702453614,1798.7916312789916,93233.26657959941,230.0,2020-03-02,2020-02-28,target_rebalance,0.33,next_close
JD,BUY,1211.0,37.938114166259766,45943.056255340576,114.85764063835144,-46057.91389597893,47175.352683620484,1211.0,2020-03-02,2020-02-28,target_rebalance,0.33,next_close
NOW,BUY,667.0,68.87999725341797,45942.958168029785,114.85739542007447,-46057.81556344986,1117.537120170622,667.0,2020-03-02,2020-02-28,target_rebalance,0.33,next_close
BABA,SELL,230.0,178.1248016357422,40968.7043762207,102.42176094055176,40866.28261528015,41983.81973545077,0.0,2020-04-01,2020-03-31,target_exit,,next_close
NOW,SELL,667.0,54.61399841308594,36427.53694152832,91.0688423538208,36336.4680991745,78320.28783462527,0.0,2020-04-01,2020-03-31,target_exit,,next_close
JD,SELL,90.0,35.84406661987305,3225.965995788574,8.064914989471436,3217.9010807991026,81538.18891542437,1121.0,2020-04-01,2020-03-31,target_rebalance,0.33,next_close
QGEN,BUY,1002.0,40.05087661743164,40130.978370666504,100.32744592666626,-40231.30581659317,41306.8830988312,1002.0,2020-04-01,2020-03-31,target_rebalance,0.33,next_close
VRTX,BUY,178.0,225.47999572753906,40135.43923950195,100.33859809875489,-40235.777837600705,1071.105261230492,178.0,2020-04-01,2020-03-31,target_rebalance,0.33,next_close
JD,SELL,1121.0,36.25586700439453,40642.82691192627,101.60706727981568,40541.21984464645,41612.325105876946,0.0,2020-05-01,2020-04-30,target_exit,,next_close
VRTX,SELL,178.0,254.89999389648438,45372.19891357422,113.43049728393555,45258.76841629028,86871.09352216723,0.0,2020-05-01,2020-04-30,target_exit,,next_close
QGEN,BUY,19.0,41.49478530883789,788.4009208679199,1.9710023021697998,-790.3719231700898,86080.72159899713,1021.0,2020-05-01,2020-04-30,target_rebalance,0.33,next_close
CDNS,BUY,558.0,75.83999633789062,42318.71795654297,105.79679489135742,-42424.514751434326,43656.206847562804,558.0,2020-05-01,2020-04-30,target_rebalance,0.33,next_close
GILD,BUY,666.0,63.63871765136719,42383.38595581055,105.95846488952637,-42489.34442070007,1166.8624268627318,666.0,2020-05-01,2020-04-30,target_rebalance,0.33,next_close
GILD,SELL,666.0,59.82598876953125,39844.10852050781,99.61027130126953,39744.49824920655,40911.36067606928,0.0,2020-06-01,2020-05-29,target_exit,,next_close
QGEN,SELL,1021.0,43.48637008666992,44399.58385848999,110.99895964622498,44288.584898843765,85199.94557491304,0.0,2020-06-01,2020-05-29,target_exit,,next_close
CDNS,SELL,67.0,91.68000030517578,6142.560020446777,15.356400051116944,6127.20362039566,91327.14919530871,491.0,2020-06-01,2020-05-29,target_rebalance,0.33,next_close
ABT,BUY,539.0,83.4193115234375,44963.00891113281,112.40752227783203,-45075.416433410646,46251.73276189806,539.0,2020-06-01,2020-05-29,target_rebalance,0.33,next_close
RGEN,BUY,346.0,129.9600067138672,44966.16232299805,112.41540580749512,-45078.57772880554,1173.1550330925238,346.0,2020-06-01,2020-05-29,target_rebalance,0.33,next_close
ABT,SELL,539.0,82.19059753417969,44300.73207092285,110.75183017730713,44189.98024074554,45363.13527383807,0.0,2020-07-01,2020-06-30,target_exit,,next_close
RGEN,SELL,346.0,124.19000244140625,42969.74084472656,107.4243521118164,42862.316492614744,88225.45176645281,0.0,2020-07-01,2020-06-30,target_exit,,next_close
CDNS,SELL,29.0,97.06999969482422,2815.0299911499023,7.037574977874756,2807.992416172028,91033.44418262484,462.0,2020-07-01,2020-06-30,target_rebalance,0.33,next_close
IONS,BUY,744.0,60.20000076293945,44788.80056762695,111.97200141906738,-44900.77256904602,46132.671613578816,744.0,2020-07-01,2020-06-30,target_rebalance,0.33,next_close
MELI,BUY,45.0,977.1400146484375,43971.30065917969,109.92825164794922,-44081.22891082764,2051.4427027511774,45.0,2020-07-01,2020-06-30,target_rebalance,0.33,next_close
CDNS,SELL,462.0,111.7699966430664,51637.73844909668,129.0943461227417,51508.644102973936,53560.086805725114,0.0,2020-08-03,2020-07-31,target_exit,,next_close
IONS,SELL,744.0,59.189998626708984,44037.358978271484,110.09339744567872,43927.265580825806,97487.35238655092,0.0,2020-08-03,2020-07-31,target_exit,,next_close
MELI,SELL,2.0,1172.6199951171875,2345.239990234375,5.863099975585937,2339.376890258789,99826.72927680971,43.0,2020-08-03,2020-07-31,target_rebalance,0.33,next_close
CTAS,BUY,705.0,70.24462890625,49522.46337890625,123.80615844726563,-49646.26953735352,50180.45973945619,705.0,2020-08-03,2020-07-31,target_rebalance,0.33,next_close
MEDP,BUY,394.0,125.62000274658203,49494.28108215332,123.7357027053833,-49618.0167848587,562.4429545974926,394.0,2020-08-03,2020-07-31,target_rebalance,0.33,next_close
MELI,SELL,43.0,1209.260009765625,51998.180419921875,129.9954510498047,51868.18496887207,52430.62792346956,0.0,2020-09-01,2020-08-31,target_exit,,next_close
CTAS,SELL,40.0,78.84358215332031,3153.7432861328125,7.884358215332031,3145.8589279174803,55576.48685138704,665.0,2020-09-01,2020-08-31,target_rebalance,0.33,next_close
MEDP,BUY,12.0,128.97999572753906,1547.7599487304688,3.869399871826172,-1551.6293486022948,54024.85750278475,406.0,2020-09-01,2020-08-31,target_rebalance,0.33,next_close
CRM,BUY,189.0,277.18048095703125,52387.110900878906,130.96777725219727,-52518.0786781311,1506.7788246536438,189.0,2020-09-01,2020-08-31,target_rebalance,0.33,next_close
CRM,SELL,189.0,249.78277587890625,47208.94464111328,118.0223616027832,47090.9222795105,48597.701104164145,0.0,2020-10-01,2020-09-30,target_exit,,next_close
MEDP,SELL,406.0,114.16000366210938,46348.961486816406,115.87240371704102,46233.08908309937,94830.79018726351,0.0,2020-10-01,2020-09-30,target_exit,,next_close
CTAS,SELL,56.0,80.40019989013672,4502.411193847656,11.256027984619141,4491.155165863037,99321.94535312655,609.0,2020-10-01,2020-09-30,target_rebalance,0.33,next_close
HD,BUY,201.0,242.82920837402344,48808.67088317871,122.02167720794678,-48930.692560386655,50391.25279273989,201.0,2020-10-01,2020-09-30,target_rebalance,0.33,next_close
