ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
AWI,BUY,296.0,84.33500671386719,24963.161987304688,62.40790496826172,-25025.56989227295,74974.43010772705,296.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close
FDS,BUY,96.0,258.8158874511719,24846.3251953125,62.11581298828125,-24908.441008300782,50065.98909942627,96.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close
HEI,BUY,205.0,121.5122299194336,24910.007133483887,62.27501783370972,-24972.282151317595,25093.706948108673,205.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close
SBAC,BUY,125.0,199.46424865722656,24933.03108215332,62.3325777053833,-24995.363659858704,98.34328824996919,125.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close
AWI,SELL,296.0,91.9670639038086,27222.250915527344,68.05562728881836,27154.195288238527,27252.538576488496,0.0,2019-07-01,2019-06-28,target_exit,,next_close
FDS,SELL,96.0,268.02288818359375,25730.197265625,64.32549316406251,25665.871772460938,52918.41034894943,0.0,2019-07-01,2019-06-28,target_exit,,next_close
SBAC,SELL,125.0,206.40908813476562,25801.136016845703,64.50284004211426,25736.63317680359,78655.04352575302,0.0,2019-07-01,2019-06-28,target_exit,,next_close
HEI,SELL,4.0,131.7604522705078,527.0418090820312,1.317604522705078,525.7242045593262,79180.76773031235,201.0,2019-07-01,2019-06-28,target_rebalance,0.25,next_close
ACM,BUY,729.0,36.200035095214844,26389.82558441162,65.97456396102905,-26455.80014837265,52724.967581939694,729.0,2019-07-01,2019-06-28,target_rebalance,0.25,next_close
HD,BUY,148.0,178.43072509765625,26407.747314453125,66.01936828613282,-26473.766682739257,26251.200899200438,148.0,2019-07-01,2019-06-28,target_rebalance,0.25,next_close
KBR,BUY,1132.0,23.126953125,26179.7109375,65.44927734375,-26245.16021484375,6.040684356688871,1132.0,2019-07-01,2019-06-28,target_rebalance,0.25,next_close
ACM,SELL,729.0,33.459632873535156,24392.07236480713,60.98018091201782,24331.09218389511,24337.1328682518,0.0,2019-08-01,2019-07-31,target_exit,,next_close
HEI,SELL,201.0,136.9812774658203,27533.236770629883,68.83309192657471,27464.403678703307,51801.5365469551,0.0,2019-08-01,2019-07-31,target_exit,,next_close
KBR,SELL,1132.0,23.145395278930664,26200.58745574951,65.50146863937378,26135.08598711014,77936.62253406525,0.0,2019-08-01,2019-07-31,target_exit,,next_close
HD,SELL,3.0,180.5945281982422,541.7835845947266,1.3544589614868163,540.4291256332398,78477.05165969848,145.0,2019-08-01,2019-07-31,target_rebalance,0.25,next_close
SHW,BUY,162.0,161.08758544921875,26096.188842773438,65.2404721069336,-26161.42931488037,52315.62234481811,162.0,2019-08-01,2019-07-31,target_rebalance,0.2499999999999999,next_close
TER,BUY,491.0,53.23884963989258,26140.275173187256,65.35068793296814,-26205.625861120225,26109.996483697887,491.0,2019-08-01,2019-07-31,target_rebalance,0.2499999999999999,next_close
CTAS,BUY,431.0,60.32117462158203,25998.426261901855,64.99606565475464,-26063.42232755661,46.574156141276035,431.0,2019-08-01,2019-07-31,target_rebalance,0.25,next_close
CTAS,SELL,431.0,60.530757904052734,26088.75665664673,65.22189164161682,26023.53476500511,26070.108921146388,0.0,2019-09-03,2019-08-30,target_exit,,next_close
SHW,SELL,162.0,165.9202880859375,26879.086669921875,67.1977166748047,26811.88895324707,52881.99787439346,0.0,2019-09-03,2019-08-30,target_exit,,next_close
TER,SELL,491.0,50.808963775634766,24947.20121383667,62.36800303459167,24884.833210802077,77766.83108519553,0.0,2019-09-03,2019-08-30,target_exit,,next_close
HD,SELL,6.0,190.13209533691406,1140.7925720214844,2.851981430053711,1137.9405905914307,78904.77167578696,139.0,2019-09-03,2019-08-30,target_rebalance,0.25,next_close
JD,BUY,1020.0,25.803173065185547,26319.236526489258,65.79809131622315,-26385.034617805482,52519.73705798148,1020.0,2019-09-03,2019-08-30,target_rebalance,0.25,next_close
MLM,BUY,105.0,249.66934204101562,26215.28091430664,65.5382022857666,-26280.819116592407,26238.917941389074,105.0,2019-09-03,2019-08-30,target_rebalance,0.25,next_close
RMD,BUY,201.0,129.8518524169922,26100.22233581543,65.25055583953858,-26165.47289165497,73.44504973410585,201.0,2019-09-03,2019-08-30,target_rebalance,0.25,next_close
JD,SELL,1020.0,24.699201583862305,25193.18561553955,62.98296403884888,25130.202651500702,25203.647701234808,0.0,2019-10-01,2019-09-30,target_exit,,next_close
RMD,SELL,201.0,125.91206359863281,25308.324783325195,63.27081195831299,25245.053971366884,50448.70167260169,0.0,2019-10-01,2019-09-30,target_exit,,next_close
MLM,SELL,2.0,256.3644714355469,512.7289428710938,1.2818223571777343,511.447120513916,50960.1487931156,103.0,2019-10-01,2019-09-30,target_rebalance,0.25,next_close
HD,SELL,6.0,197.27772521972656,1183.6663513183594,2.9591658782958983,1180.7071854400635,52140.855978555664,133.0,2019-10-01,2019-09-30,target_rebalance,0.25,next_close
SHW,BUY,152.0,171.4847412109375,26065.6806640625,65.16420166015625,-26130.844865722655,26010.01111283301,152.0,2019-10-01,2019-09-30,target_rebalance,0.25,next_close
SYY,BUY,391.0,66.28858184814453,25918.83550262451,64.79708875656128,-25983.632591381072,26.37852145193756,391.0,2019-10-01,2019-09-30,target_rebalance,0.25,next_close
HD,SELL,133.0,202.62203979492188,26948.73129272461,67.37182823181152,26881.359464492798,26907.737985944736,0.0,2019-11-01,2019-10-31,target_exit,,next_close
