ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
FDS,BUY,96.0,258.8158874511719,24846.3251953125,62.11581298828125,-24908.441008300782,75091.55899169922,96.0,2019-06-03,2019-05-31,target_rebalance,0.2499999999999999,next_close
AWI,BUY,296.0,84.33500671386719,24963.161987304688,62.40790496826172,-25025.56989227295,50065.98909942627,296.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close
HEI,BUY,205.0,121.5122299194336,24910.007133483887,62.27501783370972,-24972.282151317595,25093.706948108673,205.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close
SBAC,BUY,125.0,199.46424865722656,24933.03108215332,62.3325777053833,-24995.363659858704,98.34328824996919,125.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close
AWI,SELL,296.0,91.9670639038086,27222.250915527344,68.05562728881836,27154.195288238527,27252.538576488496,0.0,2019-07-01,2019-06-28,target_exit,,next_close
FDS,SELL,96.0,268.02288818359375,25730.197265625,64.32549316406251,25665.871772460938,52918.41034894943,0.0,2019-07-01,2019-06-28,target_exit,,next_close
HEI,SELL,205.0,131.7604522705078,27010.8927154541,67.52723178863525,26943.365483665468,79861.77583261489,0.0,2019-07-01,2019-06-28,target_exit,,next_close
SBAC,SELL,125.0,206.40908813476562,25801.136016845703,64.50284004211426,25736.63317680359,105598.40900941848,0.0,2019-07-01,2019-06-28,target_exit,,next_close
ACM,BUY,729.0,36.200035095214844,26389.82558441162,65.97456396102905,-26455.80014837265,79142.60886104582,729.0,2019-07-01,2019-06-28,target_rebalance,0.25,next_close
HD,BUY,147.0,178.43072509765625,26229.31658935547,65.57329147338868,-26294.889880828858,52847.71898021697,147.0,2019-07-01,2019-06-28,target_rebalance,0.25,next_close
LPX,BUY,1111.0,23.74659538269043,26382.467470169067,65.95616867542267,-26448.42363884449,26399.295341372475,1111.0,2019-07-01,2019-06-28,target_rebalance,0.25,next_close
URI,BUY,203.0,129.51019287109375,26290.56915283203,65.72642288208007,-26356.29557571411,42.999765658365504,203.0,2019-07-01,2019-06-28,target_rebalance,0.25,next_close
ACM,SELL,729.0,33.459632873535156,24392.07236480713,60.98018091201782,24331.09218389511,24374.091949553476,0.0,2019-08-01,2019-07-31,target_exit,,next_close
LPX,SELL,1111.0,23.14348030090332,25712.40661430359,64.28101653575898,25648.12559776783,50022.21754732131,0.0,2019-08-01,2019-07-31,target_exit,,next_close
URI,SELL,203.0,116.5688247680664,23663.47142791748,59.1586785697937,23604.312749347686,73626.53029666899,0.0,2019-08-01,2019-07-31,target_exit,,next_close
HD,SELL,8.0,180.5945281982422,1444.7562255859375,3.611890563964844,1441.1443350219727,75067.67463169097,139.0,2019-08-01,2019-07-31,target_rebalance,0.25,next_close
