ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
HEI,BUY,329.0,121.5122299194336,39977.52364349365,99.94380910873413,-40077.46745260239,59922.53254739761,329.0,2019-06-03,2019-05-31,target_rebalance,0.4,next_close
SBAC,BUY,200.0,199.46424865722656,39892.84973144531,99.73212432861328,-39992.581855773926,19929.950691623686,200.0,2019-06-03,2019-05-31,target_rebalance,0.4,next_close
HEI,SELL,329.0,131.7604522705078,43349.18879699707,108.37297199249268,43240.815825004574,63170.76651662826,0.0,2019-07-01,2019-06-28,target_exit,,next_close
SBAC,SELL,200.0,206.40908813476562,41281.817626953125,103.20454406738281,41178.61308288574,104349.37959951401,0.0,2019-07-01,2019-06-28,target_exit,,next_close
ACM,BUY,648.0,36.200035095214844,23457.62274169922,58.64405685424805,-23516.266798553468,80833.11280096055,648.0,2019-07-01,2019-06-28,target_rebalance,0.225,next_close
HD,BUY,131.0,178.43072509765625,23374.42498779297,58.43606246948242,-23432.86105026245,57400.251750698095,131.0,2019-07-01,2019-06-28,target_rebalance,0.225,next_close
LPX,BUY,988.0,23.74659538269043,23461.636238098145,58.654090595245364,-23520.29032869339,33879.96142200471,988.0,2019-07-01,2019-06-28,target_rebalance,0.225,next_close
ACM,SELL,648.0,33.459632873535156,21681.84210205078,54.20460525512696,21627.637496795654,55507.59891880036,0.0,2019-08-01,2019-07-31,target_exit,,next_close
LPX,SELL,988.0,23.14348030090332,22865.75853729248,57.1643963432312,22808.594140949248,78316.19305974961,0.0,2019-08-01,2019-07-31,target_exit,,next_close
HD,SELL,3.0,180.5945281982422,541.7835845947266,1.3544589614868163,540.4291256332398,78856.62218538285,128.0,2019-08-01,2019-07-31,target_rebalance,0.225,next_close
CTAS,BUY,380.0,60.32117462158203,22922.046356201172,57.30511589050293,-22979.351472091676,55877.270713291175,380.0,2019-08-01,2019-07-31,target_rebalance,0.225,next_close
TER,BUY,430.0,53.23884963989258,22892.70534515381,57.23176336288452,-22949.937108516693,32927.33360477448,430.0,2019-08-01,2019-07-31,target_rebalance,0.225,next_close
CTAS,SELL,380.0,60.530757904052734,23001.68800354004,57.5042200088501,22944.18378353119,55871.51738830567,0.0,2019-09-03,2019-08-30,target_exit,,next_close
TER,SELL,430.0,50.808963775634766,21847.85442352295,54.61963605880737,21793.234787464142,77664.75217576981,0.0,2019-09-03,2019-08-30,target_exit,,next_close
HD,SELL,7.0,190.13209533691406,1330.9246673583984,3.3273116683959962,1327.5973556900024,78992.34953145981,121.0,2019-09-03,2019-08-30,target_rebalance,0.225,next_close
BKNG,BUY,301.0,76.246826171875,22950.294677734375,57.37573669433594,-23007.67041442871,55984.679117031104,301.0,2019-09-03,2019-08-30,target_rebalance,0.225,next_close
RMD,BUY,176.0,129.8518524169922,22853.926025390625,57.134815063476566,-22911.0608404541,33073.618276577006,176.0,2019-09-03,2019-08-30,target_rebalance,0.225,next_close
BKNG,SELL,301.0,77.67022705078125,23378.738342285156,58.446845855712894,23320.291496429443,56393.90977300645,0.0,2019-10-01,2019-09-30,target_exit,,next_close
HD,SELL,121.0,197.27772521972656,23870.604751586914,59.67651187896729,23810.928239707948,80204.8380127144,0.0,2019-10-01,2019-09-30,target_exit,,next_close
RMD,SELL,176.0,125.91206359863281,22160.523193359375,55.40130798339844,22105.12188537598,102309.95989809038,0.0,2019-10-01,2019-09-30,target_exit,,next_close
LHX,BUY,128.0,179.4381561279297,22968.083984375,57.4202099609375,-23025.50419433594,79284.45570375444,128.0,2019-10-01,2019-09-30,target_rebalance,0.225,next_close
MLM,BUY,89.0,256.3644714355469,22816.437957763672,57.041094894409184,-22873.47905265808,56410.97665109637,89.0,2019-10-01,2019-09-30,target_rebalance,0.225,next_close
SHW,BUY,134.0,171.4847412109375,22978.955322265625,57.44738830566406,-23036.40271057129,33374.57394052508,134.0,2019-10-01,2019-09-30,target_rebalance,0.225,next_close
LHX,SELL,128.0,177.42965698242188,22710.99609375,56.777490234375,22654.218603515626,56028.792544040705,0.0,2019-11-01,2019-10-31,target_exit,,next_close
MLM,SELL,89.0,251.87867736816406,22417.2022857666,56.0430057144165,22361.159280052187,78389.95182409289,0.0,2019-11-01,2019-10-31,target_exit,,next_close
SHW,SELL,134.0,182.43104553222656,24445.76010131836,61.1144002532959,24384.645701065063,102774.59752515795,0.0,2019-11-01,2019-10-31,target_exit,,next_close
AAPL,BUY,376.0,61.425201416015625,23095.875732421875,57.73968933105469,-23153.61542175293,79620.98210340503,376.0,2019-11-01,2019-10-31,target_rebalance,0.225,next_close
BKNG,BUY,289.0,79.79021453857422,23059.37200164795,57.648430004119874,-23117.02043165207,56503.96167175296,289.0,2019-11-01,2019-10-31,target_rebalance,0.225,next_close
ORLY,BUY,793.0,29.134000778198242,23103.262617111206,57.75815654277802,-23161.020773653985,33342.94089809897,793.0,2019-11-01,2019-10-31,target_rebalance,0.225,next_close
BKNG,SELL,289.0,73.99527740478516,21384.63516998291,53.46158792495728,21331.173582057952,54674.11448015692,0.0,2019-12-02,2019-11-29,target_exit,,next_close
ORLY,SELL,793.0,29.757333755493164,23597.56566810608,58.9939141702652,23538.571753935816,78212.68623409273,0.0,2019-12-02,2019-11-29,target_exit,,next_close
AAPL,BUY,426.0,63.6181640625,27101.337890625,67.7533447265625,-27169.091235351563,51043.59499874117,802.0,2019-12-02,2019-11-29,target_rebalance,0.5,next_close
BABA,BUY,273.0,186.4346160888672,50896.65019226074,127.24162548065186,-51023.891817741394,19.70318099977885,273.0,2019-12-02,2019-11-29,target_rebalance,0.5,next_close
AAPL,SELL,802.0,72.3338851928711,58011.77592468262,145.02943981170654,57866.74648487091,57886.44966587069,0.0,2020-01-02,2019-12-31,target_exit,,next_close
BABA,SELL,149.0,208.7144775390625,31098.457153320312,77.74614288330078,31020.71101043701,88907.1606763077,124.0,2020-01-02,2019-12-31,target_rebalance,0.225,next_close
RMD,BUY,175.0,147.53623962402344,25818.8419342041,64.54710483551025,-25883.38903903961,63023.77163726809,175.0,2020-01-02,2019-12-31,target_rebalance,0.225,next_close
TSLA,BUY,901.0,28.68400001525879,25844.28401374817,64.61071003437043,-25908.894723782538,37114.876913485554,901.0,2020-01-02,2019-12-31,target_rebalance,0.225,next_close
RMD,SELL,175.0,154.18016052246094,26981.528091430664,67.45382022857666,26914.074271202087,64028.95118468764,0.0,2020-02-03,2020-01-31,target_exit,,next_close
TSLA,SELL,901.0,52.0,46852.0,117.13,46734.87,110763.82118468764,0.0,2020-02-03,2020-01-31,target_exit,,next_close
