date,signal_date,ticker,target_weight,actual_weight,shares,price
2019-05-01,2019-04-30,HD,0.1734276315885267,0.17296727254943692,103.0,167.51451110839844
2019-05-01,2019-04-30,NOW,0.0550581295135158,0.054756080056759145,101.0,54.08000183105469
2019-05-01,2019-04-30,DHR,0.054746467225597,0.054369305567783265,48.0,112.98954772949219
2019-05-01,2019-04-30,AVGO,0.0537579146492252,0.05386746079522903,202.0,26.601177215576172
2019-05-01,2019-04-30,AMT,0.0523540096304026,0.051250440555173846,32.0,159.76194763183594
2019-05-01,2019-04-30,AMD,0.0520418638656752,0.052140214517300984,194.0,26.809999465942383
2019-05-01,2019-04-30,CSX,0.051553968760963,0.05150683487235762,214.0,24.009151458740234
2019-05-01,2019-04-30,MELI,0.0513178457449735,0.04859305317538024,10.0,484.7300109863281
2019-05-01,2019-04-30,W,0.051220381241147,0.050819853142323276,31.0,163.52999877929688
2019-05-01,2019-04-30,CDNS,0.0511433871304277,0.050845216860832036,74.0,68.54000091552734
2019-05-01,2019-04-30,CPRT,0.0441723000811932,0.04417080306633193,267.0,16.502500534057617
2019-05-01,2019-04-30,FDS,0.0441723000811932,0.04321967018066215,17.0,253.60525512695312
2019-05-01,2019-04-30,GPK,0.0441723000811932,0.044190492604462846,367.0,12.011258125305176
2019-05-01,2019-04-30,KEYS,0.0441723000811932,0.043897050629726375,51.0,85.86000061035156
2019-05-01,2019-04-30,MKTX,0.0441723000811932,0.042228326658390006,16.0,263.2749938964844
2019-05-01,2019-04-30,PAYC,0.0441723000811932,0.04343043564045409,22.0,196.92335510253906
2019-05-01,2019-04-30,SHOP,0.0441723000811932,0.04423809423312056,180.0,24.516000747680664
2019-05-01,2019-04-30,VICI,0.0441723000811932,0.04418110101092603,281.0,15.683967590332031
2019-06-03,2019-05-31,NOW,0.0850469808934213,0.08488920662267219,166.0,49.67599868774414
2019-06-03,2019-05-31,V,0.0545421418915596,0.05437618709999682,35.0,150.9186553955078
2019-06-03,2019-05-31,HD,0.0509534328088616,0.052620310313323426,32.0,159.73704528808594
2019-06-03,2019-05-31,MA,0.0500967370968013,0.0479541176225405,20.0,232.9153594970703
2019-06-03,2019-05-31,DHR,0.0498424198165834,0.050152351679928577,43.0,113.29873657226562
2019-06-03,2019-05-31,AMT,0.0498073591675855,0.049960058518961466,28.0,173.32736206054688
2019-06-03,2019-05-31,UNH,0.0436792852674973,0.04326087029047684,20.0,210.1200408935547
2019-06-03,2019-05-31,SHOP,0.0427704106094488,0.042829529748356784,157.0,26.5
2019-06-03,2019-05-31,FDS,0.0404384784646807,0.042629348399230195,16.0,258.8158874511719
2019-06-03,2019-05-31,PYPL,0.0343433879070554,0.033494885179523336,31.0,104.9588394165039
2019-06-03,2019-05-31,MELI,0.0314396134243202,0.03513061286598314,6.0,568.77001953125
2019-06-03,2019-05-31,ADBE,0.0310552116737287,0.029331922466718396,11.0,259.0299987792969
2019-06-03,2019-05-31,PAYC,0.0299950947389864,0.03177175832231803,16.0,192.8961181640625
2019-06-03,2019-05-31,PEG,0.0291265908188293,0.028980710541415985,60.0,46.92021560668945
2019-06-03,2019-05-31,ORLY,0.0267131220028954,0.026709567370495894,104.0,24.947999954223633
2019-06-03,2019-05-31,AZO,0.025742477065429,0.02136380847928145,2.0,1037.6500244140625
2019-06-03,2019-05-31,HEI,0.0229546824811676,0.022515951417369246,18.0,121.51223754882812
2019-06-03,2019-05-31,KO,0.0214525738711477,0.021197097030757377,51.0,40.37461853027344
2019-07-01,2019-06-28,MA,0.1117866099841546,0.10978090415837327,44.0,256.47998046875
2019-07-01,2019-06-28,HD,0.1083683079355917,0.10761730106278174,62.0,178.43077087402344
2019-07-01,2019-06-28,V,0.1024484310315979,0.10143792641010375,63.0,165.51568603515625
2019-07-01,2019-06-28,FDS,0.0727424957231834,0.07039734849925618,27.0,268.02288818359375
2019-07-01,2019-06-28,NOW,0.0654369440687492,0.06563960990282316,119.0,56.70199966430664
2019-07-01,2019-06-28,SHOP,0.046886075117041,0.046533343676480196,157.0,30.468000411987305
2019-07-01,2019-06-28,ORCL,0.0456739783972272,0.04536852943923018,89.0,52.40153884887695
2019-07-01,2019-06-28,DHR,0.0446874944255876,0.04577258425999468,38.0,123.82295989990234
2019-07-01,2019-06-28,MELI,0.0413889253847654,0.036147643975624165,6.0,619.3099975585938
2019-07-01,2019-06-28,VEEV,0.0395141917340252,0.0381654126567641,24.0,163.47000122070312
2019-07-01,2019-06-28,AVGO,0.0388487617351894,0.038877260964123,158.0,25.294023513793945
2019-07-01,2019-06-28,TSCO,0.0388487617351894,0.038919589916136796,201.0,19.904512405395508
2019-07-01,2019-06-28,WING,0.0388487617351894,0.038243752694878536,47.0,83.6453857421875
2019-07-01,2019-06-28,WRB,0.0388487617351894,0.038863979941694195,156.0,25.609554290771484
2019-07-01,2019-06-28,HEI,0.0381347649340492,0.03717095159464887,29.0,131.76043701171875
2019-07-01,2019-06-28,MKTX,0.0311180755110947,0.029344065610560324,10.0,301.6474304199219
2019-07-01,2019-06-28,PAYC,0.0298535192296138,0.03021919945579243,14.0,221.8882293701172
2019-07-01,2019-06-28,LULU,0.028759225071869,0.028008669643064768,16.0,179.9499969482422
2019-07-01,2019-06-28,AMT,0.0055168747986349,0.00654734845519276,4.0,168.2615203857422
2019-07-01,2019-06-28,UNH,0.0052868133140561,0.006317561618319398,3.0,216.47491455078125
2019-07-01,2019-06-28,PYPL,0.0048414045934472,0.00556526759145807,5.0,114.41827392578125
2019-07-01,2019-06-28,ADBE,0.004750534610201,0.005855633147835001,2.0,300.9700012207031
