ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
NOW,BUY,924.0,54.08000183105469,49969.92169189453,124.92480422973632,-50094.846496124264,49905.153503875736,924.0,2019-05-01,2019-04-30,target_rebalance,0.5,next_close
VICI,BUY,3173.0,15.683967590332031,49765.229164123535,124.41307291030884,-49889.64223703384,15.511266841895122,3173.0,2019-05-01,2019-04-30,target_rebalance,0.5,next_close
NOW,SELL,924.0,49.67599868774414,45900.622787475586,114.75155696868897,45785.8712305069,45801.38249734879,0.0,2019-06-03,2019-05-31,target_exit,,next_close
VICI,SELL,3173.0,15.182466506958008,48173.96622657776,120.4349155664444,48053.53131101131,93854.91380836011,0.0,2019-06-03,2019-05-31,target_exit,,next_close
MA,BUY,100.0,232.9153594970703,23291.53594970703,58.22883987426758,-23349.7647895813,70505.14901877881,100.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close
PEG,BUY,500.0,46.92021560668945,23460.107803344727,58.650269508361816,-23518.75807285309,46986.39094592573,500.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close
PEG,SELL,500.0,46.53152084350586,23265.76042175293,58.164401054382324,23207.596020698547,70193.98696662427,0.0,2019-07-01,2019-06-28,target_exit,,next_close
MA,BUY,58.0,256.47998046875,14875.8388671875,37.18959716796875,-14913.02846435547,55280.958502268804,158.0,2019-07-01,2019-06-28,target_rebalance,0.425,next_close
VEEV,BUY,249.0,163.47000122070312,40704.03030395508,101.7600757598877,-40805.79037971496,14475.168122553841,249.0,2019-07-01,2019-06-28,target_rebalance,0.425,next_close
MA,SELL,158.0,263.9048156738281,41696.960876464844,104.24240219116211,41592.71847427368,56067.88659682752,0.0,2019-08-01,2019-07-31,target_exit,,next_close
VEEV,SELL,249.0,165.24000549316406,41144.76136779785,102.86190341949464,41041.89946437836,97109.78606120587,0.0,2019-08-01,2019-07-31,target_exit,,next_close
ORLY,BUY,1651.0,24.98666763305664,41252.988262176514,103.13247065544128,-41356.12073283196,55753.665328373914,1651.0,2019-08-01,2019-07-31,target_rebalance,0.425,next_close
V,BUY,242.0,170.4923553466797,41259.149993896484,103.14787498474121,-41362.29786888123,14391.367459492685,242.0,2019-08-01,2019-07-31,target_rebalance,0.425,next_close
ORLY,SELL,1651.0,25.590667724609375,42250.19241333008,105.6254810333252,42144.56693229675,56535.93439178944,0.0,2019-09-03,2019-08-30,target_exit,,next_close
V,BUY,1.0,170.76695251464844,170.76695251464844,0.4269173812866211,-171.19386989593505,56364.7405218935,243.0,2019-09-03,2019-08-30,target_rebalance,0.425,next_close
BKNG,BUY,545.0,76.24681854248047,41554.516105651855,103.88629026412964,-41658.40239591598,14706.33812597752,545.0,2019-09-03,2019-08-30,target_rebalance,0.425,next_close
BKNG,SELL,15.0,78.90242004394531,1183.5363006591797,2.958840751647949,1180.5774599075316,15886.915585885052,530.0,2019-09-23,2019-09-20,target_rebalance,0.425,next_close
V,SELL,117.0,166.67886352539062,19501.427032470703,48.75356758117676,19452.673464889525,35339.58905077458,126.0,2019-09-23,2019-09-20,target_rebalance,0.2125,next_close
V,SELL,126.0,166.08802795410156,20927.091522216797,52.317728805542,20874.773793411256,56214.36284418583,0.0,2019-10-01,2019-09-30,target_exit,,next_close
BKNG,BUY,2.0,77.67022705078125,155.3404541015625,0.38835113525390624,-155.7288052368164,56058.634038949014,532.0,2019-10-01,2019-09-30,target_rebalance,0.425,next_close
AEP,BUY,563.0,73.473876953125,41365.792724609375,103.41448181152344,-41469.2072064209,14589.426832528115,563.0,2019-10-01,2019-09-30,target_rebalance,0.425,next_close
AEP,SELL,563.0,73.74186706542969,41516.671157836914,103.79167789459228,41412.87947994232,56002.306312470435,0.0,2019-11-01,2019-10-31,target_exit,,next_close
BKNG,SELL,7.0,79.79022216796875,558.5315551757812,1.396328887939453,557.1352262878418,56559.44153875828,525.0,2019-11-01,2019-10-31,target_rebalance,0.425,next_close
V,BUY,242.0,172.41555786132812,41724.565002441406,104.31141250610352,-41828.87641494751,14730.565123810768,242.0,2019-11-01,2019-10-31,target_rebalance,0.425,next_close
BKNG,SELL,525.0,73.78913116455078,38739.29386138916,96.8482346534729,38642.44562673569,53373.010750546455,0.0,2019-11-08,2019-11-07,target_exit,,next_close
V,SELL,6.0,170.5477752685547,1023.2866516113281,2.5582166290283204,1020.7284349822999,54393.73918552876,236.0,2019-11-08,2019-11-07,target_rebalance,0.425,next_close
V,SELL,236.0,173.5252227783203,40951.952575683594,102.37988143920899,40849.57269424439,95243.31187977314,0.0,2019-12-02,2019-11-29,target_exit,,next_close
CPRT,BUY,2165.0,21.989999771118164,47608.349504470825,119.02087376117707,-47727.370378232,47515.94150154114,2165.0,2019-12-02,2019-11-29,target_rebalance,0.5,next_close
MA,BUY,171.0,276.08917236328125,47211.248474121094,118.02812118530274,-47329.27659530639,186.66490623474965,171.0,2019-12-02,2019-11-29,target_rebalance,0.5,next_close
CPRT,SELL,2165.0,23.3700008392334,50596.05181694031,126.49012954235077,50469.56168739796,50656.22659363271,0.0,2020-01-02,2019-12-31,target_exit,,next_close
MA,SELL,24.0,292.39605712890625,7017.50537109375,17.543763427734376,6999.961607666016,57656.188201298726,147.0,2020-01-02,2019-12-31,target_rebalance,0.425,next_close
LRCX,BUY,1543.0,27.71572494506836,42765.36359024048,106.9134089756012,-42872.27699921608,14783.911202082643,1543.0,2020-01-02,2019-12-31,target_rebalance,0.425,next_close
LRCX,SELL,1543.0,28.697294235229492,44279.92500495911,110.69981251239777,44169.225192446705,58953.13639452935,0.0,2020-02-03,2020-01-31,target_exit,,next_close
MA,SELL,4.0,313.1776428222656,1252.7105712890625,3.1317764282226563,1249.57879486084,60202.71518939019,143.0,2020-02-03,2020-01-31,target_rebalance,0.425,next_close
CPRT,BUY,1770.0,25.200000762939453,44604.00135040283,111.51000337600708,-44715.51135377884,15487.203835611348,1770.0,2020-02-03,2020-01-31,target_rebalance,0.425,next_close
MA,SELL,5.0,313.3224182128906,1566.6120910644531,3.916530227661133,1562.695560836792,17049.89939644814,138.0,2020-02-24,2020-02-21,target_rebalance,0.425,next_close
CPRT,SELL,841.0,23.1924991607666,19504.891794204712,48.76222948551178,19456.129564719202,36506.02896116734,929.0,2020-02-24,2020-02-21,target_rebalance,0.2125,next_close
CPRT,SELL,929.0,22.235000610351562,20656.3155670166,51.64078891754151,20604.67477809906,57110.703739266406,0.0,2020-02-25,2020-02-24,target_exit,,next_close
MA,BUY,3.0,292.30364990234375,876.9109497070312,2.192277374267578,-879.1032270812989,56231.600512185105,141.0,2020-02-25,2020-02-24,target_rebalance,0.425,next_close
MA,SELL,58.0,296.0190124511719,17169.10272216797,42.92275680541992,17126.17996536255,73357.78047754765,83.0,2020-03-02,2020-02-28,target_rebalance,0.25,next_close
RNG,BUY,102.0,239.46182250976562,24425.105895996094,61.062764739990236,-24486.168660736083,48871.61181681157,102.0,2020-03-02,2020-02-28,target_rebalance,0.25,next_close
RNG,SELL,102.0,209.10610961914062,21328.823181152344,53.32205795288086,21275.50112319946,70147.11294001104,0.0,2020-03-09,2020-03-06,target_exit,,next_close
MA,BUY,7.0,252.8524627685547,1769.9672393798828,4.424918098449707,-1774.3921574783326,68372.7207825327,90.0,2020-03-09,2020-03-06,target_rebalance,0.25,next_close
MA,SELL,40.0,220.61981201171875,8824.79248046875,22.061981201171875,8802.730499267578,77175.45128180028,50.0,2020-04-01,2020-03-31,target_rebalance,0.125,next_close
VEEV,BUY,71.0,153.50999450683594,10899.209609985352,27.248024024963378,-10926.457634010316,66248.99364778996,71.0,2020-04-01,2020-03-31,target_rebalance,0.125,next_close
MA,SELL,50.0,259.7481994628906,12987.409973144531,32.46852493286133,12954.94144821167,79203.93509600163,0.0,2020-05-01,2020-04-30,target_exit,,next_close
VEEV,SELL,71.0,187.77000427246094,13331.670303344727,33.329175758361814,13298.341127586365,92502.27622358799,0.0,2020-05-01,2020-04-30,target_exit,,next_close
AMZN,BUY,202.0,114.302001953125,23089.00439453125,57.722510986328125,-23146.72690551758,69355.5493180704,202.0,2020-05-01,2020-04-30,target_rebalance,0.25,next_close
SE,BUY,422.0,54.779998779296875,23117.15948486328,57.792898712158205,-23174.95238357544,46180.59693449497,422.0,2020-05-01,2020-04-30,target_rebalance,0.25,next_close
AMZN,SELL,202.0,123.552001953125,24957.50439453125,62.393760986328125,24895.110633544922,71075.70756803988,0.0,2020-06-01,2020-05-29,target_exit,,next_close
SE,SELL,422.0,82.47000122070312,34802.34051513672,87.0058512878418,34715.33466384888,105791.04223188877,0.0,2020-06-01,2020-05-29,target_exit,,next_close
NVDA,BUY,5125.0,8.771856307983398,44955.76357841492,112.38940894603729,-45068.152987360954,60722.88924452782,5125.0,2020-06-01,2020-05-29,target_rebalance,0.425,next_close
V,BUY,241.0,186.093994140625,44848.652587890625,112.12163146972657,-44960.77421936035,15762.11502516747,241.0,2020-06-01,2020-05-29,target_rebalance,0.425,next_close
NVDA,SELL,5125.0,9.497114181518555,48672.71018028259,121.68177545070648,48551.028404831886,64313.143429999356,0.0,2020-07-01,2020-06-30,target_exit,,next_close
V,SELL,241.0,185.54818725585938,44717.11312866211,111.79278282165528,44605.32034584045,108918.4637758398,0.0,2020-07-01,2020-06-30,target_exit,,next_close
MELI,BUY,55.0,977.1400146484375,53742.70080566406,134.35675201416015,-53877.05755767822,55041.40621816158,55.0,2020-07-01,2020-06-30,target_rebalance,0.5,next_close
NOW,BUY,653.0,83.35800170898438,54432.7751159668,136.081937789917,-54568.857053756714,472.54916440486704,653.0,2020-07-01,2020-06-30,target_rebalance,0.5,next_close
MELI,SELL,55.0,1172.6199951171875,64494.09973144531,161.2352493286133,64332.864482116696,64805.41364652156,0.0,2020-08-03,2020-07-31,target_exit,,next_close
NOW,SELL,653.0,87.99199676513672,57458.77388763428,143.6469347190857,57315.12695291519,122120.54059943676,0.0,2020-08-03,2020-07-31,target_exit,,next_close
MA,BUY,201.0,302.5345458984375,60809.44372558594,152.02360931396484,-60961.467334899906,61159.073264536855,201.0,2020-08-03,2020-07-31,target_rebalance,0.5,next_close
NVDA,BUY,5560.0,10.972251892089844,61005.72052001953,152.51430130004883,-61158.23482131958,0.8384432172751985,5560.0,2020-08-03,2020-07-31,target_rebalance,0.5,next_close
MA,SELL,201.0,345.4191589355469,69429.25094604492,173.5731273651123,69255.6778186798,69256.51626189708,0.0,2020-09-01,2020-08-31,target_exit,,next_close
NVDA,SELL,5560.0,13.777423858642578,76602.47665405273,191.50619163513184,76410.97046241761,145667.4867243147,0.0,2020-09-01,2020-08-31,target_exit,,next_close
META,BUY,211.0,293.1395263671875,61852.44006347656,154.6311001586914,-62007.07116363526,83660.41556067942,211.0,2020-09-01,2020-08-31,target_rebalance,0.425,next_close
SE,BUY,382.0,161.8000030517578,61807.601165771484,154.5190029144287,-61962.12016868591,21698.29539199351,382.0,2020-09-01,2020-08-31,target_rebalance,0.425,next_close
SE,SELL,382.0,138.0,52716.0,131.79,52584.21,74282.5053919935,0.0,2020-09-08,2020-09-04,target_exit,,next_close
META,SELL,3.0,269.04864501953125,807.1459350585938,2.0178648376464845,805.1280702209473,75087.63346221445,208.0,2020-09-08,2020-09-04,target_rebalance,0.425,next_close
META,SELL,208.0,264.5539245605469,55027.21630859375,137.5680407714844,54889.64826782227,129977.28173003672,0.0,2020-10-01,2020-09-30,target_exit,,next_close
BIO,BUY,106.0,520.8099975585938,55205.85974121094,138.01464935302735,-55343.874390563964,74633.40733947276,106.0,2020-10-01,2020-09-30,target_rebalance,0.425,next_close
CPRT,BUY,2060.0,26.80500030517578,55218.30062866211,138.04575157165527,-55356.346380233765,19277.060959238996,2060.0,2020-10-01,2020-09-30,target_rebalance,0.425,next_close
BIO,SELL,106.0,591.02001953125,62648.1220703125,156.62030517578125,62491.501765136716,81768.56272437572,0.0,2020-11-02,2020-10-30,target_exit,,next_close
CPRT,BUY,41.0,28.350000381469727,1162.3500156402588,2.905875039100647,-1165.2558906793595,80603.30683369636,2101.0,2020-11-02,2020-10-30,target_rebalance,0.425,next_close
GOOG,BUY,738.0,80.63945770263672,59511.9197845459,148.77979946136475,-59660.69958400726,20942.6072496891,738.0,2020-11-02,2020-10-30,target_rebalance,0.425,next_close
GOOG,SELL,27.0,87.32012176513672,2357.6432876586914,5.8941082191467284,2351.7491794395446,23294.356429128646,711.0,2020-11-30,2020-11-27,target_rebalance,0.425,next_close
CPRT,SELL,1025.0,28.862499237060547,29584.06171798706,73.96015429496765,29510.101563692093,52804.45799282074,1076.0,2020-11-30,2020-11-27,target_rebalance,0.2125,next_close
CPRT,SELL,1076.0,28.8125,31002.25,77.505625,30924.744375,83729.20236782073,0.0,2020-12-01,2020-11-30,target_exit,,next_close
GOOG,SELL,9.0,89.17288970947266,802.5560073852539,2.0063900184631347,800.5496173667908,84529.75198518753,702.0,2020-12-01,2020-11-30,target_rebalance,0.425,next_close
