ticker,Name,sector,portfolio_sleeve_label,portfolio_candidate_gate_label,governance_catalyst_score,governance_catalyst_label,event_regime_label,live_event_alert_label,portfolio_monster_early_score,rs_acceleration_score,market_cap_live,ownership_flow_pillar_score,insider_cluster_boost_score,event_revision_pillar_score,selection_flow_confirmation_score,event_reaction_score,live_event_growth_reentry_score,live_event_defensive_score,live_event_risk_score,focus_live_event_growth_score,focus_event_stress_penalty
RKLB,ROCKET LAB CORP,Industrials,future_winner,future_relaxed,1.5696900720552067,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-2.6034340349272704,61040867621.78314,0.0666666666666666,0.0,2.9077190387417304,0.2,6.0,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4843125126345574,0.0
QCOM,QUALCOMM INC,Information Technology,unassigned,rejected,1.4888452494239812,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,3.0,230920856140.13672,0.0666666666666666,0.0,2.5034949255856027,0.2,6.0,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3467642805694573,0.0
DVA,DAVITA INC,Health Care,early_scout,early_relaxed,1.4229078888111322,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,2.4514331509097858,12753329608.154297,0.0666666666666666,0.0,3.108059762203768,0.2,4.754331147090119,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3108096485984596,0.0
NXPI,NXP Semiconductors,Semiconductors,future_winner,adr_global_alpha_fallback,1.4161531460290422,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,1.1511387123851016,74415849472.0,0.0666666666666666,0.0,2.595354648170096,0.2,5.392906347254415,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3313886376415899,0.0
ARM,Arm Holdings,Information Technology,future_winner,future_relaxed,1.2779061996688432,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,3.0,226492744537.35352,0.0666666666666666,0.0,2.39056839099022,0.2,4.7443083810929245,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3636724738736929,0.0
HRB,H&R BLOCK INC,Consumer Discretionary,early_scout,early_relaxed,1.2724914058568726,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,2.673639702961091,4685057134.667564,0.0666666666666666,0.0,2.8647095112888508,0.2,4.080624859037435,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1005232473414676,0.0027619582534952
URI,UNITED RENTALS INC,Industrials,unassigned,rejected,1.2584799747694213,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.3910843257311598,58699823909.0,0.0666666666666666,0.0,2.691916630332469,0.2,4.213002562640447,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2264230783737473,0.0
AAON,AAON INC,Industrials,early_scout,early_relaxed,1.227593822744816,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,2.4890696414755102,11439789718.56964,0.0666666666666666,0.0,2.1957654469120738,0.2,4.668629793703604,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2881927851107462,0.0
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,unassigned,rejected,1.2181643038974592,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,3.0,7789689624.030258,0.0666666666666666,0.0,3.040883239468377,0.2,3.481372877982859,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0994138352713412,0.0014581600020242
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,early_scout,early_relaxed,1.035627371091482,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.8640626445163977,20692347265.77437,0.0666666666666666,0.0,2.04825981010028,0.0,3.585527631763769,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1903807198291346,0.0
